1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 010000007D81BA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 22:03:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 22:03:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12902
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 10:03:01 PM,%RH,77.749
12/1/24 12:03:01 AM,%RH,79.45
12/1/24 2:03:01 AM,%RH,79.45
12/1/24 4:03:01 AM,%RH,80.015
12/1/24 6:03:01 AM,%RH,80.578
12/1/24 8:03:01 AM,%RH,80.578
12/1/24 10:03:01 AM,%RH,84.484
12/1/24 12:03:01 PM,%RH,76.036
12/1/24 2:03:01 PM,%RH,65.512
12/1/24 4:03:01 PM,%RH,66.702
12/1/24 6:03:01 PM,%RH,71.411
12/1/24 8:03:01 PM,%RH,71.994
12/1/24 10:03:01 PM,%RH,76.608
13/1/24 12:03:01 AM,%RH,82.26
13/1/24 2:03:01 AM,%RH,88.325
13/1/24 4:03:01 AM,%RH,92.638
13/1/24 6:03:01 AM,%RH,94.763
13/1/24 8:03:01 AM,%RH,95.291
13/1/24 10:03:01 AM,%RH,93.171
13/1/24 12:03:01 PM,%RH,76.036
13/1/24 2:03:01 PM,%RH,71.994
13/1/24 4:03:01 PM,%RH,69.655
13/1/24 6:03:01 PM,%RH,85.588
13/1/24 8:03:01 PM,%RH,90.492
13/1/24 10:03:01 PM,%RH,95.817
14/1/24 12:03:01 AM,%RH,88.869
14/1/24 2:03:01 AM,%RH,91.567
14/1/24 4:03:01 AM,%RH,91.567
14/1/24 6:03:01 AM,%RH,92.103
14/1/24 8:03:01 AM,%RH,93.171
14/1/24 10:03:01 AM,%RH,93.171
14/1/24 12:03:01 PM,%RH,76.036
14/1/24 2:03:01 PM,%RH,67.296
14/1/24 4:03:01 PM,%RH,63.116
14/1/24 6:03:01 PM,%RH,89.952
14/1/24 8:03:01 PM,%RH,89.952
14/1/24 10:03:01 PM,%RH,77.749
15/1/24 12:03:01 AM,%RH,77.749
