1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0B0000007DAB1441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:48:01 IST 2024
Mission Sample Count:  3236
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:48:01 IST 2024
Total Mission Samples:  3236
Total Device Samples:  12778
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:48:01 PM,%RH,68.32
14/1/24 11:48:01 PM,%RH,78.474
15/1/24 1:48:01 AM,%RH,80.114
15/1/24 3:48:01 AM,%RH,80.114
15/1/24 5:48:01 AM,%RH,80.657
15/1/24 7:48:01 AM,%RH,82.815
15/1/24 9:48:01 AM,%RH,86.002
15/1/24 11:48:01 AM,%RH,65.991
15/1/24 1:48:01 PM,%RH,60.656
15/1/24 3:48:01 PM,%RH,77.372
15/1/24 5:48:01 PM,%RH,83.35
15/1/24 7:48:01 PM,%RH,89.13
15/1/24 9:48:01 PM,%RH,93.711
15/1/24 11:48:01 PM,%RH,95.704
16/1/24 1:48:01 AM,%RH,96.198
16/1/24 3:48:01 AM,%RH,95.704
16/1/24 5:48:01 AM,%RH,85.475
16/1/24 7:48:01 AM,%RH,90.672
16/1/24 9:48:01 AM,%RH,88.613
16/1/24 11:48:01 AM,%RH,74.027
16/1/24 1:48:01 PM,%RH,66.576
16/1/24 3:48:01 PM,%RH,81.74
16/1/24 5:48:01 PM,%RH,87.051
16/1/24 7:48:01 PM,%RH,93.209
16/1/24 9:48:01 PM,%RH,97.182
16/1/24 11:48:01 PM,%RH,97.182
17/1/24 1:48:01 AM,%RH,98.645
17/1/24 3:48:01 AM,%RH,98.645
17/1/24 5:48:01 AM,%RH,99.129
17/1/24 7:48:01 AM,%RH,99.612
17/1/24 9:48:01 AM,%RH,83.884
17/1/24 11:48:01 AM,%RH,79.022
17/1/24 1:48:01 PM,%RH,83.35
17/1/24 3:48:01 PM,%RH,85.475
17/1/24 5:48:01 PM,%RH,85.475
17/1/24 7:48:01 PM,%RH,91.183
17/1/24 9:48:01 PM,%RH,95.704
17/1/24 11:48:01 PM,%RH,96.691
18/1/24 1:48:01 AM,%RH,97.671
18/1/24 3:48:01 AM,%RH,98.645
18/1/24 5:48:01 AM,%RH,99.129
18/1/24 7:48:01 AM,%RH,99.612
18/1/24 9:48:01 AM,%RH,92.199
18/1/24 11:48:01 AM,%RH,74.588
18/1/24 1:48:01 PM,%RH,79.569
18/1/24 3:48:01 PM,%RH,88.094
18/1/24 5:48:01 PM,%RH,90.672
18/1/24 7:48:01 PM,%RH,94.711
18/1/24 9:48:01 PM,%RH,98.159
18/1/24 11:48:01 PM,%RH,99.612
19/1/24 1:48:01 AM,%RH,99.129
19/1/24 3:48:01 AM,%RH,100.093
19/1/24 5:48:01 AM,%RH,99.129
19/1/24 7:48:01 AM,%RH,101.526
19/1/24 9:48:01 AM,%RH,97.671
19/1/24 11:48:01 AM,%RH,80.114
19/1/24 1:48:01 PM,%RH,83.35
19/1/24 3:48:01 PM,%RH,91.692
19/1/24 5:48:01 PM,%RH,93.711
19/1/24 7:48:01 PM,%RH,97.182
19/1/24 9:48:01 PM,%RH,98.645
19/1/24 11:48:01 PM,%RH,99.612
20/1/24 1:48:01 AM,%RH,101.526
20/1/24 3:48:01 AM,%RH,97.671
20/1/24 5:48:01 AM,%RH,99.129
20/1/24 7:48:01 AM,%RH,99.129
20/1/24 9:48:01 AM,%RH,89.13
20/1/24 11:48:01 AM,%RH,77.923
20/1/24 1:48:01 PM,%RH,86.002
20/1/24 3:48:01 PM,%RH,89.13
20/1/24 5:48:01 PM,%RH,92.199
20/1/24 7:48:01 PM,%RH,96.198
20/1/24 9:48:01 PM,%RH,98.159
20/1/24 11:48:01 PM,%RH,101.05
21/1/24 1:48:01 AM,%RH,100.093
21/1/24 3:48:01 AM,%RH,101.05
21/1/24 5:48:01 AM,%RH,102
21/1/24 7:48:01 AM,%RH,101.05
21/1/24 9:48:01 AM,%RH,91.183
21/1/24 11:48:01 AM,%RH,74.588
21/1/24 1:48:01 PM,%RH,72.332
21/1/24 3:48:01 PM,%RH,83.35
21/1/24 5:48:01 PM,%RH,86.528
21/1/24 7:48:01 PM,%RH,93.711
21/1/24 9:48:01 PM,%RH,97.182
21/1/24 11:48:01 PM,%RH,98.645
22/1/24 1:48:01 AM,%RH,98.645
22/1/24 3:48:01 AM,%RH,99.612
22/1/24 5:48:01 AM,%RH,100.572
22/1/24 7:48:01 AM,%RH,102.473
22/1/24 9:48:01 AM,%RH,94.711
22/1/24 11:48:01 AM,%RH,75.707
22/1/24 1:48:01 PM,%RH,78.474
22/1/24 3:48:01 PM,%RH,86.528
22/1/24 5:48:01 PM,%RH,89.13
22/1/24 7:48:01 PM,%RH,94.212
22/1/24 9:48:01 PM,%RH,97.671
22/1/24 11:48:01 PM,%RH,98.159
23/1/24 1:48:01 AM,%RH,98.645
23/1/24 3:48:01 AM,%RH,99.129
23/1/24 5:48:01 AM,%RH,100.572
23/1/24 7:48:01 AM,%RH,97.671
23/1/24 9:48:01 AM,%RH,86.002
23/1/24 11:48:01 AM,%RH,75.148
23/1/24 1:48:01 PM,%RH,80.657
23/1/24 3:48:01 PM,%RH,87.574
23/1/24 5:48:01 PM,%RH,89.646
23/1/24 7:48:01 PM,%RH,92.199
23/1/24 9:48:01 PM,%RH,94.711
23/1/24 11:48:01 PM,%RH,95.704
24/1/24 1:48:01 AM,%RH,97.671
24/1/24 3:48:01 AM,%RH,94.212
24/1/24 5:48:01 AM,%RH,95.208
24/1/24 7:48:01 AM,%RH,91.183
24/1/24 9:48:01 AM,%RH,82.278
