1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0B0000007DAB1441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:48:01 IST 2024
Mission Sample Count:  3236
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:48:01 IST 2024
Total Mission Samples:  3236
Total Device Samples:  12778
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:48:01 PM,C,27.074
14/1/24 11:48:01 PM,C,22.074
15/1/24 1:48:01 AM,C,21.574
15/1/24 3:48:01 AM,C,20.573
15/1/24 5:48:01 AM,C,20.573
15/1/24 7:48:01 AM,C,19.573
15/1/24 9:48:01 AM,C,24.074
15/1/24 11:48:01 AM,C,24.074
15/1/24 1:48:01 PM,C,23.574
15/1/24 3:48:01 PM,C,23.574
15/1/24 5:48:01 PM,C,21.574
15/1/24 7:48:01 PM,C,20.073
15/1/24 9:48:01 PM,C,19.573
15/1/24 11:48:01 PM,C,18.572
16/1/24 1:48:01 AM,C,18.572
16/1/24 3:48:01 AM,C,17.071
16/1/24 5:48:01 AM,C,18.072
16/1/24 7:48:01 AM,C,17.572
16/1/24 9:48:01 AM,C,20.073
16/1/24 11:48:01 AM,C,23.074
16/1/24 1:48:01 PM,C,24.074
16/1/24 3:48:01 PM,C,23.574
16/1/24 5:48:01 PM,C,22.074
16/1/24 7:48:01 PM,C,20.073
16/1/24 9:48:01 PM,C,19.573
16/1/24 11:48:01 PM,C,19.573
17/1/24 1:48:01 AM,C,19.072
17/1/24 3:48:01 AM,C,18.572
17/1/24 5:48:01 AM,C,18.572
17/1/24 7:48:01 AM,C,18.572
17/1/24 9:48:01 AM,C,22.574
17/1/24 11:48:01 AM,C,23.074
17/1/24 1:48:01 PM,C,23.574
17/1/24 3:48:01 PM,C,23.074
17/1/24 5:48:01 PM,C,21.574
17/1/24 7:48:01 PM,C,19.573
17/1/24 9:48:01 PM,C,20.073
17/1/24 11:48:01 PM,C,19.573
18/1/24 1:48:01 AM,C,19.072
18/1/24 3:48:01 AM,C,18.572
18/1/24 5:48:01 AM,C,18.072
18/1/24 7:48:01 AM,C,18.072
