1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1F0000007DAAB341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:53:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:53:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12004
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:53:01 PM,%RH,76.824
11/1/24 11:53:01 PM,%RH,77.381
12/1/24 1:53:01 AM,%RH,77.936
12/1/24 3:53:01 AM,%RH,77.936
12/1/24 5:53:01 AM,%RH,78.489
12/1/24 7:53:01 AM,%RH,78.489
12/1/24 9:53:01 AM,%RH,69.438
12/1/24 11:53:01 AM,%RH,73.45
12/1/24 1:53:01 PM,%RH,58.142
12/1/24 3:53:01 PM,%RH,59.965
12/1/24 5:53:01 PM,%RH,67.109
12/1/24 7:53:01 PM,%RH,74.581
12/1/24 9:53:01 PM,%RH,77.381
12/1/24 11:53:01 PM,%RH,83.396
13/1/24 1:53:01 AM,%RH,85.002
13/1/24 3:53:01 AM,%RH,90.248
13/1/24 5:53:01 AM,%RH,92.3
13/1/24 7:53:01 AM,%RH,94.829
13/1/24 9:53:01 AM,%RH,85.534
13/1/24 11:53:01 AM,%RH,67.109
13/1/24 1:53:01 PM,%RH,69.438
13/1/24 3:53:01 PM,%RH,64.754
13/1/24 5:53:01 PM,%RH,84.468
13/1/24 7:53:01 PM,%RH,91.277
13/1/24 9:53:01 PM,%RH,95.829
13/1/24 11:53:01 PM,%RH,88.691
14/1/24 1:53:01 AM,%RH,89.731
14/1/24 3:53:01 AM,%RH,86.593
14/1/24 5:53:01 AM,%RH,90.764
14/1/24 7:53:01 AM,%RH,93.317
14/1/24 9:53:01 AM,%RH,89.212
14/1/24 11:53:01 AM,%RH,67.694
14/1/24 1:53:01 PM,%RH,64.754
14/1/24 3:53:01 PM,%RH,59.965
14/1/24 5:53:01 PM,%RH,85.002
14/1/24 7:53:01 PM,%RH,88.691
14/1/24 9:53:01 PM,%RH,71.74
14/1/24 11:53:01 PM,%RH,72.882
15/1/24 1:53:01 AM,%RH,74.581
15/1/24 3:53:01 AM,%RH,81.775
15/1/24 5:53:01 AM,%RH,88.169
15/1/24 7:53:01 AM,%RH,91.79
15/1/24 9:53:01 AM,%RH,91.79
15/1/24 11:53:01 AM,%RH,75.706
15/1/24 1:53:01 PM,%RH,63.567
15/1/24 3:53:01 PM,%RH,77.381
15/1/24 5:53:01 PM,%RH,84.468
15/1/24 7:53:01 PM,%RH,87.645
15/1/24 9:53:01 PM,%RH,93.317
15/1/24 11:53:01 PM,%RH,95.33
16/1/24 1:53:01 AM,%RH,92.3
16/1/24 3:53:01 AM,%RH,93.317
16/1/24 5:53:01 AM,%RH,89.212
16/1/24 7:53:01 AM,%RH,93.822
16/1/24 9:53:01 AM,%RH,96.326
