1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 370000007D830C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:10:01 IST 2024
Mission Sample Count:  3250
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:10:01 IST 2024
Total Mission Samples:  3250
Total Device Samples:  12867
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:10:01 PM,%RH,80.252
13/1/24 10:10:01 PM,%RH,80.822
14/1/24 12:10:01 AM,%RH,80.252
14/1/24 2:10:01 AM,%RH,80.252
14/1/24 4:10:01 AM,%RH,80.822
14/1/24 6:10:01 AM,%RH,80.822
14/1/24 8:10:01 AM,%RH,86.987
14/1/24 10:10:01 AM,%RH,65.453
14/1/24 12:10:01 PM,%RH,75.629
14/1/24 2:10:01 PM,%RH,57.98
14/1/24 4:10:01 PM,%RH,56.711
14/1/24 6:10:01 PM,%RH,88.086
14/1/24 8:10:01 PM,%RH,88.633
14/1/24 10:10:01 PM,%RH,88.086
15/1/24 12:10:01 AM,%RH,83.649
15/1/24 2:10:01 AM,%RH,86.987
15/1/24 4:10:01 AM,%RH,94.013
15/1/24 6:10:01 AM,%RH,91.344
15/1/24 8:10:01 AM,%RH,91.881
15/1/24 10:10:01 AM,%RH,81.958
15/1/24 12:10:01 PM,%RH,64.839
15/1/24 2:10:01 PM,%RH,61.123
15/1/24 4:10:01 PM,%RH,77.375
15/1/24 6:10:01 PM,%RH,85.881
15/1/24 8:10:01 PM,%RH,92.95
15/1/24 10:10:01 PM,%RH,96.118
16/1/24 12:10:01 AM,%RH,97.161
16/1/24 2:10:01 AM,%RH,99.227
16/1/24 4:10:01 AM,%RH,99.227
16/1/24 6:10:01 AM,%RH,96.64
16/1/24 8:10:01 AM,%RH,91.344
16/1/24 10:10:01 AM,%RH,88.633
16/1/24 12:10:01 PM,%RH,70.9
16/1/24 2:10:01 PM,%RH,73.278
16/1/24 4:10:01 PM,%RH,83.649
16/1/24 6:10:01 PM,%RH,92.95
16/1/24 8:10:01 PM,%RH,96.118
16/1/24 10:10:01 PM,%RH,96.64
17/1/24 12:10:01 AM,%RH,98.197
17/1/24 2:10:01 AM,%RH,99.227
17/1/24 4:10:01 AM,%RH,99.227
17/1/24 6:10:01 AM,%RH,100.249
17/1/24 8:10:01 AM,%RH,100.249
17/1/24 10:10:01 AM,%RH,84.768
17/1/24 12:10:01 PM,%RH,76.795
17/1/24 2:10:01 PM,%RH,80.252
17/1/24 4:10:01 PM,%RH,77.954
17/1/24 6:10:01 PM,%RH,86.987
17/1/24 8:10:01 PM,%RH,94.542
17/1/24 10:10:01 PM,%RH,96.118
18/1/24 12:10:01 AM,%RH,99.739
18/1/24 2:10:01 AM,%RH,98.197
18/1/24 4:10:01 AM,%RH,98.197
18/1/24 6:10:01 AM,%RH,99.739
18/1/24 8:10:01 AM,%RH,99.227
18/1/24 10:10:01 AM,%RH,90.805
18/1/24 12:10:01 PM,%RH,78.531
18/1/24 2:10:01 PM,%RH,83.649
18/1/24 4:10:01 PM,%RH,85.325
18/1/24 6:10:01 PM,%RH,91.344
18/1/24 8:10:01 PM,%RH,96.64
18/1/24 10:10:01 PM,%RH,98.197
19/1/24 12:10:01 AM,%RH,98.713
19/1/24 2:10:01 AM,%RH,99.227
19/1/24 4:10:01 AM,%RH,99.739
19/1/24 6:10:01 AM,%RH,100.249
19/1/24 8:10:01 AM,%RH,101.266
19/1/24 10:10:01 AM,%RH,93.482
19/1/24 12:10:01 PM,%RH,83.087
19/1/24 2:10:01 PM,%RH,80.822
19/1/24 4:10:01 PM,%RH,88.633
