1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000007D83FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:55:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:55:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  13403
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:55:01 PM,%RH,80.507
11/1/24 11:55:01 PM,%RH,78.263
12/1/24 1:55:01 AM,%RH,78.827
12/1/24 3:55:01 AM,%RH,78.827
12/1/24 5:55:01 AM,%RH,79.389
12/1/24 7:55:01 AM,%RH,79.389
12/1/24 9:55:01 AM,%RH,72.534
12/1/24 11:55:01 AM,%RH,67.231
12/1/24 1:55:01 PM,%RH,68.421
12/1/24 3:55:01 PM,%RH,64.225
12/1/24 5:55:01 PM,%RH,70.781
12/1/24 7:55:01 PM,%RH,77.698
12/1/24 9:55:01 PM,%RH,78.263
12/1/24 11:55:01 PM,%RH,82.173
13/1/24 1:55:01 AM,%RH,84.369
13/1/24 3:55:01 AM,%RH,89.74
13/1/24 5:55:01 AM,%RH,92.881
13/1/24 7:55:01 AM,%RH,94.941
13/1/24 9:55:01 AM,%RH,90.268
13/1/24 11:55:01 AM,%RH,74.27
13/1/24 1:55:01 PM,%RH,70.781
13/1/24 3:55:01 PM,%RH,67.231
13/1/24 5:55:01 PM,%RH,84.914
13/1/24 7:55:01 PM,%RH,91.318
13/1/24 9:55:01 PM,%RH,96.467
13/1/24 11:55:01 PM,%RH,92.881
14/1/24 1:55:01 AM,%RH,89.211
14/1/24 3:55:01 AM,%RH,86.538
14/1/24 5:55:01 AM,%RH,90.794
14/1/24 7:55:01 AM,%RH,94.428
14/1/24 9:55:01 AM,%RH,90.268
14/1/24 11:55:01 AM,%RH,72.534
14/1/24 1:55:01 PM,%RH,65.433
14/1/24 3:55:01 PM,%RH,62.401
14/1/24 5:55:01 PM,%RH,84.369
14/1/24 7:55:01 PM,%RH,88.68
14/1/24 9:55:01 PM,%RH,71.951
14/1/24 11:55:01 PM,%RH,72.534
15/1/24 1:55:01 AM,%RH,77.131
15/1/24 3:55:01 AM,%RH,83.822
15/1/24 5:55:01 AM,%RH,89.74
15/1/24 7:55:01 AM,%RH,91.841
15/1/24 9:55:01 AM,%RH,90.268
15/1/24 11:55:01 AM,%RH,78.263
15/1/24 1:55:01 PM,%RH,67.827
15/1/24 3:55:01 PM,%RH,79.949
15/1/24 5:55:01 PM,%RH,85.457
15/1/24 7:55:01 PM,%RH,87.612
15/1/24 9:55:01 PM,%RH,93.914
15/1/24 11:55:01 PM,%RH,94.428
16/1/24 1:55:01 AM,%RH,93.914
16/1/24 3:55:01 AM,%RH,90.268
16/1/24 5:55:01 AM,%RH,89.74
16/1/24 7:55:01 AM,%RH,92.881
16/1/24 9:55:01 AM,%RH,93.914
16/1/24 11:55:01 AM,%RH,77.698
16/1/24 1:55:01 PM,%RH,74.27
16/1/24 3:55:01 PM,%RH,85.998
16/1/24 5:55:01 PM,%RH,89.74
16/1/24 7:55:01 PM,%RH,94.941
16/1/24 9:55:01 PM,%RH,96.973
16/1/24 11:55:01 PM,%RH,98.479
17/1/24 1:55:01 AM,%RH,97.979
17/1/24 3:55:01 AM,%RH,98.479
17/1/24 5:55:01 AM,%RH,98.479
17/1/24 7:55:01 AM,%RH,97.979
17/1/24 9:55:01 AM,%RH,93.914
17/1/24 11:55:01 AM,%RH,85.457
17/1/24 1:55:01 PM,%RH,87.076
17/1/24 3:55:01 PM,%RH,84.369
17/1/24 5:55:01 PM,%RH,85.998
17/1/24 7:55:01 PM,%RH,91.318
17/1/24 9:55:01 PM,%RH,96.973
17/1/24 11:55:01 PM,%RH,97.477
18/1/24 1:55:01 AM,%RH,97.477
18/1/24 3:55:01 AM,%RH,97.477
18/1/24 5:55:01 AM,%RH,98.479
18/1/24 7:55:01 AM,%RH,98.479
18/1/24 9:55:01 AM,%RH,94.428
18/1/24 11:55:01 AM,%RH,85.998
18/1/24 1:55:01 PM,%RH,85.457
18/1/24 3:55:01 PM,%RH,86.538
18/1/24 5:55:01 PM,%RH,91.841
18/1/24 7:55:01 PM,%RH,95.451
18/1/24 9:55:01 PM,%RH,96.467
18/1/24 11:55:01 PM,%RH,97.477
19/1/24 1:55:01 AM,%RH,97.979
19/1/24 3:55:01 AM,%RH,99.475
19/1/24 5:55:01 AM,%RH,98.978
19/1/24 7:55:01 AM,%RH,98.479
19/1/24 9:55:01 AM,%RH,97.979
19/1/24 11:55:01 AM,%RH,91.318
19/1/24 1:55:01 PM,%RH,87.612
19/1/24 3:55:01 PM,%RH,90.268
19/1/24 5:55:01 PM,%RH,93.914
19/1/24 7:55:01 PM,%RH,95.96
19/1/24 9:55:01 PM,%RH,96.973
19/1/24 11:55:01 PM,%RH,97.477
20/1/24 1:55:01 AM,%RH,98.479
20/1/24 3:55:01 AM,%RH,94.941
20/1/24 5:55:01 AM,%RH,97.477
20/1/24 7:55:01 AM,%RH,98.978
20/1/24 9:55:01 AM,%RH,95.96
20/1/24 11:55:01 AM,%RH,88.68
20/1/24 1:55:01 PM,%RH,83.822
20/1/24 3:55:01 PM,%RH,89.74
20/1/24 5:55:01 PM,%RH,93.398
20/1/24 7:55:01 PM,%RH,95.451
20/1/24 9:55:01 PM,%RH,97.979
20/1/24 11:55:01 PM,%RH,96.973
21/1/24 1:55:01 AM,%RH,98.978
21/1/24 3:55:01 AM,%RH,99.97
21/1/24 5:55:01 AM,%RH,98.978
21/1/24 7:55:01 AM,%RH,99.475
21/1/24 9:55:01 AM,%RH,95.96
21/1/24 11:55:01 AM,%RH,88.147
21/1/24 1:55:01 PM,%RH,77.698
21/1/24 3:55:01 PM,%RH,84.914
21/1/24 5:55:01 PM,%RH,88.68
21/1/24 7:55:01 PM,%RH,93.914
21/1/24 9:55:01 PM,%RH,97.477
21/1/24 11:55:01 PM,%RH,97.477
22/1/24 1:55:01 AM,%RH,97.477
22/1/24 3:55:01 AM,%RH,97.979
22/1/24 5:55:01 AM,%RH,99.475
22/1/24 7:55:01 AM,%RH,98.978
22/1/24 9:55:01 AM,%RH,96.973
22/1/24 11:55:01 AM,%RH,83.274
22/1/24 1:55:01 PM,%RH,84.369
22/1/24 3:55:01 PM,%RH,86.538
22/1/24 5:55:01 PM,%RH,87.612
22/1/24 7:55:01 PM,%RH,95.451
22/1/24 9:55:01 PM,%RH,96.973
22/1/24 11:55:01 PM,%RH,97.979
23/1/24 1:55:01 AM,%RH,97.979
23/1/24 3:55:01 AM,%RH,97.979
23/1/24 5:55:01 AM,%RH,94.941
23/1/24 7:55:01 AM,%RH,94.428
23/1/24 9:55:01 AM,%RH,89.74
23/1/24 11:55:01 AM,%RH,83.822
23/1/24 1:55:01 PM,%RH,84.369
23/1/24 3:55:01 PM,%RH,87.076
23/1/24 5:55:01 PM,%RH,90.794
23/1/24 7:55:01 PM,%RH,91.318
23/1/24 9:55:01 PM,%RH,94.428
23/1/24 11:55:01 PM,%RH,95.451
24/1/24 1:55:01 AM,%RH,97.979
24/1/24 3:55:01 AM,%RH,96.467
24/1/24 5:55:01 AM,%RH,97.477
24/1/24 7:55:01 AM,%RH,95.451
24/1/24 9:55:01 AM,%RH,82.724
24/1/24 11:55:01 AM,%RH,83.822
24/1/24 1:55:01 PM,%RH,79.389
24/1/24 3:55:01 PM,%RH,78.827
24/1/24 5:55:01 PM,%RH,85.998
24/1/24 7:55:01 PM,%RH,92.881
24/1/24 9:55:01 PM,%RH,94.428
24/1/24 11:55:01 PM,%RH,97.477
25/1/24 1:55:01 AM,%RH,84.369
25/1/24 3:55:01 AM,%RH,79.949
25/1/24 5:55:01 AM,%RH,88.147
25/1/24 7:55:01 AM,%RH,93.398
25/1/24 9:55:01 AM,%RH,89.211
25/1/24 11:55:01 AM,%RH,80.507
25/1/24 1:55:01 PM,%RH,83.274
25/1/24 3:55:01 PM,%RH,83.822
25/1/24 5:55:01 PM,%RH,88.68
25/1/24 7:55:01 PM,%RH,94.428
25/1/24 9:55:01 PM,%RH,96.467
25/1/24 11:55:01 PM,%RH,97.477
26/1/24 1:55:01 AM,%RH,97.477
26/1/24 3:55:01 AM,%RH,93.398
26/1/24 5:55:01 AM,%RH,94.941
26/1/24 7:55:01 AM,%RH,94.941
26/1/24 9:55:01 AM,%RH,92.881
26/1/24 11:55:01 AM,%RH,81.064
26/1/24 1:55:01 PM,%RH,73.114
26/1/24 3:55:01 PM,%RH,65.433
26/1/24 5:55:01 PM,%RH,71.367
26/1/24 7:55:01 PM,%RH,89.211
26/1/24 9:55:01 PM,%RH,93.914
26/1/24 11:55:01 PM,%RH,85.457
27/1/24 1:55:01 AM,%RH,69.014
27/1/24 3:55:01 AM,%RH,75.42
27/1/24 5:55:01 AM,%RH,85.998
27/1/24 7:55:01 AM,%RH,91.841
27/1/24 9:55:01 AM,%RH,87.612
27/1/24 11:55:01 AM,%RH,70.194
27/1/24 1:55:01 PM,%RH,67.231
27/1/24 3:55:01 PM,%RH,61.177
27/1/24 5:55:01 PM,%RH,63.619
27/1/24 7:55:01 PM,%RH,69.014
27/1/24 9:55:01 PM,%RH,66.633
27/1/24 11:55:01 PM,%RH,70.194
28/1/24 1:55:01 AM,%RH,73.693
28/1/24 3:55:01 AM,%RH,81.064
28/1/24 5:55:01 AM,%RH,89.74
28/1/24 7:55:01 AM,%RH,92.362
28/1/24 9:55:01 AM,%RH,88.68
28/1/24 11:55:01 AM,%RH,73.693
28/1/24 1:55:01 PM,%RH,67.827
