1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 710000007DAAB141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:23:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:23:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  20766
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:23:01 PM,%RH,78.921
13/1/24 10:23:01 PM,%RH,82.903
14/1/24 12:23:01 AM,%RH,82.339
14/1/24 2:23:01 AM,%RH,84.026
14/1/24 4:23:01 AM,%RH,81.773
14/1/24 6:23:01 AM,%RH,82.903
14/1/24 8:23:01 AM,%RH,86.255
14/1/24 10:23:01 AM,%RH,65.906
14/1/24 12:23:01 PM,%RH,59.115
14/1/24 2:23:01 PM,%RH,55.965
14/1/24 4:23:01 PM,%RH,81.773
14/1/24 6:23:01 PM,%RH,92.253
14/1/24 8:23:01 PM,%RH,95.445
14/1/24 10:23:01 PM,%RH,95.971
15/1/24 12:23:01 AM,%RH,95.445
15/1/24 2:23:01 AM,%RH,93.856
15/1/24 4:23:01 AM,%RH,96.496
15/1/24 6:23:01 AM,%RH,96.496
15/1/24 8:23:01 AM,%RH,97.541
15/1/24 10:23:01 AM,%RH,90.636
15/1/24 12:23:01 PM,%RH,75.447
15/1/24 2:23:01 PM,%RH,74.276
15/1/24 4:23:01 PM,%RH,85.7
15/1/24 6:23:01 PM,%RH,91.176
15/1/24 8:23:01 PM,%RH,96.496
15/1/24 10:23:01 PM,%RH,98.062
16/1/24 12:23:01 AM,%RH,99.097
16/1/24 2:23:01 AM,%RH,98.58
16/1/24 4:23:01 AM,%RH,99.097
16/1/24 6:23:01 AM,%RH,99.613
16/1/24 8:23:01 AM,%RH,99.097
16/1/24 10:23:01 AM,%RH,93.856
16/1/24 12:23:01 PM,%RH,82.339
16/1/24 2:23:01 PM,%RH,83.465
16/1/24 4:23:01 PM,%RH,90.636
16/1/24 6:23:01 PM,%RH,94.387
16/1/24 8:23:01 PM,%RH,98.062
16/1/24 10:23:01 PM,%RH,98.062
17/1/24 12:23:01 AM,%RH,98.58
17/1/24 2:23:01 AM,%RH,99.097
17/1/24 4:23:01 AM,%RH,99.097
17/1/24 6:23:01 AM,%RH,99.097
17/1/24 8:23:01 AM,%RH,100.127
17/1/24 10:23:01 AM,%RH,93.323
17/1/24 12:23:01 PM,%RH,90.094
17/1/24 2:23:01 PM,%RH,89.005
17/1/24 4:23:01 PM,%RH,89.55
17/1/24 6:23:01 PM,%RH,91.715
17/1/24 8:23:01 PM,%RH,97.02
17/1/24 10:23:01 PM,%RH,98.062
18/1/24 12:23:01 AM,%RH,98.58
18/1/24 2:23:01 AM,%RH,98.062
18/1/24 4:23:01 AM,%RH,98.58
18/1/24 6:23:01 AM,%RH,99.097
18/1/24 8:23:01 AM,%RH,99.613
18/1/24 10:23:01 AM,%RH,95.445
18/1/24 12:23:01 PM,%RH,88.458
18/1/24 2:23:01 PM,%RH,86.808
18/1/24 4:23:01 PM,%RH,89.55
18/1/24 6:23:01 PM,%RH,94.917
18/1/24 8:23:01 PM,%RH,98.062
18/1/24 10:23:01 PM,%RH,98.58
19/1/24 12:23:01 AM,%RH,99.097
19/1/24 2:23:01 AM,%RH,99.097
19/1/24 4:23:01 AM,%RH,98.062
19/1/24 6:23:01 AM,%RH,100.127
19/1/24 8:23:01 AM,%RH,100.127
19/1/24 10:23:01 AM,%RH,96.496
19/1/24 12:23:01 PM,%RH,92.789
19/1/24 2:23:01 PM,%RH,89.005
19/1/24 4:23:01 PM,%RH,92.253
19/1/24 6:23:01 PM,%RH,95.445
19/1/24 8:23:01 PM,%RH,98.062
19/1/24 10:23:01 PM,%RH,99.097
20/1/24 12:23:01 AM,%RH,98.58
20/1/24 2:23:01 AM,%RH,99.613
20/1/24 4:23:01 AM,%RH,99.613
20/1/24 6:23:01 AM,%RH,99.097
20/1/24 8:23:01 AM,%RH,99.613
20/1/24 10:23:01 AM,%RH,97.541
20/1/24 12:23:01 PM,%RH,90.094
20/1/24 2:23:01 PM,%RH,88.458
20/1/24 4:23:01 PM,%RH,92.789
20/1/24 6:23:01 PM,%RH,95.971
20/1/24 8:23:01 PM,%RH,98.58
20/1/24 10:23:01 PM,%RH,98.062
21/1/24 12:23:01 AM,%RH,99.097
21/1/24 2:23:01 AM,%RH,99.613
21/1/24 4:23:01 AM,%RH,100.639
21/1/24 6:23:01 AM,%RH,99.613
21/1/24 8:23:01 AM,%RH,99.613
21/1/24 10:23:01 AM,%RH,95.445
21/1/24 12:23:01 PM,%RH,85.143
21/1/24 2:23:01 PM,%RH,78.921
21/1/24 4:23:01 PM,%RH,89.005
21/1/24 6:23:01 PM,%RH,93.323
21/1/24 8:23:01 PM,%RH,97.541
21/1/24 10:23:01 PM,%RH,98.58
22/1/24 12:23:01 AM,%RH,98.062
22/1/24 2:23:01 AM,%RH,99.097
22/1/24 4:23:01 AM,%RH,99.613
22/1/24 6:23:01 AM,%RH,99.097
22/1/24 8:23:01 AM,%RH,100.639
22/1/24 10:23:01 AM,%RH,94.917
22/1/24 12:23:01 PM,%RH,84.586
22/1/24 2:23:01 PM,%RH,92.253
22/1/24 4:23:01 PM,%RH,91.176
22/1/24 6:23:01 PM,%RH,94.387
22/1/24 8:23:01 PM,%RH,97.541
22/1/24 10:23:01 PM,%RH,98.58
