1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 710000007DAAB141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:23:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:23:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  20766
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:23:01 PM,C,22.067
13/1/24 10:23:01 PM,C,21.566
14/1/24 12:23:01 AM,C,21.566
14/1/24 2:23:01 AM,C,21.566
14/1/24 4:23:01 AM,C,21.066
14/1/24 6:23:01 AM,C,21.066
14/1/24 8:23:01 AM,C,20.565
14/1/24 10:23:01 AM,C,25.068
14/1/24 12:23:01 PM,C,25.568
14/1/24 2:23:01 PM,C,27.568
14/1/24 4:23:01 PM,C,23.068
14/1/24 6:23:01 PM,C,21.566
14/1/24 8:23:01 PM,C,18.061
14/1/24 10:23:01 PM,C,18.061
15/1/24 12:23:01 AM,C,18.061
15/1/24 2:23:01 AM,C,16.558
15/1/24 4:23:01 AM,C,15.556
15/1/24 6:23:01 AM,C,16.558
15/1/24 8:23:01 AM,C,17.561
15/1/24 10:23:01 AM,C,20.065
15/1/24 12:23:01 PM,C,22.067
15/1/24 2:23:01 PM,C,22.567
15/1/24 4:23:01 PM,C,22.067
15/1/24 6:23:01 PM,C,20.065
15/1/24 8:23:01 PM,C,18.061
15/1/24 10:23:01 PM,C,16.558
16/1/24 12:23:01 AM,C,16.057
16/1/24 2:23:01 AM,C,15.055
16/1/24 4:23:01 AM,C,14.553
16/1/24 6:23:01 AM,C,15.556
16/1/24 8:23:01 AM,C,17.059
16/1/24 10:23:01 AM,C,19.564
16/1/24 12:23:01 PM,C,21.566
16/1/24 2:23:01 PM,C,22.067
16/1/24 4:23:01 PM,C,22.067
16/1/24 6:23:01 PM,C,20.565
16/1/24 8:23:01 PM,C,18.562
16/1/24 10:23:01 PM,C,17.561
17/1/24 12:23:01 AM,C,17.561
17/1/24 2:23:01 AM,C,17.561
17/1/24 4:23:01 AM,C,17.561
17/1/24 6:23:01 AM,C,18.061
17/1/24 8:23:01 AM,C,18.562
17/1/24 10:23:01 AM,C,20.565
17/1/24 12:23:01 PM,C,22.067
17/1/24 2:23:01 PM,C,22.567
17/1/24 4:23:01 PM,C,21.566
17/1/24 6:23:01 PM,C,20.065
17/1/24 8:23:01 PM,C,18.562
17/1/24 10:23:01 PM,C,19.063
18/1/24 12:23:01 AM,C,19.063
18/1/24 2:23:01 AM,C,18.061
18/1/24 4:23:01 AM,C,17.561
18/1/24 6:23:01 AM,C,16.558
18/1/24 8:23:01 AM,C,17.561
18/1/24 10:23:01 AM,C,20.565
18/1/24 12:23:01 PM,C,22.067
18/1/24 2:23:01 PM,C,23.068
18/1/24 4:23:01 PM,C,22.067
18/1/24 6:23:01 PM,C,21.066
18/1/24 8:23:01 PM,C,19.063
18/1/24 10:23:01 PM,C,18.562
19/1/24 12:23:01 AM,C,18.061
19/1/24 2:23:01 AM,C,18.061
19/1/24 4:23:01 AM,C,17.561
19/1/24 6:23:01 AM,C,17.561
19/1/24 8:23:01 AM,C,18.061
19/1/24 10:23:01 AM,C,20.565
19/1/24 12:23:01 PM,C,22.067
19/1/24 2:23:01 PM,C,23.068
19/1/24 4:23:01 PM,C,22.567
19/1/24 6:23:01 PM,C,21.066
19/1/24 8:23:01 PM,C,20.065
19/1/24 10:23:01 PM,C,19.564
20/1/24 12:23:01 AM,C,17.561
20/1/24 2:23:01 AM,C,18.061
20/1/24 4:23:01 AM,C,18.061
20/1/24 6:23:01 AM,C,17.561
20/1/24 8:23:01 AM,C,18.061
20/1/24 10:23:01 AM,C,20.565
20/1/24 12:23:01 PM,C,22.567
20/1/24 2:23:01 PM,C,23.568
20/1/24 4:23:01 PM,C,22.567
