1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 760000007D81E941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:36:01 IST 2024
Mission Sample Count:  3237
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:36:01 IST 2024
Total Mission Samples:  3237
Total Device Samples:  11977
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:36:01 PM,C,21.635
14/1/24 11:36:01 PM,C,21.635
15/1/24 1:36:01 AM,C,21.135
15/1/24 3:36:01 AM,C,20.634
15/1/24 5:36:01 AM,C,20.134
15/1/24 7:36:01 AM,C,19.633
15/1/24 9:36:01 AM,C,21.135
15/1/24 11:36:01 AM,C,22.636
15/1/24 1:36:01 PM,C,23.636
15/1/24 3:36:01 PM,C,23.636
15/1/24 5:36:01 PM,C,21.635
15/1/24 7:36:01 PM,C,19.633
15/1/24 9:36:01 PM,C,19.132
15/1/24 11:36:01 PM,C,19.132
16/1/24 1:36:01 AM,C,18.632
16/1/24 3:36:01 AM,C,18.131
16/1/24 5:36:01 AM,C,18.131
16/1/24 7:36:01 AM,C,16.628
16/1/24 9:36:01 AM,C,18.632
16/1/24 11:36:01 AM,C,22.135
16/1/24 1:36:01 PM,C,23.636
16/1/24 3:36:01 PM,C,23.136
16/1/24 5:36:01 PM,C,21.635
16/1/24 7:36:01 PM,C,19.633
16/1/24 9:36:01 PM,C,19.633
16/1/24 11:36:01 PM,C,19.132
17/1/24 1:36:01 AM,C,18.632
17/1/24 3:36:01 AM,C,18.131
17/1/24 5:36:01 AM,C,18.131
17/1/24 7:36:01 AM,C,18.131
17/1/24 9:36:01 AM,C,20.634
17/1/24 11:36:01 AM,C,21.635
17/1/24 1:36:01 PM,C,23.136
17/1/24 3:36:01 PM,C,22.636
17/1/24 5:36:01 PM,C,22.135
17/1/24 7:36:01 PM,C,20.134
17/1/24 9:36:01 PM,C,19.633
17/1/24 11:36:01 PM,C,19.132
18/1/24 1:36:01 AM,C,18.632
18/1/24 3:36:01 AM,C,18.131
18/1/24 5:36:01 AM,C,17.63
18/1/24 7:36:01 AM,C,17.63
18/1/24 9:36:01 AM,C,19.633
18/1/24 11:36:01 AM,C,22.135
18/1/24 1:36:01 PM,C,23.136
18/1/24 3:36:01 PM,C,22.636
18/1/24 5:36:01 PM,C,21.635
18/1/24 7:36:01 PM,C,20.134
18/1/24 9:36:01 PM,C,20.134
18/1/24 11:36:01 PM,C,19.633
19/1/24 1:36:01 AM,C,19.633
19/1/24 3:36:01 AM,C,19.132
19/1/24 5:36:01 AM,C,18.632
19/1/24 7:36:01 AM,C,18.131
19/1/24 9:36:01 AM,C,19.132
19/1/24 11:36:01 AM,C,22.636
19/1/24 1:36:01 PM,C,22.636
19/1/24 3:36:01 PM,C,22.135
19/1/24 5:36:01 PM,C,21.635
19/1/24 7:36:01 PM,C,20.134
19/1/24 9:36:01 PM,C,19.633
19/1/24 11:36:01 PM,C,19.132
20/1/24 1:36:01 AM,C,17.63
20/1/24 3:36:01 AM,C,18.131
20/1/24 5:36:01 AM,C,17.63
20/1/24 7:36:01 AM,C,17.129
20/1/24 9:36:01 AM,C,20.134
20/1/24 11:36:01 AM,C,22.636
20/1/24 1:36:01 PM,C,22.135
20/1/24 3:36:01 PM,C,23.136
20/1/24 5:36:01 PM,C,22.636
20/1/24 7:36:01 PM,C,20.634
20/1/24 9:36:01 PM,C,20.134
20/1/24 11:36:01 PM,C,19.633
21/1/24 1:36:01 AM,C,19.633
21/1/24 3:36:01 AM,C,18.632
21/1/24 5:36:01 AM,C,18.131
21/1/24 7:36:01 AM,C,18.131
21/1/24 9:36:01 AM,C,20.134
21/1/24 11:36:01 AM,C,23.636
21/1/24 1:36:01 PM,C,23.136
21/1/24 3:36:01 PM,C,24.136
21/1/24 5:36:01 PM,C,22.636
21/1/24 7:36:01 PM,C,21.135
21/1/24 9:36:01 PM,C,20.634
21/1/24 11:36:01 PM,C,20.134
22/1/24 1:36:01 AM,C,19.633
22/1/24 3:36:01 AM,C,19.132
22/1/24 5:36:01 AM,C,18.131
22/1/24 7:36:01 AM,C,18.131
22/1/24 9:36:01 AM,C,20.134
22/1/24 11:36:01 AM,C,23.136
22/1/24 1:36:01 PM,C,24.637
22/1/24 3:36:01 PM,C,23.636
22/1/24 5:36:01 PM,C,22.636
22/1/24 7:36:01 PM,C,21.135
22/1/24 9:36:01 PM,C,20.634
22/1/24 11:36:01 PM,C,20.134
23/1/24 1:36:01 AM,C,19.633
23/1/24 3:36:01 AM,C,19.132
23/1/24 5:36:01 AM,C,18.131
23/1/24 7:36:01 AM,C,18.131
23/1/24 9:36:01 AM,C,20.134
23/1/24 11:36:01 AM,C,23.136
23/1/24 1:36:01 PM,C,22.636
23/1/24 3:36:01 PM,C,23.136
23/1/24 5:36:01 PM,C,22.135
23/1/24 7:36:01 PM,C,20.134
23/1/24 9:36:01 PM,C,19.132
23/1/24 11:36:01 PM,C,18.632
24/1/24 1:36:01 AM,C,18.131
24/1/24 3:36:01 AM,C,17.63
24/1/24 5:36:01 AM,C,17.129
24/1/24 7:36:01 AM,C,16.628
