1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 780000007D819041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:45:01 IST 2024
Mission Sample Count:  3943
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:45:01 IST 2024
Total Mission Samples:  3943
Total Device Samples:  13277
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:45:01 PM,%RH,85.16
14/1/24 11:45:01 PM,%RH,80.862
15/1/24 1:45:01 AM,%RH,80.317
15/1/24 3:45:01 AM,%RH,79.771
15/1/24 5:45:01 AM,%RH,80.317
15/1/24 7:45:01 AM,%RH,80.862
15/1/24 9:45:01 AM,%RH,85.689
15/1/24 11:45:01 AM,%RH,71.94
15/1/24 1:45:01 PM,%RH,66.729
15/1/24 3:45:01 PM,%RH,78.121
15/1/24 5:45:01 PM,%RH,85.689
15/1/24 7:45:01 PM,%RH,88.83
15/1/24 9:45:01 PM,%RH,92.923
15/1/24 11:45:01 PM,%RH,94.928
16/1/24 1:45:01 AM,%RH,95.425
16/1/24 3:45:01 AM,%RH,91.401
16/1/24 5:45:01 AM,%RH,90.378
16/1/24 7:45:01 AM,%RH,92.923
16/1/24 9:45:01 AM,%RH,92.417
16/1/24 11:45:01 AM,%RH,78.673
16/1/24 1:45:01 PM,%RH,63.774
16/1/24 3:45:01 PM,%RH,81.405
16/1/24 5:45:01 PM,%RH,89.864
16/1/24 7:45:01 PM,%RH,95.425
16/1/24 9:45:01 PM,%RH,97.885
16/1/24 11:45:01 PM,%RH,98.372
17/1/24 1:45:01 AM,%RH,98.857
17/1/24 3:45:01 AM,%RH,99.822
17/1/24 5:45:01 AM,%RH,100.302
17/1/24 7:45:01 AM,%RH,101.257
17/1/24 9:45:01 AM,%RH,94.928
17/1/24 11:45:01 AM,%RH,84.629
17/1/24 1:45:01 PM,%RH,83.561
17/1/24 3:45:01 PM,%RH,82.487
17/1/24 5:45:01 PM,%RH,85.689
17/1/24 7:45:01 PM,%RH,90.89
17/1/24 9:45:01 PM,%RH,98.372
17/1/24 11:45:01 PM,%RH,98.857
18/1/24 1:45:01 AM,%RH,99.34
18/1/24 3:45:01 AM,%RH,100.302
18/1/24 5:45:01 AM,%RH,100.302
18/1/24 7:45:01 AM,%RH,100.78
18/1/24 9:45:01 AM,%RH,95.921
18/1/24 11:45:01 AM,%RH,79.223
18/1/24 1:45:01 PM,%RH,78.121
18/1/24 3:45:01 PM,%RH,88.83
18/1/24 5:45:01 PM,%RH,91.91
18/1/24 7:45:01 PM,%RH,96.906
18/1/24 9:45:01 PM,%RH,99.34
18/1/24 11:45:01 PM,%RH,99.822
19/1/24 1:45:01 AM,%RH,99.822
19/1/24 3:45:01 AM,%RH,100.302
19/1/24 5:45:01 AM,%RH,100.302
19/1/24 7:45:01 AM,%RH,101.257
19/1/24 9:45:01 AM,%RH,100.78
19/1/24 11:45:01 AM,%RH,84.096
19/1/24 1:45:01 PM,%RH,88.311
19/1/24 3:45:01 PM,%RH,91.401
19/1/24 5:45:01 PM,%RH,94.928
19/1/24 7:45:01 PM,%RH,97.885
19/1/24 9:45:01 PM,%RH,99.34
19/1/24 11:45:01 PM,%RH,99.34
20/1/24 1:45:01 AM,%RH,101.257
20/1/24 3:45:01 AM,%RH,99.822
20/1/24 5:45:01 AM,%RH,99.822
20/1/24 7:45:01 AM,%RH,100.302
20/1/24 9:45:01 AM,%RH,94.43
20/1/24 11:45:01 AM,%RH,86.743
20/1/24 1:45:01 PM,%RH,88.311
20/1/24 3:45:01 PM,%RH,90.378
20/1/24 5:45:01 PM,%RH,93.427
20/1/24 7:45:01 PM,%RH,96.906
20/1/24 9:45:01 PM,%RH,96.906
20/1/24 11:45:01 PM,%RH,99.34
21/1/24 1:45:01 AM,%RH,100.78
21/1/24 3:45:01 AM,%RH,101.732
21/1/24 5:45:01 AM,%RH,101.732
21/1/24 7:45:01 AM,%RH,101.257
21/1/24 9:45:01 AM,%RH,94.43
21/1/24 11:45:01 AM,%RH,80.317
21/1/24 1:45:01 PM,%RH,77.568
21/1/24 3:45:01 PM,%RH,81.405
21/1/24 5:45:01 PM,%RH,88.311
21/1/24 7:45:01 PM,%RH,96.906
21/1/24 9:45:01 PM,%RH,98.857
21/1/24 11:45:01 PM,%RH,99.822
22/1/24 1:45:01 AM,%RH,100.302
22/1/24 3:45:01 AM,%RH,100.302
22/1/24 5:45:01 AM,%RH,101.732
22/1/24 7:45:01 AM,%RH,102.677
22/1/24 9:45:01 AM,%RH,96.414
22/1/24 11:45:01 AM,%RH,81.947
22/1/24 1:45:01 PM,%RH,78.121
22/1/24 3:45:01 PM,%RH,86.217
22/1/24 5:45:01 PM,%RH,89.864
22/1/24 7:45:01 PM,%RH,95.921
22/1/24 9:45:01 PM,%RH,98.372
22/1/24 11:45:01 PM,%RH,97.885
23/1/24 1:45:01 AM,%RH,97.885
23/1/24 3:45:01 AM,%RH,98.857
23/1/24 5:45:01 AM,%RH,100.302
23/1/24 7:45:01 AM,%RH,99.822
23/1/24 9:45:01 AM,%RH,92.923
23/1/24 11:45:01 AM,%RH,79.223
23/1/24 1:45:01 PM,%RH,81.405
23/1/24 3:45:01 PM,%RH,86.217
23/1/24 5:45:01 PM,%RH,91.91
23/1/24 7:45:01 PM,%RH,93.929
23/1/24 9:45:01 PM,%RH,93.427
23/1/24 11:45:01 PM,%RH,94.43
24/1/24 1:45:01 AM,%RH,96.414
24/1/24 3:45:01 AM,%RH,90.89
24/1/24 5:45:01 AM,%RH,91.91
24/1/24 7:45:01 AM,%RH,90.378
24/1/24 9:45:01 AM,%RH,87.267
24/1/24 11:45:01 AM,%RH,75.337
24/1/24 1:45:01 PM,%RH,69.641
24/1/24 3:45:01 PM,%RH,74.775
24/1/24 5:45:01 PM,%RH,85.689
24/1/24 7:45:01 PM,%RH,93.929
24/1/24 9:45:01 PM,%RH,94.928
24/1/24 11:45:01 PM,%RH,93.427
25/1/24 1:45:01 AM,%RH,85.16
25/1/24 3:45:01 AM,%RH,80.862
25/1/24 5:45:01 AM,%RH,85.689
25/1/24 7:45:01 AM,%RH,87.79
25/1/24 9:45:01 AM,%RH,80.862
25/1/24 11:45:01 AM,%RH,78.673
25/1/24 1:45:01 PM,%RH,84.096
25/1/24 3:45:01 PM,%RH,84.629
25/1/24 5:45:01 PM,%RH,89.348
25/1/24 7:45:01 PM,%RH,95.425
25/1/24 9:45:01 PM,%RH,97.885
25/1/24 11:45:01 PM,%RH,98.857
26/1/24 1:45:01 AM,%RH,99.822
26/1/24 3:45:01 AM,%RH,99.34
26/1/24 5:45:01 AM,%RH,96.906
26/1/24 7:45:01 AM,%RH,94.928
26/1/24 9:45:01 AM,%RH,85.16
26/1/24 11:45:01 AM,%RH,65.552
26/1/24 1:45:01 PM,%RH,67.315
26/1/24 3:45:01 PM,%RH,63.774
26/1/24 5:45:01 PM,%RH,69.062
26/1/24 7:45:01 PM,%RH,84.629
26/1/24 9:45:01 PM,%RH,92.923
26/1/24 11:45:01 PM,%RH,86.217
27/1/24 1:45:01 AM,%RH,82.487
27/1/24 3:45:01 AM,%RH,75.897
27/1/24 5:45:01 AM,%RH,86.217
27/1/24 7:45:01 AM,%RH,91.91
27/1/24 9:45:01 AM,%RH,84.629
27/1/24 11:45:01 AM,%RH,64.368
27/1/24 1:45:01 PM,%RH,56.509
27/1/24 3:45:01 PM,%RH,55.274
27/1/24 5:45:01 PM,%RH,68.481
27/1/24 7:45:01 PM,%RH,69.062
27/1/24 9:45:01 PM,%RH,69.641
27/1/24 11:45:01 PM,%RH,69.641
28/1/24 1:45:01 AM,%RH,76.456
28/1/24 3:45:01 AM,%RH,82.487
28/1/24 5:45:01 AM,%RH,88.83
28/1/24 7:45:01 AM,%RH,93.427
28/1/24 9:45:01 AM,%RH,81.947
28/1/24 11:45:01 AM,%RH,64.368
28/1/24 1:45:01 PM,%RH,55.892
28/1/24 3:45:01 PM,%RH,56.509
28/1/24 5:45:01 PM,%RH,68.481
28/1/24 7:45:01 PM,%RH,79.223
28/1/24 9:45:01 PM,%RH,84.096
28/1/24 11:45:01 PM,%RH,90.378
29/1/24 1:45:01 AM,%RH,89.348
29/1/24 3:45:01 AM,%RH,87.267
29/1/24 5:45:01 AM,%RH,86.217
29/1/24 7:45:01 AM,%RH,87.79
29/1/24 9:45:01 AM,%RH,85.16
29/1/24 11:45:01 AM,%RH,73.646
29/1/24 1:45:01 PM,%RH,68.481
29/1/24 3:45:01 PM,%RH,67.315
29/1/24 5:45:01 PM,%RH,83.025
29/1/24 7:45:01 PM,%RH,85.689
29/1/24 9:45:01 PM,%RH,87.267
29/1/24 11:45:01 PM,%RH,89.348
30/1/24 1:45:01 AM,%RH,79.771
30/1/24 3:45:01 AM,%RH,77.012
30/1/24 5:45:01 AM,%RH,80.862
30/1/24 7:45:01 AM,%RH,86.217
30/1/24 9:45:01 AM,%RH,81.405
30/1/24 11:45:01 AM,%RH,64.961
30/1/24 1:45:01 PM,%RH,68.481
30/1/24 3:45:01 PM,%RH,73.079
30/1/24 5:45:01 PM,%RH,78.121
30/1/24 7:45:01 PM,%RH,79.223
30/1/24 9:45:01 PM,%RH,94.928
30/1/24 11:45:01 PM,%RH,89.864
31/1/24 1:45:01 AM,%RH,82.487
31/1/24 3:45:01 AM,%RH,83.561
31/1/24 5:45:01 AM,%RH,87.267
31/1/24 7:45:01 AM,%RH,93.427
31/1/24 9:45:01 AM,%RH,78.121
31/1/24 11:45:01 AM,%RH,66.729
31/1/24 1:45:01 PM,%RH,61.38
31/1/24 3:45:01 PM,%RH,65.552
31/1/24 5:45:01 PM,%RH,78.121
31/1/24 7:45:01 PM,%RH,78.673
31/1/24 9:45:01 PM,%RH,84.096
31/1/24 11:45:01 PM,%RH,94.928
1/2/24 1:45:01 AM,%RH,96.906
1/2/24 3:45:01 AM,%RH,98.372
1/2/24 5:45:01 AM,%RH,95.921
1/2/24 7:45:01 AM,%RH,87.79
1/2/24 9:45:01 AM,%RH,80.862
1/2/24 11:45:01 AM,%RH,73.079
1/2/24 1:45:01 PM,%RH,73.079
1/2/24 3:45:01 PM,%RH,75.337
1/2/24 5:45:01 PM,%RH,85.16
1/2/24 7:45:01 PM,%RH,91.401
1/2/24 9:45:01 PM,%RH,96.414
1/2/24 11:45:01 PM,%RH,97.397
2/2/24 1:45:01 AM,%RH,97.885
2/2/24 3:45:01 AM,%RH,96.906
2/2/24 5:45:01 AM,%RH,97.397
2/2/24 7:45:01 AM,%RH,98.372
2/2/24 9:45:01 AM,%RH,83.561
2/2/24 11:45:01 AM,%RH,70.218
2/2/24 1:45:01 PM,%RH,67.315
2/2/24 3:45:01 PM,%RH,75.337
2/2/24 5:45:01 PM,%RH,81.405
2/2/24 7:45:01 PM,%RH,91.91
2/2/24 9:45:01 PM,%RH,96.414
2/2/24 11:45:01 PM,%RH,95.921
3/2/24 1:45:01 AM,%RH,91.401
3/2/24 3:45:01 AM,%RH,85.16
3/2/24 5:45:01 AM,%RH,88.83
3/2/24 7:45:01 AM,%RH,88.311
3/2/24 9:45:01 AM,%RH,82.487
3/2/24 11:45:01 AM,%RH,78.121
3/2/24 1:45:01 PM,%RH,74.211
3/2/24 3:45:01 PM,%RH,81.405
3/2/24 5:45:01 PM,%RH,86.743
3/2/24 7:45:01 PM,%RH,93.929
3/2/24 9:45:01 PM,%RH,95.425
3/2/24 11:45:01 PM,%RH,95.425
4/2/24 1:45:01 AM,%RH,97.885
4/2/24 3:45:01 AM,%RH,94.43
4/2/24 5:45:01 AM,%RH,93.427
4/2/24 7:45:01 AM,%RH,91.91
4/2/24 9:45:01 AM,%RH,80.862
4/2/24 11:45:01 AM,%RH,70.218
4/2/24 1:45:01 PM,%RH,59.566
4/2/24 3:45:01 PM,%RH,67.899
4/2/24 5:45:01 PM,%RH,80.862
4/2/24 7:45:01 PM,%RH,93.929
4/2/24 9:45:01 PM,%RH,96.906
4/2/24 11:45:01 PM,%RH,97.885
5/2/24 1:45:01 AM,%RH,97.397
5/2/24 3:45:01 AM,%RH,96.906
5/2/24 5:45:01 AM,%RH,85.16
5/2/24 7:45:01 AM,%RH,87.79
5/2/24 9:45:01 AM,%RH,78.673
5/2/24 11:45:01 AM,%RH,61.981
5/2/24 1:45:01 PM,%RH,53.409
5/2/24 3:45:01 PM,%RH,45.795
5/2/24 5:45:01 PM,%RH,64.961
5/2/24 7:45:01 PM,%RH,79.223
5/2/24 9:45:01 PM,%RH,94.928
5/2/24 11:45:01 PM,%RH,99.34
6/2/24 1:45:01 AM,%RH,98.857
6/2/24 3:45:01 AM,%RH,97.397
6/2/24 5:45:01 AM,%RH,91.91
6/2/24 7:45:01 AM,%RH,86.217
6/2/24 9:45:01 AM,%RH,77.012
6/2/24 11:45:01 AM,%RH,52.784
6/2/24 1:45:01 PM,%RH,41.896
6/2/24 3:45:01 PM,%RH,35.933
6/2/24 5:45:01 PM,%RH,52.157
6/2/24 7:45:01 PM,%RH,70.794
6/2/24 9:45:01 PM,%RH,90.378
6/2/24 11:45:01 PM,%RH,91.401
7/2/24 1:45:01 AM,%RH,79.223
7/2/24 3:45:01 AM,%RH,67.315
7/2/24 5:45:01 AM,%RH,74.775
7/2/24 7:45:01 AM,%RH,78.673
7/2/24 9:45:01 AM,%RH,64.961
7/2/24 11:45:01 AM,%RH,41.896
7/2/24 1:45:01 PM,%RH,35.933
7/2/24 3:45:01 PM,%RH,41.241
7/2/24 5:45:01 PM,%RH,66.729
7/2/24 7:45:01 PM,%RH,79.771
7/2/24 9:45:01 PM,%RH,93.929
7/2/24 11:45:01 PM,%RH,89.348
8/2/24 1:45:01 AM,%RH,83.025
8/2/24 3:45:01 AM,%RH,74.775
8/2/24 5:45:01 AM,%RH,71.368
8/2/24 7:45:01 AM,%RH,75.337
8/2/24 9:45:01 AM,%RH,57.737
8/2/24 11:45:01 AM,%RH,50.266
8/2/24 1:45:01 PM,%RH,46.439
8/2/24 3:45:01 PM,%RH,66.141
8/2/24 5:45:01 PM,%RH,76.456
8/2/24 7:45:01 PM,%RH,88.311
8/2/24 9:45:01 PM,%RH,90.378
8/2/24 11:45:01 PM,%RH,94.43
9/2/24 1:45:01 AM,%RH,86.217
9/2/24 3:45:01 AM,%RH,83.561
9/2/24 5:45:01 AM,%RH,89.348
9/2/24 7:45:01 AM,%RH,87.79
9/2/24 9:45:01 AM,%RH,79.223
9/2/24 11:45:01 AM,%RH,54.032
9/2/24 1:45:01 PM,%RH,48.998
9/2/24 3:45:01 PM,%RH,68.481
9/2/24 5:45:01 PM,%RH,81.405
9/2/24 7:45:01 PM,%RH,89.864
9/2/24 9:45:01 PM,%RH,96.906
9/2/24 11:45:01 PM,%RH,99.34
10/2/24 1:45:01 AM,%RH,89.348
10/2/24 3:45:01 AM,%RH,91.401
10/2/24 5:45:01 AM,%RH,87.267
10/2/24 7:45:01 AM,%RH,85.689
10/2/24 9:45:01 AM,%RH,79.223
10/2/24 11:45:01 AM,%RH,63.774
10/2/24 1:45:01 PM,%RH,47.081
10/2/24 3:45:01 PM,%RH,41.241
10/2/24 5:45:01 PM,%RH,75.337
10/2/24 7:45:01 PM,%RH,91.91
10/2/24 9:45:01 PM,%RH,96.906
10/2/24 11:45:01 PM,%RH,95.921
11/2/24 1:45:01 AM,%RH,96.906
11/2/24 3:45:01 AM,%RH,98.372
11/2/24 5:45:01 AM,%RH,95.425
11/2/24 7:45:01 AM,%RH,93.929
11/2/24 9:45:01 AM,%RH,87.267
11/2/24 11:45:01 AM,%RH,67.315
11/2/24 1:45:01 PM,%RH,43.854
11/2/24 3:45:01 PM,%RH,34.589
11/2/24 5:45:01 PM,%RH,40.583
11/2/24 7:45:01 PM,%RH,68.481
11/2/24 9:45:01 PM,%RH,82.487
11/2/24 11:45:01 PM,%RH,81.947
12/2/24 1:45:01 AM,%RH,79.223
12/2/24 3:45:01 AM,%RH,79.771
12/2/24 5:45:01 AM,%RH,83.561
12/2/24 7:45:01 AM,%RH,87.267
12/2/24 9:45:01 AM,%RH,62.58
12/2/24 11:45:01 AM,%RH,31.88
12/2/24 1:45:01 PM,%RH,26.381
12/2/24 3:45:01 PM,%RH,24.989
12/2/24 5:45:01 PM,%RH,38.6
12/2/24 7:45:01 PM,%RH,72.51
12/2/24 9:45:01 PM,%RH,87.79
12/2/24 11:45:01 PM,%RH,90.378
13/2/24 1:45:01 AM,%RH,89.864
13/2/24 3:45:01 AM,%RH,81.947
13/2/24 5:45:01 AM,%RH,79.771
13/2/24 7:45:01 AM,%RH,84.096
13/2/24 9:45:01 AM,%RH,79.223
