1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8B0000007DABB041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:09:01 IST 2024
Mission Sample Count:  3250
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:09:01 IST 2024
Total Mission Samples:  3250
Total Device Samples:  13620
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:09:01 PM,%RH,79.871
13/1/24 10:09:01 PM,%RH,81.598
14/1/24 12:09:01 AM,%RH,81.598
14/1/24 2:09:01 AM,%RH,81.024
14/1/24 4:09:01 AM,%RH,81.598
14/1/24 6:09:01 AM,%RH,81.598
14/1/24 8:09:01 AM,%RH,86.702
14/1/24 10:09:01 AM,%RH,70.439
14/1/24 12:09:01 PM,%RH,75.79
14/1/24 2:09:01 PM,%RH,56.233
14/1/24 4:09:01 PM,%RH,60.637
14/1/24 6:09:01 PM,%RH,87.82
14/1/24 8:09:01 PM,%RH,92.782
14/1/24 10:09:01 PM,%RH,93.868
15/1/24 12:09:01 AM,%RH,91.141
15/1/24 2:09:01 AM,%RH,89.487
15/1/24 4:09:01 AM,%RH,97.093
15/1/24 6:09:01 AM,%RH,96.559
15/1/24 8:09:01 AM,%RH,91.689
15/1/24 10:09:01 AM,%RH,79.292
15/1/24 12:09:01 PM,%RH,61.883
15/1/24 2:09:01 PM,%RH,62.503
15/1/24 4:09:01 PM,%RH,82.171
15/1/24 6:09:01 PM,%RH,89.487
15/1/24 8:09:01 PM,%RH,96.559
15/1/24 10:09:01 PM,%RH,98.157
16/1/24 12:09:01 AM,%RH,98.686
16/1/24 2:09:01 AM,%RH,100.267
16/1/24 4:09:01 AM,%RH,99.215
16/1/24 6:09:01 AM,%RH,97.093
16/1/24 8:09:01 AM,%RH,89.487
16/1/24 10:09:01 AM,%RH,85.578
16/1/24 12:09:01 PM,%RH,71.039
16/1/24 2:09:01 PM,%RH,74.019
16/1/24 4:09:01 PM,%RH,87.82
16/1/24 6:09:01 PM,%RH,93.326
16/1/24 8:09:01 PM,%RH,97.626
16/1/24 10:09:01 PM,%RH,98.686
17/1/24 12:09:01 AM,%RH,99.215
17/1/24 2:09:01 AM,%RH,99.741
17/1/24 4:09:01 AM,%RH,100.79
17/1/24 6:09:01 AM,%RH,100.79
17/1/24 8:09:01 AM,%RH,99.215
17/1/24 10:09:01 AM,%RH,83.312
17/1/24 12:09:01 PM,%RH,80.448
17/1/24 2:09:01 PM,%RH,85.014
17/1/24 4:09:01 PM,%RH,83.312
17/1/24 6:09:01 PM,%RH,91.141
17/1/24 8:09:01 PM,%RH,97.626
17/1/24 10:09:01 PM,%RH,99.215
18/1/24 12:09:01 AM,%RH,99.741
18/1/24 2:09:01 AM,%RH,98.686
18/1/24 4:09:01 AM,%RH,101.313
18/1/24 6:09:01 AM,%RH,100.267
18/1/24 8:09:01 AM,%RH,100.267
18/1/24 10:09:01 AM,%RH,91.141
18/1/24 12:09:01 PM,%RH,79.292
18/1/24 2:09:01 PM,%RH,85.014
18/1/24 4:09:01 PM,%RH,88.377
18/1/24 6:09:01 PM,%RH,94.409
18/1/24 8:09:01 PM,%RH,98.157
18/1/24 10:09:01 PM,%RH,99.215
19/1/24 12:09:01 AM,%RH,99.741
19/1/24 2:09:01 AM,%RH,98.686
19/1/24 4:09:01 AM,%RH,99.741
19/1/24 6:09:01 AM,%RH,100.267
19/1/24 8:09:01 AM,%RH,100.79
19/1/24 10:09:01 AM,%RH,91.141
19/1/24 12:09:01 PM,%RH,85.014
19/1/24 2:09:01 PM,%RH,83.881
19/1/24 4:09:01 PM,%RH,90.591
19/1/24 6:09:01 PM,%RH,94.949
19/1/24 8:09:01 PM,%RH,98.157
19/1/24 10:09:01 PM,%RH,98.686
20/1/24 12:09:01 AM,%RH,99.215
20/1/24 2:09:01 AM,%RH,99.741
20/1/24 4:09:01 AM,%RH,98.686
20/1/24 6:09:01 AM,%RH,102.353
20/1/24 8:09:01 AM,%RH,97.093
20/1/24 10:09:01 AM,%RH,89.487
20/1/24 12:09:01 PM,%RH,77.547
20/1/24 2:09:01 PM,%RH,79.871
20/1/24 4:09:01 PM,%RH,90.591
20/1/24 6:09:01 PM,%RH,95.487
20/1/24 8:09:01 PM,%RH,97.626
20/1/24 10:09:01 PM,%RH,99.215
21/1/24 12:09:01 AM,%RH,100.267
21/1/24 2:09:01 AM,%RH,100.267
21/1/24 4:09:01 AM,%RH,101.313
21/1/24 6:09:01 AM,%RH,99.215
21/1/24 8:09:01 AM,%RH,98.157
21/1/24 10:09:01 AM,%RH,90.04
21/1/24 12:09:01 PM,%RH,71.039
21/1/24 2:09:01 PM,%RH,74.611
21/1/24 4:09:01 PM,%RH,85.578
21/1/24 6:09:01 PM,%RH,90.04
21/1/24 8:09:01 PM,%RH,97.093
21/1/24 10:09:01 PM,%RH,98.686
22/1/24 12:09:01 AM,%RH,99.741
22/1/24 2:09:01 AM,%RH,100.267
22/1/24 4:09:01 AM,%RH,100.267
22/1/24 6:09:01 AM,%RH,100.267
22/1/24 8:09:01 AM,%RH,100.79
22/1/24 10:09:01 AM,%RH,85.578
22/1/24 12:09:01 PM,%RH,77.547
22/1/24 2:09:01 PM,%RH,87.262
22/1/24 4:09:01 PM,%RH,87.262
22/1/24 6:09:01 PM,%RH,91.141
22/1/24 8:09:01 PM,%RH,97.093
22/1/24 10:09:01 PM,%RH,98.686
23/1/24 12:09:01 AM,%RH,99.741
23/1/24 2:09:01 AM,%RH,100.267
23/1/24 4:09:01 AM,%RH,100.267
23/1/24 6:09:01 AM,%RH,99.741
23/1/24 8:09:01 AM,%RH,93.326
23/1/24 10:09:01 AM,%RH,83.312
23/1/24 12:09:01 PM,%RH,75.79
23/1/24 2:09:01 PM,%RH,83.881
23/1/24 4:09:01 PM,%RH,87.82
23/1/24 6:09:01 PM,%RH,92.236
23/1/24 8:09:01 PM,%RH,94.949
23/1/24 10:09:01 PM,%RH,98.686
24/1/24 12:09:01 AM,%RH,99.741
24/1/24 2:09:01 AM,%RH,99.741
24/1/24 4:09:01 AM,%RH,100.79
24/1/24 6:09:01 AM,%RH,100.79
24/1/24 8:09:01 AM,%RH,100.79
24/1/24 10:09:01 AM,%RH,95.487
24/1/24 12:09:01 PM,%RH,79.871
24/1/24 2:09:01 PM,%RH,79.871
24/1/24 4:09:01 PM,%RH,85.578
24/1/24 6:09:01 PM,%RH,91.141
24/1/24 8:09:01 PM,%RH,97.093
24/1/24 10:09:01 PM,%RH,98.686
25/1/24 12:09:01 AM,%RH,99.741
25/1/24 2:09:01 AM,%RH,97.626
25/1/24 4:09:01 AM,%RH,98.157
25/1/24 6:09:01 AM,%RH,100.79
25/1/24 8:09:01 AM,%RH,100.267
25/1/24 10:09:01 AM,%RH,92.782
25/1/24 12:09:01 PM,%RH,85.578
25/1/24 2:09:01 PM,%RH,82.171
25/1/24 4:09:01 PM,%RH,86.141
25/1/24 6:09:01 PM,%RH,91.689
25/1/24 8:09:01 PM,%RH,97.093
25/1/24 10:09:01 PM,%RH,100.267
26/1/24 12:09:01 AM,%RH,99.741
26/1/24 2:09:01 AM,%RH,99.741
26/1/24 4:09:01 AM,%RH,101.834
26/1/24 6:09:01 AM,%RH,99.215
26/1/24 8:09:01 AM,%RH,96.024
26/1/24 10:09:01 AM,%RH,78.712
26/1/24 12:09:01 PM,%RH,60.637
26/1/24 2:09:01 PM,%RH,60.637
26/1/24 4:09:01 PM,%RH,53.684
26/1/24 6:09:01 PM,%RH,82.171
26/1/24 8:09:01 PM,%RH,95.487
26/1/24 10:09:01 PM,%RH,97.626
27/1/24 12:09:01 AM,%RH,98.686
27/1/24 2:09:01 AM,%RH,97.093
27/1/24 4:09:01 AM,%RH,96.024
27/1/24 6:09:01 AM,%RH,93.868
27/1/24 8:09:01 AM,%RH,92.236
27/1/24 10:09:01 AM,%RH,79.871
27/1/24 12:09:01 PM,%RH,58.758
27/1/24 2:09:01 PM,%RH,55.598
27/1/24 4:09:01 PM,%RH,50.466
27/1/24 6:09:01 PM,%RH,75.79
27/1/24 8:09:01 PM,%RH,83.881
27/1/24 10:09:01 PM,%RH,90.04
28/1/24 12:09:01 AM,%RH,90.04
28/1/24 2:09:01 AM,%RH,93.326
28/1/24 4:09:01 AM,%RH,94.409
28/1/24 6:09:01 AM,%RH,97.093
28/1/24 8:09:01 AM,%RH,94.949
28/1/24 10:09:01 AM,%RH,74.611
28/1/24 12:09:01 PM,%RH,57.498
28/1/24 2:09:01 PM,%RH,55.598
28/1/24 4:09:01 PM,%RH,52.401
28/1/24 6:09:01 PM,%RH,81.024
28/1/24 8:09:01 PM,%RH,92.782
28/1/24 10:09:01 PM,%RH,95.487
29/1/24 12:09:01 AM,%RH,98.686
29/1/24 2:09:01 AM,%RH,98.686
29/1/24 4:09:01 AM,%RH,98.686
29/1/24 6:09:01 AM,%RH,93.868
29/1/24 8:09:01 AM,%RH,98.157
29/1/24 10:09:01 AM,%RH,85.014
29/1/24 12:09:01 PM,%RH,71.039
29/1/24 2:09:01 PM,%RH,61.883
29/1/24 4:09:01 PM,%RH,79.292
29/1/24 6:09:01 PM,%RH,87.82
29/1/24 8:09:01 PM,%RH,96.559
29/1/24 10:09:01 PM,%RH,98.157
30/1/24 12:09:01 AM,%RH,98.157
30/1/24 2:09:01 AM,%RH,94.949
30/1/24 4:09:01 AM,%RH,78.13
30/1/24 6:09:01 AM,%RH,79.871
30/1/24 8:09:01 AM,%RH,88.933
30/1/24 10:09:01 AM,%RH,75.79
30/1/24 12:09:01 PM,%RH,60.012
30/1/24 2:09:01 PM,%RH,66.196
30/1/24 4:09:01 PM,%RH,75.201
30/1/24 6:09:01 PM,%RH,83.881
30/1/24 8:09:01 PM,%RH,92.236
30/1/24 10:09:01 PM,%RH,98.157
31/1/24 12:09:01 AM,%RH,98.686
31/1/24 2:09:01 AM,%RH,100.267
31/1/24 4:09:01 AM,%RH,99.741
31/1/24 6:09:01 AM,%RH,100.267
31/1/24 8:09:01 AM,%RH,99.741
31/1/24 10:09:01 AM,%RH,89.487
31/1/24 12:09:01 PM,%RH,68.023
31/1/24 2:09:01 PM,%RH,65.584
31/1/24 4:09:01 PM,%RH,74.019
31/1/24 6:09:01 PM,%RH,81.598
31/1/24 8:09:01 PM,%RH,92.236
31/1/24 10:09:01 PM,%RH,97.093
1/2/24 12:09:01 AM,%RH,99.215
1/2/24 2:09:01 AM,%RH,100.79
1/2/24 4:09:01 AM,%RH,100.267
1/2/24 6:09:01 AM,%RH,99.215
1/2/24 8:09:01 AM,%RH,100.267
1/2/24 10:09:01 AM,%RH,92.236
1/2/24 12:09:01 PM,%RH,75.79
1/2/24 2:09:01 PM,%RH,79.292
1/2/24 4:09:01 PM,%RH,82.171
1/2/24 6:09:01 PM,%RH,90.591
1/2/24 8:09:01 PM,%RH,96.559
1/2/24 10:09:01 PM,%RH,98.157
2/2/24 12:09:01 AM,%RH,100.267
2/2/24 2:09:01 AM,%RH,100.267
2/2/24 4:09:01 AM,%RH,99.741
2/2/24 6:09:01 AM,%RH,100.79
2/2/24 8:09:01 AM,%RH,101.313
2/2/24 10:09:01 AM,%RH,83.881
2/2/24 12:09:01 PM,%RH,78.13
2/2/24 2:09:01 PM,%RH,73.426
2/2/24 4:09:01 PM,%RH,78.13
2/2/24 6:09:01 PM,%RH,86.702
2/2/24 8:09:01 PM,%RH,96.024
2/2/24 10:09:01 PM,%RH,98.686
3/2/24 12:09:01 AM,%RH,100.267
3/2/24 2:09:01 AM,%RH,101.313
3/2/24 4:09:01 AM,%RH,100.267
3/2/24 6:09:01 AM,%RH,101.834
3/2/24 8:09:01 AM,%RH,94.949
3/2/24 10:09:01 AM,%RH,84.448
3/2/24 12:09:01 PM,%RH,74.019
3/2/24 2:09:01 PM,%RH,81.024
3/2/24 4:09:01 PM,%RH,83.312
3/2/24 6:09:01 PM,%RH,88.933
3/2/24 8:09:01 PM,%RH,96.024
3/2/24 10:09:01 PM,%RH,98.686
4/2/24 12:09:01 AM,%RH,99.215
4/2/24 2:09:01 AM,%RH,100.267
4/2/24 4:09:01 AM,%RH,99.215
