1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8D0000007D8DD841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:29:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:29:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  13051
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:29:01 PM,C,22.046
13/1/24 10:29:01 PM,C,22.046
14/1/24 12:29:01 AM,C,22.046
14/1/24 2:29:01 AM,C,21.546
14/1/24 4:29:01 AM,C,21.046
14/1/24 6:29:01 AM,C,21.046
14/1/24 8:29:01 AM,C,20.545
14/1/24 10:29:01 AM,C,24.047
14/1/24 12:29:01 PM,C,25.547
14/1/24 2:29:01 PM,C,27.547
14/1/24 4:29:01 PM,C,24.547
14/1/24 6:29:01 PM,C,22.046
14/1/24 8:29:01 PM,C,18.544
14/1/24 10:29:01 PM,C,19.545
15/1/24 12:29:01 AM,C,18.544
15/1/24 2:29:01 AM,C,17.042
15/1/24 4:29:01 AM,C,16.041
15/1/24 6:29:01 AM,C,17.042
15/1/24 8:29:01 AM,C,17.543
15/1/24 10:29:01 AM,C,21.046
15/1/24 12:29:01 PM,C,23.547
15/1/24 2:29:01 PM,C,23.547
15/1/24 4:29:01 PM,C,23.047
15/1/24 6:29:01 PM,C,20.545
15/1/24 8:29:01 PM,C,18.043
15/1/24 10:29:01 PM,C,17.042
16/1/24 12:29:01 AM,C,16.041
16/1/24 2:29:01 AM,C,15.54
16/1/24 4:29:01 AM,C,15.04
16/1/24 6:29:01 AM,C,15.54
16/1/24 8:29:01 AM,C,16.542
16/1/24 10:29:01 AM,C,19.545
16/1/24 12:29:01 PM,C,23.047
16/1/24 2:29:01 PM,C,23.547
16/1/24 4:29:01 PM,C,22.546
16/1/24 6:29:01 PM,C,20.545
16/1/24 8:29:01 PM,C,19.044
16/1/24 10:29:01 PM,C,18.043
17/1/24 12:29:01 AM,C,18.043
17/1/24 2:29:01 AM,C,18.043
17/1/24 4:29:01 AM,C,18.043
17/1/24 6:29:01 AM,C,18.043
17/1/24 8:29:01 AM,C,18.544
17/1/24 10:29:01 AM,C,21.046
17/1/24 12:29:01 PM,C,22.546
17/1/24 2:29:01 PM,C,23.547
17/1/24 4:29:01 PM,C,22.546
17/1/24 6:29:01 PM,C,20.045
17/1/24 8:29:01 PM,C,18.544
17/1/24 10:29:01 PM,C,19.545
18/1/24 12:29:01 AM,C,19.044
18/1/24 2:29:01 AM,C,18.043
18/1/24 4:29:01 AM,C,17.543
18/1/24 6:29:01 AM,C,16.542
18/1/24 8:29:01 AM,C,18.043
18/1/24 10:29:01 AM,C,21.046
18/1/24 12:29:01 PM,C,23.047
18/1/24 2:29:01 PM,C,24.547
18/1/24 4:29:01 PM,C,23.047
18/1/24 6:29:01 PM,C,21.046
18/1/24 8:29:01 PM,C,19.545
18/1/24 10:29:01 PM,C,18.544
19/1/24 12:29:01 AM,C,18.544
19/1/24 2:29:01 AM,C,18.043
19/1/24 4:29:01 AM,C,17.543
19/1/24 6:29:01 AM,C,17.543
19/1/24 8:29:01 AM,C,18.043
19/1/24 10:29:01 AM,C,20.545
19/1/24 12:29:01 PM,C,23.047
19/1/24 2:29:01 PM,C,24.047
19/1/24 4:29:01 PM,C,23.547
19/1/24 6:29:01 PM,C,21.546
19/1/24 8:29:01 PM,C,20.545
19/1/24 10:29:01 PM,C,19.545
20/1/24 12:29:01 AM,C,17.543
20/1/24 2:29:01 AM,C,18.043
20/1/24 4:29:01 AM,C,18.043
20/1/24 6:29:01 AM,C,17.042
20/1/24 8:29:01 AM,C,18.043
20/1/24 10:29:01 AM,C,20.545
20/1/24 12:29:01 PM,C,23.047
20/1/24 2:29:01 PM,C,24.547
20/1/24 4:29:01 PM,C,23.547
20/1/24 6:29:01 PM,C,21.546
20/1/24 8:29:01 PM,C,20.045
20/1/24 10:29:01 PM,C,18.544
21/1/24 12:29:01 AM,C,17.543
21/1/24 2:29:01 AM,C,17.543
21/1/24 4:29:01 AM,C,18.544
21/1/24 6:29:01 AM,C,18.043
21/1/24 8:29:01 AM,C,19.044
21/1/24 10:29:01 AM,C,21.046
21/1/24 12:29:01 PM,C,23.547
21/1/24 2:29:01 PM,C,25.047
21/1/24 4:29:01 PM,C,24.047
21/1/24 6:29:01 PM,C,22.046
21/1/24 8:29:01 PM,C,20.545
21/1/24 10:29:01 PM,C,20.045
22/1/24 12:29:01 AM,C,18.544
22/1/24 2:29:01 AM,C,18.043
22/1/24 4:29:01 AM,C,17.042
22/1/24 6:29:01 AM,C,17.042
22/1/24 8:29:01 AM,C,18.043
22/1/24 10:29:01 AM,C,21.546
22/1/24 12:29:01 PM,C,24.047
22/1/24 2:29:01 PM,C,23.047
22/1/24 4:29:01 PM,C,23.547
22/1/24 6:29:01 PM,C,21.546
22/1/24 8:29:01 PM,C,20.545
22/1/24 10:29:01 PM,C,19.545
23/1/24 12:29:01 AM,C,18.544
23/1/24 2:29:01 AM,C,17.543
23/1/24 4:29:01 AM,C,17.042
23/1/24 6:29:01 AM,C,16.542
23/1/24 8:29:01 AM,C,18.544
23/1/24 10:29:01 AM,C,21.546
23/1/24 12:29:01 PM,C,23.047
23/1/24 2:29:01 PM,C,25.047
23/1/24 4:29:01 PM,C,23.547
23/1/24 6:29:01 PM,C,21.546
23/1/24 8:29:01 PM,C,19.044
23/1/24 10:29:01 PM,C,17.543
24/1/24 12:29:01 AM,C,16.542
24/1/24 2:29:01 AM,C,15.54
24/1/24 4:29:01 AM,C,15.04
24/1/24 6:29:01 AM,C,13.537
24/1/24 8:29:01 AM,C,15.04
24/1/24 10:29:01 AM,C,20.045
24/1/24 12:29:01 PM,C,23.547
24/1/24 2:29:01 PM,C,24.047
24/1/24 4:29:01 PM,C,22.546
24/1/24 6:29:01 PM,C,20.045
24/1/24 8:29:01 PM,C,19.044
24/1/24 10:29:01 PM,C,17.042
25/1/24 12:29:01 AM,C,15.54
25/1/24 2:29:01 AM,C,14.038
25/1/24 4:29:01 AM,C,13.537
25/1/24 6:29:01 AM,C,13.537
25/1/24 8:29:01 AM,C,14.539
25/1/24 10:29:01 AM,C,20.045
25/1/24 12:29:01 PM,C,22.546
25/1/24 2:29:01 PM,C,23.547
25/1/24 4:29:01 PM,C,22.046
25/1/24 6:29:01 PM,C,20.045
25/1/24 8:29:01 PM,C,19.044
25/1/24 10:29:01 PM,C,17.543
26/1/24 12:29:01 AM,C,17.042
26/1/24 2:29:01 AM,C,16.041
26/1/24 4:29:01 AM,C,16.041
26/1/24 6:29:01 AM,C,17.042
26/1/24 8:29:01 AM,C,18.043
26/1/24 10:29:01 AM,C,20.545
26/1/24 12:29:01 PM,C,23.047
26/1/24 2:29:01 PM,C,24.047
26/1/24 4:29:01 PM,C,23.047
26/1/24 6:29:01 PM,C,21.546
26/1/24 8:29:01 PM,C,18.544
26/1/24 10:29:01 PM,C,16.542
27/1/24 12:29:01 AM,C,15.04
27/1/24 2:29:01 AM,C,14.539
27/1/24 4:29:01 AM,C,16.542
27/1/24 6:29:01 AM,C,16.542
27/1/24 8:29:01 AM,C,17.543
27/1/24 10:29:01 AM,C,20.545
27/1/24 12:29:01 PM,C,23.047
27/1/24 2:29:01 PM,C,24.047
27/1/24 4:29:01 PM,C,23.547
27/1/24 6:29:01 PM,C,20.545
27/1/24 8:29:01 PM,C,17.042
27/1/24 10:29:01 PM,C,15.54
28/1/24 12:29:01 AM,C,16.542
28/1/24 2:29:01 AM,C,16.542
28/1/24 4:29:01 AM,C,17.042
28/1/24 6:29:01 AM,C,16.041
28/1/24 8:29:01 AM,C,17.042
28/1/24 10:29:01 AM,C,20.045
28/1/24 12:29:01 PM,C,23.047
28/1/24 2:29:01 PM,C,23.547
28/1/24 4:29:01 PM,C,23.047
28/1/24 6:29:01 PM,C,21.046
28/1/24 8:29:01 PM,C,18.043
28/1/24 10:29:01 PM,C,16.542
29/1/24 12:29:01 AM,C,15.54
29/1/24 2:29:01 AM,C,14.539
29/1/24 4:29:01 AM,C,14.539
29/1/24 6:29:01 AM,C,15.04
29/1/24 8:29:01 AM,C,17.543
29/1/24 10:29:01 AM,C,20.045
29/1/24 12:29:01 PM,C,22.546
29/1/24 2:29:01 PM,C,23.547
29/1/24 4:29:01 PM,C,23.047
29/1/24 6:29:01 PM,C,20.545
29/1/24 8:29:01 PM,C,18.043
29/1/24 10:29:01 PM,C,16.542
30/1/24 12:29:01 AM,C,14.539
30/1/24 2:29:01 AM,C,14.038
30/1/24 4:29:01 AM,C,17.543
30/1/24 6:29:01 AM,C,16.542
30/1/24 8:29:01 AM,C,16.041
30/1/24 10:29:01 AM,C,20.045
30/1/24 12:29:01 PM,C,23.047
30/1/24 2:29:01 PM,C,24.547
30/1/24 4:29:01 PM,C,23.047
