1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000007DAC5C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:25:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:25:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  15497
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:25:01 PM,%RH,79.482
13/1/24 10:25:01 PM,%RH,81.193
14/1/24 12:25:01 AM,%RH,81.193
14/1/24 2:25:01 AM,%RH,81.76
14/1/24 4:25:01 AM,%RH,81.193
14/1/24 6:25:01 AM,%RH,81.193
14/1/24 8:25:01 AM,%RH,84.574
14/1/24 10:25:01 AM,%RH,70.72
14/1/24 12:25:01 PM,%RH,62.85
14/1/24 2:25:01 PM,%RH,56.621
14/1/24 4:25:01 PM,%RH,77.757
14/1/24 6:25:01 PM,%RH,91.713
14/1/24 8:25:01 PM,%RH,94.39
14/1/24 10:25:01 PM,%RH,78.333
15/1/24 12:25:01 AM,%RH,84.574
15/1/24 2:25:01 AM,%RH,88.997
15/1/24 4:25:01 AM,%RH,93.857
15/1/24 6:25:01 AM,%RH,92.788
15/1/24 8:25:01 AM,%RH,95.45
15/1/24 10:25:01 AM,%RH,81.76
15/1/24 12:25:01 PM,%RH,68.326
15/1/24 2:25:01 PM,%RH,59.754
15/1/24 4:25:01 PM,%RH,76.599
15/1/24 6:25:01 PM,%RH,87.35
15/1/24 8:25:01 PM,%RH,94.39
15/1/24 10:25:01 PM,%RH,97.029
16/1/24 12:25:01 AM,%RH,96.504
16/1/24 2:25:01 AM,%RH,97.552
16/1/24 4:25:01 AM,%RH,97.552
16/1/24 6:25:01 AM,%RH,98.074
16/1/24 8:25:01 AM,%RH,97.029
16/1/24 10:25:01 AM,%RH,91.713
16/1/24 12:25:01 PM,%RH,70.124
16/1/24 2:25:01 PM,%RH,74.266
16/1/24 4:25:01 PM,%RH,87.35
16/1/24 6:25:01 PM,%RH,91.713
16/1/24 8:25:01 PM,%RH,96.504
16/1/24 10:25:01 PM,%RH,97.029
17/1/24 12:25:01 AM,%RH,98.594
17/1/24 2:25:01 AM,%RH,98.594
17/1/24 4:25:01 AM,%RH,98.074
17/1/24 6:25:01 AM,%RH,99.63
17/1/24 8:25:01 AM,%RH,98.594
17/1/24 10:25:01 AM,%RH,87.901
17/1/24 12:25:01 PM,%RH,84.014
17/1/24 2:25:01 PM,%RH,80.053
17/1/24 4:25:01 PM,%RH,82.326
17/1/24 6:25:01 PM,%RH,88.997
17/1/24 8:25:01 PM,%RH,95.45
17/1/24 10:25:01 PM,%RH,96.504
18/1/24 12:25:01 AM,%RH,98.074
