1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9C0000007D8DC541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:43:01 IST 2024
Mission Sample Count:  2720
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:43:01 IST 2024
Total Mission Samples:  2720
Total Device Samples:  12247
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:43:01 PM,C,22.531
9/1/24 11:43:01 PM,C,22.031
10/1/24 1:43:01 AM,C,21.53
10/1/24 3:43:01 AM,C,21.03
10/1/24 5:43:01 AM,C,21.03
10/1/24 7:43:01 AM,C,20.53
10/1/24 9:43:01 AM,C,21.03
10/1/24 11:43:01 AM,C,21.53
10/1/24 1:43:01 PM,C,22.031
10/1/24 3:43:01 PM,C,22.531
10/1/24 5:43:01 PM,C,22.531
10/1/24 7:43:01 PM,C,22.531
10/1/24 9:43:01 PM,C,22.531
10/1/24 11:43:01 PM,C,22.031
11/1/24 1:43:01 AM,C,21.53
11/1/24 3:43:01 AM,C,21.03
11/1/24 5:43:01 AM,C,21.03
11/1/24 7:43:01 AM,C,21.03
11/1/24 9:43:01 AM,C,20.029
11/1/24 11:43:01 AM,C,23.031
11/1/24 1:43:01 PM,C,25.031
11/1/24 3:43:01 PM,C,26.031
11/1/24 5:43:01 PM,C,22.031
11/1/24 7:43:01 PM,C,19.529
11/1/24 9:43:01 PM,C,18.027
11/1/24 11:43:01 PM,C,19.529
12/1/24 1:43:01 AM,C,19.529
12/1/24 3:43:01 AM,C,19.029
12/1/24 5:43:01 AM,C,18.027
12/1/24 7:43:01 AM,C,17.527
12/1/24 9:43:01 AM,C,20.029
12/1/24 11:43:01 AM,C,23.531
12/1/24 1:43:01 PM,C,25.531
12/1/24 3:43:01 PM,C,26.031
12/1/24 5:43:01 PM,C,22.531
12/1/24 7:43:01 PM,C,19.029
12/1/24 9:43:01 PM,C,18.027
12/1/24 11:43:01 PM,C,17.527
13/1/24 1:43:01 AM,C,19.529
13/1/24 3:43:01 AM,C,18.528
13/1/24 5:43:01 AM,C,18.027
13/1/24 7:43:01 AM,C,18.027
13/1/24 9:43:01 AM,C,20.029
13/1/24 11:43:01 AM,C,23.531
13/1/24 1:43:01 PM,C,25.031
13/1/24 3:43:01 PM,C,24.531
13/1/24 5:43:01 PM,C,22.531
13/1/24 7:43:01 PM,C,19.529
13/1/24 9:43:01 PM,C,19.029
13/1/24 11:43:01 PM,C,18.027
14/1/24 1:43:01 AM,C,18.027
14/1/24 3:43:01 AM,C,18.027
14/1/24 5:43:01 AM,C,18.528
14/1/24 7:43:01 AM,C,19.029
14/1/24 9:43:01 AM,C,20.53
14/1/24 11:43:01 AM,C,23.531
14/1/24 1:43:01 PM,C,25.031
14/1/24 3:43:01 PM,C,24.531
14/1/24 5:43:01 PM,C,22.531
14/1/24 7:43:01 PM,C,20.029
