1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A10000007DA8ED41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:14:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:14:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  11623
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:14:01 PM,C,22.605
13/1/24 10:14:01 PM,C,22.105
14/1/24 12:14:01 AM,C,22.105
14/1/24 2:14:01 AM,C,21.604
14/1/24 4:14:01 AM,C,21.604
14/1/24 6:14:01 AM,C,21.104
14/1/24 8:14:01 AM,C,20.104
14/1/24 10:14:01 AM,C,24.105
14/1/24 12:14:01 PM,C,25.105
14/1/24 2:14:01 PM,C,27.605
14/1/24 4:14:01 PM,C,23.605
14/1/24 6:14:01 PM,C,22.605
14/1/24 8:14:01 PM,C,19.103
14/1/24 10:14:01 PM,C,18.102
15/1/24 12:14:01 AM,C,17.601
15/1/24 2:14:01 AM,C,17.601
15/1/24 4:14:01 AM,C,16.1
15/1/24 6:14:01 AM,C,16.6
15/1/24 8:14:01 AM,C,17.101
15/1/24 10:14:01 AM,C,20.104
15/1/24 12:14:01 PM,C,22.605
15/1/24 2:14:01 PM,C,23.105
15/1/24 4:14:01 PM,C,23.105
15/1/24 6:14:01 PM,C,21.104
15/1/24 8:14:01 PM,C,18.602
15/1/24 10:14:01 PM,C,17.601
16/1/24 12:14:01 AM,C,16.6
16/1/24 2:14:01 AM,C,16.1
16/1/24 4:14:01 AM,C,15.098
16/1/24 6:14:01 AM,C,15.599
16/1/24 8:14:01 AM,C,16.6
16/1/24 10:14:01 AM,C,19.103
16/1/24 12:14:01 PM,C,22.105
16/1/24 2:14:01 PM,C,23.105
16/1/24 4:14:01 PM,C,23.105
16/1/24 6:14:01 PM,C,21.104
16/1/24 8:14:01 PM,C,19.103
16/1/24 10:14:01 PM,C,18.102
17/1/24 12:14:01 AM,C,18.102
17/1/24 2:14:01 AM,C,18.602
17/1/24 4:14:01 AM,C,18.602
17/1/24 6:14:01 AM,C,18.602
17/1/24 8:14:01 AM,C,18.602
17/1/24 10:14:01 AM,C,20.604
17/1/24 12:14:01 PM,C,22.605
17/1/24 2:14:01 PM,C,23.605
17/1/24 4:14:01 PM,C,23.105
17/1/24 6:14:01 PM,C,21.104
17/1/24 8:14:01 PM,C,19.103
17/1/24 10:14:01 PM,C,19.603
18/1/24 12:14:01 AM,C,19.603
18/1/24 2:14:01 AM,C,19.103
18/1/24 4:14:01 AM,C,18.102
18/1/24 6:14:01 AM,C,17.101
18/1/24 8:14:01 AM,C,18.102
18/1/24 10:14:01 AM,C,20.604
18/1/24 12:14:01 PM,C,22.605
18/1/24 2:14:01 PM,C,24.105
18/1/24 4:14:01 PM,C,23.105
18/1/24 6:14:01 PM,C,21.604
18/1/24 8:14:01 PM,C,20.104
18/1/24 10:14:01 PM,C,19.103
19/1/24 12:14:01 AM,C,18.602
19/1/24 2:14:01 AM,C,18.602
19/1/24 4:14:01 AM,C,18.102
19/1/24 6:14:01 AM,C,18.102
19/1/24 8:14:01 AM,C,18.102
19/1/24 10:14:01 AM,C,20.604
19/1/24 12:14:01 PM,C,22.105
