1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B00000007DAAC241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:18:01 IST 2024
Mission Sample Count:  3250
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:18:01 IST 2024
Total Mission Samples:  3250
Total Device Samples:  12673
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:18:01 PM,%RH,81.399
13/1/24 10:18:01 PM,%RH,81.977
14/1/24 12:18:01 AM,%RH,81.399
14/1/24 2:18:01 AM,%RH,84.276
14/1/24 4:18:01 AM,%RH,82.554
14/1/24 6:18:01 AM,%RH,83.129
14/1/24 8:18:01 AM,%RH,89.369
14/1/24 10:18:01 AM,%RH,67.127
14/1/24 12:18:01 PM,%RH,67.127
14/1/24 2:18:01 PM,%RH,56.552
14/1/24 4:18:01 PM,%RH,71.369
14/1/24 6:18:01 PM,%RH,86.553
14/1/24 8:18:01 PM,%RH,87.683
14/1/24 10:18:01 PM,%RH,71.97
15/1/24 12:18:01 AM,%RH,77.903
15/1/24 2:18:01 AM,%RH,84.847
15/1/24 4:18:01 AM,%RH,92.152
15/1/24 6:18:01 AM,%RH,89.929
15/1/24 8:18:01 AM,%RH,92.152
15/1/24 10:18:01 AM,%RH,83.129
15/1/24 12:18:01 PM,%RH,65.903
15/1/24 2:18:01 PM,%RH,55.283
15/1/24 4:18:01 PM,%RH,68.953
15/1/24 6:18:01 PM,%RH,82.554
15/1/24 8:18:01 PM,%RH,90.486
15/1/24 10:18:01 PM,%RH,93.256
16/1/24 12:18:01 AM,%RH,95.448
16/1/24 2:18:01 AM,%RH,95.448
16/1/24 4:18:01 AM,%RH,95.993
16/1/24 6:18:01 AM,%RH,94.902
16/1/24 8:18:01 AM,%RH,96.536
16/1/24 10:18:01 AM,%RH,90.486
16/1/24 12:18:01 PM,%RH,73.167
16/1/24 2:18:01 PM,%RH,70.164
16/1/24 4:18:01 PM,%RH,81.399
16/1/24 6:18:01 PM,%RH,88.247
16/1/24 8:18:01 PM,%RH,94.902
16/1/24 10:18:01 PM,%RH,95.448
17/1/24 12:18:01 AM,%RH,99.232
17/1/24 2:18:01 AM,%RH,98.158
17/1/24 4:18:01 AM,%RH,98.158
