1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C60000007D8D5041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:00:01 IST 2024
Mission Sample Count:  789
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:00:01 IST 2024
Total Mission Samples:  789
Total Device Samples:  9575
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:00:01 PM,C,22.636
13/1/24 10:00:01 PM,C,22.636
14/1/24 12:00:01 AM,C,22.636
14/1/24 2:00:01 AM,C,21.635
14/1/24 4:00:01 AM,C,21.635
14/1/24 6:00:01 AM,C,21.135
14/1/24 8:00:01 AM,C,18.131
14/1/24 10:00:01 AM,C,25.637
14/1/24 12:00:01 PM,C,24.136
14/1/24 2:00:01 PM,C,26.137
14/1/24 4:00:01 PM,C,24.637
14/1/24 6:00:01 PM,C,23.136
14/1/24 8:00:01 PM,C,19.633
14/1/24 10:00:01 PM,C,19.132
15/1/24 12:00:01 AM,C,19.633
15/1/24 2:00:01 AM,C,18.632
15/1/24 4:00:01 AM,C,17.129
15/1/24 6:00:01 AM,C,17.63
15/1/24 8:00:01 AM,C,17.63
15/1/24 10:00:01 AM,C,20.634
15/1/24 12:00:01 PM,C,22.636
15/1/24 2:00:01 PM,C,24.637
15/1/24 4:00:01 PM,C,23.636
15/1/24 6:00:01 PM,C,22.135
15/1/24 8:00:01 PM,C,19.633
15/1/24 10:00:01 PM,C,18.131
16/1/24 12:00:01 AM,C,17.63
16/1/24 2:00:01 AM,C,17.129
16/1/24 4:00:01 AM,C,16.128
16/1/24 6:00:01 AM,C,16.628
16/1/24 8:00:01 AM,C,16.128
16/1/24 10:00:01 AM,C,19.132
16/1/24 12:00:01 PM,C,22.135
16/1/24 2:00:01 PM,C,23.136
16/1/24 4:00:01 PM,C,23.636
16/1/24 6:00:01 PM,C,21.635
16/1/24 8:00:01 PM,C,20.134
16/1/24 10:00:01 PM,C,18.632
17/1/24 12:00:01 AM,C,18.632
17/1/24 2:00:01 AM,C,19.132
17/1/24 4:00:01 AM,C,19.132
17/1/24 6:00:01 AM,C,19.132
17/1/24 8:00:01 AM,C,18.632
17/1/24 10:00:01 AM,C,20.134
17/1/24 12:00:01 PM,C,22.636
17/1/24 2:00:01 PM,C,23.636
17/1/24 4:00:01 PM,C,23.136
17/1/24 6:00:01 PM,C,22.135
17/1/24 8:00:01 PM,C,19.633
17/1/24 10:00:01 PM,C,20.134
18/1/24 12:00:01 AM,C,20.134
18/1/24 2:00:01 AM,C,19.132
18/1/24 4:00:01 AM,C,18.632
18/1/24 6:00:01 AM,C,17.63
18/1/24 8:00:01 AM,C,18.131
18/1/24 10:00:01 AM,C,20.634
18/1/24 12:00:01 PM,C,22.135
18/1/24 2:00:01 PM,C,23.136
18/1/24 4:00:01 PM,C,23.636
18/1/24 6:00:01 PM,C,22.135
18/1/24 8:00:01 PM,C,20.634
18/1/24 10:00:01 PM,C,19.633
19/1/24 12:00:01 AM,C,19.132
19/1/24 2:00:01 AM,C,19.132
19/1/24 4:00:01 AM,C,19.132
19/1/24 6:00:01 AM,C,18.131
19/1/24 8:00:01 AM,C,17.63
19/1/24 10:00:01 AM,C,20.134
19/1/24 12:00:01 PM,C,22.636
19/1/24 2:00:01 PM,C,24.637
19/1/24 4:00:01 PM,C,23.636
19/1/24 6:00:01 PM,C,22.636
19/1/24 8:00:01 PM,C,21.135
19/1/24 10:00:01 PM,C,20.634
20/1/24 12:00:01 AM,C,18.632
20/1/24 2:00:01 AM,C,18.632
20/1/24 4:00:01 AM,C,18.632
20/1/24 6:00:01 AM,C,18.131
20/1/24 8:00:01 AM,C,18.632
20/1/24 10:00:01 AM,C,20.134
20/1/24 12:00:01 PM,C,22.636
20/1/24 2:00:01 PM,C,24.637
20/1/24 4:00:01 PM,C,24.136
20/1/24 6:00:01 PM,C,22.636
20/1/24 8:00:01 PM,C,21.135
20/1/24 10:00:01 PM,C,19.132
21/1/24 12:00:01 AM,C,18.131
21/1/24 2:00:01 AM,C,18.131
21/1/24 4:00:01 AM,C,19.132
21/1/24 6:00:01 AM,C,18.632
21/1/24 8:00:01 AM,C,19.132
21/1/24 10:00:01 AM,C,20.634
21/1/24 12:00:01 PM,C,23.136
21/1/24 2:00:01 PM,C,25.637
21/1/24 4:00:01 PM,C,25.137
21/1/24 6:00:01 PM,C,23.636
21/1/24 8:00:01 PM,C,21.635
21/1/24 10:00:01 PM,C,21.135
22/1/24 12:00:01 AM,C,19.633
22/1/24 2:00:01 AM,C,19.132
22/1/24 4:00:01 AM,C,18.131
22/1/24 6:00:01 AM,C,18.131
22/1/24 8:00:01 AM,C,18.131
22/1/24 10:00:01 AM,C,20.634
22/1/24 12:00:01 PM,C,23.636
22/1/24 2:00:01 PM,C,24.637
22/1/24 4:00:01 PM,C,24.637
22/1/24 6:00:01 PM,C,23.136
22/1/24 8:00:01 PM,C,21.635
22/1/24 10:00:01 PM,C,20.634
23/1/24 12:00:01 AM,C,19.633
23/1/24 2:00:01 AM,C,18.632
23/1/24 4:00:01 AM,C,17.63
23/1/24 6:00:01 AM,C,17.63
23/1/24 8:00:01 AM,C,18.632
23/1/24 10:00:01 AM,C,20.134
23/1/24 12:00:01 PM,C,23.136
23/1/24 2:00:01 PM,C,23.636
23/1/24 4:00:01 PM,C,24.136
23/1/24 6:00:01 PM,C,22.636
23/1/24 8:00:01 PM,C,20.134
23/1/24 10:00:01 PM,C,18.632
24/1/24 12:00:01 AM,C,17.63
24/1/24 2:00:01 AM,C,16.628
24/1/24 4:00:01 AM,C,16.128
24/1/24 6:00:01 AM,C,15.125
24/1/24 8:00:01 AM,C,15.125
24/1/24 10:00:01 AM,C,19.633
24/1/24 12:00:01 PM,C,23.136
24/1/24 2:00:01 PM,C,23.636
24/1/24 4:00:01 PM,C,23.136
24/1/24 6:00:01 PM,C,21.635
24/1/24 8:00:01 PM,C,20.134
