1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA0000007D82BD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:49:01 IST 2024
Mission Sample Count:  3943
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:49:01 IST 2024
Total Mission Samples:  3943
Total Device Samples:  13581
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:49:01 PM,C,23.105
14/1/24 11:49:01 PM,C,23.105
15/1/24 1:49:01 AM,C,23.105
15/1/24 3:49:01 AM,C,21.103
15/1/24 5:49:01 AM,C,20.603
15/1/24 7:49:01 AM,C,20.102
15/1/24 9:49:01 AM,C,27.605
15/1/24 11:49:01 AM,C,23.605
15/1/24 1:49:01 PM,C,24.105
15/1/24 3:49:01 PM,C,24.105
15/1/24 5:49:01 PM,C,22.604
15/1/24 7:49:01 PM,C,21.103
15/1/24 9:49:01 PM,C,20.102
15/1/24 11:49:01 PM,C,19.601
16/1/24 1:49:01 AM,C,20.102
16/1/24 3:49:01 AM,C,18.6
16/1/24 5:49:01 AM,C,18.099
16/1/24 7:49:01 AM,C,17.598
16/1/24 9:49:01 AM,C,19.601
16/1/24 11:49:01 AM,C,23.105
16/1/24 1:49:01 PM,C,24.605
16/1/24 3:49:01 PM,C,24.105
16/1/24 5:49:01 PM,C,22.104
16/1/24 7:49:01 PM,C,20.102
16/1/24 9:49:01 PM,C,20.102
16/1/24 11:49:01 PM,C,19.601
17/1/24 1:49:01 AM,C,19.1
17/1/24 3:49:01 AM,C,18.6
17/1/24 5:49:01 AM,C,18.6
17/1/24 7:49:01 AM,C,18.6
17/1/24 9:49:01 AM,C,20.603
17/1/24 11:49:01 AM,C,22.104
17/1/24 1:49:01 PM,C,23.105
17/1/24 3:49:01 PM,C,23.605
17/1/24 5:49:01 PM,C,22.604
17/1/24 7:49:01 PM,C,20.603
