1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D20000007DABB341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:52:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:52:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12992
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:52:01 PM,C,22.591
11/1/24 11:52:01 PM,C,22.091
12/1/24 1:52:01 AM,C,21.591
12/1/24 3:52:01 AM,C,21.591
12/1/24 5:52:01 AM,C,21.091
12/1/24 7:52:01 AM,C,21.091
12/1/24 9:52:01 AM,C,22.091
12/1/24 11:52:01 AM,C,22.091
12/1/24 1:52:01 PM,C,24.092
12/1/24 3:52:01 PM,C,24.092
12/1/24 5:52:01 PM,C,22.591
12/1/24 7:52:01 PM,C,20.591
12/1/24 9:52:01 PM,C,19.59
12/1/24 11:52:01 PM,C,19.09
13/1/24 1:52:01 AM,C,18.59
13/1/24 3:52:01 AM,C,18.089
13/1/24 5:52:01 AM,C,18.089
13/1/24 7:52:01 AM,C,18.089
13/1/24 9:52:01 AM,C,19.59
13/1/24 11:52:01 AM,C,22.591
13/1/24 1:52:01 PM,C,24.092
13/1/24 3:52:01 PM,C,24.092
13/1/24 5:52:01 PM,C,22.591
13/1/24 7:52:01 PM,C,20.09
13/1/24 9:52:01 PM,C,19.59
13/1/24 11:52:01 PM,C,18.59
14/1/24 1:52:01 AM,C,19.59
14/1/24 3:52:01 AM,C,19.09
14/1/24 5:52:01 AM,C,18.59
14/1/24 7:52:01 AM,C,18.59
14/1/24 9:52:01 AM,C,20.591
14/1/24 11:52:01 AM,C,23.092
14/1/24 1:52:01 PM,C,24.592
14/1/24 3:52:01 PM,C,24.092
14/1/24 5:52:01 PM,C,23.592
14/1/24 7:52:01 PM,C,19.59
14/1/24 9:52:01 PM,C,21.091
14/1/24 11:52:01 PM,C,21.591
15/1/24 1:52:01 AM,C,20.591
15/1/24 3:52:01 AM,C,19.09
15/1/24 5:52:01 AM,C,18.089
15/1/24 7:52:01 AM,C,18.089
15/1/24 9:52:01 AM,C,20.591
15/1/24 11:52:01 AM,C,22.591
15/1/24 1:52:01 PM,C,23.592
15/1/24 3:52:01 PM,C,23.592
15/1/24 5:52:01 PM,C,22.091
15/1/24 7:52:01 PM,C,20.09
15/1/24 9:52:01 PM,C,19.09
15/1/24 11:52:01 PM,C,18.089
16/1/24 1:52:01 AM,C,18.089
16/1/24 3:52:01 AM,C,17.589
16/1/24 5:52:01 AM,C,17.589
16/1/24 7:52:01 AM,C,17.589
16/1/24 9:52:01 AM,C,19.09
16/1/24 11:52:01 AM,C,22.091
16/1/24 1:52:01 PM,C,23.592
