1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DA0000007D8DA241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:17:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:17:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  12770
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:17:01 PM,C,22.505
13/1/24 10:17:01 PM,C,22.005
14/1/24 12:17:01 AM,C,21.505
14/1/24 2:17:01 AM,C,21.505
14/1/24 4:17:01 AM,C,21.005
14/1/24 6:17:01 AM,C,21.005
14/1/24 8:17:01 AM,C,19.504
14/1/24 10:17:01 AM,C,24.506
14/1/24 12:17:01 PM,C,24.506
14/1/24 2:17:01 PM,C,27.506
14/1/24 4:17:01 PM,C,23.506
14/1/24 6:17:01 PM,C,22.005
14/1/24 8:17:01 PM,C,18.503
14/1/24 10:17:01 PM,C,18.002
15/1/24 12:17:01 AM,C,17.502
15/1/24 2:17:01 AM,C,17.001
15/1/24 4:17:01 AM,C,15.499
15/1/24 6:17:01 AM,C,16
15/1/24 8:17:01 AM,C,17.001
15/1/24 10:17:01 AM,C,20.004
15/1/24 12:17:01 PM,C,22.005
15/1/24 2:17:01 PM,C,23.006
15/1/24 4:17:01 PM,C,23.006
15/1/24 6:17:01 PM,C,21.005
15/1/24 8:17:01 PM,C,18.503
15/1/24 10:17:01 PM,C,17.001
16/1/24 12:17:01 AM,C,16
16/1/24 2:17:01 AM,C,15.499
16/1/24 4:17:01 AM,C,14.998
16/1/24 6:17:01 AM,C,15.499
16/1/24 8:17:01 AM,C,16.5
16/1/24 10:17:01 AM,C,19.504
16/1/24 12:17:01 PM,C,22.005
16/1/24 2:17:01 PM,C,22.505
16/1/24 4:17:01 PM,C,22.505
16/1/24 6:17:01 PM,C,20.504
16/1/24 8:17:01 PM,C,19.504
16/1/24 10:17:01 PM,C,18.002
17/1/24 12:17:01 AM,C,18.002
17/1/24 2:17:01 AM,C,18.503
17/1/24 4:17:01 AM,C,18.503
17/1/24 6:17:01 AM,C,18.503
17/1/24 8:17:01 AM,C,18.503
17/1/24 10:17:01 AM,C,20.004
17/1/24 12:17:01 PM,C,22.005
17/1/24 2:17:01 PM,C,23.006
17/1/24 4:17:01 PM,C,22.505
17/1/24 6:17:01 PM,C,20.504
17/1/24 8:17:01 PM,C,19.003
17/1/24 10:17:01 PM,C,19.504
18/1/24 12:17:01 AM,C,19.504
18/1/24 2:17:01 AM,C,18.503
18/1/24 4:17:01 AM,C,18.002
18/1/24 6:17:01 AM,C,17.001
18/1/24 8:17:01 AM,C,17.502
18/1/24 10:17:01 AM,C,20.504
18/1/24 12:17:01 PM,C,22.005
18/1/24 2:17:01 PM,C,23.506
18/1/24 4:17:01 PM,C,23.006
18/1/24 6:17:01 PM,C,21.005
18/1/24 8:17:01 PM,C,20.004
18/1/24 10:17:01 PM,C,19.003
19/1/24 12:17:01 AM,C,18.503
19/1/24 2:17:01 AM,C,18.002
19/1/24 4:17:01 AM,C,17.502
19/1/24 6:17:01 AM,C,18.002
19/1/24 8:17:01 AM,C,17.502
19/1/24 10:17:01 AM,C,20.504
19/1/24 12:17:01 PM,C,22.005
19/1/24 2:17:01 PM,C,23.506
19/1/24 4:17:01 PM,C,23.006
19/1/24 6:17:01 PM,C,21.505
19/1/24 8:17:01 PM,C,20.504
19/1/24 10:17:01 PM,C,19.504
20/1/24 12:17:01 AM,C,17.502
20/1/24 2:17:01 AM,C,18.002
20/1/24 4:17:01 AM,C,18.002
20/1/24 6:17:01 AM,C,17.001
20/1/24 8:17:01 AM,C,17.502
20/1/24 10:17:01 AM,C,20.004
20/1/24 12:17:01 PM,C,22.505
20/1/24 2:17:01 PM,C,23.506
20/1/24 4:17:01 PM,C,23.506
20/1/24 6:17:01 PM,C,22.005
20/1/24 8:17:01 PM,C,20.004
20/1/24 10:17:01 PM,C,18.503
21/1/24 12:17:01 AM,C,17.502
21/1/24 2:17:01 AM,C,18.002
21/1/24 4:17:01 AM,C,18.503
21/1/24 6:17:01 AM,C,18.002
21/1/24 8:17:01 AM,C,19.003
21/1/24 10:17:01 AM,C,20.504
21/1/24 12:17:01 PM,C,22.505
21/1/24 2:17:01 PM,C,24.006
21/1/24 4:17:01 PM,C,24.006
21/1/24 6:17:01 PM,C,22.005
21/1/24 8:17:01 PM,C,21.005
21/1/24 10:17:01 PM,C,20.004
22/1/24 12:17:01 AM,C,19.003
22/1/24 2:17:01 AM,C,18.002
22/1/24 4:17:01 AM,C,17.502
22/1/24 6:17:01 AM,C,17.001
