1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DB0000007DAA6341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:04:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:04:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  11343
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:04:01 PM,C,22.156
13/1/24 10:04:01 PM,C,22.156
14/1/24 12:04:01 AM,C,22.156
14/1/24 2:04:01 AM,C,21.655
14/1/24 4:04:01 AM,C,21.155
14/1/24 6:04:01 AM,C,21.155
14/1/24 8:04:01 AM,C,18.152
14/1/24 10:04:01 AM,C,20.154
14/1/24 12:04:01 PM,C,23.656
14/1/24 2:04:01 PM,C,24.156
14/1/24 4:04:01 PM,C,25.156
14/1/24 6:04:01 PM,C,23.156
14/1/24 8:04:01 PM,C,19.154
14/1/24 10:04:01 PM,C,20.154
15/1/24 12:04:01 AM,C,20.154
15/1/24 2:04:01 AM,C,19.154
15/1/24 4:04:01 AM,C,18.653
15/1/24 6:04:01 AM,C,17.652
15/1/24 8:04:01 AM,C,17.652
15/1/24 10:04:01 AM,C,20.154
15/1/24 12:04:01 PM,C,23.156
15/1/24 2:04:01 PM,C,24.156
15/1/24 4:04:01 PM,C,23.656
15/1/24 6:04:01 PM,C,22.156
15/1/24 8:04:01 PM,C,19.154
15/1/24 10:04:01 PM,C,18.152
16/1/24 12:04:01 AM,C,17.652
16/1/24 2:04:01 AM,C,18.152
16/1/24 4:04:01 AM,C,17.151
16/1/24 6:04:01 AM,C,17.151
16/1/24 8:04:01 AM,C,17.151
16/1/24 10:04:01 AM,C,19.154
16/1/24 12:04:01 PM,C,22.656
16/1/24 2:04:01 PM,C,23.656
16/1/24 4:04:01 PM,C,23.656
16/1/24 6:04:01 PM,C,21.655
16/1/24 8:04:01 PM,C,20.154
16/1/24 10:04:01 PM,C,19.154
17/1/24 12:04:01 AM,C,19.154
17/1/24 2:04:01 AM,C,19.654
17/1/24 4:04:01 AM,C,19.654
17/1/24 6:04:01 AM,C,19.154
17/1/24 8:04:01 AM,C,18.152
17/1/24 10:04:01 AM,C,20.655
17/1/24 12:04:01 PM,C,22.156
17/1/24 2:04:01 PM,C,24.156
17/1/24 4:04:01 PM,C,23.156
17/1/24 6:04:01 PM,C,22.156
17/1/24 8:04:01 PM,C,19.654
17/1/24 10:04:01 PM,C,20.154
18/1/24 12:04:01 AM,C,19.654
18/1/24 2:04:01 AM,C,19.154
18/1/24 4:04:01 AM,C,18.152
18/1/24 6:04:01 AM,C,18.152
18/1/24 8:04:01 AM,C,18.653
18/1/24 10:04:01 AM,C,20.655
18/1/24 12:04:01 PM,C,22.656
18/1/24 2:04:01 PM,C,23.156
18/1/24 4:04:01 PM,C,23.656
18/1/24 6:04:01 PM,C,22.156
18/1/24 8:04:01 PM,C,20.655
18/1/24 10:04:01 PM,C,19.654
19/1/24 12:04:01 AM,C,19.154
19/1/24 2:04:01 AM,C,19.654
19/1/24 4:04:01 AM,C,19.154
19/1/24 6:04:01 AM,C,17.652
19/1/24 8:04:01 AM,C,18.152
19/1/24 10:04:01 AM,C,20.154
19/1/24 12:04:01 PM,C,22.656
19/1/24 2:04:01 PM,C,24.156
19/1/24 4:04:01 PM,C,23.656
19/1/24 6:04:01 PM,C,22.156
19/1/24 8:04:01 PM,C,21.155
19/1/24 10:04:01 PM,C,20.154
20/1/24 12:04:01 AM,C,18.653
20/1/24 2:04:01 AM,C,18.653
20/1/24 4:04:01 AM,C,18.653
20/1/24 6:04:01 AM,C,18.152
20/1/24 8:04:01 AM,C,18.152
