1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E30000007D8DDA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:38:01 IST 2024
Mission Sample Count:  2720
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:38:01 IST 2024
Total Mission Samples:  2720
Total Device Samples:  11699
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:38:01 PM,%RH,87.356
9/1/24 11:38:01 PM,%RH,89.472
10/1/24 1:38:01 AM,%RH,86.288
10/1/24 3:38:01 AM,%RH,84.674
10/1/24 5:38:01 AM,%RH,85.214
10/1/24 7:38:01 AM,%RH,86.288
10/1/24 9:38:01 AM,%RH,86.288
10/1/24 11:38:01 AM,%RH,82.501
10/1/24 1:38:01 PM,%RH,80.854
10/1/24 3:38:01 PM,%RH,81.405
10/1/24 5:38:01 PM,%RH,83.047
10/1/24 7:38:01 PM,%RH,83.591
10/1/24 9:38:01 PM,%RH,82.501
10/1/24 11:38:01 PM,%RH,81.405
11/1/24 1:38:01 AM,%RH,81.954
11/1/24 3:38:01 AM,%RH,81.954
11/1/24 5:38:01 AM,%RH,81.954
11/1/24 7:38:01 AM,%RH,84.134
11/1/24 9:38:01 AM,%RH,83.591
11/1/24 11:38:01 AM,%RH,72.982
11/1/24 1:38:01 PM,%RH,69.513
11/1/24 3:38:01 PM,%RH,78.078
11/1/24 5:38:01 PM,%RH,90.521
11/1/24 7:38:01 PM,%RH,93.629
11/1/24 9:38:01 PM,%RH,95.669
11/1/24 11:38:01 PM,%RH,96.176
12/1/24 1:38:01 AM,%RH,87.887
12/1/24 3:38:01 AM,%RH,89.472
12/1/24 5:38:01 AM,%RH,95.162
12/1/24 7:38:01 AM,%RH,94.141
12/1/24 9:38:01 AM,%RH,81.954
12/1/24 11:38:01 AM,%RH,72.407
