1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E60000007D83E741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:33:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:33:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  15703
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:33:01 PM,C,23.029
9/1/24 11:33:01 PM,C,22.029
10/1/24 1:33:01 AM,C,22.029
10/1/24 3:33:01 AM,C,21.529
10/1/24 5:33:01 AM,C,21.028
10/1/24 7:33:01 AM,C,21.028
10/1/24 9:33:01 AM,C,21.529
10/1/24 11:33:01 AM,C,22.029
10/1/24 1:33:01 PM,C,22.529
10/1/24 3:33:01 PM,C,23.029
10/1/24 5:33:01 PM,C,22.529
10/1/24 7:33:01 PM,C,22.529
10/1/24 9:33:01 PM,C,22.529
10/1/24 11:33:01 PM,C,22.029
11/1/24 1:33:01 AM,C,21.529
11/1/24 3:33:01 AM,C,21.529
11/1/24 5:33:01 AM,C,21.028
11/1/24 7:33:01 AM,C,21.028
11/1/24 9:33:01 AM,C,21.028
11/1/24 11:33:01 AM,C,30.028
11/1/24 1:33:01 PM,C,23.029
11/1/24 3:33:01 PM,C,24.529
11/1/24 5:33:01 PM,C,23.529
11/1/24 7:33:01 PM,C,20.528
11/1/24 9:33:01 PM,C,20.028
11/1/24 11:33:01 PM,C,18.527
12/1/24 1:33:01 AM,C,18.527
12/1/24 3:33:01 AM,C,18.027
12/1/24 5:33:01 AM,C,17.526
12/1/24 7:33:01 AM,C,17.026
12/1/24 9:33:01 AM,C,18.027
12/1/24 11:33:01 AM,C,21.028
12/1/24 1:33:01 PM,C,23.529
12/1/24 3:33:01 PM,C,24.529
12/1/24 5:33:01 PM,C,23.029
12/1/24 7:33:01 PM,C,20.528
12/1/24 9:33:01 PM,C,19.528
12/1/24 11:33:01 PM,C,18.527
13/1/24 1:33:01 AM,C,17.526
13/1/24 3:33:01 AM,C,17.026
13/1/24 5:33:01 AM,C,16.526
13/1/24 7:33:01 AM,C,17.026
13/1/24 9:33:01 AM,C,18.527
13/1/24 11:33:01 AM,C,21.529
