1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E60000007D83E741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:33:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:33:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  15703
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:33:01 PM,%RH,85.854
9/1/24 11:33:01 PM,%RH,86.934
10/1/24 1:33:01 AM,%RH,84.222
10/1/24 3:33:01 AM,%RH,82.576
10/1/24 5:33:01 AM,%RH,82.025
10/1/24 7:33:01 AM,%RH,83.675
10/1/24 9:33:01 AM,%RH,83.126
10/1/24 11:33:01 AM,%RH,80.918
10/1/24 1:33:01 PM,%RH,78.124
10/1/24 3:33:01 PM,%RH,78.686
10/1/24 5:33:01 PM,%RH,79.805
10/1/24 7:33:01 PM,%RH,80.918
10/1/24 9:33:01 PM,%RH,79.805
10/1/24 11:33:01 PM,%RH,78.124
11/1/24 1:33:01 AM,%RH,78.686
11/1/24 3:33:01 AM,%RH,78.124
11/1/24 5:33:01 AM,%RH,80.362
11/1/24 7:33:01 AM,%RH,79.805
11/1/24 9:33:01 AM,%RH,79.805
11/1/24 11:33:01 AM,%RH,44.316
11/1/24 1:33:01 PM,%RH,68.349
11/1/24 3:33:01 PM,%RH,59.98
11/1/24 5:33:01 PM,%RH,72.426
11/1/24 7:33:01 PM,%RH,79.246
11/1/24 9:33:01 PM,%RH,78.124
11/1/24 11:33:01 PM,%RH,84.767
12/1/24 1:33:01 AM,%RH,84.767
12/1/24 3:33:01 AM,%RH,90.67
12/1/24 5:33:01 AM,%RH,94.334
12/1/24 7:33:01 AM,%RH,93.815
12/1/24 9:33:01 AM,%RH,86.395
12/1/24 11:33:01 AM,%RH,74.723
12/1/24 1:33:01 PM,%RH,68.349
12/1/24 3:33:01 PM,%RH,61.798
12/1/24 5:33:01 PM,%RH,73.577
12/1/24 7:33:01 PM,%RH,77.561
12/1/24 9:33:01 PM,%RH,80.918
12/1/24 11:33:01 PM,%RH,85.854
13/1/24 1:33:01 AM,%RH,89.61
13/1/24 3:33:01 AM,%RH,93.294
13/1/24 5:33:01 AM,%RH,96.395
13/1/24 7:33:01 AM,%RH,96.907
13/1/24 9:33:01 AM,%RH,95.367
13/1/24 11:33:01 AM,%RH,75.862
13/1/24 1:33:01 PM,%RH,68.349
13/1/24 3:33:01 PM,%RH,64.201
13/1/24 5:33:01 PM,%RH,82.025
13/1/24 7:33:01 PM,%RH,89.078
13/1/24 9:33:01 PM,%RH,95.367
13/1/24 11:33:01 PM,%RH,91.724
14/1/24 1:33:01 AM,%RH,95.367
14/1/24 3:33:01 AM,%RH,90.141
14/1/24 5:33:01 AM,%RH,92.773
14/1/24 7:33:01 AM,%RH,95.367
14/1/24 9:33:01 AM,%RH,94.334
14/1/24 11:33:01 AM,%RH,78.124
14/1/24 1:33:01 PM,%RH,67.761
14/1/24 3:33:01 PM,%RH,64.798
14/1/24 5:33:01 PM,%RH,83.675
14/1/24 7:33:01 PM,%RH,84.767
14/1/24 9:33:01 PM,%RH,82.025
14/1/24 11:33:01 PM,%RH,79.805
15/1/24 1:33:01 AM,%RH,80.362
15/1/24 3:33:01 AM,%RH,84.767
15/1/24 5:33:01 AM,%RH,88.544
15/1/24 7:33:01 AM,%RH,93.294
15/1/24 9:33:01 AM,%RH,93.815
15/1/24 11:33:01 AM,%RH,78.686
15/1/24 1:33:01 PM,%RH,58.761
15/1/24 3:33:01 PM,%RH,73.002
15/1/24 5:33:01 PM,%RH,76.43
15/1/24 7:33:01 PM,%RH,85.854
15/1/24 9:33:01 PM,%RH,92.249
15/1/24 11:33:01 PM,%RH,92.249
16/1/24 1:33:01 AM,%RH,91.198
16/1/24 3:33:01 AM,%RH,89.078
16/1/24 5:33:01 AM,%RH,88.009
16/1/24 7:33:01 AM,%RH,91.198
16/1/24 9:33:01 AM,%RH,94.334
16/1/24 11:33:01 AM,%RH,79.246
16/1/24 1:33:01 PM,%RH,68.349
16/1/24 3:33:01 PM,%RH,78.124
16/1/24 5:33:01 PM,%RH,87.472
16/1/24 7:33:01 PM,%RH,91.724
16/1/24 9:33:01 PM,%RH,95.367
16/1/24 11:33:01 PM,%RH,97.925
17/1/24 1:33:01 AM,%RH,98.938
17/1/24 3:33:01 AM,%RH,99.945
17/1/24 5:33:01 AM,%RH,98.938
17/1/24 7:33:01 AM,%RH,97.925
17/1/24 9:33:01 AM,%RH,96.395
17/1/24 11:33:01 AM,%RH,84.222
17/1/24 1:33:01 PM,%RH,84.767
17/1/24 3:33:01 PM,%RH,83.126
17/1/24 5:33:01 PM,%RH,80.362
17/1/24 7:33:01 PM,%RH,89.078
17/1/24 9:33:01 PM,%RH,96.907
17/1/24 11:33:01 PM,%RH,97.925
18/1/24 1:33:01 AM,%RH,97.925
18/1/24 3:33:01 AM,%RH,97.925
18/1/24 5:33:01 AM,%RH,98.432
18/1/24 7:33:01 AM,%RH,98.938
18/1/24 9:33:01 AM,%RH,96.907
