1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E90000007D812941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:40:01 IST 2024
Mission Sample Count:  3236
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:40:01 IST 2024
Total Mission Samples:  3236
Total Device Samples:  12737
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:40:01 PM,%RH,82.559
14/1/24 11:40:01 PM,%RH,80.883
15/1/24 1:40:01 AM,%RH,80.883
15/1/24 3:40:01 AM,%RH,80.883
15/1/24 5:40:01 AM,%RH,81.443
15/1/24 7:40:01 AM,%RH,83.115
15/1/24 9:40:01 AM,%RH,81.443
15/1/24 11:40:01 AM,%RH,76.342
15/1/24 1:40:01 PM,%RH,55.903
15/1/24 3:40:01 PM,%RH,71.699
15/1/24 5:40:01 PM,%RH,81.443
15/1/24 7:40:01 PM,%RH,86.415
15/1/24 9:40:01 PM,%RH,91.257
15/1/24 11:40:01 PM,%RH,94.934
16/1/24 1:40:01 AM,%RH,94.413
16/1/24 3:40:01 AM,%RH,94.934
16/1/24 5:40:01 AM,%RH,85.321
16/1/24 7:40:01 AM,%RH,90.192
16/1/24 9:40:01 AM,%RH,88.583
16/1/24 11:40:01 AM,%RH,71.111
16/1/24 1:40:01 PM,%RH,59.024
16/1/24 3:40:01 PM,%RH,76.342
16/1/24 5:40:01 PM,%RH,88.583
16/1/24 7:40:01 PM,%RH,93.367
16/1/24 9:40:01 PM,%RH,96.485
16/1/24 11:40:01 PM,%RH,98.532
17/1/24 1:40:01 AM,%RH,99.546
17/1/24 3:40:01 AM,%RH,100.05
17/1/24 5:40:01 AM,%RH,100.05
17/1/24 7:40:01 AM,%RH,101.054
17/1/24 9:40:01 AM,%RH,82.559
17/1/24 11:40:01 AM,%RH,76.915
17/1/24 1:40:01 PM,%RH,78.625
17/1/24 3:40:01 PM,%RH,79.192
17/1/24 5:40:01 PM,%RH,82.559
17/1/24 7:40:01 PM,%RH,88.583
17/1/24 9:40:01 PM,%RH,96.485
17/1/24 11:40:01 PM,%RH,99.04
18/1/24 1:40:01 AM,%RH,99.04
18/1/24 3:40:01 AM,%RH,99.04
18/1/24 5:40:01 AM,%RH,99.546
18/1/24 7:40:01 AM,%RH,100.05
18/1/24 9:40:01 AM,%RH,90.192
18/1/24 11:40:01 AM,%RH,70.522
18/1/24 1:40:01 PM,%RH,73.452
18/1/24 3:40:01 PM,%RH,85.321
18/1/24 5:40:01 PM,%RH,88.583
18/1/24 7:40:01 PM,%RH,95.452
18/1/24 9:40:01 PM,%RH,95.97
18/1/24 11:40:01 PM,%RH,99.04
19/1/24 1:40:01 AM,%RH,99.546
19/1/24 3:40:01 AM,%RH,99.546
19/1/24 5:40:01 AM,%RH,99.546
19/1/24 7:40:01 AM,%RH,100.553
19/1/24 9:40:01 AM,%RH,96.485
19/1/24 11:40:01 AM,%RH,70.522
19/1/24 1:40:01 PM,%RH,76.915
19/1/24 3:40:01 PM,%RH,89.121
19/1/24 5:40:01 PM,%RH,93.367
19/1/24 7:40:01 PM,%RH,96.485
19/1/24 9:40:01 PM,%RH,99.546
19/1/24 11:40:01 PM,%RH,99.04
20/1/24 1:40:01 AM,%RH,100.553
20/1/24 3:40:01 AM,%RH,97.512
20/1/24 5:40:01 AM,%RH,99.546
20/1/24 7:40:01 AM,%RH,99.546
20/1/24 9:40:01 AM,%RH,87.502
20/1/24 11:40:01 AM,%RH,74.033
20/1/24 1:40:01 PM,%RH,84.772
20/1/24 3:40:01 PM,%RH,86.959
20/1/24 5:40:01 PM,%RH,90.192
20/1/24 7:40:01 PM,%RH,95.97
20/1/24 9:40:01 PM,%RH,98.023
20/1/24 11:40:01 PM,%RH,99.04
21/1/24 1:40:01 AM,%RH,99.04
21/1/24 3:40:01 AM,%RH,100.553
21/1/24 5:40:01 AM,%RH,100.553
21/1/24 7:40:01 AM,%RH,101.554
21/1/24 9:40:01 AM,%RH,90.192
21/1/24 11:40:01 AM,%RH,69.931
21/1/24 1:40:01 PM,%RH,69.931
21/1/24 3:40:01 PM,%RH,78.057
21/1/24 5:40:01 PM,%RH,82.559
21/1/24 7:40:01 PM,%RH,94.413
21/1/24 9:40:01 PM,%RH,97.512
21/1/24 11:40:01 PM,%RH,98.023
22/1/24 1:40:01 AM,%RH,98.532
22/1/24 3:40:01 AM,%RH,99.04
22/1/24 5:40:01 AM,%RH,100.553
22/1/24 7:40:01 AM,%RH,100.05
22/1/24 9:40:01 AM,%RH,91.257
22/1/24 11:40:01 AM,%RH,69.931
22/1/24 1:40:01 PM,%RH,70.522
22/1/24 3:40:01 PM,%RH,83.669
22/1/24 5:40:01 PM,%RH,87.502
22/1/24 7:40:01 PM,%RH,94.413
22/1/24 9:40:01 PM,%RH,97.512
22/1/24 11:40:01 PM,%RH,96.999
23/1/24 1:40:01 AM,%RH,98.023
23/1/24 3:40:01 AM,%RH,98.532
23/1/24 5:40:01 AM,%RH,100.05
23/1/24 7:40:01 AM,%RH,98.023
23/1/24 9:40:01 AM,%RH,86.959
23/1/24 11:40:01 AM,%RH,71.111
23/1/24 1:40:01 PM,%RH,76.342
23/1/24 3:40:01 PM,%RH,85.321
23/1/24 5:40:01 PM,%RH,89.657
23/1/24 7:40:01 PM,%RH,91.257
23/1/24 9:40:01 PM,%RH,91.787
23/1/24 11:40:01 PM,%RH,92.842
24/1/24 1:40:01 AM,%RH,94.934
24/1/24 3:40:01 AM,%RH,90.725
24/1/24 5:40:01 AM,%RH,93.367
24/1/24 7:40:01 AM,%RH,89.657
24/1/24 9:40:01 AM,%RH,76.915
24/1/24 11:40:01 AM,%RH,60.262
24/1/24 1:40:01 PM,%RH,67.552
24/1/24 3:40:01 PM,%RH,73.452
24/1/24 5:40:01 PM,%RH,80.321
24/1/24 7:40:01 PM,%RH,90.192
24/1/24 9:40:01 PM,%RH,90.725
24/1/24 11:40:01 PM,%RH,89.657
25/1/24 1:40:01 AM,%RH,80.321
25/1/24 3:40:01 AM,%RH,76.915
25/1/24 5:40:01 AM,%RH,84.772
25/1/24 7:40:01 AM,%RH,88.043
25/1/24 9:40:01 AM,%RH,65.751
25/1/24 11:40:01 AM,%RH,72.869
25/1/24 1:40:01 PM,%RH,80.883
25/1/24 3:40:01 PM,%RH,80.321
25/1/24 5:40:01 PM,%RH,84.221
25/1/24 7:40:01 PM,%RH,94.934
25/1/24 9:40:01 PM,%RH,97.512
25/1/24 11:40:01 PM,%RH,98.532
26/1/24 1:40:01 AM,%RH,99.04
26/1/24 3:40:01 AM,%RH,92.842
26/1/24 5:40:01 AM,%RH,95.452
26/1/24 7:40:01 AM,%RH,92.842
26/1/24 9:40:01 AM,%RH,78.057
26/1/24 11:40:01 AM,%RH,59.644
26/1/24 1:40:01 PM,%RH,54.01
26/1/24 3:40:01 PM,%RH,48.894
26/1/24 5:40:01 PM,%RH,57.78
26/1/24 7:40:01 PM,%RH,84.221
26/1/24 9:40:01 PM,%RH,93.367
26/1/24 11:40:01 PM,%RH,94.413
27/1/24 1:40:01 AM,%RH,68.15
27/1/24 3:40:01 AM,%RH,70.522
27/1/24 5:40:01 AM,%RH,83.669
27/1/24 7:40:01 AM,%RH,91.257
27/1/24 9:40:01 AM,%RH,81.443
27/1/24 11:40:01 AM,%RH,59.024
27/1/24 1:40:01 PM,%RH,48.894
27/1/24 3:40:01 PM,%RH,50.825
27/1/24 5:40:01 PM,%RH,57.156
27/1/24 7:40:01 PM,%RH,66.954
27/1/24 9:40:01 PM,%RH,60.262
27/1/24 11:40:01 PM,%RH,68.745
28/1/24 1:40:01 AM,%RH,71.699
28/1/24 3:40:01 AM,%RH,81.443
28/1/24 5:40:01 AM,%RH,88.043
28/1/24 7:40:01 AM,%RH,92.842
28/1/24 9:40:01 AM,%RH,78.057
28/1/24 11:40:01 AM,%RH,60.262
28/1/24 1:40:01 PM,%RH,48.894
28/1/24 3:40:01 PM,%RH,50.183
28/1/24 5:40:01 PM,%RH,56.53
28/1/24 7:40:01 PM,%RH,80.321
28/1/24 9:40:01 PM,%RH,86.415
28/1/24 11:40:01 PM,%RH,93.891
29/1/24 1:40:01 AM,%RH,93.367
29/1/24 3:40:01 AM,%RH,79.757
29/1/24 5:40:01 AM,%RH,80.883
29/1/24 7:40:01 AM,%RH,84.221
29/1/24 9:40:01 AM,%RH,78.057
29/1/24 11:40:01 AM,%RH,69.931
29/1/24 1:40:01 PM,%RH,60.262
29/1/24 3:40:01 PM,%RH,59.644
29/1/24 5:40:01 PM,%RH,78.625
29/1/24 7:40:01 PM,%RH,83.115
29/1/24 9:40:01 PM,%RH,90.725
29/1/24 11:40:01 PM,%RH,94.934
30/1/24 1:40:01 AM,%RH,68.745
30/1/24 3:40:01 AM,%RH,68.745
30/1/24 5:40:01 AM,%RH,79.192
30/1/24 7:40:01 AM,%RH,85.869
30/1/24 9:40:01 AM,%RH,72.869
30/1/24 11:40:01 AM,%RH,57.156
30/1/24 1:40:01 PM,%RH,62.106
30/1/24 3:40:01 PM,%RH,70.522
30/1/24 5:40:01 PM,%RH,68.745
30/1/24 7:40:01 PM,%RH,75.191
30/1/24 9:40:01 PM,%RH,93.367
30/1/24 11:40:01 PM,%RH,89.121
31/1/24 1:40:01 AM,%RH,85.321
31/1/24 3:40:01 AM,%RH,90.192
31/1/24 5:40:01 AM,%RH,91.257
31/1/24 7:40:01 AM,%RH,91.257
31/1/24 9:40:01 AM,%RH,68.745
31/1/24 11:40:01 AM,%RH,60.878
31/1/24 1:40:01 PM,%RH,59.024
31/1/24 3:40:01 PM,%RH,65.148
31/1/24 5:40:01 PM,%RH,71.111
31/1/24 7:40:01 PM,%RH,78.057
31/1/24 9:40:01 PM,%RH,80.321
31/1/24 11:40:01 PM,%RH,93.891
1/2/24 1:40:01 AM,%RH,95.452
1/2/24 3:40:01 AM,%RH,96.485
1/2/24 5:40:01 AM,%RH,92.315
1/2/24 7:40:01 AM,%RH,84.221
1/2/24 9:40:01 AM,%RH,63.936
1/2/24 11:40:01 AM,%RH,63.936
1/2/24 1:40:01 PM,%RH,64.543
1/2/24 3:40:01 PM,%RH,72.869
1/2/24 5:40:01 PM,%RH,79.192
1/2/24 7:40:01 PM,%RH,88.043
1/2/24 9:40:01 PM,%RH,94.934
1/2/24 11:40:01 PM,%RH,94.413
2/2/24 1:40:01 AM,%RH,95.97
2/2/24 3:40:01 AM,%RH,94.934
2/2/24 5:40:01 AM,%RH,99.04
2/2/24 7:40:01 AM,%RH,98.532
2/2/24 9:40:01 AM,%RH,74.033
2/2/24 11:40:01 AM,%RH,49.539
2/2/24 1:40:01 PM,%RH,52.741
2/2/24 3:40:01 PM,%RH,70.522
2/2/24 5:40:01 PM,%RH,76.342
2/2/24 7:40:01 PM,%RH,88.583
2/2/24 9:40:01 PM,%RH,95.452
2/2/24 11:40:01 PM,%RH,95.452
3/2/24 1:40:01 AM,%RH,97.512
3/2/24 3:40:01 AM,%RH,85.869
3/2/24 5:40:01 AM,%RH,90.192
3/2/24 7:40:01 AM,%RH,90.725
3/2/24 9:40:01 AM,%RH,76.915
3/2/24 11:40:01 AM,%RH,70.522
3/2/24 1:40:01 PM,%RH,60.878
3/2/24 3:40:01 PM,%RH,75.767
3/2/24 5:40:01 PM,%RH,80.883
3/2/24 7:40:01 PM,%RH,91.257
3/2/24 9:40:01 PM,%RH,93.367
3/2/24 11:40:01 PM,%RH,92.842
4/2/24 1:40:01 AM,%RH,96.999
4/2/24 3:40:01 AM,%RH,90.192
4/2/24 5:40:01 AM,%RH,91.257
4/2/24 7:40:01 AM,%RH,91.257
4/2/24 9:40:01 AM,%RH,73.452
4/2/24 11:40:01 AM,%RH,63.327
4/2/24 1:40:01 PM,%RH,53.376
4/2/24 3:40:01 PM,%RH,59.644
4/2/24 5:40:01 PM,%RH,77.487
4/2/24 7:40:01 PM,%RH,94.413
4/2/24 9:40:01 PM,%RH,95.97
4/2/24 11:40:01 PM,%RH,99.546
5/2/24 1:40:01 AM,%RH,99.04
5/2/24 3:40:01 AM,%RH,99.04
5/2/24 5:40:01 AM,%RH,88.583
5/2/24 7:40:01 AM,%RH,86.959
5/2/24 9:40:01 AM,%RH,69.931
5/2/24 11:40:01 AM,%RH,54.01
5/2/24 1:40:01 PM,%RH,43.016
5/2/24 3:40:01 PM,%RH,34.977
5/2/24 5:40:01 PM,%RH,57.78
5/2/24 7:40:01 PM,%RH,78.057
5/2/24 9:40:01 PM,%RH,94.934
5/2/24 11:40:01 PM,%RH,96.485
6/2/24 1:40:01 AM,%RH,98.532
6/2/24 3:40:01 AM,%RH,98.532
6/2/24 5:40:01 AM,%RH,90.725
6/2/24 7:40:01 AM,%RH,89.657
6/2/24 9:40:01 AM,%RH,69.339
6/2/24 11:40:01 AM,%RH,46.949
6/2/24 1:40:01 PM,%RH,30.182
6/2/24 3:40:01 PM,%RH,27.406
6/2/24 5:40:01 PM,%RH,39.695
6/2/24 7:40:01 PM,%RH,71.111
6/2/24 9:40:01 PM,%RH,90.192
6/2/24 11:40:01 PM,%RH,91.787
7/2/24 1:40:01 AM,%RH,77.487
7/2/24 3:40:01 AM,%RH,62.718
7/2/24 5:40:01 AM,%RH,70.522
7/2/24 7:40:01 AM,%RH,74.033
7/2/24 9:40:01 AM,%RH,58.403
7/2/24 11:40:01 AM,%RH,36.333
7/2/24 1:40:01 PM,%RH,26.009
7/2/24 3:40:01 PM,%RH,27.406
7/2/24 5:40:01 PM,%RH,60.262
7/2/24 7:40:01 PM,%RH,77.487
7/2/24 9:40:01 PM,%RH,94.934
7/2/24 11:40:01 PM,%RH,90.192
8/2/24 1:40:01 AM,%RH,83.115
8/2/24 3:40:01 AM,%RH,69.339
8/2/24 5:40:01 AM,%RH,71.699
8/2/24 7:40:01 AM,%RH,72.285
8/2/24 9:40:01 AM,%RH,47.599
8/2/24 11:40:01 AM,%RH,37.682
8/2/24 1:40:01 PM,%RH,35.656
8/2/24 3:40:01 PM,%RH,63.936
8/2/24 5:40:01 PM,%RH,71.111
8/2/24 7:40:01 PM,%RH,84.772
8/2/24 9:40:01 PM,%RH,90.192
8/2/24 11:40:01 PM,%RH,93.891
9/2/24 1:40:01 AM,%RH,84.221
9/2/24 3:40:01 AM,%RH,85.321
9/2/24 5:40:01 AM,%RH,88.583
9/2/24 7:40:01 AM,%RH,84.221
9/2/24 9:40:01 AM,%RH,61.493
9/2/24 11:40:01 AM,%RH,43.676
9/2/24 1:40:01 PM,%RH,39.695
9/2/24 3:40:01 PM,%RH,63.327
9/2/24 5:40:01 PM,%RH,76.915
9/2/24 7:40:01 PM,%RH,86.959
9/2/24 9:40:01 PM,%RH,95.97
9/2/24 11:40:01 PM,%RH,99.546
10/2/24 1:40:01 AM,%RH,88.583
