1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F60000007DABBC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:37:01 IST 2024
Mission Sample Count:  3237
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:37:01 IST 2024
Total Mission Samples:  3237
Total Device Samples:  12694
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:37:01 PM,C,22.126
14/1/24 11:37:01 PM,C,22.126
15/1/24 1:37:01 AM,C,21.626
15/1/24 3:37:01 AM,C,20.625
15/1/24 5:37:01 AM,C,20.625
15/1/24 7:37:01 AM,C,19.624
15/1/24 9:37:01 AM,C,22.126
15/1/24 11:37:01 AM,C,23.627
15/1/24 1:37:01 PM,C,24.127
15/1/24 3:37:01 PM,C,23.627
15/1/24 5:37:01 PM,C,22.126
15/1/24 7:37:01 PM,C,20.125
15/1/24 9:37:01 PM,C,19.624
15/1/24 11:37:01 PM,C,19.124
16/1/24 1:37:01 AM,C,18.623
16/1/24 3:37:01 AM,C,17.622
16/1/24 5:37:01 AM,C,18.623
16/1/24 7:37:01 AM,C,17.622
16/1/24 9:37:01 AM,C,19.124
16/1/24 11:37:01 AM,C,22.626
16/1/24 1:37:01 PM,C,24.127
16/1/24 3:37:01 PM,C,23.627
16/1/24 5:37:01 PM,C,22.126
16/1/24 7:37:01 PM,C,20.125
16/1/24 9:37:01 PM,C,19.624
16/1/24 11:37:01 PM,C,19.624
17/1/24 1:37:01 AM,C,19.124
17/1/24 3:37:01 AM,C,18.623
17/1/24 5:37:01 AM,C,18.623
17/1/24 7:37:01 AM,C,18.623
17/1/24 9:37:01 AM,C,21.125
17/1/24 11:37:01 AM,C,22.126
17/1/24 1:37:01 PM,C,23.627
17/1/24 3:37:01 PM,C,23.126
17/1/24 5:37:01 PM,C,22.126
17/1/24 7:37:01 PM,C,20.125
17/1/24 9:37:01 PM,C,20.125
17/1/24 11:37:01 PM,C,19.624
18/1/24 1:37:01 AM,C,19.124
18/1/24 3:37:01 AM,C,18.623
18/1/24 5:37:01 AM,C,18.122
18/1/24 7:37:01 AM,C,18.122
18/1/24 9:37:01 AM,C,20.125
18/1/24 11:37:01 AM,C,22.626
18/1/24 1:37:01 PM,C,23.627
18/1/24 3:37:01 PM,C,23.126
18/1/24 5:37:01 PM,C,22.126
18/1/24 7:37:01 PM,C,20.625
18/1/24 9:37:01 PM,C,20.125
18/1/24 11:37:01 PM,C,20.125
19/1/24 1:37:01 AM,C,19.624
19/1/24 3:37:01 AM,C,19.624
19/1/24 5:37:01 AM,C,19.124
19/1/24 7:37:01 AM,C,18.623
19/1/24 9:37:01 AM,C,19.624
19/1/24 11:37:01 AM,C,23.126
19/1/24 1:37:01 PM,C,23.126
19/1/24 3:37:01 PM,C,22.626
19/1/24 5:37:01 PM,C,22.126
19/1/24 7:37:01 PM,C,20.625
19/1/24 9:37:01 PM,C,20.125
19/1/24 11:37:01 PM,C,19.124
20/1/24 1:37:01 AM,C,18.122
20/1/24 3:37:01 AM,C,19.124
20/1/24 5:37:01 AM,C,18.122
20/1/24 7:37:01 AM,C,18.122
20/1/24 9:37:01 AM,C,20.625
20/1/24 11:37:01 AM,C,23.126
20/1/24 1:37:01 PM,C,22.626
20/1/24 3:37:01 PM,C,23.627
20/1/24 5:37:01 PM,C,23.126
20/1/24 7:37:01 PM,C,21.125
20/1/24 9:37:01 PM,C,20.125
20/1/24 11:37:01 PM,C,19.624
21/1/24 1:37:01 AM,C,20.125
21/1/24 3:37:01 AM,C,19.124
21/1/24 5:37:01 AM,C,18.623
21/1/24 7:37:01 AM,C,18.623
21/1/24 9:37:01 AM,C,20.625
21/1/24 11:37:01 AM,C,23.627
21/1/24 1:37:01 PM,C,23.627
21/1/24 3:37:01 PM,C,24.127
21/1/24 5:37:01 PM,C,22.626
21/1/24 7:37:01 PM,C,21.626
21/1/24 9:37:01 PM,C,20.625
21/1/24 11:37:01 PM,C,20.125
22/1/24 1:37:01 AM,C,20.125
22/1/24 3:37:01 AM,C,19.624
22/1/24 5:37:01 AM,C,18.122
22/1/24 7:37:01 AM,C,18.623
22/1/24 9:37:01 AM,C,20.625
22/1/24 11:37:01 AM,C,23.627
22/1/24 1:37:01 PM,C,25.127
22/1/24 3:37:01 PM,C,23.627
22/1/24 5:37:01 PM,C,22.626
22/1/24 7:37:01 PM,C,21.125
22/1/24 9:37:01 PM,C,21.125
22/1/24 11:37:01 PM,C,20.625
23/1/24 1:37:01 AM,C,20.125
23/1/24 3:37:01 AM,C,19.124
23/1/24 5:37:01 AM,C,18.623
23/1/24 7:37:01 AM,C,19.124
23/1/24 9:37:01 AM,C,20.625
23/1/24 11:37:01 AM,C,23.627
23/1/24 1:37:01 PM,C,22.626
23/1/24 3:37:01 PM,C,23.627
23/1/24 5:37:01 PM,C,22.626
23/1/24 7:37:01 PM,C,20.625
23/1/24 9:37:01 PM,C,19.124
23/1/24 11:37:01 PM,C,18.623
24/1/24 1:37:01 AM,C,18.623
24/1/24 3:37:01 AM,C,18.122
24/1/24 5:37:01 AM,C,17.121
24/1/24 7:37:01 AM,C,17.121
24/1/24 9:37:01 AM,C,20.125
24/1/24 11:37:01 AM,C,22.626
24/1/24 1:37:01 PM,C,23.126
24/1/24 3:37:01 PM,C,22.626
24/1/24 5:37:01 PM,C,21.626
24/1/24 7:37:01 PM,C,20.125
24/1/24 9:37:01 PM,C,18.623
24/1/24 11:37:01 PM,C,17.622
25/1/24 1:37:01 AM,C,16.62
25/1/24 3:37:01 AM,C,17.121
25/1/24 5:37:01 AM,C,17.121
25/1/24 7:37:01 AM,C,17.622
25/1/24 9:37:01 AM,C,21.626
25/1/24 11:37:01 AM,C,22.126
25/1/24 1:37:01 PM,C,21.626
25/1/24 3:37:01 PM,C,22.626
25/1/24 5:37:01 PM,C,21.626
25/1/24 7:37:01 PM,C,19.624
25/1/24 9:37:01 PM,C,19.124
25/1/24 11:37:01 PM,C,18.623
26/1/24 1:37:01 AM,C,18.122
26/1/24 3:37:01 AM,C,19.124
26/1/24 5:37:01 AM,C,18.122
26/1/24 7:37:01 AM,C,18.122
26/1/24 9:37:01 AM,C,20.625
26/1/24 11:37:01 AM,C,23.126
26/1/24 1:37:01 PM,C,24.127
26/1/24 3:37:01 PM,C,24.627
26/1/24 5:37:01 PM,C,23.627
26/1/24 7:37:01 PM,C,21.125
26/1/24 9:37:01 PM,C,19.624
26/1/24 11:37:01 PM,C,18.122
27/1/24 1:37:01 AM,C,19.624
27/1/24 3:37:01 AM,C,18.122
27/1/24 5:37:01 AM,C,17.121
27/1/24 7:37:01 AM,C,16.62
27/1/24 9:37:01 AM,C,20.125
27/1/24 11:37:01 AM,C,22.626
27/1/24 1:37:01 PM,C,24.127
27/1/24 3:37:01 PM,C,24.127
27/1/24 5:37:01 PM,C,23.627
27/1/24 7:37:01 PM,C,22.126
27/1/24 9:37:01 PM,C,21.626
27/1/24 11:37:01 PM,C,20.625
28/1/24 1:37:01 AM,C,18.623
