1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FB0000007D8D0E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:50:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:50:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12876
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:50:01 PM,%RH,77.384
11/1/24 11:50:01 PM,%RH,77.942
12/1/24 1:50:01 AM,%RH,78.499
12/1/24 3:50:01 AM,%RH,79.054
12/1/24 5:50:01 AM,%RH,77.942
12/1/24 7:50:01 AM,%RH,78.499
12/1/24 9:50:01 AM,%RH,69.976
12/1/24 11:50:01 AM,%RH,79.607
12/1/24 1:50:01 PM,%RH,73.999
12/1/24 3:50:01 PM,%RH,73.999
12/1/24 5:50:01 PM,%RH,78.499
12/1/24 7:50:01 PM,%RH,81.258
12/1/24 9:50:01 PM,%RH,82.893
12/1/24 11:50:01 PM,%RH,86.652
13/1/24 1:50:01 AM,%RH,86.12
13/1/24 3:50:01 AM,%RH,93.418
13/1/24 5:50:01 AM,%RH,94.94
13/1/24 7:50:01 AM,%RH,96.447
13/1/24 9:50:01 AM,%RH,94.94
13/1/24 11:50:01 AM,%RH,81.804
13/1/24 1:50:01 PM,%RH,79.607
13/1/24 3:50:01 PM,%RH,76.824
13/1/24 5:50:01 PM,%RH,87.711
13/1/24 7:50:01 PM,%RH,95.444
13/1/24 9:50:01 PM,%RH,95.444
13/1/24 11:50:01 PM,%RH,96.447
14/1/24 1:50:01 AM,%RH,93.927
14/1/24 3:50:01 AM,%RH,90.33
14/1/24 5:50:01 AM,%RH,92.395
14/1/24 7:50:01 AM,%RH,94.94
14/1/24 9:50:01 AM,%RH,93.927
14/1/24 11:50:01 AM,%RH,80.709
14/1/24 1:50:01 PM,%RH,74.568
14/1/24 3:50:01 PM,%RH,73.43
14/1/24 5:50:01 PM,%RH,87.182
14/1/24 7:50:01 PM,%RH,89.287
14/1/24 9:50:01 PM,%RH,78.499
14/1/24 11:50:01 PM,%RH,76.824
15/1/24 1:50:01 AM,%RH,76.262
15/1/24 3:50:01 AM,%RH,84.514
15/1/24 5:50:01 AM,%RH,90.849
15/1/24 7:50:01 AM,%RH,95.444
15/1/24 9:50:01 AM,%RH,93.927
15/1/24 11:50:01 AM,%RH,85.586
15/1/24 1:50:01 PM,%RH,73.999
15/1/24 3:50:01 PM,%RH,81.804
15/1/24 5:50:01 PM,%RH,85.051
15/1/24 7:50:01 PM,%RH,90.849
15/1/24 9:50:01 PM,%RH,97.444
15/1/24 11:50:01 PM,%RH,97.94
16/1/24 1:50:01 AM,%RH,98.434
16/1/24 3:50:01 AM,%RH,97.444
16/1/24 5:50:01 AM,%RH,94.94
16/1/24 7:50:01 AM,%RH,96.447
16/1/24 9:50:01 AM,%RH,96.946
16/1/24 11:50:01 AM,%RH,87.182
16/1/24 1:50:01 PM,%RH,77.384
16/1/24 3:50:01 PM,%RH,85.051
16/1/24 5:50:01 PM,%RH,90.33
16/1/24 7:50:01 PM,%RH,95.947
16/1/24 9:50:01 PM,%RH,96.946
16/1/24 11:50:01 PM,%RH,98.434
17/1/24 1:50:01 AM,%RH,99.417
17/1/24 3:50:01 AM,%RH,98.927
17/1/24 5:50:01 AM,%RH,99.907
17/1/24 7:50:01 AM,%RH,100.394
17/1/24 9:50:01 AM,%RH,97.94
17/1/24 11:50:01 AM,%RH,90.33
17/1/24 1:50:01 PM,%RH,90.33
17/1/24 3:50:01 PM,%RH,85.586
17/1/24 5:50:01 PM,%RH,87.711
17/1/24 7:50:01 PM,%RH,93.927
17/1/24 9:50:01 PM,%RH,95.444
17/1/24 11:50:01 PM,%RH,98.927
18/1/24 1:50:01 AM,%RH,97.444
18/1/24 3:50:01 AM,%RH,100.394
18/1/24 5:50:01 AM,%RH,100.88
18/1/24 7:50:01 AM,%RH,100.394
18/1/24 9:50:01 AM,%RH,97.94
18/1/24 11:50:01 AM,%RH,90.33
18/1/24 1:50:01 PM,%RH,88.763
18/1/24 3:50:01 PM,%RH,85.586
18/1/24 5:50:01 PM,%RH,92.395
18/1/24 7:50:01 PM,%RH,97.444
18/1/24 9:50:01 PM,%RH,98.434
18/1/24 11:50:01 PM,%RH,99.417
19/1/24 1:50:01 AM,%RH,98.927
