1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000007D8F8741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:32:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:32:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  11441
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:32:01 PM,%RH,85.497
9/1/24 11:32:01 PM,%RH,85.497
10/1/24 1:32:01 AM,%RH,86.035
10/1/24 3:32:01 AM,%RH,83.874
10/1/24 5:32:01 AM,%RH,84.417
10/1/24 7:32:01 AM,%RH,84.417
10/1/24 9:32:01 AM,%RH,84.417
10/1/24 11:32:01 AM,%RH,76.124
10/1/24 1:32:01 PM,%RH,74.425
10/1/24 3:32:01 PM,%RH,74.993
10/1/24 5:32:01 PM,%RH,81.139
10/1/24 7:32:01 PM,%RH,82.784
10/1/24 9:32:01 PM,%RH,81.139
10/1/24 11:32:01 PM,%RH,79.481
11/1/24 1:32:01 AM,%RH,80.035
11/1/24 3:32:01 AM,%RH,80.035
11/1/24 5:32:01 AM,%RH,80.588
11/1/24 7:32:01 AM,%RH,81.139
11/1/24 9:32:01 AM,%RH,82.237
11/1/24 11:32:01 AM,%RH,37.014
11/1/24 1:32:01 PM,%RH,67.499
11/1/24 3:32:01 PM,%RH,63.361
11/1/24 5:32:01 PM,%RH,69.251
11/1/24 7:32:01 PM,%RH,75.559
11/1/24 9:32:01 PM,%RH,75.559
11/1/24 11:32:01 PM,%RH,83.874
12/1/24 1:32:01 AM,%RH,83.33
12/1/24 3:32:01 AM,%RH,90.287
12/1/24 5:32:01 AM,%RH,94.445
12/1/24 7:32:01 AM,%RH,92.897
12/1/24 9:32:01 AM,%RH,87.107
12/1/24 11:32:01 AM,%RH,73.286
12/1/24 1:32:01 PM,%RH,66.324
12/1/24 3:32:01 PM,%RH,57.934
12/1/24 5:32:01 PM,%RH,70.989
12/1/24 7:32:01 PM,%RH,76.124
12/1/24 9:32:01 PM,%RH,79.481
12/1/24 11:32:01 PM,%RH,86.035
13/1/24 1:32:01 AM,%RH,89.761
13/1/24 3:32:01 AM,%RH,93.414
13/1/24 5:32:01 AM,%RH,96.488
13/1/24 7:32:01 AM,%RH,96.995
13/1/24 9:32:01 AM,%RH,94.958
13/1/24 11:32:01 AM,%RH,74.993
13/1/24 1:32:01 PM,%RH,65.143
13/1/24 3:32:01 PM,%RH,62.764
13/1/24 5:32:01 PM,%RH,82.237
13/1/24 7:32:01 PM,%RH,88.173
13/1/24 9:32:01 PM,%RH,95.98
13/1/24 11:32:01 PM,%RH,93.414
14/1/24 1:32:01 AM,%RH,91.857
14/1/24 3:32:01 AM,%RH,87.641
14/1/24 5:32:01 AM,%RH,91.335
14/1/24 7:32:01 AM,%RH,94.445
14/1/24 9:32:01 AM,%RH,94.445
14/1/24 11:32:01 AM,%RH,76.124
14/1/24 1:32:01 PM,%RH,63.361
14/1/24 3:32:01 PM,%RH,64.551
14/1/24 5:32:01 PM,%RH,84.417
14/1/24 7:32:01 PM,%RH,83.33
14/1/24 9:32:01 PM,%RH,80.588
14/1/24 11:32:01 PM,%RH,71.565
15/1/24 1:32:01 AM,%RH,76.124
15/1/24 3:32:01 AM,%RH,82.237
15/1/24 5:32:01 AM,%RH,86.572
15/1/24 7:32:01 AM,%RH,91.857
15/1/24 9:32:01 AM,%RH,93.414
15/1/24 11:32:01 AM,%RH,77.809
15/1/24 1:32:01 PM,%RH,61.565
15/1/24 3:32:01 PM,%RH,70.989
15/1/24 5:32:01 PM,%RH,77.809
15/1/24 7:32:01 PM,%RH,84.417
15/1/24 9:32:01 PM,%RH,91.335
15/1/24 11:32:01 PM,%RH,92.378
16/1/24 1:32:01 AM,%RH,90.287
16/1/24 3:32:01 AM,%RH,87.107
16/1/24 5:32:01 AM,%RH,87.107
16/1/24 7:32:01 AM,%RH,93.93
16/1/24 9:32:01 AM,%RH,95.469
16/1/24 11:32:01 AM,%RH,82.784
16/1/24 1:32:01 PM,%RH,67.499
16/1/24 3:32:01 PM,%RH,76.687
16/1/24 5:32:01 PM,%RH,86.035
16/1/24 7:32:01 PM,%RH,91.857
16/1/24 9:32:01 PM,%RH,96.488
16/1/24 11:32:01 PM,%RH,97.501
17/1/24 1:32:01 AM,%RH,99.009
17/1/24 3:32:01 AM,%RH,100.007
17/1/24 5:32:01 AM,%RH,99.009
17/1/24 7:32:01 AM,%RH,98.508
17/1/24 9:32:01 AM,%RH,96.995
17/1/24 11:32:01 AM,%RH,83.874
17/1/24 1:32:01 PM,%RH,83.33
17/1/24 3:32:01 PM,%RH,80.035
17/1/24 5:32:01 PM,%RH,79.481
17/1/24 7:32:01 PM,%RH,87.641
17/1/24 9:32:01 PM,%RH,96.995
17/1/24 11:32:01 PM,%RH,98.005
18/1/24 1:32:01 AM,%RH,97.501
18/1/24 3:32:01 AM,%RH,99.509
18/1/24 5:32:01 AM,%RH,98.005
18/1/24 7:32:01 AM,%RH,99.009
18/1/24 9:32:01 AM,%RH,96.995
18/1/24 11:32:01 AM,%RH,83.874
18/1/24 1:32:01 PM,%RH,80.035
18/1/24 3:32:01 PM,%RH,80.588
18/1/24 5:32:01 PM,%RH,84.417
18/1/24 7:32:01 PM,%RH,94.445
18/1/24 9:32:01 PM,%RH,96.488
18/1/24 11:32:01 PM,%RH,99.009
19/1/24 1:32:01 AM,%RH,97.501
