1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000007DA8C341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:59:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:59:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  16122
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:59:01 PM,C,21.589
11/1/24 11:59:01 PM,C,21.088
12/1/24 1:59:01 AM,C,21.088
12/1/24 3:59:01 AM,C,20.588
12/1/24 5:59:01 AM,C,20.588
12/1/24 7:59:01 AM,C,20.087
12/1/24 9:59:01 AM,C,22.089
12/1/24 11:59:01 AM,C,21.088
12/1/24 1:59:01 PM,C,22.589
12/1/24 3:59:01 PM,C,23.089
12/1/24 5:59:01 PM,C,22.089
12/1/24 7:59:01 PM,C,20.588
12/1/24 9:59:01 PM,C,19.587
12/1/24 11:59:01 PM,C,18.586
13/1/24 1:59:01 AM,C,18.085
13/1/24 3:59:01 AM,C,17.585
13/1/24 5:59:01 AM,C,17.585
13/1/24 7:59:01 AM,C,17.585
13/1/24 9:59:01 AM,C,19.087
13/1/24 11:59:01 AM,C,21.589
13/1/24 1:59:01 PM,C,23.089
13/1/24 3:59:01 PM,C,23.089
13/1/24 5:59:01 PM,C,22.089
13/1/24 7:59:01 PM,C,20.087
13/1/24 9:59:01 PM,C,19.587
13/1/24 11:59:01 PM,C,18.586
14/1/24 1:59:01 AM,C,19.087
14/1/24 3:59:01 AM,C,18.586
14/1/24 5:59:01 AM,C,18.085
14/1/24 7:59:01 AM,C,18.085
14/1/24 9:59:01 AM,C,19.587
14/1/24 11:59:01 AM,C,22.089
14/1/24 1:59:01 PM,C,23.59
14/1/24 3:59:01 PM,C,23.59
14/1/24 5:59:01 PM,C,22.589
14/1/24 7:59:01 PM,C,19.587
14/1/24 9:59:01 PM,C,20.588
14/1/24 11:59:01 PM,C,21.088
15/1/24 1:59:01 AM,C,19.587
15/1/24 3:59:01 AM,C,18.586
15/1/24 5:59:01 AM,C,18.085
15/1/24 7:59:01 AM,C,17.585
15/1/24 9:59:01 AM,C,19.587
15/1/24 11:59:01 AM,C,21.589
15/1/24 1:59:01 PM,C,22.589
15/1/24 3:59:01 PM,C,22.589
15/1/24 5:59:01 PM,C,21.088
15/1/24 7:59:01 PM,C,19.587
15/1/24 9:59:01 PM,C,18.586
15/1/24 11:59:01 PM,C,18.085
16/1/24 1:59:01 AM,C,18.085
16/1/24 3:59:01 AM,C,17.084
16/1/24 5:59:01 AM,C,17.084
16/1/24 7:59:01 AM,C,17.084
16/1/24 9:59:01 AM,C,18.586
16/1/24 11:59:01 AM,C,21.088
16/1/24 1:59:01 PM,C,22.589
16/1/24 3:59:01 PM,C,22.589
16/1/24 5:59:01 PM,C,21.088
16/1/24 7:59:01 PM,C,19.587
16/1/24 9:59:01 PM,C,19.087
16/1/24 11:59:01 PM,C,19.087
17/1/24 1:59:01 AM,C,19.087
17/1/24 3:59:01 AM,C,19.087
17/1/24 5:59:01 AM,C,19.087
17/1/24 7:59:01 AM,C,18.085
17/1/24 9:59:01 AM,C,20.087
17/1/24 11:59:01 AM,C,21.088
17/1/24 1:59:01 PM,C,22.589
17/1/24 3:59:01 PM,C,22.589
17/1/24 5:59:01 PM,C,21.088
17/1/24 7:59:01 PM,C,19.587
17/1/24 9:59:01 PM,C,20.087
17/1/24 11:59:01 PM,C,19.587
18/1/24 1:59:01 AM,C,19.087
18/1/24 3:59:01 AM,C,18.586
18/1/24 5:59:01 AM,C,18.085
18/1/24 7:59:01 AM,C,18.085
18/1/24 9:59:01 AM,C,20.087
18/1/24 11:59:01 AM,C,21.589
18/1/24 1:59:01 PM,C,22.089
18/1/24 3:59:01 PM,C,22.589
18/1/24 5:59:01 PM,C,21.589
18/1/24 7:59:01 PM,C,20.588
18/1/24 9:59:01 PM,C,19.587
18/1/24 11:59:01 PM,C,19.087
19/1/24 1:59:01 AM,C,19.587
19/1/24 3:59:01 AM,C,19.087
19/1/24 5:59:01 AM,C,18.085
19/1/24 7:59:01 AM,C,17.585
19/1/24 9:59:01 AM,C,19.587
19/1/24 11:59:01 AM,C,21.589
19/1/24 1:59:01 PM,C,22.589
19/1/24 3:59:01 PM,C,23.089
19/1/24 5:59:01 PM,C,22.089
19/1/24 7:59:01 PM,C,21.088
19/1/24 9:59:01 PM,C,20.087
19/1/24 11:59:01 PM,C,18.586
20/1/24 1:59:01 AM,C,18.586
20/1/24 3:59:01 AM,C,18.586
20/1/24 5:59:01 AM,C,18.085
20/1/24 7:59:01 AM,C,18.085
