1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 150000007D810441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:47:01 IST 2024
Mission Sample Count:  3943
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:47:01 IST 2024
Total Mission Samples:  3943
Total Device Samples:  14089
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:47:01 PM,%RH,81.274
14/1/24 11:47:01 PM,%RH,81.274
15/1/24 1:47:01 AM,%RH,81.274
15/1/24 3:47:01 AM,%RH,80.702
15/1/24 5:47:01 AM,%RH,80.702
15/1/24 7:47:01 AM,%RH,85.238
15/1/24 9:47:01 AM,%RH,68.94
15/1/24 11:47:01 AM,%RH,84.113
15/1/24 1:47:01 PM,%RH,68.336
15/1/24 3:47:01 PM,%RH,69.542
15/1/24 5:47:01 PM,%RH,78.398
15/1/24 7:47:01 PM,%RH,82.982
15/1/24 9:47:01 PM,%RH,90.226
15/1/24 11:47:01 PM,%RH,94.558
16/1/24 1:47:01 AM,%RH,88.025
16/1/24 3:47:01 AM,%RH,86.915
16/1/24 5:47:01 AM,%RH,90.226
16/1/24 7:47:01 AM,%RH,96.688
16/1/24 9:47:01 AM,%RH,97.216
16/1/24 11:47:01 AM,%RH,86.357
16/1/24 1:47:01 PM,%RH,70.742
16/1/24 3:47:01 PM,%RH,77.818
16/1/24 5:47:01 PM,%RH,87.47
16/1/24 7:47:01 PM,%RH,94.022
16/1/24 9:47:01 PM,%RH,99.316
16/1/24 11:47:01 PM,%RH,99.837
17/1/24 1:47:01 AM,%RH,100.356
17/1/24 3:47:01 AM,%RH,100.356
17/1/24 5:47:01 AM,%RH,102.42
17/1/24 7:47:01 AM,%RH,101.391
17/1/24 9:47:01 AM,%RH,100.356
17/1/24 11:47:01 AM,%RH,85.238
17/1/24 1:47:01 PM,%RH,86.915
17/1/24 3:47:01 PM,%RH,81.845
17/1/24 5:47:01 PM,%RH,81.845
17/1/24 7:47:01 PM,%RH,89.678
17/1/24 9:47:01 PM,%RH,99.316
17/1/24 11:47:01 PM,%RH,99.837
18/1/24 1:47:01 AM,%RH,100.875
18/1/24 3:47:01 AM,%RH,100.875
18/1/24 5:47:01 AM,%RH,98.269
18/1/24 7:47:01 AM,%RH,99.837
18/1/24 9:47:01 AM,%RH,99.316
18/1/24 11:47:01 AM,%RH,90.773
18/1/24 1:47:01 PM,%RH,74.307
18/1/24 3:47:01 PM,%RH,84.113
18/1/24 5:47:01 PM,%RH,87.47
18/1/24 7:47:01 PM,%RH,97.216
18/1/24 9:47:01 PM,%RH,99.837
18/1/24 11:47:01 PM,%RH,101.906
19/1/24 1:47:01 AM,%RH,101.391
19/1/24 3:47:01 AM,%RH,100.875
19/1/24 5:47:01 AM,%RH,102.42
19/1/24 7:47:01 AM,%RH,103.442
19/1/24 9:47:01 AM,%RH,102.42
19/1/24 11:47:01 AM,%RH,91.318
19/1/24 1:47:01 PM,%RH,89.129
19/1/24 3:47:01 PM,%RH,91.318
19/1/24 5:47:01 PM,%RH,92.404
19/1/24 7:47:01 PM,%RH,97.216
19/1/24 9:47:01 PM,%RH,100.356
19/1/24 11:47:01 PM,%RH,100.356
20/1/24 1:47:01 AM,%RH,99.316
20/1/24 3:47:01 AM,%RH,102.42
20/1/24 5:47:01 AM,%RH,102.42
20/1/24 7:47:01 AM,%RH,103.952
20/1/24 9:47:01 AM,%RH,103.952
20/1/24 11:47:01 AM,%RH,96.157
20/1/24 1:47:01 PM,%RH,86.915
20/1/24 3:47:01 PM,%RH,88.577
20/1/24 5:47:01 PM,%RH,91.862
20/1/24 7:47:01 PM,%RH,94.022
20/1/24 9:47:01 PM,%RH,98.269
20/1/24 11:47:01 PM,%RH,99.316
21/1/24 1:47:01 AM,%RH,100.875
21/1/24 3:47:01 AM,%RH,104.459
21/1/24 5:47:01 AM,%RH,103.952
21/1/24 7:47:01 AM,%RH,105.47
21/1/24 9:47:01 AM,%RH,103.442
21/1/24 11:47:01 AM,%RH,93.484
21/1/24 1:47:01 PM,%RH,75.484
21/1/24 3:47:01 PM,%RH,77.818
21/1/24 5:47:01 PM,%RH,79.553
21/1/24 7:47:01 PM,%RH,94.558
21/1/24 9:47:01 PM,%RH,99.316
21/1/24 11:47:01 PM,%RH,99.837
22/1/24 1:47:01 AM,%RH,100.356
22/1/24 3:47:01 AM,%RH,100.356
22/1/24 5:47:01 AM,%RH,101.906
22/1/24 7:47:01 AM,%RH,104.459
22/1/24 9:47:01 AM,%RH,103.442
22/1/24 11:47:01 AM,%RH,91.318
22/1/24 1:47:01 PM,%RH,79.553
22/1/24 3:47:01 PM,%RH,79.553
22/1/24 5:47:01 PM,%RH,81.274
22/1/24 7:47:01 PM,%RH,96.157
22/1/24 9:47:01 PM,%RH,99.316
22/1/24 11:47:01 PM,%RH,99.316
23/1/24 1:47:01 AM,%RH,99.316
23/1/24 3:47:01 AM,%RH,99.837
23/1/24 5:47:01 AM,%RH,102.42
23/1/24 7:47:01 AM,%RH,100.356
23/1/24 9:47:01 AM,%RH,98.793
23/1/24 11:47:01 AM,%RH,90.773
23/1/24 1:47:01 PM,%RH,80.128
23/1/24 3:47:01 PM,%RH,82.982
23/1/24 5:47:01 PM,%RH,84.113
23/1/24 7:47:01 PM,%RH,90.773
23/1/24 9:47:01 PM,%RH,92.945
23/1/24 11:47:01 PM,%RH,93.484
24/1/24 1:47:01 AM,%RH,96.157
24/1/24 3:47:01 AM,%RH,90.773
24/1/24 5:47:01 AM,%RH,90.226
24/1/24 7:47:01 AM,%RH,86.915
24/1/24 9:47:01 AM,%RH,77.818
24/1/24 11:47:01 AM,%RH,80.702
24/1/24 1:47:01 PM,%RH,67.73
24/1/24 3:47:01 PM,%RH,66.515
24/1/24 5:47:01 PM,%RH,75.484
24/1/24 7:47:01 PM,%RH,90.226
24/1/24 9:47:01 PM,%RH,90.773
24/1/24 11:47:01 PM,%RH,92.404
25/1/24 1:47:01 AM,%RH,68.336
25/1/24 3:47:01 AM,%RH,73.125
25/1/24 5:47:01 AM,%RH,77.237
25/1/24 7:47:01 AM,%RH,81.845
25/1/24 9:47:01 AM,%RH,86.357
25/1/24 11:47:01 AM,%RH,80.128
25/1/24 1:47:01 PM,%RH,80.128
25/1/24 3:47:01 PM,%RH,76.654
25/1/24 5:47:01 PM,%RH,80.128
25/1/24 7:47:01 PM,%RH,95.093
25/1/24 9:47:01 PM,%RH,98.269
25/1/24 11:47:01 PM,%RH,96.157
26/1/24 1:47:01 AM,%RH,98.793
26/1/24 3:47:01 AM,%RH,97.216
26/1/24 5:47:01 AM,%RH,98.793
26/1/24 7:47:01 AM,%RH,100.875
26/1/24 9:47:01 AM,%RH,97.743
26/1/24 11:47:01 AM,%RH,84.677
26/1/24 1:47:01 PM,%RH,74.307
26/1/24 3:47:01 PM,%RH,66.515
26/1/24 5:47:01 PM,%RH,67.123
26/1/24 7:47:01 PM,%RH,83.548
26/1/24 9:47:01 PM,%RH,91.318
26/1/24 11:47:01 PM,%RH,80.128
27/1/24 1:47:01 AM,%RH,81.274
27/1/24 3:47:01 AM,%RH,86.357
27/1/24 5:47:01 AM,%RH,92.945
27/1/24 7:47:01 AM,%RH,96.688
27/1/24 9:47:01 AM,%RH,98.793
27/1/24 11:47:01 AM,%RH,81.845
27/1/24 1:47:01 PM,%RH,73.717
