1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 320000007D900D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:12:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:12:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  12203
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:12:01 PM,%RH,78.856
13/1/24 10:12:01 PM,%RH,80.502
14/1/24 12:12:01 AM,%RH,79.955
14/1/24 2:12:01 AM,%RH,80.502
14/1/24 4:12:01 AM,%RH,79.955
14/1/24 6:12:01 AM,%RH,79.955
14/1/24 8:12:01 AM,%RH,84.824
14/1/24 10:12:01 AM,%RH,83.753
14/1/24 12:12:01 PM,%RH,75.521
14/1/24 2:12:01 PM,%RH,66.357
14/1/24 4:12:01 PM,%RH,62.817
14/1/24 6:12:01 PM,%RH,82.676
14/1/24 8:12:01 PM,%RH,89.567
14/1/24 10:12:01 PM,%RH,82.135
15/1/24 12:12:01 AM,%RH,83.215
15/1/24 2:12:01 AM,%RH,83.753
15/1/24 4:12:01 AM,%RH,89.047
15/1/24 6:12:01 AM,%RH,93.678
15/1/24 8:12:01 AM,%RH,95.696
15/1/24 10:12:01 AM,%RH,90.604
15/1/24 12:12:01 PM,%RH,73.833
15/1/24 2:12:01 PM,%RH,65.771
15/1/24 4:12:01 PM,%RH,70.989
15/1/24 6:12:01 PM,%RH,82.135
15/1/24 8:12:01 PM,%RH,92.148
15/1/24 10:12:01 PM,%RH,95.194
16/1/24 12:12:01 AM,%RH,96.696
16/1/24 2:12:01 AM,%RH,97.194
16/1/24 4:12:01 AM,%RH,97.194
16/1/24 6:12:01 AM,%RH,95.194
16/1/24 8:12:01 AM,%RH,98.184
16/1/24 10:12:01 AM,%RH,94.185
16/1/24 12:12:01 PM,%RH,78.304
16/1/24 2:12:01 PM,%RH,76.081
16/1/24 4:12:01 PM,%RH,81.592
16/1/24 6:12:01 PM,%RH,89.047
16/1/24 8:12:01 PM,%RH,94.69
16/1/24 10:12:01 PM,%RH,97.69
17/1/24 12:12:01 AM,%RH,97.69
17/1/24 2:12:01 AM,%RH,96.696
17/1/24 4:12:01 AM,%RH,99.168
17/1/24 6:12:01 AM,%RH,98.677
17/1/24 8:12:01 AM,%RH,99.168
17/1/24 10:12:01 AM,%RH,92.148
17/1/24 12:12:01 PM,%RH,83.215
17/1/24 2:12:01 PM,%RH,79.955
17/1/24 4:12:01 PM,%RH,74.96
17/1/24 6:12:01 PM,%RH,85.889
17/1/24 8:12:01 PM,%RH,93.678
17/1/24 10:12:01 PM,%RH,96.197
18/1/24 12:12:01 AM,%RH,97.194
18/1/24 2:12:01 AM,%RH,97.194
18/1/24 4:12:01 AM,%RH,98.184
18/1/24 6:12:01 AM,%RH,98.184
