1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 460000007D8EDF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 22:02:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 22:02:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  15546
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 10:02:01 PM,%RH,78.346
12/1/24 12:02:01 AM,%RH,78.346
12/1/24 2:02:01 AM,%RH,78.346
12/1/24 4:02:01 AM,%RH,78.346
12/1/24 6:02:01 AM,%RH,79.494
12/1/24 8:02:01 AM,%RH,79.494
12/1/24 10:02:01 AM,%RH,82.903
12/1/24 12:02:01 PM,%RH,80.637
12/1/24 2:02:01 PM,%RH,70.13
12/1/24 4:02:01 PM,%RH,66.514
12/1/24 6:02:01 PM,%RH,69.531
12/1/24 8:02:01 PM,%RH,80.066
12/1/24 10:02:01 PM,%RH,81.773
13/1/24 12:02:01 AM,%RH,86.255
13/1/24 2:02:01 AM,%RH,89.55
13/1/24 4:02:01 AM,%RH,94.387
13/1/24 6:02:01 AM,%RH,96.496
13/1/24 8:02:01 AM,%RH,98.062
13/1/24 10:02:01 AM,%RH,95.445
13/1/24 12:02:01 PM,%RH,79.494
13/1/24 2:02:01 PM,%RH,74.862
13/1/24 4:02:01 PM,%RH,66.514
13/1/24 6:02:01 PM,%RH,87.909
13/1/24 8:02:01 PM,%RH,94.917
13/1/24 10:02:01 PM,%RH,98.062
14/1/24 12:02:01 AM,%RH,92.789
14/1/24 2:02:01 AM,%RH,92.253
14/1/24 4:02:01 AM,%RH,91.715
14/1/24 6:02:01 AM,%RH,94.387
14/1/24 8:02:01 AM,%RH,97.541
14/1/24 10:02:01 AM,%RH,94.387
14/1/24 12:02:01 PM,%RH,73.688
14/1/24 2:02:01 PM,%RH,68.329
14/1/24 4:02:01 PM,%RH,62.225
14/1/24 6:02:01 PM,%RH,87.359
14/1/24 8:02:01 PM,%RH,93.323
14/1/24 10:02:01 PM,%RH,73.099
15/1/24 12:02:01 AM,%RH,73.099
15/1/24 2:02:01 AM,%RH,80.066
15/1/24 4:02:01 AM,%RH,86.255
15/1/24 6:02:01 AM,%RH,95.445
15/1/24 8:02:01 AM,%RH,95.445
15/1/24 10:02:01 AM,%RH,94.917
15/1/24 12:02:01 PM,%RH,80.637
15/1/24 2:02:01 PM,%RH,66.514
15/1/24 4:02:01 PM,%RH,74.862
15/1/24 6:02:01 PM,%RH,85.7
15/1/24 8:02:01 PM,%RH,91.176
15/1/24 10:02:01 PM,%RH,96.496
16/1/24 12:02:01 AM,%RH,99.097
16/1/24 2:02:01 AM,%RH,96.496
16/1/24 4:02:01 AM,%RH,98.062
16/1/24 6:02:01 AM,%RH,95.971
16/1/24 8:02:01 AM,%RH,97.02
16/1/24 10:02:01 AM,%RH,99.097
16/1/24 12:02:01 PM,%RH,81.773
16/1/24 2:02:01 PM,%RH,77.769
16/1/24 4:02:01 PM,%RH,82.903
16/1/24 6:02:01 PM,%RH,90.636
16/1/24 8:02:01 PM,%RH,97.02
16/1/24 10:02:01 PM,%RH,99.613
17/1/24 12:02:01 AM,%RH,99.613
17/1/24 2:02:01 AM,%RH,100.127
17/1/24 4:02:01 AM,%RH,101.15
17/1/24 6:02:01 AM,%RH,101.659
17/1/24 8:02:01 AM,%RH,101.15
17/1/24 10:02:01 AM,%RH,97.02
17/1/24 12:02:01 PM,%RH,85.143
17/1/24 2:02:01 PM,%RH,85.7
17/1/24 4:02:01 PM,%RH,78.921
17/1/24 6:02:01 PM,%RH,84.586
17/1/24 8:02:01 PM,%RH,93.856
17/1/24 10:02:01 PM,%RH,99.097
18/1/24 12:02:01 AM,%RH,100.127
18/1/24 2:02:01 AM,%RH,99.097
18/1/24 4:02:01 AM,%RH,100.639
18/1/24 6:02:01 AM,%RH,101.659
18/1/24 8:02:01 AM,%RH,101.659
18/1/24 10:02:01 AM,%RH,98.062
18/1/24 12:02:01 PM,%RH,89.55
18/1/24 2:02:01 PM,%RH,86.808
18/1/24 4:02:01 PM,%RH,84.586
18/1/24 6:02:01 PM,%RH,91.176
18/1/24 8:02:01 PM,%RH,97.541
18/1/24 10:02:01 PM,%RH,100.127
19/1/24 12:02:01 AM,%RH,100.639
19/1/24 2:02:01 AM,%RH,99.613
19/1/24 4:02:01 AM,%RH,100.127
19/1/24 6:02:01 AM,%RH,102.167
19/1/24 8:02:01 AM,%RH,102.673
19/1/24 10:02:01 AM,%RH,101.15
19/1/24 12:02:01 PM,%RH,93.323
19/1/24 2:02:01 PM,%RH,87.359
19/1/24 4:02:01 PM,%RH,87.909
19/1/24 6:02:01 PM,%RH,93.323
19/1/24 8:02:01 PM,%RH,99.097
19/1/24 10:02:01 PM,%RH,99.613
20/1/24 12:02:01 AM,%RH,101.15
20/1/24 2:02:01 AM,%RH,101.659
20/1/24 4:02:01 AM,%RH,98.062
20/1/24 6:02:01 AM,%RH,101.15
20/1/24 8:02:01 AM,%RH,102.167
20/1/24 10:02:01 AM,%RH,101.15
20/1/24 12:02:01 PM,%RH,92.789
20/1/24 2:02:01 PM,%RH,87.359
20/1/24 4:02:01 PM,%RH,87.359
20/1/24 6:02:01 PM,%RH,92.253
20/1/24 8:02:01 PM,%RH,97.541
20/1/24 10:02:01 PM,%RH,99.097
21/1/24 12:02:01 AM,%RH,100.639
21/1/24 2:02:01 AM,%RH,100.639
21/1/24 4:02:01 AM,%RH,102.167
21/1/24 6:02:01 AM,%RH,101.15
21/1/24 8:02:01 AM,%RH,101.659
21/1/24 10:02:01 AM,%RH,101.659
21/1/24 12:02:01 PM,%RH,88.458
21/1/24 2:02:01 PM,%RH,81.206
21/1/24 4:02:01 PM,%RH,80.066
21/1/24 6:02:01 PM,%RH,86.808
21/1/24 8:02:01 PM,%RH,97.541
21/1/24 10:02:01 PM,%RH,98.062
22/1/24 12:02:01 AM,%RH,99.097
22/1/24 2:02:01 AM,%RH,101.15
22/1/24 4:02:01 AM,%RH,100.127
22/1/24 6:02:01 AM,%RH,101.659
22/1/24 8:02:01 AM,%RH,102.167
22/1/24 10:02:01 AM,%RH,100.639
22/1/24 12:02:01 PM,%RH,85.143
22/1/24 2:02:01 PM,%RH,80.637
22/1/24 4:02:01 PM,%RH,80.066
22/1/24 6:02:01 PM,%RH,86.808
22/1/24 8:02:01 PM,%RH,94.917
22/1/24 10:02:01 PM,%RH,99.613
23/1/24 12:02:01 AM,%RH,99.613
23/1/24 2:02:01 AM,%RH,100.127
23/1/24 4:02:01 AM,%RH,99.613
23/1/24 6:02:01 AM,%RH,98.062
23/1/24 8:02:01 AM,%RH,96.496
23/1/24 10:02:01 AM,%RH,92.253
23/1/24 12:02:01 PM,%RH,88.458
23/1/24 2:02:01 PM,%RH,84.586
23/1/24 4:02:01 PM,%RH,83.465
23/1/24 6:02:01 PM,%RH,87.909
23/1/24 8:02:01 PM,%RH,93.323
23/1/24 10:02:01 PM,%RH,98.062
24/1/24 12:02:01 AM,%RH,98.58
24/1/24 2:02:01 AM,%RH,98.58
24/1/24 4:02:01 AM,%RH,99.097
24/1/24 6:02:01 AM,%RH,99.613
24/1/24 8:02:01 AM,%RH,98.58
24/1/24 10:02:01 AM,%RH,86.255
24/1/24 12:02:01 PM,%RH,83.465
24/1/24 2:02:01 PM,%RH,72.508
24/1/24 4:02:01 PM,%RH,73.688
24/1/24 6:02:01 PM,%RH,80.066
24/1/24 8:02:01 PM,%RH,91.176
24/1/24 10:02:01 PM,%RH,96.496
25/1/24 12:02:01 AM,%RH,99.613
25/1/24 2:02:01 AM,%RH,89.55
25/1/24 4:02:01 AM,%RH,87.359
25/1/24 6:02:01 AM,%RH,93.856
25/1/24 8:02:01 AM,%RH,97.541
25/1/24 10:02:01 AM,%RH,89.005
25/1/24 12:02:01 PM,%RH,82.339
25/1/24 2:02:01 PM,%RH,78.921
25/1/24 4:02:01 PM,%RH,77.191
25/1/24 6:02:01 PM,%RH,86.808
25/1/24 8:02:01 PM,%RH,95.971
25/1/24 10:02:01 PM,%RH,99.097
