1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 460000007D8EDF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 22:02:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 22:02:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  15546
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 10:02:01 PM,C,21.573
12/1/24 12:02:01 AM,C,21.072
12/1/24 2:02:01 AM,C,20.572
12/1/24 4:02:01 AM,C,20.572
12/1/24 6:02:01 AM,C,20.572
12/1/24 8:02:01 AM,C,20.071
12/1/24 10:02:01 AM,C,19.07
12/1/24 12:02:01 PM,C,20.572
12/1/24 2:02:01 PM,C,22.573
12/1/24 4:02:01 PM,C,23.074
12/1/24 6:02:01 PM,C,22.073
12/1/24 8:02:01 PM,C,20.572
12/1/24 10:02:01 PM,C,19.571
13/1/24 12:02:01 AM,C,18.569
13/1/24 2:02:01 AM,C,17.568
13/1/24 4:02:01 AM,C,17.067
13/1/24 6:02:01 AM,C,17.067
13/1/24 8:02:01 AM,C,17.067
13/1/24 10:02:01 AM,C,18.569
13/1/24 12:02:01 PM,C,21.072
13/1/24 2:02:01 PM,C,22.573
13/1/24 4:02:01 PM,C,23.074
13/1/24 6:02:01 PM,C,21.573
13/1/24 8:02:01 PM,C,19.571
13/1/24 10:02:01 PM,C,19.07
14/1/24 12:02:01 AM,C,18.569
14/1/24 2:02:01 AM,C,19.07
14/1/24 4:02:01 AM,C,18.068
14/1/24 6:02:01 AM,C,18.068
14/1/24 8:02:01 AM,C,18.068
14/1/24 10:02:01 AM,C,19.571
14/1/24 12:02:01 PM,C,22.073
14/1/24 2:02:01 PM,C,23.574
14/1/24 4:02:01 PM,C,24.074
14/1/24 6:02:01 PM,C,22.573
14/1/24 8:02:01 PM,C,19.07
14/1/24 10:02:01 PM,C,20.572
15/1/24 12:02:01 AM,C,20.572
15/1/24 2:02:01 AM,C,19.07
15/1/24 4:02:01 AM,C,18.068
15/1/24 6:02:01 AM,C,17.067
15/1/24 8:02:01 AM,C,17.067
15/1/24 10:02:01 AM,C,19.07
15/1/24 12:02:01 PM,C,21.072
15/1/24 2:02:01 PM,C,22.573
15/1/24 4:02:01 PM,C,23.074
15/1/24 6:02:01 PM,C,21.072
15/1/24 8:02:01 PM,C,19.571
15/1/24 10:02:01 PM,C,18.068
16/1/24 12:02:01 AM,C,17.568
16/1/24 2:02:01 AM,C,18.068
16/1/24 4:02:01 AM,C,17.067
16/1/24 6:02:01 AM,C,17.067
16/1/24 8:02:01 AM,C,16.566
16/1/24 10:02:01 AM,C,18.068
16/1/24 12:02:01 PM,C,21.072
16/1/24 2:02:01 PM,C,22.073
16/1/24 4:02:01 PM,C,23.074
16/1/24 6:02:01 PM,C,21.072
16/1/24 8:02:01 PM,C,19.571
16/1/24 10:02:01 PM,C,19.07
17/1/24 12:02:01 AM,C,18.569
17/1/24 2:02:01 AM,C,19.07
17/1/24 4:02:01 AM,C,19.07
17/1/24 6:02:01 AM,C,18.569
17/1/24 8:02:01 AM,C,18.068
17/1/24 10:02:01 AM,C,19.571
17/1/24 12:02:01 PM,C,21.072
17/1/24 2:02:01 PM,C,23.074
17/1/24 4:02:01 PM,C,23.074
17/1/24 6:02:01 PM,C,21.573
17/1/24 8:02:01 PM,C,19.571
17/1/24 10:02:01 PM,C,19.571
18/1/24 12:02:01 AM,C,19.571
18/1/24 2:02:01 AM,C,19.07
18/1/24 4:02:01 AM,C,18.068
18/1/24 6:02:01 AM,C,17.568
18/1/24 8:02:01 AM,C,18.068
18/1/24 10:02:01 AM,C,19.571
18/1/24 12:02:01 PM,C,21.573
18/1/24 2:02:01 PM,C,22.073
18/1/24 4:02:01 PM,C,23.074
18/1/24 6:02:01 PM,C,21.573
18/1/24 8:02:01 PM,C,20.071
18/1/24 10:02:01 PM,C,19.571
19/1/24 12:02:01 AM,C,18.569
19/1/24 2:02:01 AM,C,19.07
19/1/24 4:02:01 AM,C,19.07
19/1/24 6:02:01 AM,C,17.568
19/1/24 8:02:01 AM,C,17.568
19/1/24 10:02:01 AM,C,19.571
19/1/24 12:02:01 PM,C,21.573
19/1/24 2:02:01 PM,C,23.074
19/1/24 4:02:01 PM,C,23.074
19/1/24 6:02:01 PM,C,22.073
19/1/24 8:02:01 PM,C,20.572
19/1/24 10:02:01 PM,C,19.571
20/1/24 12:02:01 AM,C,18.068
20/1/24 2:02:01 AM,C,18.068
20/1/24 4:02:01 AM,C,18.569
20/1/24 6:02:01 AM,C,17.568
20/1/24 8:02:01 AM,C,17.568
20/1/24 10:02:01 AM,C,19.07
20/1/24 12:02:01 PM,C,21.573
20/1/24 2:02:01 PM,C,23.074
20/1/24 4:02:01 PM,C,23.574
20/1/24 6:02:01 PM,C,22.073
20/1/24 8:02:01 PM,C,20.572
20/1/24 10:02:01 PM,C,19.07
21/1/24 12:02:01 AM,C,18.569
21/1/24 2:02:01 AM,C,18.569
21/1/24 4:02:01 AM,C,18.569
21/1/24 6:02:01 AM,C,18.068
21/1/24 8:02:01 AM,C,18.569
21/1/24 10:02:01 AM,C,19.571
21/1/24 12:02:01 PM,C,22.073
21/1/24 2:02:01 PM,C,23.574
21/1/24 4:02:01 PM,C,24.574
21/1/24 6:02:01 PM,C,23.074
21/1/24 8:02:01 PM,C,21.573
21/1/24 10:02:01 PM,C,20.572
22/1/24 12:02:01 AM,C,19.571
22/1/24 2:02:01 AM,C,19.571
22/1/24 4:02:01 AM,C,18.569
22/1/24 6:02:01 AM,C,18.068
22/1/24 8:02:01 AM,C,18.068
22/1/24 10:02:01 AM,C,19.571
22/1/24 12:02:01 PM,C,22.073
22/1/24 2:02:01 PM,C,24.074
22/1/24 4:02:01 PM,C,24.074
22/1/24 6:02:01 PM,C,22.573
22/1/24 8:02:01 PM,C,21.573
22/1/24 10:02:01 PM,C,20.572
23/1/24 12:02:01 AM,C,19.07
23/1/24 2:02:01 AM,C,18.569
23/1/24 4:02:01 AM,C,18.068
23/1/24 6:02:01 AM,C,18.068
23/1/24 8:02:01 AM,C,19.07
23/1/24 10:02:01 AM,C,19.571
23/1/24 12:02:01 PM,C,22.073
23/1/24 2:02:01 PM,C,23.074
23/1/24 4:02:01 PM,C,23.574
23/1/24 6:02:01 PM,C,22.073
23/1/24 8:02:01 PM,C,20.071
23/1/24 10:02:01 PM,C,18.569
24/1/24 12:02:01 AM,C,17.568
24/1/24 2:02:01 AM,C,17.067
24/1/24 4:02:01 AM,C,16.566
24/1/24 6:02:01 AM,C,15.063
24/1/24 8:02:01 AM,C,16.065
24/1/24 10:02:01 AM,C,18.569
24/1/24 12:02:01 PM,C,21.573
24/1/24 2:02:01 PM,C,22.573
24/1/24 4:02:01 PM,C,22.573
24/1/24 6:02:01 PM,C,21.573
24/1/24 8:02:01 PM,C,19.571
24/1/24 10:02:01 PM,C,17.568
25/1/24 12:02:01 AM,C,17.067
25/1/24 2:02:01 AM,C,16.065
25/1/24 4:02:01 AM,C,16.065
25/1/24 6:02:01 AM,C,16.065
25/1/24 8:02:01 AM,C,15.564
25/1/24 10:02:01 AM,C,19.07
25/1/24 12:02:01 PM,C,21.072
25/1/24 2:02:01 PM,C,22.573
25/1/24 4:02:01 PM,C,22.573
25/1/24 6:02:01 PM,C,21.072
25/1/24 8:02:01 PM,C,19.571
25/1/24 10:02:01 PM,C,18.068
26/1/24 12:02:01 AM,C,17.568
26/1/24 2:02:01 AM,C,17.067
26/1/24 4:02:01 AM,C,18.068
26/1/24 6:02:01 AM,C,17.568
26/1/24 8:02:01 AM,C,17.067
26/1/24 10:02:01 AM,C,19.07
26/1/24 12:02:01 PM,C,20.572
26/1/24 2:02:01 PM,C,22.073
26/1/24 4:02:01 PM,C,23.074
26/1/24 6:02:01 PM,C,22.073
26/1/24 8:02:01 PM,C,19.07
26/1/24 10:02:01 PM,C,17.568
27/1/24 12:02:01 AM,C,17.568
27/1/24 2:02:01 AM,C,18.068
27/1/24 4:02:01 AM,C,17.568
27/1/24 6:02:01 AM,C,16.566
27/1/24 8:02:01 AM,C,16.566
27/1/24 10:02:01 AM,C,18.569
27/1/24 12:02:01 PM,C,20.572
27/1/24 2:02:01 PM,C,22.073
27/1/24 4:02:01 PM,C,23.074
27/1/24 6:02:01 PM,C,22.073
27/1/24 8:02:01 PM,C,20.572
27/1/24 10:02:01 PM,C,20.071
28/1/24 12:02:01 AM,C,18.569
28/1/24 2:02:01 AM,C,18.068
28/1/24 4:02:01 AM,C,17.067
28/1/24 6:02:01 AM,C,16.566
28/1/24 8:02:01 AM,C,16.566
28/1/24 10:02:01 AM,C,18.569
28/1/24 12:02:01 PM,C,20.572
28/1/24 2:02:01 PM,C,22.573
28/1/24 4:02:01 PM,C,23.074
28/1/24 6:02:01 PM,C,22.073
28/1/24 8:02:01 PM,C,19.07
28/1/24 10:02:01 PM,C,18.068
29/1/24 12:02:01 AM,C,17.067
29/1/24 2:02:01 AM,C,17.067
29/1/24 4:02:01 AM,C,17.568
29/1/24 6:02:01 AM,C,17.568
29/1/24 8:02:01 AM,C,17.067
29/1/24 10:02:01 AM,C,18.569
29/1/24 12:02:01 PM,C,20.071
29/1/24 2:02:01 PM,C,22.073
29/1/24 4:02:01 PM,C,23.574
29/1/24 6:02:01 PM,C,21.573
29/1/24 8:02:01 PM,C,19.07
29/1/24 10:02:01 PM,C,18.068
30/1/24 12:02:01 AM,C,16.065
30/1/24 2:02:01 AM,C,18.068
30/1/24 4:02:01 AM,C,18.068
30/1/24 6:02:01 AM,C,17.067
30/1/24 8:02:01 AM,C,16.065
30/1/24 10:02:01 AM,C,18.569
30/1/24 12:02:01 PM,C,21.072
30/1/24 2:02:01 PM,C,23.074
30/1/24 4:02:01 PM,C,23.574
30/1/24 6:02:01 PM,C,21.573
30/1/24 8:02:01 PM,C,19.571
30/1/24 10:02:01 PM,C,18.569
31/1/24 12:02:01 AM,C,17.568
31/1/24 2:02:01 AM,C,17.067
31/1/24 4:02:01 AM,C,17.568
31/1/24 6:02:01 AM,C,16.065
31/1/24 8:02:01 AM,C,17.067
31/1/24 10:02:01 AM,C,19.571
31/1/24 12:02:01 PM,C,22.073
31/1/24 2:02:01 PM,C,23.074
31/1/24 4:02:01 PM,C,23.574
31/1/24 6:02:01 PM,C,22.073
31/1/24 8:02:01 PM,C,18.569
31/1/24 10:02:01 PM,C,16.566
1/2/24 12:02:01 AM,C,18.068
1/2/24 2:02:01 AM,C,18.068
1/2/24 4:02:01 AM,C,17.568
1/2/24 6:02:01 AM,C,16.566
1/2/24 8:02:01 AM,C,15.564
1/2/24 10:02:01 AM,C,19.07
1/2/24 12:02:01 PM,C,21.573
1/2/24 2:02:01 PM,C,23.074
1/2/24 4:02:01 PM,C,23.074
1/2/24 6:02:01 PM,C,21.573
1/2/24 8:02:01 PM,C,19.07
1/2/24 10:02:01 PM,C,18.068
2/2/24 12:02:01 AM,C,17.568
2/2/24 2:02:01 AM,C,17.568
2/2/24 4:02:01 AM,C,16.566
2/2/24 6:02:01 AM,C,15.564
2/2/24 8:02:01 AM,C,16.065
2/2/24 10:02:01 AM,C,19.07
2/2/24 12:02:01 PM,C,22.073
2/2/24 2:02:01 PM,C,23.574
2/2/24 4:02:01 PM,C,24.074
2/2/24 6:02:01 PM,C,22.573
2/2/24 8:02:01 PM,C,20.071
2/2/24 10:02:01 PM,C,18.569
3/2/24 12:02:01 AM,C,17.568
3/2/24 2:02:01 AM,C,16.566
3/2/24 4:02:01 AM,C,15.564
3/2/24 6:02:01 AM,C,18.068
3/2/24 8:02:01 AM,C,18.068
3/2/24 10:02:01 AM,C,20.572
3/2/24 12:02:01 PM,C,22.573
3/2/24 2:02:01 PM,C,23.574
3/2/24 4:02:01 PM,C,24.574
3/2/24 6:02:01 PM,C,22.573
3/2/24 8:02:01 PM,C,20.572
3/2/24 10:02:01 PM,C,19.571
4/2/24 12:02:01 AM,C,19.07
4/2/24 2:02:01 AM,C,18.569
4/2/24 4:02:01 AM,C,19.571
4/2/24 6:02:01 AM,C,19.07
4/2/24 8:02:01 AM,C,19.07
4/2/24 10:02:01 AM,C,20.572
4/2/24 12:02:01 PM,C,22.073
4/2/24 2:02:01 PM,C,23.574
4/2/24 4:02:01 PM,C,24.574
4/2/24 6:02:01 PM,C,23.574
4/2/24 8:02:01 PM,C,21.573
4/2/24 10:02:01 PM,C,19.571
5/2/24 12:02:01 AM,C,18.569
5/2/24 2:02:01 AM,C,18.068
5/2/24 4:02:01 AM,C,18.068
5/2/24 6:02:01 AM,C,18.068
5/2/24 8:02:01 AM,C,17.568
5/2/24 10:02:01 AM,C,19.571
5/2/24 12:02:01 PM,C,22.073
5/2/24 2:02:01 PM,C,24.574
5/2/24 4:02:01 PM,C,26.074
5/2/24 6:02:01 PM,C,24.074
5/2/24 8:02:01 PM,C,21.573
5/2/24 10:02:01 PM,C,20.572
6/2/24 12:02:01 AM,C,19.07
6/2/24 2:02:01 AM,C,17.568
6/2/24 4:02:01 AM,C,17.568
6/2/24 6:02:01 AM,C,17.568
6/2/24 8:02:01 AM,C,18.068
6/2/24 10:02:01 AM,C,20.071
6/2/24 12:02:01 PM,C,23.074
6/2/24 2:02:01 PM,C,25.574
6/2/24 4:02:01 PM,C,26.574
6/2/24 6:02:01 PM,C,25.074
6/2/24 8:02:01 PM,C,21.573
6/2/24 10:02:01 PM,C,20.071
7/2/24 12:02:01 AM,C,19.571
7/2/24 2:02:01 AM,C,20.071
7/2/24 4:02:01 AM,C,19.571
7/2/24 6:02:01 AM,C,19.07
7/2/24 8:02:01 AM,C,19.07
7/2/24 10:02:01 AM,C,21.072
7/2/24 12:02:01 PM,C,23.574
7/2/24 2:02:01 PM,C,26.074
7/2/24 4:02:01 PM,C,27.074
7/2/24 6:02:01 PM,C,24.574
7/2/24 8:02:01 PM,C,22.073
7/2/24 10:02:01 PM,C,19.571
8/2/24 12:02:01 AM,C,19.571
8/2/24 2:02:01 AM,C,20.071
8/2/24 4:02:01 AM,C,19.07
8/2/24 6:02:01 AM,C,19.07
8/2/24 8:02:01 AM,C,19.571
8/2/24 10:02:01 AM,C,21.573
8/2/24 12:02:01 PM,C,24.074
8/2/24 2:02:01 PM,C,26.574
8/2/24 4:02:01 PM,C,25.574
8/2/24 6:02:01 PM,C,24.074
8/2/24 8:02:01 PM,C,21.072
8/2/24 10:02:01 PM,C,19.571
9/2/24 12:02:01 AM,C,18.068
9/2/24 2:02:01 AM,C,19.571
9/2/24 4:02:01 AM,C,17.568
9/2/24 6:02:01 AM,C,17.067
9/2/24 8:02:01 AM,C,17.568
9/2/24 10:02:01 AM,C,21.072
9/2/24 12:02:01 PM,C,23.074
9/2/24 2:02:01 PM,C,25.074
9/2/24 4:02:01 PM,C,26.074
9/2/24 6:02:01 PM,C,24.074
9/2/24 8:02:01 PM,C,21.573
9/2/24 10:02:01 PM,C,21.072
10/2/24 12:02:01 AM,C,20.071
10/2/24 2:02:01 AM,C,18.569
10/2/24 4:02:01 AM,C,18.569
10/2/24 6:02:01 AM,C,17.568
10/2/24 8:02:01 AM,C,17.568
10/2/24 10:02:01 AM,C,19.571
10/2/24 12:02:01 PM,C,22.573
10/2/24 2:02:01 PM,C,24.574
10/2/24 4:02:01 PM,C,25.574
10/2/24 6:02:01 PM,C,24.074
10/2/24 8:02:01 PM,C,22.073
10/2/24 10:02:01 PM,C,20.572
11/2/24 12:02:01 AM,C,19.07
11/2/24 2:02:01 AM,C,18.068
11/2/24 4:02:01 AM,C,18.068
11/2/24 6:02:01 AM,C,18.068
11/2/24 8:02:01 AM,C,18.068
11/2/24 10:02:01 AM,C,19.571
11/2/24 12:02:01 PM,C,21.573
11/2/24 2:02:01 PM,C,24.074
11/2/24 4:02:01 PM,C,25.074
11/2/24 6:02:01 PM,C,24.074
11/2/24 8:02:01 PM,C,19.571
11/2/24 10:02:01 PM,C,18.569
12/2/24 12:02:01 AM,C,19.07
12/2/24 2:02:01 AM,C,18.569
12/2/24 4:02:01 AM,C,18.569
12/2/24 6:02:01 AM,C,17.568
12/2/24 8:02:01 AM,C,18.068
12/2/24 10:02:01 AM,C,19.571
12/2/24 12:02:01 PM,C,23.074
12/2/24 2:02:01 PM,C,24.574
12/2/24 4:02:01 PM,C,25.574
12/2/24 6:02:01 PM,C,24.074
12/2/24 8:02:01 PM,C,21.573
12/2/24 10:02:01 PM,C,19.07
13/2/24 12:02:01 AM,C,17.568
13/2/24 2:02:01 AM,C,18.068
13/2/24 4:02:01 AM,C,17.568
13/2/24 6:02:01 AM,C,17.067
13/2/24 8:02:01 AM,C,17.067
13/2/24 10:02:01 AM,C,19.07
13/2/24 12:02:01 PM,C,22.073
13/2/24 2:02:01 PM,C,24.574
13/2/24 4:02:01 PM,C,25.574
13/2/24 6:02:01 PM,C,23.574
13/2/24 8:02:01 PM,C,21.072
13/2/24 10:02:01 PM,C,18.569
14/2/24 12:02:01 AM,C,17.568
14/2/24 2:02:01 AM,C,19.07
14/2/24 4:02:01 AM,C,19.07
14/2/24 6:02:01 AM,C,18.068
14/2/24 8:02:01 AM,C,18.569
14/2/24 10:02:01 AM,C,20.071
14/2/24 12:02:01 PM,C,23.074
14/2/24 2:02:01 PM,C,25.074
14/2/24 4:02:01 PM,C,25.574
14/2/24 6:02:01 PM,C,25.074
14/2/24 8:02:01 PM,C,22.573
14/2/24 10:02:01 PM,C,20.572
15/2/24 12:02:01 AM,C,19.571
15/2/24 2:02:01 AM,C,18.068
15/2/24 4:02:01 AM,C,18.569
15/2/24 6:02:01 AM,C,18.569
15/2/24 8:02:01 AM,C,18.569
15/2/24 10:02:01 AM,C,20.071
15/2/24 12:02:01 PM,C,22.573
15/2/24 2:02:01 PM,C,24.074
15/2/24 4:02:01 PM,C,24.574
15/2/24 6:02:01 PM,C,23.574
15/2/24 8:02:01 PM,C,20.071
15/2/24 10:02:01 PM,C,18.569
16/2/24 12:02:01 AM,C,18.569
16/2/24 2:02:01 AM,C,18.569
16/2/24 4:02:01 AM,C,18.068
16/2/24 6:02:01 AM,C,17.568
16/2/24 8:02:01 AM,C,17.568
16/2/24 10:02:01 AM,C,19.571
16/2/24 12:02:01 PM,C,22.573
16/2/24 2:02:01 PM,C,25.074
16/2/24 4:02:01 PM,C,25.574
16/2/24 6:02:01 PM,C,24.574
16/2/24 8:02:01 PM,C,21.573
16/2/24 10:02:01 PM,C,20.071
17/2/24 12:02:01 AM,C,18.569
17/2/24 2:02:01 AM,C,18.569
17/2/24 4:02:01 AM,C,18.569
17/2/24 6:02:01 AM,C,18.068
17/2/24 8:02:01 AM,C,18.068
17/2/24 10:02:01 AM,C,20.071
17/2/24 12:02:01 PM,C,23.074
17/2/24 2:02:01 PM,C,25.074
17/2/24 4:02:01 PM,C,26.574
17/2/24 6:02:01 PM,C,24.574
17/2/24 8:02:01 PM,C,22.073
17/2/24 10:02:01 PM,C,20.572
18/2/24 12:02:01 AM,C,19.07
18/2/24 2:02:01 AM,C,18.068
18/2/24 4:02:01 AM,C,17.067
18/2/24 6:02:01 AM,C,17.067
18/2/24 8:02:01 AM,C,17.067
18/2/24 10:02:01 AM,C,20.071
18/2/24 12:02:01 PM,C,23.574
18/2/24 2:02:01 PM,C,25.074
18/2/24 4:02:01 PM,C,25.074
18/2/24 6:02:01 PM,C,23.574
18/2/24 8:02:01 PM,C,21.573
18/2/24 10:02:01 PM,C,20.572
19/2/24 12:02:01 AM,C,19.571
19/2/24 2:02:01 AM,C,19.571
19/2/24 4:02:01 AM,C,18.068
19/2/24 6:02:01 AM,C,18.068
19/2/24 8:02:01 AM,C,18.068
19/2/24 10:02:01 AM,C,20.071
19/2/24 12:02:01 PM,C,23.074
19/2/24 2:02:01 PM,C,24.074
19/2/24 4:02:01 PM,C,25.074
19/2/24 6:02:01 PM,C,23.574
19/2/24 8:02:01 PM,C,22.073
19/2/24 10:02:01 PM,C,20.572
