1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 500000007DAB0441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:38:01 IST 2024
Mission Sample Count:  3237
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:38:01 IST 2024
Total Mission Samples:  3237
Total Device Samples:  12889
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:38:01 PM,%RH,82.502
14/1/24 11:38:01 PM,%RH,81.36
15/1/24 1:38:01 AM,%RH,81.932
15/1/24 3:38:01 AM,%RH,80.787
15/1/24 5:38:01 AM,%RH,81.932
15/1/24 7:38:01 AM,%RH,82.502
15/1/24 9:38:01 AM,%RH,80.212
15/1/24 11:38:01 AM,%RH,73.21
15/1/24 1:38:01 PM,%RH,57.348
15/1/24 3:38:01 PM,%RH,76.736
15/1/24 5:38:01 PM,%RH,82.502
15/1/24 7:38:01 PM,%RH,86.454
15/1/24 9:38:01 PM,%RH,93.614
15/1/24 11:38:01 PM,%RH,96.304
16/1/24 1:38:01 AM,%RH,90.888
16/1/24 3:38:01 AM,%RH,83.071
16/1/24 5:38:01 AM,%RH,83.638
16/1/24 7:38:01 AM,%RH,91.436
16/1/24 9:38:01 AM,%RH,94.154
16/1/24 11:38:01 AM,%RH,80.212
16/1/24 1:38:01 PM,%RH,67.826
16/1/24 3:38:01 PM,%RH,81.36
16/1/24 5:38:01 PM,%RH,90.339
16/1/24 7:38:01 PM,%RH,95.769
16/1/24 9:38:01 PM,%RH,101.581
16/1/24 11:38:01 PM,%RH,103.652
17/1/24 1:38:01 AM,%RH,104.166
17/1/24 3:38:01 AM,%RH,105.701
17/1/24 5:38:01 AM,%RH,105.701
17/1/24 7:38:01 AM,%RH,106.21
17/1/24 9:38:01 AM,%RH,97.902
17/1/24 11:38:01 AM,%RH,83.638
17/1/24 1:38:01 PM,%RH,86.454
17/1/24 3:38:01 PM,%RH,83.071
17/1/24 5:38:01 PM,%RH,84.204
17/1/24 7:38:01 PM,%RH,90.888
17/1/24 9:38:01 PM,%RH,102.1
17/1/24 11:38:01 PM,%RH,104.166
18/1/24 1:38:01 AM,%RH,105.191
18/1/24 3:38:01 AM,%RH,105.701
18/1/24 5:38:01 AM,%RH,104.679
18/1/24 7:38:01 AM,%RH,105.701
18/1/24 9:38:01 AM,%RH,98.96
18/1/24 11:38:01 AM,%RH,81.36
18/1/24 1:38:01 PM,%RH,74.98
18/1/24 3:38:01 PM,%RH,89.788
18/1/24 5:38:01 PM,%RH,91.982
18/1/24 7:38:01 PM,%RH,100.012
18/1/24 9:38:01 PM,%RH,105.191
18/1/24 11:38:01 PM,%RH,105.701
19/1/24 1:38:01 AM,%RH,106.21
19/1/24 3:38:01 AM,%RH,108.231
19/1/24 5:38:01 AM,%RH,107.223
19/1/24 7:38:01 AM,%RH,107.728
19/1/24 9:38:01 AM,%RH,107.223
19/1/24 11:38:01 AM,%RH,89.236
19/1/24 1:38:01 PM,%RH,85.894
19/1/24 3:38:01 PM,%RH,95.232
19/1/24 5:38:01 PM,%RH,98.431
19/1/24 7:38:01 PM,%RH,103.136
19/1/24 9:38:01 PM,%RH,105.701
19/1/24 11:38:01 PM,%RH,107.223
20/1/24 1:38:01 AM,%RH,106.717
20/1/24 3:38:01 AM,%RH,105.701
20/1/24 5:38:01 AM,%RH,105.701
20/1/24 7:38:01 AM,%RH,107.223
20/1/24 9:38:01 AM,%RH,100.012
20/1/24 11:38:01 AM,%RH,88.128
20/1/24 1:38:01 PM,%RH,86.454
20/1/24 3:38:01 PM,%RH,89.236
20/1/24 5:38:01 PM,%RH,94.154
20/1/24 7:38:01 PM,%RH,100.536
20/1/24 9:38:01 PM,%RH,104.166
20/1/24 11:38:01 PM,%RH,105.191
21/1/24 1:38:01 AM,%RH,106.21
21/1/24 3:38:01 AM,%RH,108.231
21/1/24 5:38:01 AM,%RH,108.231
21/1/24 7:38:01 AM,%RH,108.733
21/1/24 9:38:01 AM,%RH,102.619
21/1/24 11:38:01 AM,%RH,84.769
21/1/24 1:38:01 PM,%RH,70.233
21/1/24 3:38:01 PM,%RH,79.637
21/1/24 5:38:01 PM,%RH,85.332
21/1/24 7:38:01 PM,%RH,96.304
21/1/24 9:38:01 PM,%RH,104.679
21/1/24 11:38:01 PM,%RH,105.701
22/1/24 1:38:01 AM,%RH,106.717
22/1/24 3:38:01 AM,%RH,105.701
22/1/24 5:38:01 AM,%RH,107.223
22/1/24 7:38:01 AM,%RH,109.732
22/1/24 9:38:01 AM,%RH,107.223
22/1/24 11:38:01 AM,%RH,85.332
22/1/24 1:38:01 PM,%RH,79.637
22/1/24 3:38:01 PM,%RH,86.454
