1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 580000007D8D1541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:58:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:58:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12199
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:58:01 PM,%RH,77.759
11/1/24 11:58:01 PM,%RH,78.914
12/1/24 1:58:01 AM,%RH,79.489
12/1/24 3:58:01 AM,%RH,79.489
12/1/24 5:58:01 AM,%RH,79.489
12/1/24 7:58:01 AM,%RH,80.063
12/1/24 9:58:01 AM,%RH,71.298
12/1/24 11:58:01 AM,%RH,81.206
12/1/24 1:58:01 PM,%RH,74.845
12/1/24 3:58:01 PM,%RH,71.298
12/1/24 5:58:01 PM,%RH,72.486
12/1/24 7:58:01 PM,%RH,86.832
12/1/24 9:58:01 PM,%RH,85.16
12/1/24 11:58:01 PM,%RH,87.939
13/1/24 1:58:01 AM,%RH,89.039
13/1/24 3:58:01 AM,%RH,92.845
13/1/24 5:58:01 AM,%RH,94.987
13/1/24 7:58:01 AM,%RH,95.519
13/1/24 9:58:01 AM,%RH,94.454
13/1/24 11:58:01 AM,%RH,80.636
13/1/24 1:58:01 PM,%RH,75.431
13/1/24 3:58:01 PM,%RH,72.486
13/1/24 5:58:01 PM,%RH,86.276
13/1/24 7:58:01 PM,%RH,94.987
13/1/24 9:58:01 PM,%RH,97.105
13/1/24 11:58:01 PM,%RH,96.577
14/1/24 1:58:01 AM,%RH,93.383
14/1/24 3:58:01 AM,%RH,91.223
14/1/24 5:58:01 AM,%RH,93.383
14/1/24 7:58:01 AM,%RH,95.519
14/1/24 9:58:01 AM,%RH,93.383
14/1/24 11:58:01 AM,%RH,80.636
14/1/24 1:58:01 PM,%RH,71.893
14/1/24 3:58:01 PM,%RH,67.697
14/1/24 5:58:01 PM,%RH,85.719
14/1/24 7:58:01 PM,%RH,92.306
14/1/24 9:58:01 PM,%RH,81.206
14/1/24 11:58:01 PM,%RH,76.598
15/1/24 1:58:01 AM,%RH,79.489
15/1/24 3:58:01 AM,%RH,85.719
15/1/24 5:58:01 AM,%RH,92.306
15/1/24 7:58:01 AM,%RH,94.987
15/1/24 9:58:01 AM,%RH,93.383
15/1/24 11:58:01 AM,%RH,82.343
15/1/24 1:58:01 PM,%RH,72.486
15/1/24 3:58:01 PM,%RH,81.776
15/1/24 5:58:01 PM,%RH,85.16
15/1/24 7:58:01 PM,%RH,92.306
15/1/24 9:58:01 PM,%RH,94.987
15/1/24 11:58:01 PM,%RH,97.105
16/1/24 1:58:01 AM,%RH,97.63
16/1/24 3:58:01 AM,%RH,98.677
16/1/24 5:58:01 AM,%RH,95.519
16/1/24 7:58:01 AM,%RH,96.049
16/1/24 9:58:01 AM,%RH,96.577
16/1/24 11:58:01 AM,%RH,82.91
16/1/24 1:58:01 PM,%RH,77.759
16/1/24 3:58:01 PM,%RH,87.386
16/1/24 5:58:01 PM,%RH,91.765
16/1/24 7:58:01 PM,%RH,96.049
16/1/24 9:58:01 PM,%RH,98.154
16/1/24 11:58:01 PM,%RH,97.63
17/1/24 1:58:01 AM,%RH,100.236
17/1/24 3:58:01 AM,%RH,99.718
17/1/24 5:58:01 AM,%RH,98.677
17/1/24 7:58:01 AM,%RH,100.752
17/1/24 9:58:01 AM,%RH,96.577
17/1/24 11:58:01 AM,%RH,87.386
17/1/24 1:58:01 PM,%RH,88.49
17/1/24 3:58:01 PM,%RH,84.6
17/1/24 5:58:01 PM,%RH,86.832
17/1/24 7:58:01 PM,%RH,93.919
17/1/24 9:58:01 PM,%RH,97.105
17/1/24 11:58:01 PM,%RH,99.198
18/1/24 1:58:01 AM,%RH,99.198
18/1/24 3:58:01 AM,%RH,98.677
18/1/24 5:58:01 AM,%RH,99.718
18/1/24 7:58:01 AM,%RH,100.236
18/1/24 9:58:01 AM,%RH,98.154
18/1/24 11:58:01 AM,%RH,90.134
18/1/24 1:58:01 PM,%RH,87.939
18/1/24 3:58:01 PM,%RH,85.719
18/1/24 5:58:01 PM,%RH,91.765
18/1/24 7:58:01 PM,%RH,97.105
18/1/24 9:58:01 PM,%RH,98.154
18/1/24 11:58:01 PM,%RH,99.198
19/1/24 1:58:01 AM,%RH,99.198
19/1/24 3:58:01 AM,%RH,100.752
19/1/24 5:58:01 AM,%RH,100.752
19/1/24 7:58:01 AM,%RH,101.781
19/1/24 9:58:01 AM,%RH,100.752
19/1/24 11:58:01 AM,%RH,93.383
19/1/24 1:58:01 PM,%RH,90.68
19/1/24 3:58:01 PM,%RH,90.134
19/1/24 5:58:01 PM,%RH,94.454
19/1/24 7:58:01 PM,%RH,98.154
19/1/24 9:58:01 PM,%RH,98.154
19/1/24 11:58:01 PM,%RH,99.198
20/1/24 1:58:01 AM,%RH,99.718
20/1/24 3:58:01 AM,%RH,95.519
20/1/24 5:58:01 AM,%RH,99.198
20/1/24 7:58:01 AM,%RH,100.236
20/1/24 9:58:01 AM,%RH,100.236
20/1/24 11:58:01 AM,%RH,91.765
20/1/24 1:58:01 PM,%RH,88.49
20/1/24 3:58:01 PM,%RH,90.134
20/1/24 5:58:01 PM,%RH,93.919
20/1/24 7:58:01 PM,%RH,97.105
20/1/24 9:58:01 PM,%RH,98.677
20/1/24 11:58:01 PM,%RH,99.198
21/1/24 1:58:01 AM,%RH,98.677
21/1/24 3:58:01 AM,%RH,100.236
21/1/24 5:58:01 AM,%RH,99.718
21/1/24 7:58:01 AM,%RH,101.267
21/1/24 9:58:01 AM,%RH,100.752
21/1/24 11:58:01 AM,%RH,92.306
21/1/24 1:58:01 PM,%RH,81.776
21/1/24 3:58:01 PM,%RH,83.475
21/1/24 5:58:01 PM,%RH,87.939
21/1/24 7:58:01 PM,%RH,96.577
21/1/24 9:58:01 PM,%RH,98.154
21/1/24 11:58:01 PM,%RH,96.577
22/1/24 1:58:01 AM,%RH,98.154
22/1/24 3:58:01 AM,%RH,98.154
22/1/24 5:58:01 AM,%RH,99.718
22/1/24 7:58:01 AM,%RH,101.267
22/1/24 9:58:01 AM,%RH,100.752
22/1/24 11:58:01 AM,%RH,87.386
22/1/24 1:58:01 PM,%RH,87.939
22/1/24 3:58:01 PM,%RH,85.719
22/1/24 5:58:01 PM,%RH,87.939
22/1/24 7:58:01 PM,%RH,93.383
22/1/24 9:58:01 PM,%RH,97.105
22/1/24 11:58:01 PM,%RH,98.154
23/1/24 1:58:01 AM,%RH,99.198
23/1/24 3:58:01 AM,%RH,99.198
23/1/24 5:58:01 AM,%RH,99.718
23/1/24 7:58:01 AM,%RH,97.105
23/1/24 9:58:01 AM,%RH,94.987
23/1/24 11:58:01 AM,%RH,86.276
23/1/24 1:58:01 PM,%RH,86.832
23/1/24 3:58:01 PM,%RH,87.386
23/1/24 5:58:01 PM,%RH,90.68
23/1/24 7:58:01 PM,%RH,92.306
23/1/24 9:58:01 PM,%RH,97.63
23/1/24 11:58:01 PM,%RH,98.154
24/1/24 1:58:01 AM,%RH,98.154
24/1/24 3:58:01 AM,%RH,99.718
24/1/24 5:58:01 AM,%RH,99.718
24/1/24 7:58:01 AM,%RH,99.718
24/1/24 9:58:01 AM,%RH,87.386
24/1/24 11:58:01 AM,%RH,85.719
24/1/24 1:58:01 PM,%RH,79.489
24/1/24 3:58:01 PM,%RH,78.914
24/1/24 5:58:01 PM,%RH,82.343
24/1/24 7:58:01 PM,%RH,91.765
24/1/24 9:58:01 PM,%RH,94.987
24/1/24 11:58:01 PM,%RH,97.105
25/1/24 1:58:01 AM,%RH,93.383
25/1/24 3:58:01 AM,%RH,94.987
25/1/24 5:58:01 AM,%RH,97.105
25/1/24 7:58:01 AM,%RH,99.198
25/1/24 9:58:01 AM,%RH,90.134
25/1/24 11:58:01 AM,%RH,85.719
25/1/24 1:58:01 PM,%RH,84.6
25/1/24 3:58:01 PM,%RH,82.343
25/1/24 5:58:01 PM,%RH,88.49
25/1/24 7:58:01 PM,%RH,94.454
25/1/24 9:58:01 PM,%RH,97.63
25/1/24 11:58:01 PM,%RH,98.677
26/1/24 1:58:01 AM,%RH,99.718
26/1/24 3:58:01 AM,%RH,97.105
26/1/24 5:58:01 AM,%RH,97.63
26/1/24 7:58:01 AM,%RH,99.718
26/1/24 9:58:01 AM,%RH,97.105
26/1/24 11:58:01 AM,%RH,86.832
26/1/24 1:58:01 PM,%RH,74.257
26/1/24 3:58:01 PM,%RH,68.903
26/1/24 5:58:01 PM,%RH,74.257
26/1/24 7:58:01 PM,%RH,92.306
26/1/24 9:58:01 PM,%RH,95.519
26/1/24 11:58:01 PM,%RH,94.454
27/1/24 1:58:01 AM,%RH,74.257
27/1/24 3:58:01 AM,%RH,79.489
27/1/24 5:58:01 AM,%RH,88.49
27/1/24 7:58:01 AM,%RH,92.845
