1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5A0000007D839841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:15:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:15:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  11991
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:15:01 PM,C,22.079
13/1/24 10:15:01 PM,C,22.079
14/1/24 12:15:01 AM,C,22.079
14/1/24 2:15:01 AM,C,21.579
14/1/24 4:15:01 AM,C,21.078
14/1/24 6:15:01 AM,C,21.078
14/1/24 8:15:01 AM,C,20.578
14/1/24 10:15:01 AM,C,21.078
14/1/24 12:15:01 PM,C,23.08
14/1/24 2:15:01 PM,C,24.58
14/1/24 4:15:01 PM,C,24.08
14/1/24 6:15:01 PM,C,21.078
14/1/24 8:15:01 PM,C,18.075
14/1/24 10:15:01 PM,C,18.576
15/1/24 12:15:01 AM,C,18.576
15/1/24 2:15:01 AM,C,18.075
15/1/24 4:15:01 AM,C,17.574
15/1/24 6:15:01 AM,C,17.074
15/1/24 8:15:01 AM,C,17.574
15/1/24 10:15:01 AM,C,20.077
15/1/24 12:15:01 PM,C,22.579
15/1/24 2:15:01 PM,C,23.58
15/1/24 4:15:01 PM,C,23.58
15/1/24 6:15:01 PM,C,21.078
15/1/24 8:15:01 PM,C,18.075
15/1/24 10:15:01 PM,C,17.574
16/1/24 12:15:01 AM,C,16.573
16/1/24 2:15:01 AM,C,16.072
16/1/24 4:15:01 AM,C,16.072
16/1/24 6:15:01 AM,C,16.072
16/1/24 8:15:01 AM,C,16.072
16/1/24 10:15:01 AM,C,19.076
16/1/24 12:15:01 PM,C,22.079
16/1/24 2:15:01 PM,C,23.08
16/1/24 4:15:01 PM,C,23.08
16/1/24 6:15:01 PM,C,21.078
16/1/24 8:15:01 PM,C,19.076
