1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5B0000007DAAC741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:21:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:21:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  13756
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:21:01 PM,C,22.574
13/1/24 10:21:01 PM,C,22.074
14/1/24 12:21:01 AM,C,22.074
14/1/24 2:21:01 AM,C,21.574
14/1/24 4:21:01 AM,C,21.073
14/1/24 6:21:01 AM,C,21.073
14/1/24 8:21:01 AM,C,20.573
14/1/24 10:21:01 AM,C,24.574
14/1/24 12:21:01 PM,C,27.074
14/1/24 2:21:01 PM,C,27.574
14/1/24 4:21:01 PM,C,23.574
14/1/24 6:21:01 PM,C,22.574
14/1/24 8:21:01 PM,C,19.072
14/1/24 10:21:01 PM,C,18.072
15/1/24 12:21:01 AM,C,18.072
15/1/24 2:21:01 AM,C,17.572
15/1/24 4:21:01 AM,C,16.07
15/1/24 6:21:01 AM,C,16.571
15/1/24 8:21:01 AM,C,17.572
15/1/24 10:21:01 AM,C,20.073
15/1/24 12:21:01 PM,C,22.074
15/1/24 2:21:01 PM,C,23.074
15/1/24 4:21:01 PM,C,23.074
15/1/24 6:21:01 PM,C,21.073
15/1/24 8:21:01 PM,C,19.072
15/1/24 10:21:01 PM,C,17.572
16/1/24 12:21:01 AM,C,16.571
16/1/24 2:21:01 AM,C,16.07
16/1/24 4:21:01 AM,C,15.57
16/1/24 6:21:01 AM,C,16.07
16/1/24 8:21:01 AM,C,16.571
16/1/24 10:21:01 AM,C,19.573
16/1/24 12:21:01 PM,C,21.574
16/1/24 2:21:01 PM,C,22.574
16/1/24 4:21:01 PM,C,22.574
16/1/24 6:21:01 PM,C,21.073
16/1/24 8:21:01 PM,C,19.573
16/1/24 10:21:01 PM,C,18.572
17/1/24 12:21:01 AM,C,18.572
17/1/24 2:21:01 AM,C,18.572
17/1/24 4:21:01 AM,C,18.572
17/1/24 6:21:01 AM,C,18.572
17/1/24 8:21:01 AM,C,18.572
