1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5B0000007DAAC741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:21:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:21:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  13756
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:21:01 PM,%RH,80.35
13/1/24 10:21:01 PM,%RH,82.077
14/1/24 12:21:01 AM,%RH,82.077
14/1/24 2:21:01 AM,%RH,83.791
14/1/24 4:21:01 AM,%RH,81.503
14/1/24 6:21:01 AM,%RH,82.65
14/1/24 8:21:01 AM,%RH,87.741
14/1/24 10:21:01 AM,%RH,68.502
14/1/24 12:21:01 PM,%RH,60.491
14/1/24 2:21:01 PM,%RH,55.441
14/1/24 4:21:01 PM,%RH,82.65
14/1/24 6:21:01 PM,%RH,91.62
14/1/24 8:21:01 PM,%RH,93.261
14/1/24 10:21:01 PM,%RH,95.428
15/1/24 12:21:01 AM,%RH,91.07
15/1/24 2:21:01 AM,%RH,93.805
15/1/24 4:21:01 AM,%RH,95.428
15/1/24 6:21:01 AM,%RH,97.038
15/1/24 8:21:01 AM,%RH,97.572
15/1/24 10:21:01 AM,%RH,94.888
15/1/24 12:21:01 PM,%RH,80.927
15/1/24 2:21:01 PM,%RH,74.498
15/1/24 4:21:01 PM,%RH,77.442
15/1/24 6:21:01 PM,%RH,89.966
15/1/24 8:21:01 PM,%RH,93.805
15/1/24 10:21:01 PM,%RH,97.038
16/1/24 12:21:01 AM,%RH,98.105
16/1/24 2:21:01 AM,%RH,98.636
16/1/24 4:21:01 AM,%RH,99.165
16/1/24 6:21:01 AM,%RH,99.694
16/1/24 8:21:01 AM,%RH,99.694
16/1/24 10:21:01 AM,%RH,97.038
16/1/24 12:21:01 PM,%RH,85.493
16/1/24 2:21:01 PM,%RH,83.221
16/1/24 4:21:01 PM,%RH,91.07
16/1/24 6:21:01 PM,%RH,92.715
16/1/24 8:21:01 PM,%RH,96.503
16/1/24 10:21:01 PM,%RH,97.572
17/1/24 12:21:01 AM,%RH,98.105
17/1/24 2:21:01 AM,%RH,98.636
17/1/24 4:21:01 AM,%RH,99.165
17/1/24 6:21:01 AM,%RH,99.694
17/1/24 8:21:01 AM,%RH,100.746
17/1/24 10:21:01 AM,%RH,95.428
17/1/24 12:21:01 PM,%RH,88.3
17/1/24 2:21:01 PM,%RH,84.927
17/1/24 4:21:01 PM,%RH,83.791
17/1/24 6:21:01 PM,%RH,87.741
17/1/24 8:21:01 PM,%RH,94.347
17/1/24 10:21:01 PM,%RH,96.503
18/1/24 12:21:01 AM,%RH,98.636
18/1/24 2:21:01 AM,%RH,98.636
18/1/24 4:21:01 AM,%RH,98.636
18/1/24 6:21:01 AM,%RH,100.22
18/1/24 8:21:01 AM,%RH,99.165
18/1/24 10:21:01 AM,%RH,97.038
18/1/24 12:21:01 PM,%RH,89.966
18/1/24 2:21:01 PM,%RH,87.181
18/1/24 4:21:01 PM,%RH,88.857
18/1/24 6:21:01 PM,%RH,92.168
18/1/24 8:21:01 PM,%RH,97.038
18/1/24 10:21:01 PM,%RH,98.105
19/1/24 12:21:01 AM,%RH,98.105
19/1/24 2:21:01 AM,%RH,98.636
19/1/24 4:21:01 AM,%RH,99.165
19/1/24 6:21:01 AM,%RH,100.22
19/1/24 8:21:01 AM,%RH,100.22
19/1/24 10:21:01 AM,%RH,97.038
19/1/24 12:21:01 PM,%RH,92.168
19/1/24 2:21:01 PM,%RH,90.519
19/1/24 4:21:01 PM,%RH,89.966
19/1/24 6:21:01 PM,%RH,93.805
19/1/24 8:21:01 PM,%RH,96.503
19/1/24 10:21:01 PM,%RH,98.105
20/1/24 12:21:01 AM,%RH,97.572
20/1/24 2:21:01 AM,%RH,98.636
20/1/24 4:21:01 AM,%RH,98.105
20/1/24 6:21:01 AM,%RH,99.694
20/1/24 8:21:01 AM,%RH,100.746
20/1/24 10:21:01 AM,%RH,97.572
20/1/24 12:21:01 PM,%RH,93.261
20/1/24 2:21:01 PM,%RH,91.62
20/1/24 4:21:01 PM,%RH,88.3
20/1/24 6:21:01 PM,%RH,94.888
20/1/24 8:21:01 PM,%RH,98.636
20/1/24 10:21:01 PM,%RH,98.105
21/1/24 12:21:01 AM,%RH,98.636
21/1/24 2:21:01 AM,%RH,99.694
21/1/24 4:21:01 AM,%RH,100.22
21/1/24 6:21:01 AM,%RH,100.746
21/1/24 8:21:01 AM,%RH,100.22
21/1/24 10:21:01 AM,%RH,99.165
21/1/24 12:21:01 PM,%RH,88.857
21/1/24 2:21:01 PM,%RH,87.181
21/1/24 4:21:01 PM,%RH,84.927
21/1/24 6:21:01 PM,%RH,91.07
21/1/24 8:21:01 PM,%RH,95.428
21/1/24 10:21:01 PM,%RH,97.572
22/1/24 12:21:01 AM,%RH,99.165
22/1/24 2:21:01 AM,%RH,98.636
22/1/24 4:21:01 AM,%RH,99.694
22/1/24 6:21:01 AM,%RH,99.165
22/1/24 8:21:01 AM,%RH,100.22
22/1/24 10:21:01 AM,%RH,97.572
22/1/24 12:21:01 PM,%RH,89.412
22/1/24 2:21:01 PM,%RH,92.168
22/1/24 4:21:01 PM,%RH,88.3
22/1/24 6:21:01 PM,%RH,91.62
22/1/24 8:21:01 PM,%RH,95.428
22/1/24 10:21:01 PM,%RH,98.105
23/1/24 12:21:01 AM,%RH,97.572
23/1/24 2:21:01 AM,%RH,99.694
23/1/24 4:21:01 AM,%RH,99.694
23/1/24 6:21:01 AM,%RH,99.694
23/1/24 8:21:01 AM,%RH,101.269
23/1/24 10:21:01 AM,%RH,94.888
23/1/24 12:21:01 PM,%RH,87.181
23/1/24 2:21:01 PM,%RH,87.741
23/1/24 4:21:01 PM,%RH,88.3
23/1/24 6:21:01 PM,%RH,91.62
23/1/24 8:21:01 PM,%RH,92.715
