1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5C0000007D83AD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:06:01 IST 2024
Mission Sample Count:  3250
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:06:01 IST 2024
Total Mission Samples:  3250
Total Device Samples:  13850
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:06:01 PM,%RH,80.869
13/1/24 10:06:01 PM,%RH,81.961
14/1/24 12:06:01 AM,%RH,80.321
14/1/24 2:06:01 AM,%RH,81.415
14/1/24 4:06:01 AM,%RH,83.047
14/1/24 6:06:01 AM,%RH,82.505
14/1/24 8:06:01 AM,%RH,85.737
14/1/24 10:06:01 AM,%RH,69.054
14/1/24 12:06:01 PM,%RH,75.883
14/1/24 2:06:01 PM,%RH,59.625
14/1/24 4:06:01 PM,%RH,56.603
14/1/24 6:06:01 PM,%RH,86.804
14/1/24 8:06:01 PM,%RH,92.047
14/1/24 10:06:01 PM,%RH,80.321
15/1/24 12:06:01 AM,%RH,80.869
15/1/24 2:06:01 AM,%RH,87.334
15/1/24 4:06:01 AM,%RH,91.01
15/1/24 6:06:01 AM,%RH,93.592
15/1/24 8:06:01 AM,%RH,97.649
15/1/24 10:06:01 AM,%RH,90.489
15/1/24 12:06:01 PM,%RH,74.195
15/1/24 2:06:01 PM,%RH,59.024
15/1/24 4:06:01 PM,%RH,71.353
15/1/24 6:06:01 PM,%RH,80.869
15/1/24 8:06:01 PM,%RH,93.592
15/1/24 10:06:01 PM,%RH,98.649
16/1/24 12:06:01 AM,%RH,100.631
16/1/24 2:06:01 AM,%RH,100.631
16/1/24 4:06:01 AM,%RH,101.613
16/1/24 6:06:01 AM,%RH,102.102
16/1/24 8:06:01 AM,%RH,102.59
16/1/24 10:06:01 AM,%RH,98.649
16/1/24 12:06:01 PM,%RH,76.443
16/1/24 2:06:01 PM,%RH,68.475
16/1/24 4:06:01 PM,%RH,81.961
16/1/24 6:06:01 PM,%RH,88.392
16/1/24 8:06:01 PM,%RH,95.632
16/1/24 10:06:01 PM,%RH,102.59
17/1/24 12:06:01 AM,%RH,101.613
17/1/24 2:06:01 AM,%RH,101.613
17/1/24 4:06:01 AM,%RH,102.102
17/1/24 6:06:01 AM,%RH,102.59
17/1/24 8:06:01 AM,%RH,104.526
17/1/24 10:06:01 AM,%RH,94.615
17/1/24 12:06:01 PM,%RH,76.443
17/1/24 2:06:01 PM,%RH,78.667
17/1/24 4:06:01 PM,%RH,73.063
17/1/24 6:06:01 PM,%RH,79.22
17/1/24 8:06:01 PM,%RH,94.615
17/1/24 10:06:01 PM,%RH,100.137
18/1/24 12:06:01 AM,%RH,100.137
18/1/24 2:06:01 AM,%RH,100.137
18/1/24 4:06:01 AM,%RH,103.561
18/1/24 6:06:01 AM,%RH,103.561
18/1/24 8:06:01 AM,%RH,104.044
18/1/24 10:06:01 AM,%RH,95.632
18/1/24 12:06:01 PM,%RH,83.588
18/1/24 2:06:01 PM,%RH,81.415
18/1/24 4:06:01 PM,%RH,81.415
18/1/24 6:06:01 PM,%RH,87.864
18/1/24 8:06:01 PM,%RH,96.643
18/1/24 10:06:01 PM,%RH,100.137
19/1/24 12:06:01 AM,%RH,102.59
19/1/24 2:06:01 AM,%RH,103.076
