1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 700000007D8F4241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:43:01 IST 2024
Mission Sample Count:  4029
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:43:01 IST 2024
Total Mission Samples:  4029
Total Device Samples:  14167
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:43:01 PM,C,23.08
14/1/24 11:43:01 PM,C,22.079
15/1/24 1:43:01 AM,C,21.579
15/1/24 3:43:01 AM,C,20.578
15/1/24 5:43:01 AM,C,20.077
15/1/24 7:43:01 AM,C,19.577
15/1/24 9:43:01 AM,C,22.579
15/1/24 11:43:01 AM,C,21.579
15/1/24 1:43:01 PM,C,22.579
15/1/24 3:43:01 PM,C,23.08
15/1/24 5:43:01 PM,C,22.079
15/1/24 7:43:01 PM,C,20.578
15/1/24 9:43:01 PM,C,19.577
15/1/24 11:43:01 PM,C,19.076
16/1/24 1:43:01 AM,C,19.577
16/1/24 3:43:01 AM,C,18.576
16/1/24 5:43:01 AM,C,18.075
16/1/24 7:43:01 AM,C,17.074
16/1/24 9:43:01 AM,C,18.576
16/1/24 11:43:01 AM,C,21.579
16/1/24 1:43:01 PM,C,22.579
16/1/24 3:43:01 PM,C,23.08
16/1/24 5:43:01 PM,C,22.079
16/1/24 7:43:01 PM,C,19.577
16/1/24 9:43:01 PM,C,19.577
16/1/24 11:43:01 PM,C,19.577
17/1/24 1:43:01 AM,C,19.076
17/1/24 3:43:01 AM,C,18.576
17/1/24 5:43:01 AM,C,18.576
17/1/24 7:43:01 AM,C,18.075
17/1/24 9:43:01 AM,C,19.577
17/1/24 11:43:01 AM,C,21.078
17/1/24 1:43:01 PM,C,22.579
17/1/24 3:43:01 PM,C,22.579
17/1/24 5:43:01 PM,C,21.579
17/1/24 7:43:01 PM,C,19.577
17/1/24 9:43:01 PM,C,20.077
17/1/24 11:43:01 PM,C,19.577
18/1/24 1:43:01 AM,C,18.576
18/1/24 3:43:01 AM,C,18.576
18/1/24 5:43:01 AM,C,17.574
18/1/24 7:43:01 AM,C,18.075
18/1/24 9:43:01 AM,C,19.577
18/1/24 11:43:01 AM,C,21.579
18/1/24 1:43:01 PM,C,22.579
18/1/24 3:43:01 PM,C,22.579
18/1/24 5:43:01 PM,C,22.079
18/1/24 7:43:01 PM,C,20.578
18/1/24 9:43:01 PM,C,20.077
18/1/24 11:43:01 PM,C,19.577
19/1/24 1:43:01 AM,C,19.577
19/1/24 3:43:01 AM,C,19.577
19/1/24 5:43:01 AM,C,18.576
19/1/24 7:43:01 AM,C,18.576
19/1/24 9:43:01 AM,C,19.577
19/1/24 11:43:01 AM,C,21.579
19/1/24 1:43:01 PM,C,21.579
19/1/24 3:43:01 PM,C,22.579
19/1/24 5:43:01 PM,C,22.079
19/1/24 7:43:01 PM,C,20.578
19/1/24 9:43:01 PM,C,20.077
19/1/24 11:43:01 PM,C,19.076
20/1/24 1:43:01 AM,C,18.576
20/1/24 3:43:01 AM,C,18.576
20/1/24 5:43:01 AM,C,17.574
20/1/24 7:43:01 AM,C,17.574
20/1/24 9:43:01 AM,C,19.577
20/1/24 11:43:01 AM,C,21.579
20/1/24 1:43:01 PM,C,22.079
20/1/24 3:43:01 PM,C,23.08
