1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 840000007D8F2341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:39:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:39:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  11646
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:39:01 PM,%RH,88.107
9/1/24 11:39:01 PM,%RH,87.591
10/1/24 1:39:01 AM,%RH,84.987
10/1/24 3:39:01 AM,%RH,84.987
10/1/24 5:39:01 AM,%RH,84.46
10/1/24 7:39:01 AM,%RH,84.987
10/1/24 9:39:01 AM,%RH,85.511
10/1/24 11:39:01 AM,%RH,81.268
10/1/24 1:39:01 PM,%RH,79.106
10/1/24 3:39:01 PM,%RH,79.649
10/1/24 5:39:01 PM,%RH,81.268
10/1/24 7:39:01 PM,%RH,81.804
10/1/24 9:39:01 PM,%RH,82.339
10/1/24 11:39:01 PM,%RH,81.268
11/1/24 1:39:01 AM,%RH,80.73
11/1/24 3:39:01 AM,%RH,81.268
11/1/24 5:39:01 AM,%RH,81.268
11/1/24 7:39:01 AM,%RH,82.872
11/1/24 9:39:01 AM,%RH,80.73
11/1/24 11:39:01 AM,%RH,45.965
11/1/24 1:39:01 PM,%RH,61.422
11/1/24 3:39:01 PM,%RH,59.02
11/1/24 5:39:01 PM,%RH,77.466
11/1/24 7:39:01 PM,%RH,79.106
11/1/24 9:39:01 PM,%RH,77.466
11/1/24 11:39:01 PM,%RH,86.555
12/1/24 1:39:01 AM,%RH,84.46
12/1/24 3:39:01 AM,%RH,90.154
12/1/24 5:39:01 AM,%RH,97.101
12/1/24 7:39:01 AM,%RH,98.066
12/1/24 9:39:01 AM,%RH,83.933
12/1/24 11:39:01 AM,%RH,74.141
12/1/24 1:39:01 PM,%RH,64.385
12/1/24 3:39:01 PM,%RH,57.809
12/1/24 5:39:01 PM,%RH,73.58
12/1/24 7:39:01 PM,%RH,78.014
12/1/24 9:39:01 PM,%RH,81.804
12/1/24 11:39:01 PM,%RH,87.074
13/1/24 1:39:01 AM,%RH,91.67
13/1/24 3:39:01 AM,%RH,97.101
13/1/24 5:39:01 AM,%RH,102.324
13/1/24 7:39:01 AM,%RH,99.975
13/1/24 9:39:01 AM,%RH,95.64
13/1/24 11:39:01 AM,%RH,70.183
13/1/24 1:39:01 PM,%RH,65.558
13/1/24 3:39:01 PM,%RH,68.462
13/1/24 5:39:01 PM,%RH,83.403
13/1/24 7:39:01 PM,%RH,90.661
13/1/24 9:39:01 PM,%RH,100.92
13/1/24 11:39:01 PM,%RH,96.129
14/1/24 1:39:01 AM,%RH,97.101
14/1/24 3:39:01 AM,%RH,88.107
14/1/24 5:39:01 AM,%RH,95.15
14/1/24 7:39:01 AM,%RH,95.64
14/1/24 9:39:01 AM,%RH,94.658
14/1/24 11:39:01 AM,%RH,70.183
14/1/24 1:39:01 PM,%RH,64.972
14/1/24 3:39:01 PM,%RH,67.305
14/1/24 5:39:01 PM,%RH,86.034
14/1/24 7:39:01 PM,%RH,87.591
14/1/24 9:39:01 PM,%RH,81.804
