1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8A0000007DAB3541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:36:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:36:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  13586
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:36:01 PM,C,22.967
9/1/24 11:36:01 PM,C,21.967
10/1/24 1:36:01 AM,C,21.967
10/1/24 3:36:01 AM,C,21.467
10/1/24 5:36:01 AM,C,20.967
10/1/24 7:36:01 AM,C,20.967
10/1/24 9:36:01 AM,C,20.967
10/1/24 11:36:01 AM,C,21.967
10/1/24 1:36:01 PM,C,22.467
10/1/24 3:36:01 PM,C,22.467
10/1/24 5:36:01 PM,C,22.467
10/1/24 7:36:01 PM,C,22.467
10/1/24 9:36:01 PM,C,21.967
10/1/24 11:36:01 PM,C,21.467
11/1/24 1:36:01 AM,C,21.467
11/1/24 3:36:01 AM,C,20.967
11/1/24 5:36:01 AM,C,20.967
11/1/24 7:36:01 AM,C,20.967
11/1/24 9:36:01 AM,C,20.467
11/1/24 11:36:01 AM,C,23.467
11/1/24 1:36:01 PM,C,23.467
11/1/24 3:36:01 PM,C,24.467
11/1/24 5:36:01 PM,C,22.467
11/1/24 7:36:01 PM,C,19.467
11/1/24 9:36:01 PM,C,19.467
11/1/24 11:36:01 PM,C,17.467
12/1/24 1:36:01 AM,C,18.467
12/1/24 3:36:01 AM,C,17.967
12/1/24 5:36:01 AM,C,17.467
12/1/24 7:36:01 AM,C,16.967
12/1/24 9:36:01 AM,C,18.967
12/1/24 11:36:01 AM,C,21.467
12/1/24 1:36:01 PM,C,23.467
12/1/24 3:36:01 PM,C,24.467
12/1/24 5:36:01 PM,C,22.967
12/1/24 7:36:01 PM,C,19.967
12/1/24 9:36:01 PM,C,18.467
12/1/24 11:36:01 PM,C,17.467
13/1/24 1:36:01 AM,C,16.467
13/1/24 3:36:01 AM,C,15.967
13/1/24 5:36:01 AM,C,15.967
13/1/24 7:36:01 AM,C,16.967
13/1/24 9:36:01 AM,C,18.967
13/1/24 11:36:01 AM,C,21.967
13/1/24 1:36:01 PM,C,23.967
13/1/24 3:36:01 PM,C,24.467
13/1/24 5:36:01 PM,C,22.967
13/1/24 7:36:01 PM,C,20.467
13/1/24 9:36:01 PM,C,19.467
13/1/24 11:36:01 PM,C,18.967
14/1/24 1:36:01 AM,C,18.467
14/1/24 3:36:01 AM,C,18.467
14/1/24 5:36:01 AM,C,17.967
14/1/24 7:36:01 AM,C,17.967
14/1/24 9:36:01 AM,C,19.467
14/1/24 11:36:01 AM,C,23.967
14/1/24 1:36:01 PM,C,24.467
14/1/24 3:36:01 PM,C,25.467
14/1/24 5:36:01 PM,C,23.967
14/1/24 7:36:01 PM,C,19.467
14/1/24 9:36:01 PM,C,19.467
14/1/24 11:36:01 PM,C,19.467
15/1/24 1:36:01 AM,C,18.467
15/1/24 3:36:01 AM,C,17.467
15/1/24 5:36:01 AM,C,15.967
15/1/24 7:36:01 AM,C,15.967
15/1/24 9:36:01 AM,C,18.967
15/1/24 11:36:01 AM,C,22.467
15/1/24 1:36:01 PM,C,24.467
15/1/24 3:36:01 PM,C,23.467
15/1/24 5:36:01 PM,C,21.967
15/1/24 7:36:01 PM,C,20.467
15/1/24 9:36:01 PM,C,19.467
15/1/24 11:36:01 PM,C,18.467
16/1/24 1:36:01 AM,C,18.467
16/1/24 3:36:01 AM,C,17.967
16/1/24 5:36:01 AM,C,17.467
16/1/24 7:36:01 AM,C,17.467
16/1/24 9:36:01 AM,C,18.467
16/1/24 11:36:01 AM,C,22.967
16/1/24 1:36:01 PM,C,23.967
16/1/24 3:36:01 PM,C,22.967
16/1/24 5:36:01 PM,C,21.967
16/1/24 7:36:01 PM,C,19.967
16/1/24 9:36:01 PM,C,19.467
16/1/24 11:36:01 PM,C,19.467
17/1/24 1:36:01 AM,C,18.967
17/1/24 3:36:01 AM,C,18.967
17/1/24 5:36:01 AM,C,18.467
17/1/24 7:36:01 AM,C,17.967
17/1/24 9:36:01 AM,C,20.467
17/1/24 11:36:01 AM,C,22.467
17/1/24 1:36:01 PM,C,23.467
17/1/24 3:36:01 PM,C,22.967
17/1/24 5:36:01 PM,C,21.967
17/1/24 7:36:01 PM,C,20.467
17/1/24 9:36:01 PM,C,20.467
17/1/24 11:36:01 PM,C,19.967
18/1/24 1:36:01 AM,C,18.967
18/1/24 3:36:01 AM,C,18.467
18/1/24 5:36:01 AM,C,17.967
18/1/24 7:36:01 AM,C,18.467
18/1/24 9:36:01 AM,C,20.467
18/1/24 11:36:01 AM,C,22.467
18/1/24 1:36:01 PM,C,22.967
18/1/24 3:36:01 PM,C,23.467
18/1/24 5:36:01 PM,C,21.967
18/1/24 7:36:01 PM,C,20.467
18/1/24 9:36:01 PM,C,19.967
18/1/24 11:36:01 PM,C,19.467
19/1/24 1:36:01 AM,C,19.967
19/1/24 3:36:01 AM,C,18.967
19/1/24 5:36:01 AM,C,17.967
19/1/24 7:36:01 AM,C,18.467
19/1/24 9:36:01 AM,C,19.467
19/1/24 11:36:01 AM,C,21.467
19/1/24 1:36:01 PM,C,23.967
19/1/24 3:36:01 PM,C,23.467
19/1/24 5:36:01 PM,C,22.467
19/1/24 7:36:01 PM,C,20.967
19/1/24 9:36:01 PM,C,20.467
19/1/24 11:36:01 PM,C,18.967
20/1/24 1:36:01 AM,C,18.967
20/1/24 3:36:01 AM,C,18.967
20/1/24 5:36:01 AM,C,17.467
20/1/24 7:36:01 AM,C,17.967
20/1/24 9:36:01 AM,C,19.467
20/1/24 11:36:01 AM,C,22.467
20/1/24 1:36:01 PM,C,24.467
20/1/24 3:36:01 PM,C,23.967
20/1/24 5:36:01 PM,C,22.467
20/1/24 7:36:01 PM,C,20.967
20/1/24 9:36:01 PM,C,19.967
20/1/24 11:36:01 PM,C,19.967
21/1/24 1:36:01 AM,C,19.967
21/1/24 3:36:01 AM,C,18.967
21/1/24 5:36:01 AM,C,18.467
21/1/24 7:36:01 AM,C,18.467
21/1/24 9:36:01 AM,C,19.967
21/1/24 11:36:01 AM,C,22.967
21/1/24 1:36:01 PM,C,24.967
21/1/24 3:36:01 PM,C,24.467
