1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8B0000007DABB041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:09:01 IST 2024
Mission Sample Count:  3250
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:09:01 IST 2024
Total Mission Samples:  3250
Total Device Samples:  13620
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:09:01 PM,C,22.529
13/1/24 10:09:01 PM,C,22.029
14/1/24 12:09:01 AM,C,21.529
14/1/24 2:09:01 AM,C,21.529
14/1/24 4:09:01 AM,C,21.029
14/1/24 6:09:01 AM,C,21.029
14/1/24 8:09:01 AM,C,19.029
14/1/24 10:09:01 AM,C,25.029
14/1/24 12:09:01 PM,C,23.529
14/1/24 2:09:01 PM,C,25.529
14/1/24 4:09:01 PM,C,24.529
14/1/24 6:09:01 PM,C,21.529
14/1/24 8:09:01 PM,C,17.529
14/1/24 10:09:01 PM,C,17.03
15/1/24 12:09:01 AM,C,18.029
15/1/24 2:09:01 AM,C,17.529
15/1/24 4:09:01 AM,C,16.03
15/1/24 6:09:01 AM,C,16.03
15/1/24 8:09:01 AM,C,18.029
15/1/24 10:09:01 AM,C,21.529
15/1/24 12:09:01 PM,C,23.529
15/1/24 2:09:01 PM,C,23.529
15/1/24 4:09:01 PM,C,22.529
15/1/24 6:09:01 PM,C,21.029
15/1/24 8:09:01 PM,C,18.529
15/1/24 10:09:01 PM,C,17.529
16/1/24 12:09:01 AM,C,16.53
16/1/24 2:09:01 AM,C,17.03
16/1/24 4:09:01 AM,C,15.53
16/1/24 6:09:01 AM,C,16.53
16/1/24 8:09:01 AM,C,17.529
16/1/24 10:09:01 AM,C,20.529
16/1/24 12:09:01 PM,C,23.029
16/1/24 2:09:01 PM,C,22.529
16/1/24 4:09:01 PM,C,22.529
16/1/24 6:09:01 PM,C,20.529
16/1/24 8:09:01 PM,C,19.029
16/1/24 10:09:01 PM,C,18.529
17/1/24 12:09:01 AM,C,18.029
17/1/24 2:09:01 AM,C,18.029
17/1/24 4:09:01 AM,C,18.529
17/1/24 6:09:01 AM,C,18.529
17/1/24 8:09:01 AM,C,18.029
17/1/24 10:09:01 AM,C,21.529
17/1/24 12:09:01 PM,C,22.529
17/1/24 2:09:01 PM,C,23.029
17/1/24 4:09:01 PM,C,22.029
17/1/24 6:09:01 PM,C,20.529
17/1/24 8:09:01 PM,C,18.529
17/1/24 10:09:01 PM,C,19.529
18/1/24 12:09:01 AM,C,19.529
18/1/24 2:09:01 AM,C,18.529
18/1/24 4:09:01 AM,C,17.529
18/1/24 6:09:01 AM,C,17.03
18/1/24 8:09:01 AM,C,18.029
18/1/24 10:09:01 AM,C,21.029
18/1/24 12:09:01 PM,C,22.529
18/1/24 2:09:01 PM,C,22.529
18/1/24 4:09:01 PM,C,22.529
18/1/24 6:09:01 PM,C,21.029
18/1/24 8:09:01 PM,C,19.529
18/1/24 10:09:01 PM,C,19.029
19/1/24 12:09:01 AM,C,18.529
19/1/24 2:09:01 AM,C,18.529
19/1/24 4:09:01 AM,C,18.529
19/1/24 6:09:01 AM,C,17.529
19/1/24 8:09:01 AM,C,18.029
19/1/24 10:09:01 AM,C,21.029
19/1/24 12:09:01 PM,C,22.529
19/1/24 2:09:01 PM,C,23.529
19/1/24 4:09:01 PM,C,23.029
19/1/24 6:09:01 PM,C,21.529
19/1/24 8:09:01 PM,C,20.029
19/1/24 10:09:01 PM,C,19.529
20/1/24 12:09:01 AM,C,18.029
20/1/24 2:09:01 AM,C,18.529
20/1/24 4:09:01 AM,C,18.029
20/1/24 6:09:01 AM,C,17.529
20/1/24 8:09:01 AM,C,18.529
20/1/24 10:09:01 AM,C,21.029
20/1/24 12:09:01 PM,C,23.029
20/1/24 2:09:01 PM,C,23.529
20/1/24 4:09:01 PM,C,23.029
20/1/24 6:09:01 PM,C,22.029
20/1/24 8:09:01 PM,C,20.029
20/1/24 10:09:01 PM,C,18.529
21/1/24 12:09:01 AM,C,18.029
21/1/24 2:09:01 AM,C,17.529
21/1/24 4:09:01 AM,C,19.029
21/1/24 6:09:01 AM,C,18.529
21/1/24 8:09:01 AM,C,19.029
21/1/24 10:09:01 AM,C,21.029
21/1/24 12:09:01 PM,C,23.529
21/1/24 2:09:01 PM,C,24.529
21/1/24 4:09:01 PM,C,24.029
21/1/24 6:09:01 PM,C,22.029
21/1/24 8:09:01 PM,C,20.029
21/1/24 10:09:01 PM,C,20.029
22/1/24 12:09:01 AM,C,19.029
22/1/24 2:09:01 AM,C,18.529
22/1/24 4:09:01 AM,C,17.529
22/1/24 6:09:01 AM,C,17.529
22/1/24 8:09:01 AM,C,18.529
22/1/24 10:09:01 AM,C,22.029
22/1/24 12:09:01 PM,C,24.029
22/1/24 2:09:01 PM,C,24.029
22/1/24 4:09:01 PM,C,23.029
22/1/24 6:09:01 PM,C,21.529
22/1/24 8:09:01 PM,C,20.529
22/1/24 10:09:01 PM,C,20.029
23/1/24 12:09:01 AM,C,18.529
23/1/24 2:09:01 AM,C,18.029
23/1/24 4:09:01 AM,C,17.03
23/1/24 6:09:01 AM,C,17.03
23/1/24 8:09:01 AM,C,19.529
23/1/24 10:09:01 AM,C,22.029
23/1/24 12:09:01 PM,C,23.029
23/1/24 2:09:01 PM,C,23.029
23/1/24 4:09:01 PM,C,23.029
23/1/24 6:09:01 PM,C,21.529
23/1/24 8:09:01 PM,C,19.029
23/1/24 10:09:01 PM,C,18.029
24/1/24 12:09:01 AM,C,17.03
24/1/24 2:09:01 AM,C,16.03
24/1/24 4:09:01 AM,C,15.53
24/1/24 6:09:01 AM,C,14.53
24/1/24 8:09:01 AM,C,14.53
24/1/24 10:09:01 AM,C,18.529
24/1/24 12:09:01 PM,C,22.029
24/1/24 2:09:01 PM,C,22.529
24/1/24 4:09:01 PM,C,21.529
24/1/24 6:09:01 PM,C,20.029
24/1/24 8:09:01 PM,C,18.529
24/1/24 10:09:01 PM,C,17.03
25/1/24 12:09:01 AM,C,16.03
25/1/24 2:09:01 AM,C,14.53
25/1/24 4:09:01 AM,C,13.53
25/1/24 6:09:01 AM,C,14.03
25/1/24 8:09:01 AM,C,14.03
25/1/24 10:09:01 AM,C,19.529
25/1/24 12:09:01 PM,C,21.529
25/1/24 2:09:01 PM,C,22.029
25/1/24 4:09:01 PM,C,22.029
25/1/24 6:09:01 PM,C,20.529
25/1/24 8:09:01 PM,C,19.029
25/1/24 10:09:01 PM,C,18.029
26/1/24 12:09:01 AM,C,17.03
26/1/24 2:09:01 AM,C,16.53
26/1/24 4:09:01 AM,C,16.53
26/1/24 6:09:01 AM,C,17.03
26/1/24 8:09:01 AM,C,18.029
26/1/24 10:09:01 AM,C,21.029
26/1/24 12:09:01 PM,C,23.029
26/1/24 2:09:01 PM,C,24.029
26/1/24 4:09:01 PM,C,24.029
26/1/24 6:09:01 PM,C,21.029
26/1/24 8:09:01 PM,C,18.529
26/1/24 10:09:01 PM,C,17.03
27/1/24 12:09:01 AM,C,15.53
27/1/24 2:09:01 AM,C,14.53
27/1/24 4:09:01 AM,C,14.53
27/1/24 6:09:01 AM,C,16.03
27/1/24 8:09:01 AM,C,17.03
27/1/24 10:09:01 AM,C,20.529
27/1/24 12:09:01 PM,C,23.029
27/1/24 2:09:01 PM,C,23.529
27/1/24 4:09:01 PM,C,24.529
27/1/24 6:09:01 PM,C,21.529
27/1/24 8:09:01 PM,C,17.03
27/1/24 10:09:01 PM,C,16.03
28/1/24 12:09:01 AM,C,16.03
28/1/24 2:09:01 AM,C,15.03
28/1/24 4:09:01 AM,C,15.53
28/1/24 6:09:01 AM,C,15.53
28/1/24 8:09:01 AM,C,17.03
28/1/24 10:09:01 AM,C,21.029
28/1/24 12:09:01 PM,C,23.029
28/1/24 2:09:01 PM,C,24.029
28/1/24 4:09:01 PM,C,24.029
28/1/24 6:09:01 PM,C,21.029
28/1/24 8:09:01 PM,C,18.029
28/1/24 10:09:01 PM,C,16.53
29/1/24 12:09:01 AM,C,15.53
29/1/24 2:09:01 AM,C,15.03
29/1/24 4:09:01 AM,C,15.03
29/1/24 6:09:01 AM,C,16.03
29/1/24 8:09:01 AM,C,16.03
29/1/24 10:09:01 AM,C,20.029
29/1/24 12:09:01 PM,C,22.029
29/1/24 2:09:01 PM,C,23.529
29/1/24 4:09:01 PM,C,23.029
29/1/24 6:09:01 PM,C,21.029
29/1/24 8:09:01 PM,C,18.029
29/1/24 10:09:01 PM,C,16.53
30/1/24 12:09:01 AM,C,15.03
30/1/24 2:09:01 AM,C,14.53
30/1/24 4:09:01 AM,C,17.529
30/1/24 6:09:01 AM,C,17.529
30/1/24 8:09:01 AM,C,16.53
30/1/24 10:09:01 AM,C,21.029
30/1/24 12:09:01 PM,C,23.029
30/1/24 2:09:01 PM,C,23.529
30/1/24 4:09:01 PM,C,22.529
30/1/24 6:09:01 PM,C,20.029
30/1/24 8:09:01 PM,C,17.529
30/1/24 10:09:01 PM,C,17.529
31/1/24 12:09:01 AM,C,16.53
31/1/24 2:09:01 AM,C,15.03
31/1/24 4:09:01 AM,C,14.53
31/1/24 6:09:01 AM,C,14.53
31/1/24 8:09:01 AM,C,14.53
31/1/24 10:09:01 AM,C,20.029
31/1/24 12:09:01 PM,C,22.529
31/1/24 2:09:01 PM,C,22.529
31/1/24 4:09:01 PM,C,22.029
31/1/24 6:09:01 PM,C,20.029
31/1/24 8:09:01 PM,C,16.53
31/1/24 10:09:01 PM,C,15.53
1/2/24 12:09:01 AM,C,15.03
1/2/24 2:09:01 AM,C,16.03
1/2/24 4:09:01 AM,C,15.53
1/2/24 6:09:01 AM,C,14.53
1/2/24 8:09:01 AM,C,14.03
1/2/24 10:09:01 AM,C,18.529
1/2/24 12:09:01 PM,C,22.029
1/2/24 2:09:01 PM,C,22.529
1/2/24 4:09:01 PM,C,22.029
1/2/24 6:09:01 PM,C,20.529
1/2/24 8:09:01 PM,C,18.029
1/2/24 10:09:01 PM,C,17.03
2/2/24 12:09:01 AM,C,16.53
2/2/24 2:09:01 AM,C,16.53
2/2/24 4:09:01 AM,C,15.53
2/2/24 6:09:01 AM,C,14.03
2/2/24 8:09:01 AM,C,14.53
2/2/24 10:09:01 AM,C,21.029
2/2/24 12:09:01 PM,C,23.029
2/2/24 2:09:01 PM,C,23.029
2/2/24 4:09:01 PM,C,22.529
2/2/24 6:09:01 PM,C,20.529
2/2/24 8:09:01 PM,C,18.529
2/2/24 10:09:01 PM,C,17.529
3/2/24 12:09:01 AM,C,16.53
3/2/24 2:09:01 AM,C,15.53
3/2/24 4:09:01 AM,C,14.03
3/2/24 6:09:01 AM,C,15.03
3/2/24 8:09:01 AM,C,18.029
3/2/24 10:09:01 AM,C,22.029
3/2/24 12:09:01 PM,C,24.029
