1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000007DA92141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 22:01:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 22:01:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12160
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 10:01:01 PM,C,22.167
12/1/24 12:01:01 AM,C,21.666
12/1/24 2:01:01 AM,C,21.166
12/1/24 4:01:01 AM,C,21.166
12/1/24 6:01:01 AM,C,20.665
12/1/24 8:01:01 AM,C,20.665
12/1/24 10:01:01 AM,C,21.666
12/1/24 12:01:01 PM,C,22.167
12/1/24 2:01:01 PM,C,23.167
12/1/24 4:01:01 PM,C,23.667
12/1/24 6:01:01 PM,C,22.667
12/1/24 8:01:01 PM,C,20.665
12/1/24 10:01:01 PM,C,19.664
13/1/24 12:01:01 AM,C,18.662
13/1/24 2:01:01 AM,C,18.662
13/1/24 4:01:01 AM,C,18.161
13/1/24 6:01:01 AM,C,17.66
13/1/24 8:01:01 AM,C,17.66
13/1/24 10:01:01 AM,C,19.163
13/1/24 12:01:01 PM,C,22.167
13/1/24 2:01:01 PM,C,23.167
13/1/24 4:01:01 PM,C,23.667
13/1/24 6:01:01 PM,C,22.167
13/1/24 8:01:01 PM,C,20.164
13/1/24 10:01:01 PM,C,19.664
14/1/24 12:01:01 AM,C,18.662
14/1/24 2:01:01 AM,C,19.163
14/1/24 4:01:01 AM,C,18.662
14/1/24 6:01:01 AM,C,18.662
14/1/24 8:01:01 AM,C,18.662
14/1/24 10:01:01 AM,C,20.164
14/1/24 12:01:01 PM,C,22.667
14/1/24 2:01:01 PM,C,23.667
14/1/24 4:01:01 PM,C,23.667
14/1/24 6:01:01 PM,C,23.167
14/1/24 8:01:01 PM,C,19.664
14/1/24 10:01:01 PM,C,21.166
15/1/24 12:01:01 AM,C,21.166
15/1/24 2:01:01 AM,C,19.664
15/1/24 4:01:01 AM,C,18.662
15/1/24 6:01:01 AM,C,18.161
15/1/24 8:01:01 AM,C,18.161
15/1/24 10:01:01 AM,C,20.164
15/1/24 12:01:01 PM,C,21.666
15/1/24 2:01:01 PM,C,22.667
15/1/24 4:01:01 PM,C,23.167
15/1/24 6:01:01 PM,C,21.666
15/1/24 8:01:01 PM,C,19.664
15/1/24 10:01:01 PM,C,19.163
16/1/24 12:01:01 AM,C,18.161
16/1/24 2:01:01 AM,C,18.662
16/1/24 4:01:01 AM,C,17.66
16/1/24 6:01:01 AM,C,17.66
16/1/24 8:01:01 AM,C,17.159
16/1/24 10:01:01 AM,C,19.163
16/1/24 12:01:01 PM,C,21.166
16/1/24 2:01:01 PM,C,22.667
16/1/24 4:01:01 PM,C,22.667
16/1/24 6:01:01 PM,C,21.666
16/1/24 8:01:01 PM,C,20.164
16/1/24 10:01:01 PM,C,19.664
17/1/24 12:01:01 AM,C,19.163
17/1/24 2:01:01 AM,C,19.664
17/1/24 4:01:01 AM,C,19.664
17/1/24 6:01:01 AM,C,19.163
17/1/24 8:01:01 AM,C,18.662
17/1/24 10:01:01 AM,C,20.164
17/1/24 12:01:01 PM,C,21.666
17/1/24 2:01:01 PM,C,22.667
17/1/24 4:01:01 PM,C,22.667
17/1/24 6:01:01 PM,C,21.166
17/1/24 8:01:01 PM,C,20.164
17/1/24 10:01:01 PM,C,20.164
18/1/24 12:01:01 AM,C,20.164
18/1/24 2:01:01 AM,C,19.664
18/1/24 4:01:01 AM,C,18.662
18/1/24 6:01:01 AM,C,18.161
18/1/24 8:01:01 AM,C,18.662
18/1/24 10:01:01 AM,C,20.164
18/1/24 12:01:01 PM,C,22.167
18/1/24 2:01:01 PM,C,22.167
18/1/24 4:01:01 PM,C,23.167
18/1/24 6:01:01 PM,C,22.167
18/1/24 8:01:01 PM,C,20.665
18/1/24 10:01:01 PM,C,20.164
19/1/24 12:01:01 AM,C,19.163
19/1/24 2:01:01 AM,C,19.664
19/1/24 4:01:01 AM,C,19.163
19/1/24 6:01:01 AM,C,18.161
19/1/24 8:01:01 AM,C,18.161
19/1/24 10:01:01 AM,C,20.164
19/1/24 12:01:01 PM,C,21.666
19/1/24 2:01:01 PM,C,23.167
19/1/24 4:01:01 PM,C,23.167
19/1/24 6:01:01 PM,C,22.167
19/1/24 8:01:01 PM,C,21.166
19/1/24 10:01:01 PM,C,20.164
20/1/24 12:01:01 AM,C,18.662
20/1/24 2:01:01 AM,C,18.662
20/1/24 4:01:01 AM,C,18.662
20/1/24 6:01:01 AM,C,18.662
20/1/24 8:01:01 AM,C,18.662
20/1/24 10:01:01 AM,C,20.164
20/1/24 12:01:01 PM,C,22.667
20/1/24 2:01:01 PM,C,23.167
20/1/24 4:01:01 PM,C,23.167
20/1/24 6:01:01 PM,C,22.667
20/1/24 8:01:01 PM,C,21.166
20/1/24 10:01:01 PM,C,19.664
21/1/24 12:01:01 AM,C,19.163
21/1/24 2:01:01 AM,C,19.163
21/1/24 4:01:01 AM,C,19.163
21/1/24 6:01:01 AM,C,19.163
21/1/24 8:01:01 AM,C,19.163
21/1/24 10:01:01 AM,C,20.164
21/1/24 12:01:01 PM,C,22.667
21/1/24 2:01:01 PM,C,23.667
21/1/24 4:01:01 PM,C,24.168
21/1/24 6:01:01 PM,C,22.667
21/1/24 8:01:01 PM,C,21.666
21/1/24 10:01:01 PM,C,21.166
22/1/24 12:01:01 AM,C,20.164
22/1/24 2:01:01 AM,C,20.164
22/1/24 4:01:01 AM,C,19.163
22/1/24 6:01:01 AM,C,18.662
22/1/24 8:01:01 AM,C,18.662
22/1/24 10:01:01 AM,C,20.665
22/1/24 12:01:01 PM,C,22.667
22/1/24 2:01:01 PM,C,24.168
22/1/24 4:01:01 PM,C,23.667
22/1/24 6:01:01 PM,C,22.667
22/1/24 8:01:01 PM,C,22.167
22/1/24 10:01:01 PM,C,21.166
23/1/24 12:01:01 AM,C,19.664
23/1/24 2:01:01 AM,C,19.163
23/1/24 4:01:01 AM,C,18.662
23/1/24 6:01:01 AM,C,18.161
23/1/24 8:01:01 AM,C,19.163
23/1/24 10:01:01 AM,C,20.665
23/1/24 12:01:01 PM,C,22.667
23/1/24 2:01:01 PM,C,23.167
23/1/24 4:01:01 PM,C,23.667
23/1/24 6:01:01 PM,C,22.667
23/1/24 8:01:01 PM,C,20.665
23/1/24 10:01:01 PM,C,19.163
24/1/24 12:01:01 AM,C,18.161
24/1/24 2:01:01 AM,C,17.66
24/1/24 4:01:01 AM,C,17.159
24/1/24 6:01:01 AM,C,16.157
24/1/24 8:01:01 AM,C,16.157
24/1/24 10:01:01 AM,C,19.163
24/1/24 12:01:01 PM,C,21.166
24/1/24 2:01:01 PM,C,22.667
24/1/24 4:01:01 PM,C,22.667
24/1/24 6:01:01 PM,C,21.166
24/1/24 8:01:01 PM,C,20.164
24/1/24 10:01:01 PM,C,18.662
25/1/24 12:01:01 AM,C,17.66
25/1/24 2:01:01 AM,C,16.658
25/1/24 4:01:01 AM,C,16.658
25/1/24 6:01:01 AM,C,16.658
25/1/24 8:01:01 AM,C,16.157
25/1/24 10:01:01 AM,C,19.664
25/1/24 12:01:01 PM,C,21.666
25/1/24 2:01:01 PM,C,22.167
25/1/24 4:01:01 PM,C,22.167
25/1/24 6:01:01 PM,C,21.166
25/1/24 8:01:01 PM,C,20.164
25/1/24 10:01:01 PM,C,18.662
26/1/24 12:01:01 AM,C,18.662
26/1/24 2:01:01 AM,C,17.66
26/1/24 4:01:01 AM,C,18.662
26/1/24 6:01:01 AM,C,18.161
26/1/24 8:01:01 AM,C,18.161
26/1/24 10:01:01 AM,C,19.664
26/1/24 12:01:01 PM,C,21.166
26/1/24 2:01:01 PM,C,22.667
26/1/24 4:01:01 PM,C,23.167
26/1/24 6:01:01 PM,C,22.167
26/1/24 8:01:01 PM,C,19.664
26/1/24 10:01:01 PM,C,18.662
27/1/24 12:01:01 AM,C,18.161
27/1/24 2:01:01 AM,C,18.662
27/1/24 4:01:01 AM,C,18.161
27/1/24 6:01:01 AM,C,17.159
27/1/24 8:01:01 AM,C,17.159
27/1/24 10:01:01 AM,C,19.664
27/1/24 12:01:01 PM,C,21.666
27/1/24 2:01:01 PM,C,22.667
27/1/24 4:01:01 PM,C,23.167
27/1/24 6:01:01 PM,C,22.667
27/1/24 8:01:01 PM,C,21.166
27/1/24 10:01:01 PM,C,20.164
28/1/24 12:01:01 AM,C,19.664
28/1/24 2:01:01 AM,C,18.662
28/1/24 4:01:01 AM,C,18.161
28/1/24 6:01:01 AM,C,17.159
28/1/24 8:01:01 AM,C,17.66
28/1/24 10:01:01 AM,C,19.163
28/1/24 12:01:01 PM,C,21.666
28/1/24 2:01:01 PM,C,23.167
28/1/24 4:01:01 PM,C,23.167
28/1/24 6:01:01 PM,C,22.667
28/1/24 8:01:01 PM,C,19.664
28/1/24 10:01:01 PM,C,18.161
29/1/24 12:01:01 AM,C,17.66
29/1/24 2:01:01 AM,C,17.66
29/1/24 4:01:01 AM,C,18.161
29/1/24 6:01:01 AM,C,18.161
29/1/24 8:01:01 AM,C,17.66
29/1/24 10:01:01 AM,C,19.163
29/1/24 12:01:01 PM,C,21.166
29/1/24 2:01:01 PM,C,22.667
29/1/24 4:01:01 PM,C,23.167
29/1/24 6:01:01 PM,C,21.666
29/1/24 8:01:01 PM,C,19.664
29/1/24 10:01:01 PM,C,18.662
30/1/24 12:01:01 AM,C,17.159
30/1/24 2:01:01 AM,C,18.161
30/1/24 4:01:01 AM,C,18.662
30/1/24 6:01:01 AM,C,17.66
30/1/24 8:01:01 AM,C,17.159
30/1/24 10:01:01 AM,C,19.163
30/1/24 12:01:01 PM,C,21.666
30/1/24 2:01:01 PM,C,23.167
30/1/24 4:01:01 PM,C,22.667
30/1/24 6:01:01 PM,C,21.666
30/1/24 8:01:01 PM,C,19.664
30/1/24 10:01:01 PM,C,19.163
31/1/24 12:01:01 AM,C,18.161
31/1/24 2:01:01 AM,C,17.159
31/1/24 4:01:01 AM,C,17.66
31/1/24 6:01:01 AM,C,17.159
31/1/24 8:01:01 AM,C,17.159
31/1/24 10:01:01 AM,C,20.164
31/1/24 12:01:01 PM,C,21.666
31/1/24 2:01:01 PM,C,22.667
31/1/24 4:01:01 PM,C,22.667
31/1/24 6:01:01 PM,C,21.666
31/1/24 8:01:01 PM,C,19.163
31/1/24 10:01:01 PM,C,17.66
1/2/24 12:01:01 AM,C,18.662
1/2/24 2:01:01 AM,C,18.161
1/2/24 4:01:01 AM,C,18.161
1/2/24 6:01:01 AM,C,17.159
1/2/24 8:01:01 AM,C,16.658
1/2/24 10:01:01 AM,C,19.664
1/2/24 12:01:01 PM,C,22.167
1/2/24 2:01:01 PM,C,22.667
1/2/24 4:01:01 PM,C,22.667
1/2/24 6:01:01 PM,C,21.666
1/2/24 8:01:01 PM,C,20.164
1/2/24 10:01:01 PM,C,18.662
2/2/24 12:01:01 AM,C,18.662
2/2/24 2:01:01 AM,C,18.161
2/2/24 4:01:01 AM,C,17.66
2/2/24 6:01:01 AM,C,16.157
2/2/24 8:01:01 AM,C,16.658
2/2/24 10:01:01 AM,C,19.664
2/2/24 12:01:01 PM,C,22.167
2/2/24 2:01:01 PM,C,23.167
2/2/24 4:01:01 PM,C,23.167
2/2/24 6:01:01 PM,C,21.666
2/2/24 8:01:01 PM,C,20.665
2/2/24 10:01:01 PM,C,19.163
3/2/24 12:01:01 AM,C,18.161
3/2/24 2:01:01 AM,C,17.159
3/2/24 4:01:01 AM,C,16.658
3/2/24 6:01:01 AM,C,18.662
3/2/24 8:01:01 AM,C,18.662
3/2/24 10:01:01 AM,C,21.166
3/2/24 12:01:01 PM,C,23.167
3/2/24 2:01:01 PM,C,23.667
3/2/24 4:01:01 PM,C,23.667
3/2/24 6:01:01 PM,C,22.667
3/2/24 8:01:01 PM,C,21.166
3/2/24 10:01:01 PM,C,20.164
4/2/24 12:01:01 AM,C,19.664
4/2/24 2:01:01 AM,C,19.163
4/2/24 4:01:01 AM,C,20.164
4/2/24 6:01:01 AM,C,19.664
4/2/24 8:01:01 AM,C,19.664
4/2/24 10:01:01 AM,C,21.166
4/2/24 12:01:01 PM,C,22.667
4/2/24 2:01:01 PM,C,23.667
4/2/24 4:01:01 PM,C,24.668
4/2/24 6:01:01 PM,C,23.667
4/2/24 8:01:01 PM,C,22.167
4/2/24 10:01:01 PM,C,20.164
5/2/24 12:01:01 AM,C,19.163
5/2/24 2:01:01 AM,C,18.662
5/2/24 4:01:01 AM,C,18.161
5/2/24 6:01:01 AM,C,18.161
5/2/24 8:01:01 AM,C,18.161
5/2/24 10:01:01 AM,C,20.164
5/2/24 12:01:01 PM,C,23.167
5/2/24 2:01:01 PM,C,24.668
5/2/24 4:01:01 PM,C,25.668
5/2/24 6:01:01 PM,C,24.668
5/2/24 8:01:01 PM,C,21.666
5/2/24 10:01:01 PM,C,21.166
6/2/24 12:01:01 AM,C,19.664
6/2/24 2:01:01 AM,C,18.662
6/2/24 4:01:01 AM,C,18.161
6/2/24 6:01:01 AM,C,18.161
6/2/24 8:01:01 AM,C,18.662
6/2/24 10:01:01 AM,C,20.665
6/2/24 12:01:01 PM,C,23.667
6/2/24 2:01:01 PM,C,25.668
6/2/24 4:01:01 PM,C,26.168
6/2/24 6:01:01 PM,C,25.168
6/2/24 8:01:01 PM,C,21.666
6/2/24 10:01:01 PM,C,21.166
7/2/24 12:01:01 AM,C,19.664
7/2/24 2:01:01 AM,C,20.164
7/2/24 4:01:01 AM,C,19.664
7/2/24 6:01:01 AM,C,19.664
7/2/24 8:01:01 AM,C,19.664
7/2/24 10:01:01 AM,C,21.666
7/2/24 12:01:01 PM,C,24.668
7/2/24 2:01:01 PM,C,26.668
7/2/24 4:01:01 PM,C,26.668
7/2/24 6:01:01 PM,C,24.668
7/2/24 8:01:01 PM,C,22.667
7/2/24 10:01:01 PM,C,20.665
8/2/24 12:01:01 AM,C,19.664
8/2/24 2:01:01 AM,C,20.164
8/2/24 4:01:01 AM,C,19.163
8/2/24 6:01:01 AM,C,19.163
8/2/24 8:01:01 AM,C,20.164
8/2/24 10:01:01 AM,C,22.167
8/2/24 12:01:01 PM,C,24.668
8/2/24 2:01:01 PM,C,26.668
8/2/24 4:01:01 PM,C,25.168
8/2/24 6:01:01 PM,C,23.667
8/2/24 8:01:01 PM,C,21.666
8/2/24 10:01:01 PM,C,20.164
9/2/24 12:01:01 AM,C,18.662
9/2/24 2:01:01 AM,C,19.664
9/2/24 4:01:01 AM,C,18.161
9/2/24 6:01:01 AM,C,18.161
9/2/24 8:01:01 AM,C,18.161
9/2/24 10:01:01 AM,C,21.166
9/2/24 12:01:01 PM,C,23.667
9/2/24 2:01:01 PM,C,25.668
9/2/24 4:01:01 PM,C,25.668
9/2/24 6:01:01 PM,C,24.168
9/2/24 8:01:01 PM,C,22.167
9/2/24 10:01:01 PM,C,21.666
10/2/24 12:01:01 AM,C,20.665
10/2/24 2:01:01 AM,C,19.163
10/2/24 4:01:01 AM,C,18.662
10/2/24 6:01:01 AM,C,18.662
10/2/24 8:01:01 AM,C,17.66
10/2/24 10:01:01 AM,C,20.665
10/2/24 12:01:01 PM,C,23.167
10/2/24 2:01:01 PM,C,25.168
10/2/24 4:01:01 PM,C,25.668
10/2/24 6:01:01 PM,C,24.168
10/2/24 8:01:01 PM,C,23.167
10/2/24 10:01:01 PM,C,21.166
11/2/24 12:01:01 AM,C,19.664
11/2/24 2:01:01 AM,C,18.662
11/2/24 4:01:01 AM,C,18.161
11/2/24 6:01:01 AM,C,18.161
11/2/24 8:01:01 AM,C,18.161
11/2/24 10:01:01 AM,C,20.164
11/2/24 12:01:01 PM,C,22.667
11/2/24 2:01:01 PM,C,24.668
11/2/24 4:01:01 PM,C,24.668
11/2/24 6:01:01 PM,C,24.168
11/2/24 8:01:01 PM,C,20.665
11/2/24 10:01:01 PM,C,19.163
12/2/24 12:01:01 AM,C,19.163
12/2/24 2:01:01 AM,C,18.662
12/2/24 4:01:01 AM,C,18.662
12/2/24 6:01:01 AM,C,18.161
12/2/24 8:01:01 AM,C,18.161
12/2/24 10:01:01 AM,C,20.164
12/2/24 12:01:01 PM,C,23.667
12/2/24 2:01:01 PM,C,25.168
12/2/24 4:01:01 PM,C,25.668
12/2/24 6:01:01 PM,C,24.668
12/2/24 8:01:01 PM,C,22.167
12/2/24 10:01:01 PM,C,20.164
13/2/24 12:01:01 AM,C,18.662
13/2/24 2:01:01 AM,C,18.662
13/2/24 4:01:01 AM,C,18.161
13/2/24 6:01:01 AM,C,17.66
13/2/24 8:01:01 AM,C,17.66
13/2/24 10:01:01 AM,C,20.164
13/2/24 12:01:01 PM,C,23.167
13/2/24 2:01:01 PM,C,24.668
13/2/24 4:01:01 PM,C,25.668
13/2/24 6:01:01 PM,C,23.667
13/2/24 8:01:01 PM,C,21.666
13/2/24 10:01:01 PM,C,19.664
14/2/24 12:01:01 AM,C,18.161
14/2/24 2:01:01 AM,C,19.163
14/2/24 4:01:01 AM,C,19.163
14/2/24 6:01:01 AM,C,18.662
14/2/24 8:01:01 AM,C,18.662
14/2/24 10:01:01 AM,C,21.166
14/2/24 12:01:01 PM,C,24.168
14/2/24 2:01:01 PM,C,25.668
14/2/24 4:01:01 PM,C,26.168
14/2/24 6:01:01 PM,C,25.168
14/2/24 8:01:01 PM,C,23.667
14/2/24 10:01:01 PM,C,21.166
15/2/24 12:01:01 AM,C,20.164
15/2/24 2:01:01 AM,C,19.163
15/2/24 4:01:01 AM,C,19.163
15/2/24 6:01:01 AM,C,18.662
15/2/24 8:01:01 AM,C,18.662
15/2/24 10:01:01 AM,C,21.166
15/2/24 12:01:01 PM,C,23.667
15/2/24 2:01:01 PM,C,24.668
15/2/24 4:01:01 PM,C,25.168
15/2/24 6:01:01 PM,C,24.168
15/2/24 8:01:01 PM,C,21.166
15/2/24 10:01:01 PM,C,19.163
16/2/24 12:01:01 AM,C,19.163
16/2/24 2:01:01 AM,C,18.662
16/2/24 4:01:01 AM,C,18.662
16/2/24 6:01:01 AM,C,18.161
16/2/24 8:01:01 AM,C,18.161
16/2/24 10:01:01 AM,C,20.164
