1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9C0000007D8DC541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:43:01 IST 2024
Mission Sample Count:  2720
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:43:01 IST 2024
Total Mission Samples:  2720
Total Device Samples:  12247
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:43:01 PM,%RH,85.622
9/1/24 11:43:01 PM,%RH,85.622
10/1/24 1:43:01 AM,%RH,83.455
10/1/24 3:43:01 AM,%RH,82.362
10/1/24 5:43:01 AM,%RH,82.91
10/1/24 7:43:01 AM,%RH,83.455
10/1/24 9:43:01 AM,%RH,83.455
10/1/24 11:43:01 AM,%RH,82.362
10/1/24 1:43:01 PM,%RH,81.813
10/1/24 3:43:01 PM,%RH,82.362
10/1/24 5:43:01 PM,%RH,82.362
10/1/24 7:43:01 PM,%RH,81.263
10/1/24 9:43:01 PM,%RH,79.045
10/1/24 11:43:01 PM,%RH,80.157
11/1/24 1:43:01 AM,%RH,79.045
11/1/24 3:43:01 AM,%RH,79.602
11/1/24 5:43:01 AM,%RH,81.263
11/1/24 7:43:01 AM,%RH,81.813
11/1/24 9:43:01 AM,%RH,82.362
11/1/24 11:43:01 AM,%RH,57.919
11/1/24 1:43:01 PM,%RH,53.568
11/1/24 3:43:01 PM,%RH,55.443
11/1/24 5:43:01 PM,%RH,80.711
11/1/24 7:43:01 PM,%RH,88.823
11/1/24 9:43:01 PM,%RH,92.485
11/1/24 11:43:01 PM,%RH,84.542
12/1/24 1:43:01 AM,%RH,78.486
12/1/24 3:43:01 AM,%RH,84.542
12/1/24 5:43:01 AM,%RH,88.294
12/1/24 7:43:01 AM,%RH,88.823
12/1/24 9:43:01 AM,%RH,73.386
12/1/24 11:43:01 AM,%RH,57.919
12/1/24 1:43:01 PM,%RH,52.94
12/1/24 3:43:01 PM,%RH,51.047
12/1/24 5:43:01 PM,%RH,73.959
12/1/24 7:43:01 PM,%RH,87.23
12/1/24 9:43:01 PM,%RH,90.925
12/1/24 11:43:01 PM,%RH,91.966
13/1/24 1:43:01 AM,%RH,79.602
13/1/24 3:43:01 AM,%RH,87.23
13/1/24 5:43:01 AM,%RH,90.925
13/1/24 7:43:01 AM,%RH,92.485
13/1/24 9:43:01 AM,%RH,86.695
13/1/24 11:43:01 AM,%RH,60.37
13/1/24 1:43:01 PM,%RH,59.147
13/1/24 3:43:01 PM,%RH,70.496
13/1/24 5:43:01 PM,%RH,87.762
13/1/24 7:43:01 PM,%RH,93.516
13/1/24 9:43:01 PM,%RH,95.56
13/1/24 11:43:01 PM,%RH,97.578
14/1/24 1:43:01 AM,%RH,98.578
14/1/24 3:43:01 AM,%RH,93.001
14/1/24 5:43:01 AM,%RH,91.447
14/1/24 7:43:01 AM,%RH,89.351
14/1/24 9:43:01 AM,%RH,88.294
14/1/24 11:43:01 AM,%RH,74.531
14/1/24 1:43:01 PM,%RH,70.496
14/1/24 3:43:01 PM,%RH,74.531
14/1/24 5:43:01 PM,%RH,87.23
14/1/24 7:43:01 PM,%RH,90.402
14/1/24 9:43:01 PM,%RH,94.541
14/1/24 11:43:01 PM,%RH,83.455
15/1/24 1:43:01 AM,%RH,82.91
15/1/24 3:43:01 AM,%RH,92.485
15/1/24 5:43:01 AM,%RH,89.351
15/1/24 7:43:01 AM,%RH,90.402
15/1/24 9:43:01 AM,%RH,88.294
15/1/24 11:43:01 AM,%RH,75.101
15/1/24 1:43:01 PM,%RH,65.789
15/1/24 3:43:01 PM,%RH,77.926
15/1/24 5:43:01 PM,%RH,85.622
15/1/24 7:43:01 PM,%RH,93.001
15/1/24 9:43:01 PM,%RH,96.067
15/1/24 11:43:01 PM,%RH,97.578
16/1/24 1:43:01 AM,%RH,98.079
16/1/24 3:43:01 AM,%RH,98.578
16/1/24 5:43:01 AM,%RH,96.572
16/1/24 7:43:01 AM,%RH,97.076
16/1/24 9:43:01 AM,%RH,94.03
16/1/24 11:43:01 AM,%RH,83.999
16/1/24 1:43:01 PM,%RH,79.045
16/1/24 3:43:01 PM,%RH,85.083
16/1/24 5:43:01 PM,%RH,89.877
16/1/24 7:43:01 PM,%RH,95.56
16/1/24 9:43:01 PM,%RH,97.076
16/1/24 11:43:01 PM,%RH,98.079
17/1/24 1:43:01 AM,%RH,98.578
17/1/24 3:43:01 AM,%RH,98.578
17/1/24 5:43:01 AM,%RH,99.57
17/1/24 7:43:01 AM,%RH,99.57
17/1/24 9:43:01 AM,%RH,98.079
17/1/24 11:43:01 AM,%RH,85.083
17/1/24 1:43:01 PM,%RH,89.877
17/1/24 3:43:01 PM,%RH,89.877
17/1/24 5:43:01 PM,%RH,90.402
17/1/24 7:43:01 PM,%RH,96.067
17/1/24 9:43:01 PM,%RH,98.079
17/1/24 11:43:01 PM,%RH,98.578
18/1/24 1:43:01 AM,%RH,98.079
18/1/24 3:43:01 AM,%RH,99.075
18/1/24 5:43:01 AM,%RH,99.57
18/1/24 7:43:01 AM,%RH,100.064
18/1/24 9:43:01 AM,%RH,97.578
18/1/24 11:43:01 AM,%RH,82.91
18/1/24 1:43:01 PM,%RH,84.542
18/1/24 3:43:01 PM,%RH,86.159
18/1/24 5:43:01 PM,%RH,90.925
18/1/24 7:43:01 PM,%RH,95.052
18/1/24 9:43:01 PM,%RH,97.578
18/1/24 11:43:01 PM,%RH,99.075
19/1/24 1:43:01 AM,%RH,100.557
19/1/24 3:43:01 AM,%RH,99.57
19/1/24 5:43:01 AM,%RH,99.57
19/1/24 7:43:01 AM,%RH,100.064
19/1/24 9:43:01 AM,%RH,97.578
19/1/24 11:43:01 AM,%RH,91.966
19/1/24 1:43:01 PM,%RH,85.622
19/1/24 3:43:01 PM,%RH,95.052
19/1/24 5:43:01 PM,%RH,94.541
19/1/24 7:43:01 PM,%RH,97.578
19/1/24 9:43:01 PM,%RH,98.578
19/1/24 11:43:01 PM,%RH,100.064
20/1/24 1:43:01 AM,%RH,100.557
20/1/24 3:43:01 AM,%RH,100.064
20/1/24 5:43:01 AM,%RH,99.57
20/1/24 7:43:01 AM,%RH,98.079
20/1/24 9:43:01 AM,%RH,93.001
20/1/24 11:43:01 AM,%RH,82.91
20/1/24 1:43:01 PM,%RH,87.23
20/1/24 3:43:01 PM,%RH,91.447
20/1/24 5:43:01 PM,%RH,93.001
20/1/24 7:43:01 PM,%RH,96.572
20/1/24 9:43:01 PM,%RH,97.578
20/1/24 11:43:01 PM,%RH,97.578
21/1/24 1:43:01 AM,%RH,98.578
21/1/24 3:43:01 AM,%RH,99.075
21/1/24 5:43:01 AM,%RH,99.075
21/1/24 7:43:01 AM,%RH,98.578
21/1/24 9:43:01 AM,%RH,95.052
21/1/24 11:43:01 AM,%RH,82.91
21/1/24 1:43:01 PM,%RH,82.362
21/1/24 3:43:01 PM,%RH,86.159
21/1/24 5:43:01 PM,%RH,88.294
21/1/24 7:43:01 PM,%RH,94.03
21/1/24 9:43:01 PM,%RH,97.578
21/1/24 11:43:01 PM,%RH,99.075
22/1/24 1:43:01 AM,%RH,97.578
22/1/24 3:43:01 AM,%RH,99.57
22/1/24 5:43:01 AM,%RH,99.075
22/1/24 7:43:01 AM,%RH,100.064
22/1/24 9:43:01 AM,%RH,95.56
22/1/24 11:43:01 AM,%RH,88.823
22/1/24 1:43:01 PM,%RH,87.762
