1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A20000007DAB5041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:26:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:26:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  12143
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:26:01 PM,%RH,80.741
13/1/24 10:26:01 PM,%RH,80.191
14/1/24 12:26:01 AM,%RH,80.191
14/1/24 2:26:01 AM,%RH,80.191
14/1/24 4:26:01 AM,%RH,82.385
14/1/24 6:26:01 AM,%RH,80.741
14/1/24 8:26:01 AM,%RH,81.839
14/1/24 10:26:01 AM,%RH,71.174
14/1/24 12:26:01 PM,%RH,62.972
14/1/24 2:26:01 PM,%RH,61.176
14/1/24 4:26:01 PM,%RH,82.93
14/1/24 6:26:01 PM,%RH,93
14/1/24 8:26:01 PM,%RH,95.561
14/1/24 10:26:01 PM,%RH,97.583
15/1/24 12:26:01 AM,%RH,93
15/1/24 2:26:01 AM,%RH,94.029
15/1/24 4:26:01 AM,%RH,97.583
15/1/24 6:26:01 AM,%RH,97.08
15/1/24 8:26:01 AM,%RH,98.085
15/1/24 10:26:01 AM,%RH,93.516
15/1/24 12:26:01 PM,%RH,71.174
15/1/24 2:26:01 PM,%RH,74.033
15/1/24 4:26:01 PM,%RH,85.632
15/1/24 6:26:01 PM,%RH,89.353
15/1/24 8:26:01 PM,%RH,95.561
15/1/24 10:26:01 PM,%RH,99.084
16/1/24 12:26:01 AM,%RH,99.581
16/1/24 2:26:01 AM,%RH,99.084
16/1/24 4:26:01 AM,%RH,101.064
16/1/24 6:26:01 AM,%RH,101.064
16/1/24 8:26:01 AM,%RH,100.571
16/1/24 10:26:01 AM,%RH,95.561
16/1/24 12:26:01 PM,%RH,72.322
16/1/24 2:26:01 PM,%RH,85.095
16/1/24 4:26:01 PM,%RH,89.878
16/1/24 6:26:01 PM,%RH,93.516
16/1/24 8:26:01 PM,%RH,97.08
16/1/24 10:26:01 PM,%RH,100.571
17/1/24 12:26:01 AM,%RH,100.571
17/1/24 2:26:01 AM,%RH,100.571
17/1/24 4:26:01 AM,%RH,101.555
17/1/24 6:26:01 AM,%RH,102.533
17/1/24 8:26:01 AM,%RH,102.533
17/1/24 10:26:01 AM,%RH,94.541
17/1/24 12:26:01 PM,%RH,86.168
17/1/24 2:26:01 PM,%RH,86.168
17/1/24 4:26:01 PM,%RH,85.632
17/1/24 6:26:01 PM,%RH,90.925
17/1/24 8:26:01 PM,%RH,96.575
17/1/24 10:26:01 PM,%RH,100.077
18/1/24 12:26:01 AM,%RH,101.064
18/1/24 2:26:01 AM,%RH,102.045
18/1/24 4:26:01 AM,%RH,102.045
18/1/24 6:26:01 AM,%RH,102.045
18/1/24 8:26:01 AM,%RH,101.064
18/1/24 10:26:01 AM,%RH,96.069
18/1/24 12:26:01 PM,%RH,79.084
18/1/24 2:26:01 PM,%RH,84.556
18/1/24 4:26:01 PM,%RH,90.402
18/1/24 6:26:01 PM,%RH,94.029
18/1/24 8:26:01 PM,%RH,98.585
18/1/24 10:26:01 PM,%RH,100.077
19/1/24 12:26:01 AM,%RH,101.064
19/1/24 2:26:01 AM,%RH,102.045
19/1/24 4:26:01 AM,%RH,103.02
19/1/24 6:26:01 AM,%RH,104.471
19/1/24 8:26:01 AM,%RH,103.505
19/1/24 10:26:01 AM,%RH,97.08
19/1/24 12:26:01 PM,%RH,84.015
19/1/24 2:26:01 PM,%RH,88.297
19/1/24 4:26:01 PM,%RH,91.446
19/1/24 6:26:01 PM,%RH,95.561
19/1/24 8:26:01 PM,%RH,99.084
19/1/24 10:26:01 PM,%RH,101.064
20/1/24 12:26:01 AM,%RH,101.555
20/1/24 2:26:01 AM,%RH,101.555
20/1/24 4:26:01 AM,%RH,103.505
20/1/24 6:26:01 AM,%RH,103.989
20/1/24 8:26:01 AM,%RH,103.505
20/1/24 10:26:01 AM,%RH,97.08
20/1/24 12:26:01 PM,%RH,80.191
20/1/24 2:26:01 PM,%RH,88.297
20/1/24 4:26:01 PM,%RH,91.446
20/1/24 6:26:01 PM,%RH,95.561
20/1/24 8:26:01 PM,%RH,99.084
20/1/24 10:26:01 PM,%RH,101.555
21/1/24 12:26:01 AM,%RH,102.533
21/1/24 2:26:01 AM,%RH,103.505
21/1/24 4:26:01 AM,%RH,103.505
21/1/24 6:26:01 AM,%RH,104.471
21/1/24 8:26:01 AM,%RH,103.505
21/1/24 10:26:01 AM,%RH,98.585
21/1/24 12:26:01 PM,%RH,77.414
21/1/24 2:26:01 PM,%RH,80.191
21/1/24 4:26:01 PM,%RH,89.878
21/1/24 6:26:01 PM,%RH,91.966
21/1/24 8:26:01 PM,%RH,97.583
21/1/24 10:26:01 PM,%RH,99.581
22/1/24 12:26:01 AM,%RH,102.533
22/1/24 2:26:01 AM,%RH,102.045
22/1/24 4:26:01 AM,%RH,103.505
22/1/24 6:26:01 AM,%RH,103.989
22/1/24 8:26:01 AM,%RH,103.505
22/1/24 10:26:01 AM,%RH,97.583
22/1/24 12:26:01 PM,%RH,81.291
22/1/24 2:26:01 PM,%RH,92.484
22/1/24 4:26:01 PM,%RH,90.402
22/1/24 6:26:01 PM,%RH,91.446
22/1/24 8:26:01 PM,%RH,98.085
22/1/24 10:26:01 PM,%RH,99.581
23/1/24 12:26:01 AM,%RH,102.045
23/1/24 2:26:01 AM,%RH,103.02
23/1/24 4:26:01 AM,%RH,103.505
23/1/24 6:26:01 AM,%RH,104.471
23/1/24 8:26:01 AM,%RH,104.471
23/1/24 10:26:01 AM,%RH,94.029
23/1/24 12:26:01 PM,%RH,80.741
23/1/24 2:26:01 PM,%RH,86.168
23/1/24 4:26:01 PM,%RH,89.878
23/1/24 6:26:01 PM,%RH,92.484
23/1/24 8:26:01 PM,%RH,96.069
23/1/24 10:26:01 PM,%RH,99.581
24/1/24 12:26:01 AM,%RH,101.064
24/1/24 2:26:01 AM,%RH,102.045
24/1/24 4:26:01 AM,%RH,103.02
24/1/24 6:26:01 AM,%RH,102.533
24/1/24 8:26:01 AM,%RH,104.952
24/1/24 10:26:01 AM,%RH,91.446
24/1/24 12:26:01 PM,%RH,77.414
24/1/24 2:26:01 PM,%RH,80.191
24/1/24 4:26:01 PM,%RH,84.556
24/1/24 6:26:01 PM,%RH,90.925
24/1/24 8:26:01 PM,%RH,96.069
24/1/24 10:26:01 PM,%RH,98.085
25/1/24 12:26:01 AM,%RH,101.064
25/1/24 2:26:01 AM,%RH,99.581
25/1/24 4:26:01 AM,%RH,100.571
25/1/24 6:26:01 AM,%RH,102.533
25/1/24 8:26:01 AM,%RH,103.02
25/1/24 10:26:01 AM,%RH,92.484
25/1/24 12:26:01 PM,%RH,83.473
25/1/24 2:26:01 PM,%RH,81.291
25/1/24 4:26:01 PM,%RH,86.703
25/1/24 6:26:01 PM,%RH,89.878
25/1/24 8:26:01 PM,%RH,97.583
25/1/24 10:26:01 PM,%RH,100.571
26/1/24 12:26:01 AM,%RH,101.064
26/1/24 2:26:01 AM,%RH,101.064
26/1/24 4:26:01 AM,%RH,102.533
26/1/24 6:26:01 AM,%RH,103.505
26/1/24 8:26:01 AM,%RH,100.571
26/1/24 10:26:01 AM,%RH,91.446
26/1/24 12:26:01 PM,%RH,72.322
26/1/24 2:26:01 PM,%RH,74.033
26/1/24 4:26:01 PM,%RH,74.6
26/1/24 6:26:01 PM,%RH,86.703
26/1/24 8:26:01 PM,%RH,95.561
26/1/24 10:26:01 PM,%RH,98.085
27/1/24 12:26:01 AM,%RH,100.077
27/1/24 2:26:01 AM,%RH,97.08
27/1/24 4:26:01 AM,%RH,96.575
27/1/24 6:26:01 AM,%RH,97.08
27/1/24 8:26:01 AM,%RH,99.084
27/1/24 10:26:01 AM,%RH,90.925
27/1/24 12:26:01 PM,%RH,72.894
27/1/24 2:26:01 PM,%RH,70.02
27/1/24 4:26:01 PM,%RH,74.033
27/1/24 6:26:01 PM,%RH,74.6
27/1/24 8:26:01 PM,%RH,89.353
27/1/24 10:26:01 PM,%RH,95.052
28/1/24 12:26:01 AM,%RH,88.297
28/1/24 2:26:01 AM,%RH,90.925
28/1/24 4:26:01 AM,%RH,94.541
28/1/24 6:26:01 AM,%RH,97.08
28/1/24 8:26:01 AM,%RH,99.084
28/1/24 10:26:01 AM,%RH,90.925
28/1/24 12:26:01 PM,%RH,70.02
28/1/24 2:26:01 PM,%RH,68.278
28/1/24 4:26:01 PM,%RH,73.464
28/1/24 6:26:01 PM,%RH,83.473
28/1/24 8:26:01 PM,%RH,94.541
28/1/24 10:26:01 PM,%RH,97.08
29/1/24 12:26:01 AM,%RH,99.084
29/1/24 2:26:01 AM,%RH,101.064
29/1/24 4:26:01 AM,%RH,101.064
29/1/24 6:26:01 AM,%RH,99.084
29/1/24 8:26:01 AM,%RH,99.581
29/1/24 10:26:01 AM,%RH,93
29/1/24 12:26:01 PM,%RH,75.73
29/1/24 2:26:01 PM,%RH,76.293
29/1/24 4:26:01 PM,%RH,82.385
29/1/24 6:26:01 PM,%RH,88.297
29/1/24 8:26:01 PM,%RH,96.575
29/1/24 10:26:01 PM,%RH,98.085
30/1/24 12:26:01 AM,%RH,101.064
30/1/24 2:26:01 AM,%RH,98.085
30/1/24 4:26:01 AM,%RH,95.561
30/1/24 6:26:01 AM,%RH,94.029
30/1/24 8:26:01 AM,%RH,97.08
30/1/24 10:26:01 AM,%RH,91.966
30/1/24 12:26:01 PM,%RH,69.441
30/1/24 2:26:01 PM,%RH,74.033
30/1/24 4:26:01 PM,%RH,81.839
30/1/24 6:26:01 PM,%RH,80.741
30/1/24 8:26:01 PM,%RH,92.484
30/1/24 10:26:01 PM,%RH,97.08
31/1/24 12:26:01 AM,%RH,98.585
31/1/24 2:26:01 AM,%RH,101.064
31/1/24 4:26:01 AM,%RH,103.02
31/1/24 6:26:01 AM,%RH,102.045
31/1/24 8:26:01 AM,%RH,102.533
31/1/24 10:26:01 AM,%RH,93
31/1/24 12:26:01 PM,%RH,68.278
31/1/24 2:26:01 PM,%RH,72.322
31/1/24 4:26:01 PM,%RH,82.385
31/1/24 6:26:01 PM,%RH,82.93
31/1/24 8:26:01 PM,%RH,95.052
31/1/24 10:26:01 PM,%RH,98.085
1/2/24 12:26:01 AM,%RH,101.064
1/2/24 2:26:01 AM,%RH,99.084
1/2/24 4:26:01 AM,%RH,101.064
1/2/24 6:26:01 AM,%RH,102.533
1/2/24 8:26:01 AM,%RH,103.505
1/2/24 10:26:01 AM,%RH,91.446
1/2/24 12:26:01 PM,%RH,70.02
1/2/24 2:26:01 PM,%RH,75.73
1/2/24 4:26:01 PM,%RH,82.385
1/2/24 6:26:01 PM,%RH,87.767
1/2/24 8:26:01 PM,%RH,95.561
1/2/24 10:26:01 PM,%RH,99.581
2/2/24 12:26:01 AM,%RH,101.064
2/2/24 2:26:01 AM,%RH,101.555
2/2/24 4:26:01 AM,%RH,101.555
2/2/24 6:26:01 AM,%RH,102.045
2/2/24 8:26:01 AM,%RH,103.505
2/2/24 10:26:01 AM,%RH,94.029
2/2/24 12:26:01 PM,%RH,74.6
2/2/24 2:26:01 PM,%RH,72.894
2/2/24 4:26:01 PM,%RH,82.93
2/2/24 6:26:01 PM,%RH,88.297
2/2/24 8:26:01 PM,%RH,96.575
2/2/24 10:26:01 PM,%RH,99.084
3/2/24 12:26:01 AM,%RH,99.581
3/2/24 2:26:01 AM,%RH,101.555
3/2/24 4:26:01 AM,%RH,101.064
3/2/24 6:26:01 AM,%RH,102.533
3/2/24 8:26:01 AM,%RH,104.471
3/2/24 10:26:01 AM,%RH,94.541
3/2/24 12:26:01 PM,%RH,74.6
3/2/24 2:26:01 PM,%RH,85.095
3/2/24 4:26:01 PM,%RH,88.297
3/2/24 6:26:01 PM,%RH,90.402
3/2/24 8:26:01 PM,%RH,96.069
3/2/24 10:26:01 PM,%RH,99.581
4/2/24 12:26:01 AM,%RH,99.581
4/2/24 2:26:01 AM,%RH,103.02
4/2/24 4:26:01 AM,%RH,102.533
4/2/24 6:26:01 AM,%RH,99.581
4/2/24 8:26:01 AM,%RH,95.561
4/2/24 10:26:01 AM,%RH,91.966
4/2/24 12:26:01 PM,%RH,80.191
4/2/24 2:26:01 PM,%RH,81.291
4/2/24 4:26:01 PM,%RH,82.385
4/2/24 6:26:01 PM,%RH,88.826
4/2/24 8:26:01 PM,%RH,96.575
4/2/24 10:26:01 PM,%RH,100.077
5/2/24 12:26:01 AM,%RH,102.533
5/2/24 2:26:01 AM,%RH,101.555
5/2/24 4:26:01 AM,%RH,102.045
5/2/24 6:26:01 AM,%RH,101.555
5/2/24 8:26:01 AM,%RH,103.02
5/2/24 10:26:01 AM,%RH,93
5/2/24 12:26:01 PM,%RH,64.754
5/2/24 2:26:01 PM,%RH,68.278
5/2/24 4:26:01 PM,%RH,72.322
5/2/24 6:26:01 PM,%RH,82.385
5/2/24 8:26:01 PM,%RH,93
5/2/24 10:26:01 PM,%RH,97.583
6/2/24 12:26:01 AM,%RH,99.581
6/2/24 2:26:01 AM,%RH,100.571
6/2/24 4:26:01 AM,%RH,101.555
6/2/24 6:26:01 AM,%RH,101.064
6/2/24 8:26:01 AM,%RH,101.555
6/2/24 10:26:01 AM,%RH,89.353
6/2/24 12:26:01 PM,%RH,61.176
6/2/24 2:26:01 PM,%RH,59.972
6/2/24 4:26:01 PM,%RH,56.323
6/2/24 6:26:01 PM,%RH,68.86
6/2/24 8:26:01 PM,%RH,83.473
6/2/24 10:26:01 PM,%RH,93.516
7/2/24 12:26:01 AM,%RH,98.085
7/2/24 2:26:01 AM,%RH,95.561
7/2/24 4:26:01 AM,%RH,89.353
7/2/24 6:26:01 AM,%RH,92.484
7/2/24 8:26:01 AM,%RH,94.029
7/2/24 10:26:01 AM,%RH,77.972
7/2/24 12:26:01 PM,%RH,50.121
7/2/24 2:26:01 PM,%RH,50.121
7/2/24 4:26:01 PM,%RH,57.545
7/2/24 6:26:01 PM,%RH,77.972
7/2/24 8:26:01 PM,%RH,90.925
7/2/24 10:26:01 PM,%RH,97.583
8/2/24 12:26:01 AM,%RH,98.585
8/2/24 2:26:01 AM,%RH,96.069
8/2/24 4:26:01 AM,%RH,89.353
8/2/24 6:26:01 AM,%RH,88.826
8/2/24 8:26:01 AM,%RH,91.446
8/2/24 10:26:01 AM,%RH,77.414
8/2/24 12:26:01 PM,%RH,58.154
8/2/24 2:26:01 PM,%RH,65.935
