1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A20000007DAB5041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:26:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:26:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  12143
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:26:01 PM,C,22.527
13/1/24 10:26:01 PM,C,22.527
14/1/24 12:26:01 AM,C,22.026
14/1/24 2:26:01 AM,C,21.526
14/1/24 4:26:01 AM,C,21.526
14/1/24 6:26:01 AM,C,21.026
14/1/24 8:26:01 AM,C,21.026
14/1/24 10:26:01 AM,C,24.027
14/1/24 12:26:01 PM,C,26.527
14/1/24 2:26:01 PM,C,27.527
14/1/24 4:26:01 PM,C,23.527
14/1/24 6:26:01 PM,C,22.026
14/1/24 8:26:01 PM,C,18.523
14/1/24 10:26:01 PM,C,18.023
15/1/24 12:26:01 AM,C,18.023
15/1/24 2:26:01 AM,C,17.022
15/1/24 4:26:01 AM,C,16.02
15/1/24 6:26:01 AM,C,16.521
15/1/24 8:26:01 AM,C,17.522
15/1/24 10:26:01 AM,C,20.525
15/1/24 12:26:01 PM,C,25.527
15/1/24 2:26:01 PM,C,23.527
15/1/24 4:26:01 PM,C,23.027
15/1/24 6:26:01 PM,C,20.525
15/1/24 8:26:01 PM,C,18.523
15/1/24 10:26:01 PM,C,17.022
16/1/24 12:26:01 AM,C,16.521
16/1/24 2:26:01 AM,C,16.02
16/1/24 4:26:01 AM,C,15.019
16/1/24 6:26:01 AM,C,16.02
16/1/24 8:26:01 AM,C,16.521
16/1/24 10:26:01 AM,C,20.025
16/1/24 12:26:01 PM,C,24.527
16/1/24 2:26:01 PM,C,23.027
16/1/24 4:26:01 PM,C,22.527
16/1/24 6:26:01 PM,C,20.525
16/1/24 8:26:01 PM,C,19.024
16/1/24 10:26:01 PM,C,18.523
17/1/24 12:26:01 AM,C,18.023
17/1/24 2:26:01 AM,C,18.523
17/1/24 4:26:01 AM,C,18.523
17/1/24 6:26:01 AM,C,18.523
17/1/24 8:26:01 AM,C,18.523
17/1/24 10:26:01 AM,C,21.026
17/1/24 12:26:01 PM,C,23.027
17/1/24 2:26:01 PM,C,23.527
17/1/24 4:26:01 PM,C,22.527
17/1/24 6:26:01 PM,C,20.525
17/1/24 8:26:01 PM,C,19.024
17/1/24 10:26:01 PM,C,20.025
18/1/24 12:26:01 AM,C,19.525
18/1/24 2:26:01 AM,C,18.523
18/1/24 4:26:01 AM,C,18.023
18/1/24 6:26:01 AM,C,17.022
18/1/24 8:26:01 AM,C,18.023
18/1/24 10:26:01 AM,C,21.026
18/1/24 12:26:01 PM,C,24.527
18/1/24 2:26:01 PM,C,24.027
18/1/24 4:26:01 PM,C,23.027
18/1/24 6:26:01 PM,C,21.026
18/1/24 8:26:01 PM,C,20.025
18/1/24 10:26:01 PM,C,19.024
19/1/24 12:26:01 AM,C,18.523
19/1/24 2:26:01 AM,C,18.523
19/1/24 4:26:01 AM,C,18.023
19/1/24 6:26:01 AM,C,18.023
19/1/24 8:26:01 AM,C,18.023
19/1/24 10:26:01 AM,C,21.026
19/1/24 12:26:01 PM,C,24.527
19/1/24 2:26:01 PM,C,23.527
19/1/24 4:26:01 PM,C,23.027
19/1/24 6:26:01 PM,C,21.526
19/1/24 8:26:01 PM,C,20.525
