1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AD0000007DAAB541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:05:01 IST 2024
Mission Sample Count:  3250
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:05:01 IST 2024
Total Mission Samples:  3250
Total Device Samples:  13584
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:05:01 PM,%RH,81.031
13/1/24 10:05:01 PM,%RH,81.586
14/1/24 12:05:01 AM,%RH,80.475
14/1/24 2:05:01 AM,%RH,82.139
14/1/24 4:05:01 AM,%RH,82.139
14/1/24 6:05:01 AM,%RH,82.139
14/1/24 8:05:01 AM,%RH,83.792
14/1/24 10:05:01 AM,%RH,69.668
14/1/24 12:05:01 PM,%RH,74.845
14/1/24 2:05:01 PM,%RH,56.582
14/1/24 4:05:01 PM,%RH,50.43
14/1/24 6:05:01 PM,%RH,84.888
14/1/24 8:05:01 PM,%RH,87.604
14/1/24 10:05:01 PM,%RH,80.475
15/1/24 12:05:01 AM,%RH,74.275
15/1/24 2:05:01 AM,%RH,82.692
15/1/24 4:05:01 AM,%RH,91.354
15/1/24 6:05:01 AM,%RH,91.354
15/1/24 8:05:01 AM,%RH,89.755
15/1/24 10:05:01 AM,%RH,82.692
15/1/24 12:05:01 PM,%RH,63.796
15/1/24 2:05:01 PM,%RH,56.582
15/1/24 4:05:01 PM,%RH,71.982
15/1/24 6:05:01 PM,%RH,83.243
15/1/24 8:05:01 PM,%RH,90.822
15/1/24 10:05:01 PM,%RH,96.084
16/1/24 12:05:01 AM,%RH,95.564
16/1/24 2:05:01 AM,%RH,97.121
16/1/24 4:05:01 AM,%RH,98.153
16/1/24 6:05:01 AM,%RH,92.414
16/1/24 8:05:01 AM,%RH,90.289
16/1/24 10:05:01 AM,%RH,87.604
16/1/24 12:05:01 PM,%RH,71.982
16/1/24 2:05:01 PM,%RH,66.16
16/1/24 4:05:01 PM,%RH,79.918
16/1/24 6:05:01 PM,%RH,88.144
16/1/24 8:05:01 PM,%RH,93.469
16/1/24 10:05:01 PM,%RH,96.084
17/1/24 12:05:01 AM,%RH,98.153
17/1/24 2:05:01 AM,%RH,96.084
17/1/24 4:05:01 AM,%RH,98.153
17/1/24 6:05:01 AM,%RH,98.153
17/1/24 8:05:01 AM,%RH,97.638
17/1/24 10:05:01 AM,%RH,85.978
17/1/24 12:05:01 PM,%RH,74.275
17/1/24 2:05:01 PM,%RH,79.359
17/1/24 4:05:01 PM,%RH,73.131
17/1/24 6:05:01 PM,%RH,82.139
17/1/24 8:05:01 PM,%RH,92.942
17/1/24 10:05:01 PM,%RH,96.603
18/1/24 12:05:01 AM,%RH,97.638
18/1/24 2:05:01 AM,%RH,97.638
18/1/24 4:05:01 AM,%RH,98.667
18/1/24 6:05:01 AM,%RH,98.667
18/1/24 8:05:01 AM,%RH,99.691
18/1/24 10:05:01 AM,%RH,90.289
18/1/24 12:05:01 PM,%RH,78.238
18/1/24 2:05:01 PM,%RH,79.918
18/1/24 4:05:01 PM,%RH,81.031
18/1/24 6:05:01 PM,%RH,87.604
18/1/24 8:05:01 PM,%RH,96.084
18/1/24 10:05:01 PM,%RH,96.084
19/1/24 12:05:01 AM,%RH,97.121
19/1/24 2:05:01 AM,%RH,97.638
19/1/24 4:05:01 AM,%RH,98.153
19/1/24 6:05:01 AM,%RH,97.121
19/1/24 8:05:01 AM,%RH,99.18
19/1/24 10:05:01 AM,%RH,92.942
19/1/24 12:05:01 PM,%RH,85.978
19/1/24 2:05:01 PM,%RH,80.475
19/1/24 4:05:01 PM,%RH,84.341
19/1/24 6:05:01 PM,%RH,90.822
19/1/24 8:05:01 PM,%RH,95.564
19/1/24 10:05:01 PM,%RH,96.084
20/1/24 12:05:01 AM,%RH,97.638
20/1/24 2:05:01 AM,%RH,98.667
20/1/24 4:05:01 AM,%RH,96.603
20/1/24 6:05:01 AM,%RH,97.121
20/1/24 8:05:01 AM,%RH,96.084
20/1/24 10:05:01 AM,%RH,91.885
20/1/24 12:05:01 PM,%RH,81.586
20/1/24 2:05:01 PM,%RH,75.413
20/1/24 4:05:01 PM,%RH,83.243
20/1/24 6:05:01 PM,%RH,89.219
20/1/24 8:05:01 PM,%RH,95.564
20/1/24 10:05:01 PM,%RH,97.638
21/1/24 12:05:01 AM,%RH,96.084
21/1/24 2:05:01 AM,%RH,97.121
21/1/24 4:05:01 AM,%RH,100.202
21/1/24 6:05:01 AM,%RH,98.667
21/1/24 8:05:01 AM,%RH,97.121
21/1/24 10:05:01 AM,%RH,91.885
21/1/24 12:05:01 PM,%RH,70.828
21/1/24 2:05:01 PM,%RH,66.748
21/1/24 4:05:01 PM,%RH,77.676
21/1/24 6:05:01 PM,%RH,84.341
21/1/24 8:05:01 PM,%RH,92.942
21/1/24 10:05:01 PM,%RH,95.042
22/1/24 12:05:01 AM,%RH,96.603
22/1/24 2:05:01 AM,%RH,97.121
22/1/24 4:05:01 AM,%RH,96.603
22/1/24 6:05:01 AM,%RH,97.638
22/1/24 8:05:01 AM,%RH,99.691
22/1/24 10:05:01 AM,%RH,88.144
22/1/24 12:05:01 PM,%RH,74.845
22/1/24 2:05:01 PM,%RH,79.359
22/1/24 4:05:01 PM,%RH,78.799
22/1/24 6:05:01 PM,%RH,84.341
22/1/24 8:05:01 PM,%RH,93.995
22/1/24 10:05:01 PM,%RH,96.603
23/1/24 12:05:01 AM,%RH,97.121
23/1/24 2:05:01 AM,%RH,98.153
23/1/24 4:05:01 AM,%RH,97.638
23/1/24 6:05:01 AM,%RH,97.638
23/1/24 8:05:01 AM,%RH,92.414
23/1/24 10:05:01 AM,%RH,85.978
23/1/24 12:05:01 PM,%RH,76.547
23/1/24 2:05:01 PM,%RH,79.359
23/1/24 4:05:01 PM,%RH,81.586
23/1/24 6:05:01 PM,%RH,83.243
23/1/24 8:05:01 PM,%RH,92.942
23/1/24 10:05:01 PM,%RH,95.042
24/1/24 12:05:01 AM,%RH,96.084
24/1/24 2:05:01 AM,%RH,96.084
24/1/24 4:05:01 AM,%RH,98.667
24/1/24 6:05:01 AM,%RH,97.638
24/1/24 8:05:01 AM,%RH,97.121
24/1/24 10:05:01 AM,%RH,81.031
24/1/24 12:05:01 PM,%RH,71.982
24/1/24 2:05:01 PM,%RH,71.405
24/1/24 4:05:01 PM,%RH,73.131
24/1/24 6:05:01 PM,%RH,78.799
24/1/24 8:05:01 PM,%RH,90.822
24/1/24 10:05:01 PM,%RH,95.564
25/1/24 12:05:01 AM,%RH,95.564
25/1/24 2:05:01 AM,%RH,91.354
25/1/24 4:05:01 AM,%RH,88.144
25/1/24 6:05:01 AM,%RH,94.519
25/1/24 8:05:01 AM,%RH,96.603
25/1/24 10:05:01 AM,%RH,84.341
25/1/24 12:05:01 PM,%RH,78.238
25/1/24 2:05:01 PM,%RH,73.131
25/1/24 4:05:01 PM,%RH,77.112
25/1/24 6:05:01 PM,%RH,83.792
25/1/24 8:05:01 PM,%RH,93.469
25/1/24 10:05:01 PM,%RH,96.084
26/1/24 12:05:01 AM,%RH,96.084
26/1/24 2:05:01 AM,%RH,96.603
26/1/24 4:05:01 AM,%RH,98.153
26/1/24 6:05:01 AM,%RH,97.121
26/1/24 8:05:01 AM,%RH,93.469
26/1/24 10:05:01 AM,%RH,79.918
26/1/24 12:05:01 PM,%RH,65.571
26/1/24 2:05:01 PM,%RH,58.403
26/1/24 4:05:01 PM,%RH,49.184
26/1/24 6:05:01 PM,%RH,75.413
26/1/24 8:05:01 PM,%RH,89.755
26/1/24 10:05:01 PM,%RH,93.469
27/1/24 12:05:01 AM,%RH,92.942
27/1/24 2:05:01 AM,%RH,71.405
27/1/24 4:05:01 AM,%RH,78.238
27/1/24 6:05:01 AM,%RH,85.434
27/1/24 8:05:01 AM,%RH,92.942
27/1/24 10:05:01 AM,%RH,83.792
27/1/24 12:05:01 PM,%RH,60.813
27/1/24 2:05:01 PM,%RH,58.403
27/1/24 4:05:01 PM,%RH,48.56
27/1/24 6:05:01 PM,%RH,59.61
27/1/24 8:05:01 PM,%RH,75.413
27/1/24 10:05:01 PM,%RH,80.475
28/1/24 12:05:01 AM,%RH,78.238
28/1/24 2:05:01 AM,%RH,84.341
28/1/24 4:05:01 AM,%RH,86.522
28/1/24 6:05:01 AM,%RH,92.942
28/1/24 8:05:01 AM,%RH,94.519
28/1/24 10:05:01 AM,%RH,77.676
28/1/24 12:05:01 PM,%RH,59.61
28/1/24 2:05:01 PM,%RH,54.75
28/1/24 4:05:01 PM,%RH,53.522
28/1/24 6:05:01 PM,%RH,70.828
28/1/24 8:05:01 PM,%RH,86.522
28/1/24 10:05:01 PM,%RH,91.354
29/1/24 12:05:01 AM,%RH,93.469
29/1/24 2:05:01 AM,%RH,93.995
29/1/24 4:05:01 AM,%RH,81.586
29/1/24 6:05:01 AM,%RH,81.031
29/1/24 8:05:01 AM,%RH,86.522
29/1/24 10:05:01 AM,%RH,84.341
29/1/24 12:05:01 PM,%RH,72.557
29/1/24 2:05:01 PM,%RH,57.19
29/1/24 4:05:01 PM,%RH,71.405
29/1/24 6:05:01 PM,%RH,79.918
29/1/24 8:05:01 PM,%RH,90.289
29/1/24 10:05:01 PM,%RH,93.469
30/1/24 12:05:01 AM,%RH,93.995
30/1/24 2:05:01 AM,%RH,80.475
30/1/24 4:05:01 AM,%RH,69.087
30/1/24 6:05:01 AM,%RH,77.676
30/1/24 8:05:01 AM,%RH,85.978
30/1/24 10:05:01 AM,%RH,78.238
30/1/24 12:05:01 PM,%RH,58.403
30/1/24 2:05:01 PM,%RH,58.403
30/1/24 4:05:01 PM,%RH,63.202
30/1/24 6:05:01 PM,%RH,73.131
30/1/24 8:05:01 PM,%RH,85.978
30/1/24 10:05:01 PM,%RH,93.469
31/1/24 12:05:01 AM,%RH,94.519
31/1/24 2:05:01 AM,%RH,93.995
31/1/24 4:05:01 AM,%RH,96.084
31/1/24 6:05:01 AM,%RH,96.603
31/1/24 8:05:01 AM,%RH,97.121
31/1/24 10:05:01 AM,%RH,77.112
31/1/24 12:05:01 PM,%RH,59.61
31/1/24 2:05:01 PM,%RH,55.973
