1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B40000007D8DA041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:32:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:32:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  19309
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:32:01 PM,C,22.615
13/1/24 10:32:01 PM,C,23.615
14/1/24 12:32:01 AM,C,23.115
14/1/24 2:32:01 AM,C,22.114
14/1/24 4:32:01 AM,C,21.614
14/1/24 6:32:01 AM,C,21.614
14/1/24 8:32:01 AM,C,24.115
14/1/24 10:32:01 AM,C,22.615
14/1/24 12:32:01 PM,C,23.615
14/1/24 2:32:01 PM,C,24.615
14/1/24 4:32:01 PM,C,24.115
14/1/24 6:32:01 PM,C,21.114
14/1/24 8:32:01 PM,C,18.111
14/1/24 10:32:01 PM,C,18.612
15/1/24 12:32:01 AM,C,18.612
15/1/24 2:32:01 AM,C,18.612
15/1/24 4:32:01 AM,C,17.611
15/1/24 6:32:01 AM,C,17.11
15/1/24 8:32:01 AM,C,17.611
15/1/24 10:32:01 AM,C,20.613
15/1/24 12:32:01 PM,C,22.615
15/1/24 2:32:01 PM,C,23.615
15/1/24 4:32:01 PM,C,23.615
15/1/24 6:32:01 PM,C,21.114
15/1/24 8:32:01 PM,C,18.612
15/1/24 10:32:01 PM,C,18.111
16/1/24 12:32:01 AM,C,17.11
16/1/24 2:32:01 AM,C,16.61
16/1/24 4:32:01 AM,C,16.109
16/1/24 6:32:01 AM,C,16.109
16/1/24 8:32:01 AM,C,17.11
16/1/24 10:32:01 AM,C,20.113
16/1/24 12:32:01 PM,C,22.114
16/1/24 2:32:01 PM,C,23.615
16/1/24 4:32:01 PM,C,23.615
16/1/24 6:32:01 PM,C,21.114
16/1/24 8:32:01 PM,C,19.613
16/1/24 10:32:01 PM,C,18.612
17/1/24 12:32:01 AM,C,18.612
17/1/24 2:32:01 AM,C,19.112
17/1/24 4:32:01 AM,C,19.112
17/1/24 6:32:01 AM,C,19.112
17/1/24 8:32:01 AM,C,19.112
17/1/24 10:32:01 AM,C,21.114
17/1/24 12:32:01 PM,C,23.115
17/1/24 2:32:01 PM,C,24.115
17/1/24 4:32:01 PM,C,23.115
17/1/24 6:32:01 PM,C,21.114
17/1/24 8:32:01 PM,C,19.613
17/1/24 10:32:01 PM,C,19.613
18/1/24 12:32:01 AM,C,19.613
18/1/24 2:32:01 AM,C,19.112
18/1/24 4:32:01 AM,C,18.111
18/1/24 6:32:01 AM,C,17.611
18/1/24 8:32:01 AM,C,19.112
18/1/24 10:32:01 AM,C,21.114
18/1/24 12:32:01 PM,C,22.615
18/1/24 2:32:01 PM,C,24.115
18/1/24 4:32:01 PM,C,23.615
18/1/24 6:32:01 PM,C,21.614
18/1/24 8:32:01 PM,C,20.113
18/1/24 10:32:01 PM,C,19.112
19/1/24 12:32:01 AM,C,19.112
19/1/24 2:32:01 AM,C,19.112
19/1/24 4:32:01 AM,C,18.612
19/1/24 6:32:01 AM,C,17.611
19/1/24 8:32:01 AM,C,18.612
19/1/24 10:32:01 AM,C,21.114
19/1/24 12:32:01 PM,C,22.615
19/1/24 2:32:01 PM,C,24.115
19/1/24 4:32:01 PM,C,23.615
19/1/24 6:32:01 PM,C,22.114
19/1/24 8:32:01 PM,C,21.114
19/1/24 10:32:01 PM,C,19.613
20/1/24 12:32:01 AM,C,18.111
20/1/24 2:32:01 AM,C,18.612
20/1/24 4:32:01 AM,C,18.612
20/1/24 6:32:01 AM,C,17.611
20/1/24 8:32:01 AM,C,18.612
20/1/24 10:32:01 AM,C,21.114
20/1/24 12:32:01 PM,C,23.615
20/1/24 2:32:01 PM,C,24.115
20/1/24 4:32:01 PM,C,24.115
20/1/24 6:32:01 PM,C,22.615
20/1/24 8:32:01 PM,C,20.113
20/1/24 10:32:01 PM,C,19.112
21/1/24 12:32:01 AM,C,18.612
21/1/24 2:32:01 AM,C,18.111
21/1/24 4:32:01 AM,C,19.112
21/1/24 6:32:01 AM,C,19.112
21/1/24 8:32:01 AM,C,19.613
21/1/24 10:32:01 AM,C,21.114
21/1/24 12:32:01 PM,C,23.115
21/1/24 2:32:01 PM,C,25.115
21/1/24 4:32:01 PM,C,24.615
21/1/24 6:32:01 PM,C,23.115
21/1/24 8:32:01 PM,C,22.114
21/1/24 10:32:01 PM,C,20.613
22/1/24 12:32:01 AM,C,19.613
22/1/24 2:32:01 AM,C,19.112
22/1/24 4:32:01 AM,C,18.612
22/1/24 6:32:01 AM,C,18.111
22/1/24 8:32:01 AM,C,18.612
22/1/24 10:32:01 AM,C,21.614
22/1/24 12:32:01 PM,C,23.615
22/1/24 2:32:01 PM,C,25.115
22/1/24 4:32:01 PM,C,24.615
22/1/24 6:32:01 PM,C,22.615
22/1/24 8:32:01 PM,C,21.114
22/1/24 10:32:01 PM,C,20.113
23/1/24 12:32:01 AM,C,19.112
23/1/24 2:32:01 AM,C,18.612
23/1/24 4:32:01 AM,C,18.111
23/1/24 6:32:01 AM,C,17.11
23/1/24 8:32:01 AM,C,19.112
23/1/24 10:32:01 AM,C,21.114
23/1/24 12:32:01 PM,C,24.115
23/1/24 2:32:01 PM,C,24.615
23/1/24 4:32:01 PM,C,24.115
23/1/24 6:32:01 PM,C,22.114
23/1/24 8:32:01 PM,C,19.613
23/1/24 10:32:01 PM,C,18.111
24/1/24 12:32:01 AM,C,17.611
24/1/24 2:32:01 AM,C,16.61
24/1/24 4:32:01 AM,C,16.109
24/1/24 6:32:01 AM,C,15.107
24/1/24 8:32:01 AM,C,16.109
24/1/24 10:32:01 AM,C,20.113
24/1/24 12:32:01 PM,C,22.615
24/1/24 2:32:01 PM,C,23.615
24/1/24 4:32:01 PM,C,23.115
24/1/24 6:32:01 PM,C,21.614
24/1/24 8:32:01 PM,C,20.113
24/1/24 10:32:01 PM,C,17.611
25/1/24 12:32:01 AM,C,16.61
25/1/24 2:32:01 AM,C,15.107
25/1/24 4:32:01 AM,C,14.607
25/1/24 6:32:01 AM,C,15.107
25/1/24 8:32:01 AM,C,16.109
25/1/24 10:32:01 AM,C,20.113
25/1/24 12:32:01 PM,C,22.114
25/1/24 2:32:01 PM,C,23.115
25/1/24 4:32:01 PM,C,23.115
25/1/24 6:32:01 PM,C,21.114
25/1/24 8:32:01 PM,C,20.113
25/1/24 10:32:01 PM,C,18.612
26/1/24 12:32:01 AM,C,17.611
26/1/24 2:32:01 AM,C,17.11
26/1/24 4:32:01 AM,C,17.11
26/1/24 6:32:01 AM,C,17.11
26/1/24 8:32:01 AM,C,18.111
26/1/24 10:32:01 AM,C,20.113
26/1/24 12:32:01 PM,C,22.615
26/1/24 2:32:01 PM,C,23.615
26/1/24 4:32:01 PM,C,23.115
26/1/24 6:32:01 PM,C,20.613
26/1/24 8:32:01 PM,C,18.612
26/1/24 10:32:01 PM,C,17.11
27/1/24 12:32:01 AM,C,16.109
27/1/24 2:32:01 AM,C,16.61
27/1/24 4:32:01 AM,C,17.611
27/1/24 6:32:01 AM,C,17.611
27/1/24 8:32:01 AM,C,18.111
27/1/24 10:32:01 AM,C,20.613
27/1/24 12:32:01 PM,C,23.115
27/1/24 2:32:01 PM,C,23.615
27/1/24 4:32:01 PM,C,23.615
27/1/24 6:32:01 PM,C,21.114
27/1/24 8:32:01 PM,C,18.111
27/1/24 10:32:01 PM,C,17.611
28/1/24 12:32:01 AM,C,18.111
28/1/24 2:32:01 AM,C,18.111
28/1/24 4:32:01 AM,C,17.611
28/1/24 6:32:01 AM,C,17.11
28/1/24 8:32:01 AM,C,18.111
28/1/24 10:32:01 AM,C,20.613
28/1/24 12:32:01 PM,C,23.115
28/1/24 2:32:01 PM,C,24.115
28/1/24 4:32:01 PM,C,23.615
28/1/24 6:32:01 PM,C,20.613
28/1/24 8:32:01 PM,C,18.111
28/1/24 10:32:01 PM,C,17.11
29/1/24 12:32:01 AM,C,16.61
29/1/24 2:32:01 AM,C,15.608
29/1/24 4:32:01 AM,C,16.61
29/1/24 6:32:01 AM,C,17.11
29/1/24 8:32:01 AM,C,17.611
29/1/24 10:32:01 AM,C,20.113
29/1/24 12:32:01 PM,C,22.615
29/1/24 2:32:01 PM,C,23.615
29/1/24 4:32:01 PM,C,23.615
29/1/24 6:32:01 PM,C,21.614
29/1/24 8:32:01 PM,C,18.612
29/1/24 10:32:01 PM,C,17.11
30/1/24 12:32:01 AM,C,15.608
30/1/24 2:32:01 AM,C,15.608
30/1/24 4:32:01 AM,C,17.11
30/1/24 6:32:01 AM,C,16.61
30/1/24 8:32:01 AM,C,17.11
30/1/24 10:32:01 AM,C,19.613
30/1/24 12:32:01 PM,C,22.615
30/1/24 2:32:01 PM,C,24.115
30/1/24 4:32:01 PM,C,23.615
30/1/24 6:32:01 PM,C,20.613
30/1/24 8:32:01 PM,C,18.111
30/1/24 10:32:01 PM,C,17.611
31/1/24 12:32:01 AM,C,16.61
31/1/24 2:32:01 AM,C,15.608
31/1/24 4:32:01 AM,C,15.107
31/1/24 6:32:01 AM,C,14.607
31/1/24 8:32:01 AM,C,15.608
31/1/24 10:32:01 AM,C,20.113
31/1/24 12:32:01 PM,C,23.115
31/1/24 2:32:01 PM,C,24.115
31/1/24 4:32:01 PM,C,23.615
31/1/24 6:32:01 PM,C,20.113
31/1/24 8:32:01 PM,C,17.11
31/1/24 10:32:01 PM,C,15.608
1/2/24 12:32:01 AM,C,15.608
1/2/24 2:32:01 AM,C,15.608
1/2/24 4:32:01 AM,C,15.608
1/2/24 6:32:01 AM,C,15.107
1/2/24 8:32:01 AM,C,15.608
1/2/24 10:32:01 AM,C,20.113
1/2/24 12:32:01 PM,C,23.115
1/2/24 2:32:01 PM,C,23.615
1/2/24 4:32:01 PM,C,23.115
1/2/24 6:32:01 PM,C,21.114
1/2/24 8:32:01 PM,C,18.612
1/2/24 10:32:01 PM,C,17.11
2/2/24 12:32:01 AM,C,17.11
2/2/24 2:32:01 AM,C,16.61
2/2/24 4:32:01 AM,C,15.608
2/2/24 6:32:01 AM,C,14.607
2/2/24 8:32:01 AM,C,16.109
2/2/24 10:32:01 AM,C,20.113
2/2/24 12:32:01 PM,C,23.115
2/2/24 2:32:01 PM,C,24.115
2/2/24 4:32:01 PM,C,24.115
2/2/24 6:32:01 PM,C,22.114
2/2/24 8:32:01 PM,C,19.112
2/2/24 10:32:01 PM,C,17.611
3/2/24 12:32:01 AM,C,16.61
3/2/24 2:32:01 AM,C,15.608
3/2/24 4:32:01 AM,C,14.607
3/2/24 6:32:01 AM,C,15.608
3/2/24 8:32:01 AM,C,18.111
3/2/24 10:32:01 AM,C,21.114
3/2/24 12:32:01 PM,C,23.115
3/2/24 2:32:01 PM,C,25.115
3/2/24 4:32:01 PM,C,24.115
3/2/24 6:32:01 PM,C,22.615
3/2/24 8:32:01 PM,C,20.613
3/2/24 10:32:01 PM,C,19.613
4/2/24 12:32:01 AM,C,18.612
4/2/24 2:32:01 AM,C,18.612
4/2/24 4:32:01 AM,C,19.613
4/2/24 6:32:01 AM,C,19.613
4/2/24 8:32:01 AM,C,19.613
4/2/24 10:32:01 AM,C,21.614
4/2/24 12:32:01 PM,C,23.615
4/2/24 2:32:01 PM,C,24.615
4/2/24 4:32:01 PM,C,24.615
4/2/24 6:32:01 PM,C,23.115
4/2/24 8:32:01 PM,C,21.114
4/2/24 10:32:01 PM,C,19.613
5/2/24 12:32:01 AM,C,18.612
5/2/24 2:32:01 AM,C,17.11
5/2/24 4:32:01 AM,C,16.61
5/2/24 6:32:01 AM,C,16.109
5/2/24 8:32:01 AM,C,17.611
5/2/24 10:32:01 AM,C,20.613
5/2/24 12:32:01 PM,C,23.615
5/2/24 2:32:01 PM,C,25.615
5/2/24 4:32:01 PM,C,25.115
5/2/24 6:32:01 PM,C,22.114
5/2/24 8:32:01 PM,C,20.113
5/2/24 10:32:01 PM,C,19.613
6/2/24 12:32:01 AM,C,18.612
6/2/24 2:32:01 AM,C,17.11
