1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BF0000007DAC6841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:20:01 IST 2024
Mission Sample Count:  3250
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:20:01 IST 2024
Total Mission Samples:  3250
Total Device Samples:  11996
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:20:01 PM,C,22.552
13/1/24 10:20:01 PM,C,22.052
14/1/24 12:20:01 AM,C,22.052
14/1/24 2:20:01 AM,C,21.552
14/1/24 4:20:01 AM,C,21.051
14/1/24 6:20:01 AM,C,21.051
14/1/24 8:20:01 AM,C,21.051
14/1/24 10:20:01 AM,C,25.553
14/1/24 12:20:01 PM,C,23.552
14/1/24 2:20:01 PM,C,25.053
14/1/24 4:20:01 PM,C,24.553
14/1/24 6:20:01 PM,C,22.552
14/1/24 8:20:01 PM,C,18.549
14/1/24 10:20:01 PM,C,19.05
15/1/24 12:20:01 AM,C,19.05
15/1/24 2:20:01 AM,C,17.548
15/1/24 4:20:01 AM,C,17.048
15/1/24 6:20:01 AM,C,17.548
15/1/24 8:20:01 AM,C,17.548
15/1/24 10:20:01 AM,C,20.551
15/1/24 12:20:01 PM,C,22.552
15/1/24 2:20:01 PM,C,25.053
15/1/24 4:20:01 PM,C,23.052
15/1/24 6:20:01 PM,C,21.552
15/1/24 8:20:01 PM,C,19.05
15/1/24 10:20:01 PM,C,17.548
16/1/24 12:20:01 AM,C,16.547
16/1/24 2:20:01 AM,C,16.547
16/1/24 4:20:01 AM,C,15.546
16/1/24 6:20:01 AM,C,16.046
16/1/24 8:20:01 AM,C,16.547
16/1/24 10:20:01 AM,C,19.05
16/1/24 12:20:01 PM,C,22.052
16/1/24 2:20:01 PM,C,24.053
16/1/24 4:20:01 PM,C,23.052
16/1/24 6:20:01 PM,C,21.051
16/1/24 8:20:01 PM,C,19.55
16/1/24 10:20:01 PM,C,18.049
17/1/24 12:20:01 AM,C,18.049
17/1/24 2:20:01 AM,C,19.05
17/1/24 4:20:01 AM,C,19.05
17/1/24 6:20:01 AM,C,18.549
17/1/24 8:20:01 AM,C,18.549
17/1/24 10:20:01 AM,C,20.551
17/1/24 12:20:01 PM,C,22.552
17/1/24 2:20:01 PM,C,23.552
17/1/24 4:20:01 PM,C,22.552
17/1/24 6:20:01 PM,C,21.051
17/1/24 8:20:01 PM,C,19.55
17/1/24 10:20:01 PM,C,19.55
18/1/24 12:20:01 AM,C,19.55
18/1/24 2:20:01 AM,C,19.05
18/1/24 4:20:01 AM,C,18.049
18/1/24 6:20:01 AM,C,17.048
18/1/24 8:20:01 AM,C,18.049
18/1/24 10:20:01 AM,C,20.551
18/1/24 12:20:01 PM,C,22.052
18/1/24 2:20:01 PM,C,23.552
18/1/24 4:20:01 PM,C,23.052
18/1/24 6:20:01 PM,C,21.552
18/1/24 8:20:01 PM,C,20.051
18/1/24 10:20:01 PM,C,19.05
19/1/24 12:20:01 AM,C,18.549
19/1/24 2:20:01 AM,C,18.549
19/1/24 4:20:01 AM,C,18.049
19/1/24 6:20:01 AM,C,17.548
19/1/24 8:20:01 AM,C,17.548
19/1/24 10:20:01 AM,C,20.551
19/1/24 12:20:01 PM,C,22.552
19/1/24 2:20:01 PM,C,24.553
