1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C10000007D8CF941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:42:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:42:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  12756
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:42:01 PM,%RH,84.505
9/1/24 11:42:01 PM,%RH,86.169
10/1/24 1:42:01 AM,%RH,83.947
10/1/24 3:42:01 AM,%RH,82.826
10/1/24 5:42:01 AM,%RH,82.826
10/1/24 7:42:01 AM,%RH,83.387
10/1/24 9:42:01 AM,%RH,83.387
10/1/24 11:42:01 AM,%RH,79.428
10/1/24 1:42:01 PM,%RH,75.391
10/1/24 3:42:01 PM,%RH,78.856
10/1/24 5:42:01 PM,%RH,79.998
10/1/24 7:42:01 PM,%RH,81.134
10/1/24 9:42:01 PM,%RH,79.428
10/1/24 11:42:01 PM,%RH,80.567
11/1/24 1:42:01 AM,%RH,79.998
11/1/24 3:42:01 AM,%RH,79.998
11/1/24 5:42:01 AM,%RH,81.134
11/1/24 7:42:01 AM,%RH,82.264
11/1/24 9:42:01 AM,%RH,79.998
11/1/24 11:42:01 AM,%RH,60.347
11/1/24 1:42:01 PM,%RH,61.587
11/1/24 3:42:01 PM,%RH,57.221
11/1/24 5:42:01 PM,%RH,74.223
11/1/24 7:42:01 PM,%RH,78.856
11/1/24 9:42:01 PM,%RH,75.391
11/1/24 11:42:01 PM,%RH,87.819
12/1/24 1:42:01 AM,%RH,87.819
12/1/24 3:42:01 AM,%RH,91.614
12/1/24 5:42:01 AM,%RH,95.333
12/1/24 7:42:01 AM,%RH,92.15
12/1/24 9:42:01 AM,%RH,83.947
12/1/24 11:42:01 AM,%RH,78.282
12/1/24 1:42:01 PM,%RH,64.047
12/1/24 3:42:01 PM,%RH,63.434
12/1/24 5:42:01 PM,%RH,73.05
12/1/24 7:42:01 PM,%RH,77.707
12/1/24 9:42:01 PM,%RH,83.387
12/1/24 11:42:01 PM,%RH,90.538
13/1/24 1:42:01 AM,%RH,93.748
13/1/24 3:42:01 AM,%RH,97.423
13/1/24 5:42:01 AM,%RH,98.974
13/1/24 7:42:01 AM,%RH,98.459
13/1/24 9:42:01 AM,%RH,93.748
13/1/24 11:42:01 AM,%RH,74.808
13/1/24 1:42:01 PM,%RH,60.347
13/1/24 3:42:01 PM,%RH,56.591
13/1/24 5:42:01 PM,%RH,84.505
13/1/24 7:42:01 PM,%RH,93.748
13/1/24 9:42:01 PM,%RH,98.974
13/1/24 11:42:01 PM,%RH,88.911
14/1/24 1:42:01 AM,%RH,96.381
14/1/24 3:42:01 AM,%RH,92.15
14/1/24 5:42:01 AM,%RH,93.748
14/1/24 7:42:01 AM,%RH,96.381
14/1/24 9:42:01 AM,%RH,94.806
14/1/24 11:42:01 AM,%RH,62.82
14/1/24 1:42:01 PM,%RH,64.658
14/1/24 3:42:01 PM,%RH,52.778
14/1/24 5:42:01 PM,%RH,86.72
14/1/24 7:42:01 PM,%RH,86.169
14/1/24 9:42:01 PM,%RH,72.461
14/1/24 11:42:01 PM,%RH,72.461
15/1/24 1:42:01 AM,%RH,77.13
15/1/24 3:42:01 AM,%RH,86.169
15/1/24 5:42:01 AM,%RH,94.806
15/1/24 7:42:01 AM,%RH,98.459
15/1/24 9:42:01 AM,%RH,93.748
15/1/24 11:42:01 AM,%RH,72.461
15/1/24 1:42:01 PM,%RH,54.055
15/1/24 3:42:01 PM,%RH,74.808
15/1/24 5:42:01 PM,%RH,83.947
15/1/24 7:42:01 PM,%RH,88.911
15/1/24 9:42:01 PM,%RH,94.278
15/1/24 11:42:01 PM,%RH,94.278
16/1/24 1:42:01 AM,%RH,92.684
16/1/24 3:42:01 AM,%RH,85.616
16/1/24 5:42:01 AM,%RH,86.169
16/1/24 7:42:01 AM,%RH,91.077
16/1/24 9:42:01 AM,%RH,93.748
16/1/24 11:42:01 AM,%RH,72.461
16/1/24 1:42:01 PM,%RH,66.482
16/1/24 3:42:01 PM,%RH,81.7
16/1/24 5:42:01 PM,%RH,88.366
16/1/24 7:42:01 PM,%RH,94.278
16/1/24 9:42:01 PM,%RH,97.942
16/1/24 11:42:01 PM,%RH,100.511
17/1/24 1:42:01 AM,%RH,101.528
17/1/24 3:42:01 AM,%RH,101.528
17/1/24 5:42:01 AM,%RH,101.021
17/1/24 7:42:01 AM,%RH,99.488
17/1/24 9:42:01 AM,%RH,92.684
17/1/24 11:42:01 AM,%RH,80.567
17/1/24 1:42:01 PM,%RH,85.061
17/1/24 3:42:01 PM,%RH,85.616
17/1/24 5:42:01 PM,%RH,78.856
17/1/24 7:42:01 PM,%RH,91.077
17/1/24 9:42:01 PM,%RH,98.974
17/1/24 11:42:01 PM,%RH,101.021
18/1/24 1:42:01 AM,%RH,100.001
18/1/24 3:42:01 AM,%RH,100.001
18/1/24 5:42:01 AM,%RH,100.001
18/1/24 7:42:01 AM,%RH,100.001
18/1/24 9:42:01 AM,%RH,92.15
18/1/24 11:42:01 AM,%RH,79.428
18/1/24 1:42:01 PM,%RH,76.552
18/1/24 3:42:01 PM,%RH,85.616
18/1/24 5:42:01 PM,%RH,89.997
18/1/24 7:42:01 PM,%RH,97.942
18/1/24 9:42:01 PM,%RH,99.488
18/1/24 11:42:01 PM,%RH,101.021
19/1/24 1:42:01 AM,%RH,101.528
19/1/24 3:42:01 AM,%RH,100.511
19/1/24 5:42:01 AM,%RH,101.021
19/1/24 7:42:01 AM,%RH,101.021
19/1/24 9:42:01 AM,%RH,98.459
19/1/24 11:42:01 AM,%RH,91.614
19/1/24 1:42:01 PM,%RH,74.808
19/1/24 3:42:01 PM,%RH,87.819
19/1/24 5:42:01 PM,%RH,92.15
19/1/24 7:42:01 PM,%RH,98.459
19/1/24 9:42:01 PM,%RH,99.488
19/1/24 11:42:01 PM,%RH,100.001
20/1/24 1:42:01 AM,%RH,100.511
20/1/24 3:42:01 AM,%RH,96.381
20/1/24 5:42:01 AM,%RH,98.459
20/1/24 7:42:01 AM,%RH,99.488
20/1/24 9:42:01 AM,%RH,96.903
20/1/24 11:42:01 AM,%RH,85.616
20/1/24 1:42:01 PM,%RH,81.134
20/1/24 3:42:01 PM,%RH,86.72
20/1/24 5:42:01 PM,%RH,92.684
20/1/24 7:42:01 PM,%RH,95.858
20/1/24 9:42:01 PM,%RH,97.942
20/1/24 11:42:01 PM,%RH,98.459
21/1/24 1:42:01 AM,%RH,101.528
21/1/24 3:42:01 AM,%RH,102.539
21/1/24 5:42:01 AM,%RH,101.528
21/1/24 7:42:01 AM,%RH,102.539
21/1/24 9:42:01 AM,%RH,97.942
21/1/24 11:42:01 AM,%RH,86.72
21/1/24 1:42:01 PM,%RH,62.82
21/1/24 3:42:01 PM,%RH,83.387
21/1/24 5:42:01 PM,%RH,85.616
21/1/24 7:42:01 PM,%RH,96.903
21/1/24 9:42:01 PM,%RH,100.001
21/1/24 11:42:01 PM,%RH,100.001
22/1/24 1:42:01 AM,%RH,100.001
22/1/24 3:42:01 AM,%RH,98.974
22/1/24 5:42:01 AM,%RH,99.488
22/1/24 7:42:01 AM,%RH,102.034
22/1/24 9:42:01 AM,%RH,92.684
22/1/24 11:42:01 AM,%RH,77.13
22/1/24 1:42:01 PM,%RH,79.428
22/1/24 3:42:01 PM,%RH,85.616
22/1/24 5:42:01 PM,%RH,85.616
22/1/24 7:42:01 PM,%RH,96.903
22/1/24 9:42:01 PM,%RH,98.974
22/1/24 11:42:01 PM,%RH,98.459
23/1/24 1:42:01 AM,%RH,101.528
23/1/24 3:42:01 AM,%RH,100.511
23/1/24 5:42:01 AM,%RH,101.021
23/1/24 7:42:01 AM,%RH,95.333
23/1/24 9:42:01 AM,%RH,87.271
23/1/24 11:42:01 AM,%RH,82.264
23/1/24 1:42:01 PM,%RH,77.707
23/1/24 3:42:01 PM,%RH,81.7
23/1/24 5:42:01 PM,%RH,85.616
23/1/24 7:42:01 PM,%RH,91.614
23/1/24 9:42:01 PM,%RH,95.858
23/1/24 11:42:01 PM,%RH,94.278
24/1/24 1:42:01 AM,%RH,98.459
24/1/24 3:42:01 AM,%RH,95.858
24/1/24 5:42:01 AM,%RH,89.997
24/1/24 7:42:01 AM,%RH,90.538
24/1/24 9:42:01 AM,%RH,80.567
24/1/24 11:42:01 AM,%RH,71.87
24/1/24 1:42:01 PM,%RH,74.808
24/1/24 3:42:01 PM,%RH,74.223
24/1/24 5:42:01 PM,%RH,79.428
24/1/24 7:42:01 PM,%RH,93.217
24/1/24 9:42:01 PM,%RH,94.806
24/1/24 11:42:01 PM,%RH,96.381
25/1/24 1:42:01 AM,%RH,73.637
25/1/24 3:42:01 AM,%RH,78.856
25/1/24 5:42:01 AM,%RH,86.169
25/1/24 7:42:01 AM,%RH,85.061
25/1/24 9:42:01 AM,%RH,83.387
25/1/24 11:42:01 AM,%RH,74.223
25/1/24 1:42:01 PM,%RH,76.552
25/1/24 3:42:01 PM,%RH,78.856
25/1/24 5:42:01 PM,%RH,85.061
25/1/24 7:42:01 PM,%RH,94.278
25/1/24 9:42:01 PM,%RH,97.942
25/1/24 11:42:01 PM,%RH,96.381
26/1/24 1:42:01 AM,%RH,100.001
26/1/24 3:42:01 AM,%RH,92.15
26/1/24 5:42:01 AM,%RH,96.381
26/1/24 7:42:01 AM,%RH,98.974
26/1/24 9:42:01 AM,%RH,93.217
26/1/24 11:42:01 AM,%RH,79.428
26/1/24 1:42:01 PM,%RH,63.434
26/1/24 3:42:01 PM,%RH,54.055
26/1/24 5:42:01 PM,%RH,73.637
26/1/24 7:42:01 PM,%RH,85.616
26/1/24 9:42:01 PM,%RH,92.684
26/1/24 11:42:01 PM,%RH,80.567
27/1/24 1:42:01 AM,%RH,74.808
27/1/24 3:42:01 AM,%RH,77.13
27/1/24 5:42:01 AM,%RH,87.271
27/1/24 7:42:01 AM,%RH,95.333
