1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C60000007D8D5041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:00:01 IST 2024
Mission Sample Count:  789
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:00:01 IST 2024
Total Mission Samples:  789
Total Device Samples:  9575
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:00:01 PM,%RH,82.23
13/1/24 10:00:01 PM,%RH,80.605
14/1/24 12:00:01 AM,%RH,79.514
14/1/24 2:00:01 AM,%RH,81.69
14/1/24 4:00:01 AM,%RH,82.768
14/1/24 6:00:01 AM,%RH,83.304
14/1/24 8:00:01 AM,%RH,82.768
14/1/24 10:00:01 AM,%RH,67.06
14/1/24 12:00:01 PM,%RH,73.954
14/1/24 2:00:01 PM,%RH,58.1
14/1/24 4:00:01 PM,%RH,62.329
14/1/24 6:00:01 PM,%RH,85.961
14/1/24 8:00:01 PM,%RH,88.056
14/1/24 10:00:01 PM,%RH,87.012
15/1/24 12:00:01 AM,%RH,85.961
15/1/24 2:00:01 AM,%RH,87.012
15/1/24 4:00:01 AM,%RH,92.166
15/1/24 6:00:01 AM,%RH,91.658
15/1/24 8:00:01 AM,%RH,94.179
15/1/24 10:00:01 AM,%RH,87.535
15/1/24 12:00:01 PM,%RH,75.64
15/1/24 2:00:01 PM,%RH,60.526
15/1/24 4:00:01 PM,%RH,74.518
15/1/24 6:00:01 PM,%RH,80.605
15/1/24 8:00:01 PM,%RH,90.637
15/1/24 10:00:01 PM,%RH,95.672
16/1/24 12:00:01 AM,%RH,97.639
16/1/24 2:00:01 AM,%RH,96.659
16/1/24 4:00:01 AM,%RH,98.612
16/1/24 6:00:01 AM,%RH,97.15
16/1/24 8:00:01 AM,%RH,100.059
16/1/24 10:00:01 AM,%RH,95.672
16/1/24 12:00:01 PM,%RH,77.864
16/1/24 2:00:01 PM,%RH,70.538
16/1/24 4:00:01 PM,%RH,81.148
16/1/24 6:00:01 PM,%RH,87.535
16/1/24 8:00:01 PM,%RH,94.679
16/1/24 10:00:01 PM,%RH,95.672
17/1/24 12:00:01 AM,%RH,99.096
17/1/24 2:00:01 AM,%RH,98.612
17/1/24 4:00:01 AM,%RH,99.096
17/1/24 6:00:01 AM,%RH,99.578
17/1/24 8:00:01 AM,%RH,100.538
17/1/24 10:00:01 AM,%RH,90.637
17/1/24 12:00:01 PM,%RH,80.605
17/1/24 2:00:01 PM,%RH,81.148
17/1/24 4:00:01 PM,%RH,77.864
17/1/24 6:00:01 PM,%RH,82.23
17/1/24 8:00:01 PM,%RH,92.166
17/1/24 10:00:01 PM,%RH,96.166
18/1/24 12:00:01 AM,%RH,99.578
18/1/24 2:00:01 AM,%RH,98.612
18/1/24 4:00:01 AM,%RH,99.578
18/1/24 6:00:01 AM,%RH,100.059
18/1/24 8:00:01 AM,%RH,100.059
18/1/24 10:00:01 AM,%RH,95.672
18/1/24 12:00:01 PM,%RH,83.304
18/1/24 2:00:01 PM,%RH,82.768
18/1/24 4:00:01 PM,%RH,84.372
18/1/24 6:00:01 PM,%RH,88.056
18/1/24 8:00:01 PM,%RH,95.176
18/1/24 10:00:01 PM,%RH,97.639
19/1/24 12:00:01 AM,%RH,97.639
19/1/24 2:00:01 AM,%RH,99.096
19/1/24 4:00:01 AM,%RH,99.096
19/1/24 6:00:01 AM,%RH,101.015
19/1/24 8:00:01 AM,%RH,101.491
19/1/24 10:00:01 AM,%RH,98.126
19/1/24 12:00:01 PM,%RH,88.056
19/1/24 2:00:01 PM,%RH,84.904
19/1/24 4:00:01 PM,%RH,87.012
19/1/24 6:00:01 PM,%RH,91.148
19/1/24 8:00:01 PM,%RH,96.166
19/1/24 10:00:01 PM,%RH,97.639
20/1/24 12:00:01 AM,%RH,99.578
20/1/24 2:00:01 AM,%RH,100.538
20/1/24 4:00:01 AM,%RH,100.059
20/1/24 6:00:01 AM,%RH,100.538
20/1/24 8:00:01 AM,%RH,99.096
20/1/24 10:00:01 AM,%RH,94.179
20/1/24 12:00:01 PM,%RH,87.535
20/1/24 2:00:01 PM,%RH,77.31
20/1/24 4:00:01 PM,%RH,85.433
20/1/24 6:00:01 PM,%RH,90.637
20/1/24 8:00:01 PM,%RH,95.176
20/1/24 10:00:01 PM,%RH,98.126
21/1/24 12:00:01 AM,%RH,98.612
21/1/24 2:00:01 AM,%RH,99.096
21/1/24 4:00:01 AM,%RH,102.437
21/1/24 6:00:01 AM,%RH,100.059
21/1/24 8:00:01 AM,%RH,101.015
21/1/24 10:00:01 AM,%RH,96.659
21/1/24 12:00:01 PM,%RH,83.304
21/1/24 2:00:01 PM,%RH,71.111
21/1/24 4:00:01 PM,%RH,81.148
21/1/24 6:00:01 PM,%RH,82.23
21/1/24 8:00:01 PM,%RH,91.658
21/1/24 10:00:01 PM,%RH,96.659
22/1/24 12:00:01 AM,%RH,97.15
22/1/24 2:00:01 AM,%RH,98.612
22/1/24 4:00:01 AM,%RH,99.578
22/1/24 6:00:01 AM,%RH,100.059
22/1/24 8:00:01 AM,%RH,101.015
22/1/24 10:00:01 AM,%RH,96.659
22/1/24 12:00:01 PM,%RH,84.904
22/1/24 2:00:01 PM,%RH,81.148
22/1/24 4:00:01 PM,%RH,81.69
22/1/24 6:00:01 PM,%RH,83.839
22/1/24 8:00:01 PM,%RH,92.672
22/1/24 10:00:01 PM,%RH,96.166
23/1/24 12:00:01 AM,%RH,100.059
23/1/24 2:00:01 AM,%RH,100.059
23/1/24 4:00:01 AM,%RH,100.538
23/1/24 6:00:01 AM,%RH,99.578
23/1/24 8:00:01 AM,%RH,100.538
23/1/24 10:00:01 AM,%RH,96.166
23/1/24 12:00:01 PM,%RH,82.23
23/1/24 2:00:01 PM,%RH,81.148
23/1/24 4:00:01 PM,%RH,83.304
23/1/24 6:00:01 PM,%RH,83.839
23/1/24 8:00:01 PM,%RH,92.672
23/1/24 10:00:01 PM,%RH,96.659
24/1/24 12:00:01 AM,%RH,98.612
24/1/24 2:00:01 AM,%RH,98.612
24/1/24 4:00:01 AM,%RH,99.578
24/1/24 6:00:01 AM,%RH,99.578
24/1/24 8:00:01 AM,%RH,100.059
24/1/24 10:00:01 AM,%RH,89.61
24/1/24 12:00:01 PM,%RH,73.954
24/1/24 2:00:01 PM,%RH,72.822
24/1/24 4:00:01 PM,%RH,74.518
24/1/24 6:00:01 PM,%RH,81.148
24/1/24 8:00:01 PM,%RH,90.125
24/1/24 10:00:01 PM,%RH,95.672
25/1/24 12:00:01 AM,%RH,96.659
25/1/24 2:00:01 AM,%RH,92.672
25/1/24 4:00:01 AM,%RH,92.672
25/1/24 6:00:01 AM,%RH,95.176
25/1/24 8:00:01 AM,%RH,98.612
25/1/24 10:00:01 AM,%RH,91.148
25/1/24 12:00:01 PM,%RH,80.605
25/1/24 2:00:01 PM,%RH,76.755
25/1/24 4:00:01 PM,%RH,78.965
25/1/24 6:00:01 PM,%RH,82.23
25/1/24 8:00:01 PM,%RH,93.679
25/1/24 10:00:01 PM,%RH,97.15
26/1/24 12:00:01 AM,%RH,97.639
26/1/24 2:00:01 AM,%RH,98.612
26/1/24 4:00:01 AM,%RH,98.126
26/1/24 6:00:01 AM,%RH,98.612
26/1/24 8:00:01 AM,%RH,97.639
26/1/24 10:00:01 AM,%RH,90.637
26/1/24 12:00:01 PM,%RH,75.64
26/1/24 2:00:01 PM,%RH,68.226
26/1/24 4:00:01 PM,%RH,59.922
26/1/24 6:00:01 PM,%RH,75.08
26/1/24 8:00:01 PM,%RH,91.658
26/1/24 10:00:01 PM,%RH,94.179
27/1/24 12:00:01 AM,%RH,96.659
27/1/24 2:00:01 AM,%RH,92.672
27/1/24 4:00:01 AM,%RH,90.637
27/1/24 6:00:01 AM,%RH,92.672
27/1/24 8:00:01 AM,%RH,96.659
27/1/24 10:00:01 AM,%RH,91.658
27/1/24 12:00:01 PM,%RH,72.822
27/1/24 2:00:01 PM,%RH,65.299
27/1/24 4:00:01 PM,%RH,60.526
27/1/24 6:00:01 PM,%RH,63.522
27/1/24 8:00:01 PM,%RH,76.198
27/1/24 10:00:01 PM,%RH,83.839
28/1/24 12:00:01 AM,%RH,81.69
28/1/24 2:00:01 AM,%RH,87.535
28/1/24 4:00:01 AM,%RH,89.61
28/1/24 6:00:01 AM,%RH,93.679
28/1/24 8:00:01 AM,%RH,97.15
28/1/24 10:00:01 AM,%RH,91.658
28/1/24 12:00:01 PM,%RH,72.254
28/1/24 2:00:01 PM,%RH,60.526
28/1/24 4:00:01 PM,%RH,60.526
28/1/24 6:00:01 PM,%RH,69.962
28/1/24 8:00:01 PM,%RH,88.056
28/1/24 10:00:01 PM,%RH,93.176
29/1/24 12:00:01 AM,%RH,95.672
29/1/24 2:00:01 AM,%RH,97.15
29/1/24 4:00:01 AM,%RH,96.166
29/1/24 6:00:01 AM,%RH,94.179
29/1/24 8:00:01 AM,%RH,96.659
29/1/24 10:00:01 AM,%RH,91.658
29/1/24 12:00:01 PM,%RH,82.23
29/1/24 2:00:01 PM,%RH,68.226
29/1/24 4:00:01 PM,%RH,74.518
29/1/24 6:00:01 PM,%RH,80.06
29/1/24 8:00:01 PM,%RH,92.166
29/1/24 10:00:01 PM,%RH,95.176
30/1/24 12:00:01 AM,%RH,97.15
30/1/24 2:00:01 AM,%RH,89.094
30/1/24 4:00:01 AM,%RH,83.304
30/1/24 6:00:01 AM,%RH,88.576
30/1/24 8:00:01 AM,%RH,90.637
30/1/24 10:00:01 AM,%RH,84.904
30/1/24 12:00:01 PM,%RH,72.822
30/1/24 2:00:01 PM,%RH,56.876
30/1/24 4:00:01 PM,%RH,70.538
30/1/24 6:00:01 PM,%RH,75.08
30/1/24 8:00:01 PM,%RH,85.433
30/1/24 10:00:01 PM,%RH,92.166
31/1/24 12:00:01 AM,%RH,94.679
31/1/24 2:00:01 AM,%RH,97.15
31/1/24 4:00:01 AM,%RH,97.15
31/1/24 6:00:01 AM,%RH,97.15
31/1/24 8:00:01 AM,%RH,97.639
31/1/24 10:00:01 AM,%RH,88.576
31/1/24 12:00:01 PM,%RH,64.708
31/1/24 2:00:01 PM,%RH,60.526
31/1/24 4:00:01 PM,%RH,64.116
31/1/24 6:00:01 PM,%RH,72.254
31/1/24 8:00:01 PM,%RH,87.535
31/1/24 10:00:01 PM,%RH,93.679
1/2/24 12:00:01 AM,%RH,94.179
1/2/24 2:00:01 AM,%RH,98.612
1/2/24 4:00:01 AM,%RH,95.672
1/2/24 6:00:01 AM,%RH,95.672
1/2/24 8:00:01 AM,%RH,98.126
1/2/24 10:00:01 AM,%RH,82.768
1/2/24 12:00:01 PM,%RH,72.822
1/2/24 2:00:01 PM,%RH,75.08
1/2/24 4:00:01 PM,%RH,73.389
1/2/24 6:00:01 PM,%RH,78.965
1/2/24 8:00:01 PM,%RH,90.125
1/2/24 10:00:01 PM,%RH,95.176
2/2/24 12:00:01 AM,%RH,95.672
2/2/24 2:00:01 AM,%RH,96.659
2/2/24 4:00:01 AM,%RH,97.639
2/2/24 6:00:01 AM,%RH,98.126
2/2/24 8:00:01 AM,%RH,99.578
2/2/24 10:00:01 AM,%RH,90.637
2/2/24 12:00:01 PM,%RH,74.518
2/2/24 2:00:01 PM,%RH,67.06
2/2/24 4:00:01 PM,%RH,70.538
2/2/24 6:00:01 PM,%RH,77.31
2/2/24 8:00:01 PM,%RH,89.61
2/2/24 10:00:01 PM,%RH,94.679
3/2/24 12:00:01 AM,%RH,95.176
3/2/24 2:00:01 AM,%RH,95.672
3/2/24 4:00:01 AM,%RH,97.639
3/2/24 6:00:01 AM,%RH,98.612
3/2/24 8:00:01 AM,%RH,99.096
3/2/24 10:00:01 AM,%RH,92.672
3/2/24 12:00:01 PM,%RH,78.965
3/2/24 2:00:01 PM,%RH,74.518
3/2/24 4:00:01 PM,%RH,77.31
3/2/24 6:00:01 PM,%RH,81.69
3/2/24 8:00:01 PM,%RH,91.148
3/2/24 10:00:01 PM,%RH,94.679
4/2/24 12:00:01 AM,%RH,95.672
4/2/24 2:00:01 AM,%RH,97.639
4/2/24 4:00:01 AM,%RH,97.15
4/2/24 6:00:01 AM,%RH,97.15
4/2/24 8:00:01 AM,%RH,94.679
4/2/24 10:00:01 AM,%RH,89.61
4/2/24 12:00:01 PM,%RH,75.08
4/2/24 2:00:01 PM,%RH,66.475
4/2/24 4:00:01 PM,%RH,61.129
4/2/24 6:00:01 PM,%RH,80.605
4/2/24 8:00:01 PM,%RH,93.176
4/2/24 10:00:01 PM,%RH,95.672
5/2/24 12:00:01 AM,%RH,99.096
5/2/24 2:00:01 AM,%RH,97.639
5/2/24 4:00:01 AM,%RH,96.166
5/2/24 6:00:01 AM,%RH,95.176
5/2/24 8:00:01 AM,%RH,94.679
5/2/24 10:00:01 AM,%RH,87.535
5/2/24 12:00:01 PM,%RH,68.807
5/2/24 2:00:01 PM,%RH,56.262
5/2/24 4:00:01 PM,%RH,47.485
5/2/24 6:00:01 PM,%RH,68.226
5/2/24 8:00:01 PM,%RH,86.488
5/2/24 10:00:01 PM,%RH,92.166
6/2/24 12:00:01 AM,%RH,93.679
6/2/24 2:00:01 AM,%RH,96.166
6/2/24 4:00:01 AM,%RH,94.679
6/2/24 6:00:01 AM,%RH,95.176
6/2/24 8:00:01 AM,%RH,96.659
6/2/24 10:00:01 AM,%RH,85.961
6/2/24 12:00:01 PM,%RH,62.329
6/2/24 2:00:01 PM,%RH,48.759
6/2/24 4:00:01 PM,%RH,37.047
6/2/24 6:00:01 PM,%RH,56.262
6/2/24 8:00:01 PM,%RH,74.518
6/2/24 10:00:01 PM,%RH,87.012
7/2/24 12:00:01 AM,%RH,93.679
7/2/24 2:00:01 AM,%RH,84.904
7/2/24 4:00:01 AM,%RH,84.372
7/2/24 6:00:01 AM,%RH,88.576
7/2/24 8:00:01 AM,%RH,90.637
7/2/24 10:00:01 AM,%RH,71.111
7/2/24 12:00:01 PM,%RH,52.541
7/2/24 2:00:01 PM,%RH,38.376
7/2/24 4:00:01 PM,%RH,33.697
7/2/24 6:00:01 PM,%RH,67.644
7/2/24 8:00:01 PM,%RH,83.304
7/2/24 10:00:01 PM,%RH,90.125
8/2/24 12:00:01 AM,%RH,93.679
8/2/24 2:00:01 AM,%RH,84.372
8/2/24 4:00:01 AM,%RH,78.965
8/2/24 6:00:01 AM,%RH,77.864
8/2/24 8:00:01 AM,%RH,81.69
8/2/24 10:00:01 AM,%RH,67.644
8/2/24 12:00:01 PM,%RH,56.876
8/2/24 2:00:01 PM,%RH,56.262
8/2/24 4:00:01 PM,%RH,67.644
8/2/24 6:00:01 PM,%RH,70.538
8/2/24 8:00:01 PM,%RH,89.094
8/2/24 10:00:01 PM,%RH,92.166
9/2/24 12:00:01 AM,%RH,95.672
9/2/24 2:00:01 AM,%RH,89.094
9/2/24 4:00:01 AM,%RH,94.679
9/2/24 6:00:01 AM,%RH,96.166
9/2/24 8:00:01 AM,%RH,95.672
9/2/24 10:00:01 AM,%RH,80.06
9/2/24 12:00:01 PM,%RH,64.116
9/2/24 2:00:01 PM,%RH,53.788
9/2/24 4:00:01 PM,%RH,72.254
9/2/24 6:00:01 PM,%RH,77.864
9/2/24 8:00:01 PM,%RH,89.61
9/2/24 10:00:01 PM,%RH,93.679
10/2/24 12:00:01 AM,%RH,96.659
10/2/24 2:00:01 AM,%RH,92.672
10/2/24 4:00:01 AM,%RH,92.166
10/2/24 6:00:01 AM,%RH,88.056
10/2/24 8:00:01 AM,%RH,85.961
10/2/24 10:00:01 AM,%RH,85.433
10/2/24 12:00:01 PM,%RH,69.385
10/2/24 2:00:01 PM,%RH,53.788
10/2/24 4:00:01 PM,%RH,43.621
10/2/24 6:00:01 PM,%RH,72.254
10/2/24 8:00:01 PM,%RH,92.166
10/2/24 10:00:01 PM,%RH,94.679
11/2/24 12:00:01 AM,%RH,95.176
11/2/24 2:00:01 AM,%RH,97.639
11/2/24 4:00:01 AM,%RH,97.639
11/2/24 6:00:01 AM,%RH,96.166
11/2/24 8:00:01 AM,%RH,98.612
11/2/24 10:00:01 AM,%RH,91.658
11/2/24 12:00:01 PM,%RH,70.538
11/2/24 2:00:01 PM,%RH,53.165
11/2/24 4:00:01 PM,%RH,44.27
11/2/24 6:00:01 PM,%RH,54.409
11/2/24 8:00:01 PM,%RH,78.965
11/2/24 10:00:01 PM,%RH,89.61
12/2/24 12:00:01 AM,%RH,90.125
12/2/24 2:00:01 AM,%RH,86.488
12/2/24 4:00:01 AM,%RH,89.61
12/2/24 6:00:01 AM,%RH,91.658
12/2/24 8:00:01 AM,%RH,94.179
12/2/24 10:00:01 AM,%RH,80.06
12/2/24 12:00:01 PM,%RH,50.026
12/2/24 2:00:01 PM,%RH,35.712
12/2/24 4:00:01 PM,%RH,30.304
12/2/24 6:00:01 PM,%RH,48.123
12/2/24 8:00:01 PM,%RH,75.08
