1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C80000007D82AE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:35:01 IST 2024
Mission Sample Count:  2720
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:35:01 IST 2024
Total Mission Samples:  2720
Total Device Samples:  11521
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:35:01 PM,C,23.115
9/1/24 11:35:01 PM,C,22.114
10/1/24 1:35:01 AM,C,21.613
10/1/24 3:35:01 AM,C,21.613
10/1/24 5:35:01 AM,C,21.113
10/1/24 7:35:01 AM,C,21.113
10/1/24 9:35:01 AM,C,21.113
10/1/24 11:35:01 AM,C,22.114
10/1/24 1:35:01 PM,C,22.614
10/1/24 3:35:01 PM,C,22.614
10/1/24 5:35:01 PM,C,22.614
10/1/24 7:35:01 PM,C,22.614
10/1/24 9:35:01 PM,C,22.614
10/1/24 11:35:01 PM,C,22.114
11/1/24 1:35:01 AM,C,21.613
11/1/24 3:35:01 AM,C,21.113
11/1/24 5:35:01 AM,C,21.113
11/1/24 7:35:01 AM,C,21.113
11/1/24 9:35:01 AM,C,20.112
11/1/24 11:35:01 AM,C,23.115
11/1/24 1:35:01 PM,C,25.115
11/1/24 3:35:01 PM,C,26.115
11/1/24 5:35:01 PM,C,23.615
11/1/24 7:35:01 PM,C,19.611
11/1/24 9:35:01 PM,C,18.609
11/1/24 11:35:01 PM,C,20.112
12/1/24 1:35:01 AM,C,20.112
12/1/24 3:35:01 AM,C,19.11
12/1/24 5:35:01 AM,C,18.108
12/1/24 7:35:01 AM,C,17.607
12/1/24 9:35:01 AM,C,20.112
12/1/24 11:35:01 AM,C,23.115
12/1/24 1:35:01 PM,C,25.615
12/1/24 3:35:01 PM,C,26.615
12/1/24 5:35:01 PM,C,24.115
12/1/24 7:35:01 PM,C,19.611
12/1/24 9:35:01 PM,C,18.609
12/1/24 11:35:01 PM,C,18.108
13/1/24 1:35:01 AM,C,19.611
13/1/24 3:35:01 AM,C,18.609
13/1/24 5:35:01 AM,C,18.108
13/1/24 7:35:01 AM,C,18.108
13/1/24 9:35:01 AM,C,20.112
13/1/24 11:35:01 AM,C,23.615
13/1/24 1:35:01 PM,C,25.115
13/1/24 3:35:01 PM,C,25.615
13/1/24 5:35:01 PM,C,23.115
13/1/24 7:35:01 PM,C,20.112
13/1/24 9:35:01 PM,C,19.11
13/1/24 11:35:01 PM,C,18.108
14/1/24 1:35:01 AM,C,18.108
14/1/24 3:35:01 AM,C,19.11
14/1/24 5:35:01 AM,C,19.11
14/1/24 7:35:01 AM,C,19.11
14/1/24 9:35:01 AM,C,21.113
14/1/24 11:35:01 AM,C,24.115
14/1/24 1:35:01 PM,C,25.615
14/1/24 3:35:01 PM,C,25.615
14/1/24 5:35:01 PM,C,23.615
14/1/24 7:35:01 PM,C,20.112
14/1/24 9:35:01 PM,C,18.609
14/1/24 11:35:01 PM,C,21.613
15/1/24 1:35:01 AM,C,20.612
15/1/24 3:35:01 AM,C,17.106
15/1/24 5:35:01 AM,C,18.609
15/1/24 7:35:01 AM,C,18.108
15/1/24 9:35:01 AM,C,20.112
15/1/24 11:35:01 AM,C,23.115
15/1/24 1:35:01 PM,C,23.615
15/1/24 3:35:01 PM,C,23.615
15/1/24 5:35:01 PM,C,22.114
15/1/24 7:35:01 PM,C,19.611
15/1/24 9:35:01 PM,C,18.609
15/1/24 11:35:01 PM,C,17.607
16/1/24 1:35:01 AM,C,17.106
16/1/24 3:35:01 AM,C,16.605
16/1/24 5:35:01 AM,C,17.106
16/1/24 7:35:01 AM,C,17.106
16/1/24 9:35:01 AM,C,19.11
16/1/24 11:35:01 AM,C,22.114
16/1/24 1:35:01 PM,C,24.115
16/1/24 3:35:01 PM,C,23.115
16/1/24 5:35:01 PM,C,22.114
16/1/24 7:35:01 PM,C,19.611
16/1/24 9:35:01 PM,C,19.11
16/1/24 11:35:01 PM,C,19.11
17/1/24 1:35:01 AM,C,18.609
17/1/24 3:35:01 AM,C,18.108
17/1/24 5:35:01 AM,C,18.108
17/1/24 7:35:01 AM,C,18.609
17/1/24 9:35:01 AM,C,20.112
17/1/24 11:35:01 AM,C,22.114
17/1/24 1:35:01 PM,C,22.614
17/1/24 3:35:01 PM,C,22.614
17/1/24 5:35:01 PM,C,22.114
17/1/24 7:35:01 PM,C,19.11
17/1/24 9:35:01 PM,C,19.611
17/1/24 11:35:01 PM,C,19.611
18/1/24 1:35:01 AM,C,18.609
18/1/24 3:35:01 AM,C,18.108
18/1/24 5:35:01 AM,C,17.607
18/1/24 7:35:01 AM,C,17.607
18/1/24 9:35:01 AM,C,20.112
18/1/24 11:35:01 AM,C,22.614
18/1/24 1:35:01 PM,C,23.615
18/1/24 3:35:01 PM,C,23.115
18/1/24 5:35:01 PM,C,22.614
18/1/24 7:35:01 PM,C,20.612
18/1/24 9:35:01 PM,C,19.611
18/1/24 11:35:01 PM,C,18.609
19/1/24 1:35:01 AM,C,19.11
19/1/24 3:35:01 AM,C,19.11
19/1/24 5:35:01 AM,C,18.609
19/1/24 7:35:01 AM,C,17.607
19/1/24 9:35:01 AM,C,20.112
19/1/24 11:35:01 AM,C,22.114
19/1/24 1:35:01 PM,C,23.615
19/1/24 3:35:01 PM,C,22.114
19/1/24 5:35:01 PM,C,22.614
19/1/24 7:35:01 PM,C,20.612
19/1/24 9:35:01 PM,C,20.112
19/1/24 11:35:01 PM,C,18.108
20/1/24 1:35:01 AM,C,18.108
20/1/24 3:35:01 AM,C,18.609
20/1/24 5:35:01 AM,C,18.108
20/1/24 7:35:01 AM,C,18.609
20/1/24 9:35:01 AM,C,20.112
20/1/24 11:35:01 AM,C,23.115
20/1/24 1:35:01 PM,C,23.615
20/1/24 3:35:01 PM,C,23.115
20/1/24 5:35:01 PM,C,23.115
20/1/24 7:35:01 PM,C,20.612
20/1/24 9:35:01 PM,C,19.611
20/1/24 11:35:01 PM,C,18.609
21/1/24 1:35:01 AM,C,18.609
21/1/24 3:35:01 AM,C,19.611
21/1/24 5:35:01 AM,C,19.11
21/1/24 7:35:01 AM,C,19.11
21/1/24 9:35:01 AM,C,20.612
21/1/24 11:35:01 AM,C,23.615
21/1/24 1:35:01 PM,C,24.615
21/1/24 3:35:01 PM,C,24.615
21/1/24 5:35:01 PM,C,23.615
21/1/24 7:35:01 PM,C,20.612
21/1/24 9:35:01 PM,C,20.612
21/1/24 11:35:01 PM,C,19.611
22/1/24 1:35:01 AM,C,19.11
22/1/24 3:35:01 AM,C,18.108
22/1/24 5:35:01 AM,C,18.108
22/1/24 7:35:01 AM,C,17.607
22/1/24 9:35:01 AM,C,20.612
22/1/24 11:35:01 AM,C,23.115
22/1/24 1:35:01 PM,C,24.115
22/1/24 3:35:01 PM,C,23.615
22/1/24 5:35:01 PM,C,23.115
22/1/24 7:35:01 PM,C,20.612
22/1/24 9:35:01 PM,C,20.612
22/1/24 11:35:01 PM,C,19.11
23/1/24 1:35:01 AM,C,18.609
23/1/24 3:35:01 AM,C,18.108
23/1/24 5:35:01 AM,C,17.607
23/1/24 7:35:01 AM,C,18.609
23/1/24 9:35:01 AM,C,20.112
23/1/24 11:35:01 AM,C,23.115
23/1/24 1:35:01 PM,C,24.115
23/1/24 3:35:01 PM,C,24.115
23/1/24 5:35:01 PM,C,23.115
23/1/24 7:35:01 PM,C,20.112
23/1/24 9:35:01 PM,C,19.11
23/1/24 11:35:01 PM,C,17.607
24/1/24 1:35:01 AM,C,17.106
24/1/24 3:35:01 AM,C,16.104
24/1/24 5:35:01 AM,C,15.603
24/1/24 7:35:01 AM,C,14.6
24/1/24 9:35:01 AM,C,17.607
24/1/24 11:35:01 AM,C,22.614
24/1/24 1:35:01 PM,C,23.615
24/1/24 3:35:01 PM,C,22.614
24/1/24 5:35:01 PM,C,22.614
24/1/24 7:35:01 PM,C,19.11
24/1/24 9:35:01 PM,C,18.108
24/1/24 11:35:01 PM,C,17.106
25/1/24 1:35:01 AM,C,15.603
25/1/24 3:35:01 AM,C,14.6
25/1/24 5:35:01 AM,C,14.6
25/1/24 7:35:01 AM,C,14.6
25/1/24 9:35:01 AM,C,17.607
25/1/24 11:35:01 AM,C,21.613
25/1/24 1:35:01 PM,C,23.115
25/1/24 3:35:01 PM,C,22.614
25/1/24 5:35:01 PM,C,22.114
25/1/24 7:35:01 PM,C,19.611
25/1/24 9:35:01 PM,C,19.11
25/1/24 11:35:01 PM,C,18.108
26/1/24 1:35:01 AM,C,17.607
26/1/24 3:35:01 AM,C,17.106
26/1/24 5:35:01 AM,C,18.609
26/1/24 7:35:01 AM,C,18.609
26/1/24 9:35:01 AM,C,20.112
26/1/24 11:35:01 AM,C,23.115
26/1/24 1:35:01 PM,C,24.615
26/1/24 3:35:01 PM,C,25.115
26/1/24 5:35:01 PM,C,22.614
26/1/24 7:35:01 PM,C,20.112
26/1/24 9:35:01 PM,C,18.108
26/1/24 11:35:01 PM,C,17.106
27/1/24 1:35:01 AM,C,15.603
27/1/24 3:35:01 AM,C,15.603
27/1/24 5:35:01 AM,C,17.607
27/1/24 7:35:01 AM,C,17.106
27/1/24 9:35:01 AM,C,19.611
27/1/24 11:35:01 AM,C,22.614
27/1/24 1:35:01 PM,C,24.115
27/1/24 3:35:01 PM,C,25.115
27/1/24 5:35:01 PM,C,23.115
27/1/24 7:35:01 PM,C,18.609
27/1/24 9:35:01 PM,C,17.106
27/1/24 11:35:01 PM,C,17.106
28/1/24 1:35:01 AM,C,16.104
28/1/24 3:35:01 AM,C,18.108
28/1/24 5:35:01 AM,C,17.607
28/1/24 7:35:01 AM,C,17.607
28/1/24 9:35:01 AM,C,19.611
28/1/24 11:35:01 AM,C,22.614
28/1/24 1:35:01 PM,C,24.615
28/1/24 3:35:01 PM,C,25.615
28/1/24 5:35:01 PM,C,23.115
28/1/24 7:35:01 PM,C,19.611
28/1/24 9:35:01 PM,C,17.607
28/1/24 11:35:01 PM,C,16.605
29/1/24 1:35:01 AM,C,16.104
29/1/24 3:35:01 AM,C,16.104
29/1/24 5:35:01 AM,C,16.605
29/1/24 7:35:01 AM,C,17.106
29/1/24 9:35:01 AM,C,19.11
29/1/24 11:35:01 AM,C,21.613
29/1/24 1:35:01 PM,C,24.115
29/1/24 3:35:01 PM,C,24.615
29/1/24 5:35:01 PM,C,22.614
29/1/24 7:35:01 PM,C,19.611
29/1/24 9:35:01 PM,C,17.607
29/1/24 11:35:01 PM,C,16.104
30/1/24 1:35:01 AM,C,15.102
30/1/24 3:35:01 AM,C,17.106
30/1/24 5:35:01 AM,C,18.108
30/1/24 7:35:01 AM,C,17.106
30/1/24 9:35:01 AM,C,19.611
30/1/24 11:35:01 AM,C,22.614
30/1/24 1:35:01 PM,C,23.615
30/1/24 3:35:01 PM,C,23.615
30/1/24 5:35:01 PM,C,22.614
