1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D50000007D906241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:44:01 IST 2024
Mission Sample Count:  3237
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:44:01 IST 2024
Total Mission Samples:  3237
Total Device Samples:  12160
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:44:01 PM,%RH,82.625
14/1/24 11:44:01 PM,%RH,78.243
15/1/24 1:44:01 AM,%RH,79.348
15/1/24 3:44:01 AM,%RH,79.348
15/1/24 5:44:01 AM,%RH,79.898
15/1/24 7:44:01 AM,%RH,82.083
15/1/24 9:44:01 AM,%RH,83.166
15/1/24 11:44:01 AM,%RH,76.013
15/1/24 1:44:01 PM,%RH,71.477
15/1/24 3:44:01 PM,%RH,76.013
15/1/24 5:44:01 PM,%RH,80.994
15/1/24 7:44:01 PM,%RH,84.242
15/1/24 9:44:01 PM,%RH,89.528
15/1/24 11:44:01 PM,%RH,94.15
16/1/24 1:44:01 AM,%RH,87.433
16/1/24 3:44:01 AM,%RH,82.083
16/1/24 5:44:01 AM,%RH,86.376
16/1/24 7:44:01 AM,%RH,91.598
16/1/24 9:44:01 AM,%RH,94.655
16/1/24 11:44:01 AM,%RH,84.778
16/1/24 1:44:01 PM,%RH,76.013
16/1/24 3:44:01 PM,%RH,80.994
16/1/24 5:44:01 PM,%RH,89.528
16/1/24 7:44:01 PM,%RH,94.15
16/1/24 9:44:01 PM,%RH,97.654
16/1/24 11:44:01 PM,%RH,98.148
17/1/24 1:44:01 AM,%RH,98.641
17/1/24 3:44:01 AM,%RH,98.148
17/1/24 5:44:01 AM,%RH,99.622
17/1/24 7:44:01 AM,%RH,99.622
17/1/24 9:44:01 AM,%RH,98.148
17/1/24 11:44:01 AM,%RH,88.484
17/1/24 1:44:01 PM,%RH,86.905
17/1/24 3:44:01 PM,%RH,86.376
17/1/24 5:44:01 PM,%RH,83.166
17/1/24 7:44:01 PM,%RH,91.083
17/1/24 9:44:01 PM,%RH,97.158
17/1/24 11:44:01 PM,%RH,99.622
18/1/24 1:44:01 AM,%RH,98.641
18/1/24 3:44:01 AM,%RH,99.132
18/1/24 5:44:01 AM,%RH,98.641
18/1/24 7:44:01 AM,%RH,98.641
18/1/24 9:44:01 AM,%RH,97.654
18/1/24 11:44:01 AM,%RH,89.007
18/1/24 1:44:01 PM,%RH,84.778
18/1/24 3:44:01 PM,%RH,90.567
18/1/24 5:44:01 PM,%RH,90.048
18/1/24 7:44:01 PM,%RH,95.159
18/1/24 9:44:01 PM,%RH,98.148
18/1/24 11:44:01 PM,%RH,98.148
19/1/24 1:44:01 AM,%RH,99.132
19/1/24 3:44:01 AM,%RH,99.132
19/1/24 5:44:01 AM,%RH,100.596
19/1/24 7:44:01 AM,%RH,100.11
19/1/24 9:44:01 AM,%RH,99.622
19/1/24 11:44:01 AM,%RH,94.15
19/1/24 1:44:01 PM,%RH,90.048
19/1/24 3:44:01 PM,%RH,92.624
19/1/24 5:44:01 PM,%RH,92.624
19/1/24 7:44:01 PM,%RH,96.661
19/1/24 9:44:01 PM,%RH,98.641
19/1/24 11:44:01 PM,%RH,98.641
20/1/24 1:44:01 AM,%RH,97.654
20/1/24 3:44:01 AM,%RH,99.132
20/1/24 5:44:01 AM,%RH,98.641
20/1/24 7:44:01 AM,%RH,99.622
20/1/24 9:44:01 AM,%RH,99.622
20/1/24 11:44:01 AM,%RH,93.134
20/1/24 1:44:01 PM,%RH,90.048
20/1/24 3:44:01 PM,%RH,90.567
20/1/24 5:44:01 PM,%RH,92.112
20/1/24 7:44:01 PM,%RH,95.661
20/1/24 9:44:01 PM,%RH,98.148
20/1/24 11:44:01 PM,%RH,97.158
21/1/24 1:44:01 AM,%RH,98.641
21/1/24 3:44:01 AM,%RH,99.622
21/1/24 5:44:01 AM,%RH,100.596
21/1/24 7:44:01 AM,%RH,100.11
21/1/24 9:44:01 AM,%RH,99.622
21/1/24 11:44:01 AM,%RH,91.598
21/1/24 1:44:01 PM,%RH,78.796
21/1/24 3:44:01 PM,%RH,84.778
21/1/24 5:44:01 PM,%RH,82.625
21/1/24 7:44:01 PM,%RH,93.642
21/1/24 9:44:01 PM,%RH,98.148
21/1/24 11:44:01 PM,%RH,98.148
22/1/24 1:44:01 AM,%RH,97.158
22/1/24 3:44:01 AM,%RH,98.148
22/1/24 5:44:01 AM,%RH,100.11
22/1/24 7:44:01 AM,%RH,100.596
22/1/24 9:44:01 AM,%RH,99.132
22/1/24 11:44:01 AM,%RH,92.112
22/1/24 1:44:01 PM,%RH,84.778
22/1/24 3:44:01 PM,%RH,83.166
22/1/24 5:44:01 PM,%RH,84.242
22/1/24 7:44:01 PM,%RH,94.655
22/1/24 9:44:01 PM,%RH,98.148
22/1/24 11:44:01 PM,%RH,97.158
23/1/24 1:44:01 AM,%RH,98.148
23/1/24 3:44:01 AM,%RH,98.148
23/1/24 5:44:01 AM,%RH,99.132
23/1/24 7:44:01 AM,%RH,94.655
23/1/24 9:44:01 AM,%RH,95.159
23/1/24 11:44:01 AM,%RH,89.007
23/1/24 1:44:01 PM,%RH,82.625
23/1/24 3:44:01 PM,%RH,87.959
23/1/24 5:44:01 PM,%RH,87.433
23/1/24 7:44:01 PM,%RH,91.083
23/1/24 9:44:01 PM,%RH,92.624
23/1/24 11:44:01 PM,%RH,92.624
24/1/24 1:44:01 AM,%RH,95.661
24/1/24 3:44:01 AM,%RH,91.083
24/1/24 5:44:01 AM,%RH,89.528
24/1/24 7:44:01 AM,%RH,88.484
24/1/24 9:44:01 AM,%RH,86.905
24/1/24 11:44:01 AM,%RH,82.083
24/1/24 1:44:01 PM,%RH,79.898
24/1/24 3:44:01 PM,%RH,76.013
24/1/24 5:44:01 PM,%RH,82.625
24/1/24 7:44:01 PM,%RH,90.048
24/1/24 9:44:01 PM,%RH,92.624
24/1/24 11:44:01 PM,%RH,89.007
25/1/24 1:44:01 AM,%RH,73.19
25/1/24 3:44:01 AM,%RH,71.477
25/1/24 5:44:01 AM,%RH,77.688
25/1/24 7:44:01 AM,%RH,81.539
25/1/24 9:44:01 AM,%RH,88.484
25/1/24 11:44:01 AM,%RH,84.242
25/1/24 1:44:01 PM,%RH,82.625
25/1/24 3:44:01 PM,%RH,83.166
25/1/24 5:44:01 PM,%RH,82.083
25/1/24 7:44:01 PM,%RH,93.642
25/1/24 9:44:01 PM,%RH,97.158
25/1/24 11:44:01 PM,%RH,95.159
26/1/24 1:44:01 AM,%RH,97.654
26/1/24 3:44:01 AM,%RH,92.112
26/1/24 5:44:01 AM,%RH,93.642
26/1/24 7:44:01 AM,%RH,96.162
26/1/24 9:44:01 AM,%RH,94.15
