1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DA0000007D8DA241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:17:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:17:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  12770
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:17:01 PM,%RH,79.177
13/1/24 10:17:01 PM,%RH,81.319
14/1/24 12:17:01 AM,%RH,81.319
14/1/24 2:17:01 AM,%RH,81.85
14/1/24 4:17:01 AM,%RH,81.319
14/1/24 6:17:01 AM,%RH,82.38
14/1/24 8:17:01 AM,%RH,88.604
14/1/24 10:17:01 AM,%RH,68.059
14/1/24 12:17:01 PM,%RH,66.91
14/1/24 2:17:01 PM,%RH,58.078
14/1/24 4:17:01 PM,%RH,78.095
14/1/24 6:17:01 PM,%RH,91.125
14/1/24 8:17:01 PM,%RH,94.095
14/1/24 10:17:01 PM,%RH,96.042
15/1/24 12:17:01 AM,%RH,91.625
15/1/24 2:17:01 AM,%RH,93.112
15/1/24 4:17:01 AM,%RH,95.072
15/1/24 6:17:01 AM,%RH,95.558
15/1/24 8:17:01 AM,%RH,97.005
15/1/24 10:17:01 AM,%RH,93.605
15/1/24 12:17:01 PM,%RH,79.715
15/1/24 2:17:01 PM,%RH,72.587
15/1/24 4:17:01 PM,%RH,82.38
15/1/24 6:17:01 PM,%RH,87.071
15/1/24 8:17:01 PM,%RH,94.095
15/1/24 10:17:01 PM,%RH,96.524
16/1/24 12:17:01 AM,%RH,97.484
16/1/24 2:17:01 AM,%RH,97.961
16/1/24 4:17:01 AM,%RH,98.91
16/1/24 6:17:01 AM,%RH,98.91
16/1/24 8:17:01 AM,%RH,98.91
16/1/24 10:17:01 AM,%RH,96.042
16/1/24 12:17:01 PM,%RH,84.482
16/1/24 2:17:01 PM,%RH,82.908
16/1/24 4:17:01 PM,%RH,91.125
16/1/24 6:17:01 PM,%RH,92.618
16/1/24 8:17:01 PM,%RH,95.072
16/1/24 10:17:01 PM,%RH,97.961
17/1/24 12:17:01 AM,%RH,97.961
17/1/24 2:17:01 AM,%RH,97.961
17/1/24 4:17:01 AM,%RH,97.961
17/1/24 6:17:01 AM,%RH,98.436
17/1/24 8:17:01 AM,%RH,98.91
17/1/24 10:17:01 AM,%RH,95.558
17/1/24 12:17:01 PM,%RH,87.584
17/1/24 2:17:01 PM,%RH,86.04
17/1/24 4:17:01 PM,%RH,85.522
17/1/24 6:17:01 PM,%RH,88.604
17/1/24 8:17:01 PM,%RH,94.585
17/1/24 10:17:01 PM,%RH,97.005
18/1/24 12:17:01 AM,%RH,97.961
18/1/24 2:17:01 AM,%RH,98.436
18/1/24 4:17:01 AM,%RH,97.484
18/1/24 6:17:01 AM,%RH,98.436
18/1/24 8:17:01 AM,%RH,100.789
18/1/24 10:17:01 AM,%RH,97.484
18/1/24 12:17:01 PM,%RH,88.095
18/1/24 2:17:01 PM,%RH,86.04
18/1/24 4:17:01 PM,%RH,89.112
18/1/24 6:17:01 PM,%RH,92.618
18/1/24 8:17:01 PM,%RH,96.524
18/1/24 10:17:01 PM,%RH,97.005
19/1/24 12:17:01 AM,%RH,98.91
19/1/24 2:17:01 AM,%RH,99.853
19/1/24 4:17:01 AM,%RH,98.91
19/1/24 6:17:01 AM,%RH,99.382
19/1/24 8:17:01 AM,%RH,98.436
19/1/24 10:17:01 AM,%RH,97.484
19/1/24 12:17:01 PM,%RH,93.112
19/1/24 2:17:01 PM,%RH,89.112
19/1/24 4:17:01 PM,%RH,91.125
19/1/24 6:17:01 PM,%RH,94.095
