1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DB0000007DAA6341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:04:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:04:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  11343
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:04:01 PM,%RH,81.417
13/1/24 10:04:01 PM,%RH,81.986
14/1/24 12:04:01 AM,%RH,81.417
14/1/24 2:04:01 AM,%RH,82.553
14/1/24 4:04:01 AM,%RH,82.553
14/1/24 6:04:01 AM,%RH,83.118
14/1/24 8:04:01 AM,%RH,84.804
14/1/24 10:04:01 AM,%RH,90.854
14/1/24 12:04:01 PM,%RH,64.807
14/1/24 2:04:01 PM,%RH,66.037
14/1/24 4:04:01 PM,%RH,57.918
14/1/24 6:04:01 PM,%RH,84.243
14/1/24 8:04:01 PM,%RH,89.225
14/1/24 10:04:01 PM,%RH,81.417
15/1/24 12:04:01 AM,%RH,80.274
15/1/24 2:04:01 AM,%RH,80.274
15/1/24 4:04:01 AM,%RH,85.919
15/1/24 6:04:01 AM,%RH,89.77
15/1/24 8:04:01 AM,%RH,94.598
15/1/24 10:04:01 AM,%RH,91.394
15/1/24 12:04:01 PM,%RH,70.29
15/1/24 2:04:01 PM,%RH,66.65
15/1/24 4:04:01 PM,%RH,74.461
15/1/24 6:04:01 PM,%RH,80.274
15/1/24 8:04:01 PM,%RH,91.933
15/1/24 10:04:01 PM,%RH,95.653
16/1/24 12:04:01 AM,%RH,96.7
16/1/24 2:04:01 AM,%RH,97.222
16/1/24 4:04:01 AM,%RH,96.7
16/1/24 6:04:01 AM,%RH,93.004
16/1/24 8:04:01 AM,%RH,96.177
16/1/24 10:04:01 AM,%RH,92.469
16/1/24 12:04:01 PM,%RH,70.29
16/1/24 2:04:01 PM,%RH,75.05
16/1/24 4:04:01 PM,%RH,81.986
16/1/24 6:04:01 PM,%RH,88.129
16/1/24 8:04:01 PM,%RH,95.126
16/1/24 10:04:01 PM,%RH,96.7
17/1/24 12:04:01 AM,%RH,97.222
17/1/24 2:04:01 AM,%RH,98.259
17/1/24 4:04:01 AM,%RH,98.775
17/1/24 6:04:01 AM,%RH,99.29
17/1/24 8:04:01 AM,%RH,98.775
17/1/24 10:04:01 AM,%RH,89.77
17/1/24 12:04:01 PM,%RH,80.847
17/1/24 2:04:01 PM,%RH,77.969
17/1/24 4:04:01 PM,%RH,78.548
17/1/24 6:04:01 PM,%RH,81.986
17/1/24 8:04:01 PM,%RH,93.004
17/1/24 10:04:01 PM,%RH,96.177
18/1/24 12:04:01 AM,%RH,97.222
18/1/24 2:04:01 AM,%RH,97.222
18/1/24 4:04:01 AM,%RH,98.259
18/1/24 6:04:01 AM,%RH,98.259
18/1/24 8:04:01 AM,%RH,98.775
18/1/24 10:04:01 AM,%RH,93.537
18/1/24 12:04:01 PM,%RH,83.681
18/1/24 2:04:01 PM,%RH,84.243
18/1/24 4:04:01 PM,%RH,82.553
18/1/24 6:04:01 PM,%RH,88.678
18/1/24 8:04:01 PM,%RH,95.653
18/1/24 10:04:01 PM,%RH,97.222
19/1/24 12:04:01 AM,%RH,97.741
19/1/24 2:04:01 AM,%RH,97.741
19/1/24 4:04:01 AM,%RH,98.259
19/1/24 6:04:01 AM,%RH,99.29
19/1/24 8:04:01 AM,%RH,100.314
19/1/24 10:04:01 AM,%RH,98.775
19/1/24 12:04:01 PM,%RH,89.225
19/1/24 2:04:01 PM,%RH,84.243
19/1/24 4:04:01 PM,%RH,85.919
19/1/24 6:04:01 PM,%RH,91.394
19/1/24 8:04:01 PM,%RH,96.177
19/1/24 10:04:01 PM,%RH,97.222
20/1/24 12:04:01 AM,%RH,98.259
20/1/24 2:04:01 AM,%RH,99.29
20/1/24 4:04:01 AM,%RH,96.177
20/1/24 6:04:01 AM,%RH,98.259
20/1/24 8:04:01 AM,%RH,98.259
20/1/24 10:04:01 AM,%RH,96.177
20/1/24 12:04:01 PM,%RH,87.579
20/1/24 2:04:01 PM,%RH,80.847
20/1/24 4:04:01 PM,%RH,85.362
20/1/24 6:04:01 PM,%RH,90.854
20/1/24 8:04:01 PM,%RH,95.653
20/1/24 10:04:01 PM,%RH,97.741
21/1/24 12:04:01 AM,%RH,98.259
21/1/24 2:04:01 AM,%RH,98.259
21/1/24 4:04:01 AM,%RH,99.29
21/1/24 6:04:01 AM,%RH,99.29
21/1/24 8:04:01 AM,%RH,100.314
21/1/24 10:04:01 AM,%RH,97.222
21/1/24 12:04:01 PM,%RH,84.804
21/1/24 2:04:01 PM,%RH,71.49
21/1/24 4:04:01 PM,%RH,79.701
21/1/24 6:04:01 PM,%RH,83.118
21/1/24 8:04:01 PM,%RH,94.069
21/1/24 10:04:01 PM,%RH,96.7
22/1/24 12:04:01 AM,%RH,97.222
22/1/24 2:04:01 AM,%RH,97.222
22/1/24 4:04:01 AM,%RH,98.259
22/1/24 6:04:01 AM,%RH,99.29
22/1/24 8:04:01 AM,%RH,99.29
22/1/24 10:04:01 AM,%RH,97.741
22/1/24 12:04:01 PM,%RH,80.847
22/1/24 2:04:01 PM,%RH,77.969
22/1/24 4:04:01 PM,%RH,77.389
22/1/24 6:04:01 PM,%RH,83.118
22/1/24 8:04:01 PM,%RH,93.004
22/1/24 10:04:01 PM,%RH,97.222
23/1/24 12:04:01 AM,%RH,97.741
23/1/24 2:04:01 AM,%RH,98.775
23/1/24 4:04:01 AM,%RH,97.741
23/1/24 6:04:01 AM,%RH,96.7
23/1/24 8:04:01 AM,%RH,97.222
23/1/24 10:04:01 AM,%RH,91.933
23/1/24 12:04:01 PM,%RH,84.243
23/1/24 2:04:01 PM,%RH,80.847
23/1/24 4:04:01 PM,%RH,81.986
23/1/24 6:04:01 PM,%RH,84.804
23/1/24 8:04:01 PM,%RH,89.225
23/1/24 10:04:01 PM,%RH,96.7
24/1/24 12:04:01 AM,%RH,97.222
24/1/24 2:04:01 AM,%RH,98.775
24/1/24 4:04:01 AM,%RH,98.259
24/1/24 6:04:01 AM,%RH,98.259
24/1/24 8:04:01 AM,%RH,98.259
24/1/24 10:04:01 AM,%RH,77.389
24/1/24 12:04:01 PM,%RH,75.05
24/1/24 2:04:01 PM,%RH,67.87
24/1/24 4:04:01 PM,%RH,71.49
24/1/24 6:04:01 PM,%RH,78.548
24/1/24 8:04:01 PM,%RH,89.225
24/1/24 10:04:01 PM,%RH,94.598
25/1/24 12:04:01 AM,%RH,98.775
25/1/24 2:04:01 AM,%RH,96.7
25/1/24 4:04:01 AM,%RH,93.537
25/1/24 6:04:01 AM,%RH,96.7
25/1/24 8:04:01 AM,%RH,97.741
25/1/24 10:04:01 AM,%RH,84.243
25/1/24 12:04:01 PM,%RH,77.389
25/1/24 2:04:01 PM,%RH,75.637
25/1/24 4:04:01 PM,%RH,76.806
25/1/24 6:04:01 PM,%RH,82.553
25/1/24 8:04:01 PM,%RH,96.7
25/1/24 10:04:01 PM,%RH,97.222
26/1/24 12:04:01 AM,%RH,97.222
26/1/24 2:04:01 AM,%RH,98.259
26/1/24 4:04:01 AM,%RH,95.126
26/1/24 6:04:01 AM,%RH,96.177
26/1/24 8:04:01 AM,%RH,97.222
26/1/24 10:04:01 AM,%RH,89.225
26/1/24 12:04:01 PM,%RH,81.417
26/1/24 2:04:01 PM,%RH,69.688
26/1/24 4:04:01 PM,%RH,57.918
26/1/24 6:04:01 PM,%RH,74.461
26/1/24 8:04:01 PM,%RH,92.469
26/1/24 10:04:01 PM,%RH,95.653
27/1/24 12:04:01 AM,%RH,91.933
27/1/24 2:04:01 AM,%RH,68.478
27/1/24 4:04:01 AM,%RH,82.553
27/1/24 6:04:01 AM,%RH,88.678
27/1/24 8:04:01 AM,%RH,94.598
27/1/24 10:04:01 AM,%RH,88.129
27/1/24 12:04:01 PM,%RH,72.683
27/1/24 2:04:01 PM,%RH,58.553
