1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DD0000007DA7E341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:46:01 IST 2024
Mission Sample Count:  3943
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:46:01 IST 2024
Total Mission Samples:  3943
Total Device Samples:  13480
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:46:01 PM,%RH,85.136
14/1/24 11:46:01 PM,%RH,80.816
15/1/24 1:46:01 AM,%RH,81.362
15/1/24 3:46:01 AM,%RH,80.816
15/1/24 5:46:01 AM,%RH,80.816
15/1/24 7:46:01 AM,%RH,83.529
15/1/24 9:46:01 AM,%RH,84.602
15/1/24 11:46:01 AM,%RH,65.394
15/1/24 1:46:01 PM,%RH,59.964
15/1/24 3:46:01 PM,%RH,74.69
15/1/24 5:46:01 PM,%RH,84.067
15/1/24 7:46:01 PM,%RH,88.822
15/1/24 9:46:01 PM,%RH,91.912
15/1/24 11:46:01 PM,%RH,94.438
16/1/24 1:46:01 AM,%RH,93.936
16/1/24 3:46:01 AM,%RH,89.859
16/1/24 5:46:01 AM,%RH,91.401
16/1/24 7:46:01 AM,%RH,94.438
16/1/24 9:46:01 AM,%RH,90.375
16/1/24 11:46:01 AM,%RH,72.409
16/1/24 1:46:01 PM,%RH,59.351
16/1/24 3:46:01 PM,%RH,79.718
16/1/24 5:46:01 PM,%RH,90.375
16/1/24 7:46:01 PM,%RH,94.938
16/1/24 9:46:01 PM,%RH,93.936
16/1/24 11:46:01 PM,%RH,93.433
17/1/24 1:46:01 AM,%RH,92.421
17/1/24 3:46:01 AM,%RH,93.433
17/1/24 5:46:01 AM,%RH,90.889
17/1/24 7:46:01 AM,%RH,90.375
17/1/24 9:46:01 AM,%RH,87.778
17/1/24 11:46:01 AM,%RH,81.907
17/1/24 1:46:01 PM,%RH,81.907
17/1/24 3:46:01 PM,%RH,75.82
17/1/24 5:46:01 PM,%RH,85.668
17/1/24 7:46:01 PM,%RH,91.401
17/1/24 9:46:01 PM,%RH,94.438
17/1/24 11:46:01 PM,%RH,92.421
18/1/24 1:46:01 AM,%RH,91.912
18/1/24 3:46:01 AM,%RH,90.375
18/1/24 5:46:01 AM,%RH,93.433
18/1/24 7:46:01 AM,%RH,90.889
18/1/24 9:46:01 AM,%RH,92.928
18/1/24 11:46:01 AM,%RH,71.834
18/1/24 1:46:01 PM,%RH,77.501
18/1/24 3:46:01 PM,%RH,87.253
18/1/24 5:46:01 PM,%RH,91.912
18/1/24 7:46:01 PM,%RH,93.936
18/1/24 9:46:01 PM,%RH,91.401
18/1/24 11:46:01 PM,%RH,88.301
19/1/24 1:46:01 AM,%RH,88.822
19/1/24 3:46:01 AM,%RH,90.375
19/1/24 5:46:01 AM,%RH,86.198
19/1/24 7:46:01 AM,%RH,85.136
19/1/24 9:46:01 AM,%RH,93.936
19/1/24 11:46:01 AM,%RH,78.058
19/1/24 1:46:01 PM,%RH,80.816
19/1/24 3:46:01 PM,%RH,91.401
19/1/24 5:46:01 PM,%RH,93.433
19/1/24 7:46:01 PM,%RH,93.433
19/1/24 9:46:01 PM,%RH,89.342
19/1/24 11:46:01 PM,%RH,92.421
20/1/24 1:46:01 AM,%RH,86.198
20/1/24 3:46:01 AM,%RH,91.912
20/1/24 5:46:01 AM,%RH,93.433
20/1/24 7:46:01 AM,%RH,94.438
20/1/24 9:46:01 AM,%RH,90.889
20/1/24 11:46:01 AM,%RH,79.167
20/1/24 1:46:01 PM,%RH,83.529
20/1/24 3:46:01 PM,%RH,87.253
20/1/24 5:46:01 PM,%RH,91.912
20/1/24 7:46:01 PM,%RH,94.938
20/1/24 9:46:01 PM,%RH,93.936
20/1/24 11:46:01 PM,%RH,91.912
21/1/24 1:46:01 AM,%RH,82.99
21/1/24 3:46:01 AM,%RH,81.907
21/1/24 5:46:01 AM,%RH,81.907
21/1/24 7:46:01 AM,%RH,84.602
21/1/24 9:46:01 AM,%RH,91.401
21/1/24 11:46:01 AM,%RH,73.553
21/1/24 1:46:01 PM,%RH,68.348
21/1/24 3:46:01 PM,%RH,79.167
21/1/24 5:46:01 PM,%RH,87.253
21/1/24 7:46:01 PM,%RH,94.438
21/1/24 9:46:01 PM,%RH,91.401
21/1/24 11:46:01 PM,%RH,91.912
22/1/24 1:46:01 AM,%RH,88.822
22/1/24 3:46:01 AM,%RH,92.928
22/1/24 5:46:01 AM,%RH,83.529
22/1/24 7:46:01 AM,%RH,82.99
22/1/24 9:46:01 AM,%RH,92.928
22/1/24 11:46:01 AM,%RH,74.69
22/1/24 1:46:01 PM,%RH,70.679
22/1/24 3:46:01 PM,%RH,85.136
22/1/24 5:46:01 PM,%RH,90.375
22/1/24 7:46:01 PM,%RH,94.938
22/1/24 9:46:01 PM,%RH,92.421
22/1/24 11:46:01 PM,%RH,95.436
23/1/24 1:46:01 AM,%RH,94.438
23/1/24 3:46:01 AM,%RH,95.436
23/1/24 5:46:01 AM,%RH,89.859
23/1/24 7:46:01 AM,%RH,91.401
23/1/24 9:46:01 AM,%RH,89.859
23/1/24 11:46:01 AM,%RH,74.122
23/1/24 1:46:01 PM,%RH,79.167
23/1/24 3:46:01 PM,%RH,85.668
23/1/24 5:46:01 PM,%RH,91.912
23/1/24 7:46:01 PM,%RH,93.936
23/1/24 9:46:01 PM,%RH,93.936
23/1/24 11:46:01 PM,%RH,94.938
24/1/24 1:46:01 AM,%RH,96.426
24/1/24 3:46:01 AM,%RH,91.912
24/1/24 5:46:01 AM,%RH,91.912
24/1/24 7:46:01 AM,%RH,89.859
24/1/24 9:46:01 AM,%RH,81.362
24/1/24 11:46:01 AM,%RH,67.761
24/1/24 1:46:01 PM,%RH,65.394
