1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DF0000007D8F3341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:28:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:28:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  13617
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:28:01 PM,C,23.064
9/1/24 11:28:01 PM,C,22.063
10/1/24 1:28:01 AM,C,21.563
10/1/24 3:28:01 AM,C,21.063
10/1/24 5:28:01 AM,C,21.063
10/1/24 7:28:01 AM,C,21.063
10/1/24 9:28:01 AM,C,21.063
10/1/24 11:28:01 AM,C,21.563
10/1/24 1:28:01 PM,C,22.063
10/1/24 3:28:01 PM,C,22.564
10/1/24 5:28:01 PM,C,22.564
10/1/24 7:28:01 PM,C,22.564
10/1/24 9:28:01 PM,C,22.063
10/1/24 11:28:01 PM,C,22.063
11/1/24 1:28:01 AM,C,21.563
11/1/24 3:28:01 AM,C,21.063
11/1/24 5:28:01 AM,C,21.063
11/1/24 7:28:01 AM,C,21.063
11/1/24 9:28:01 AM,C,20.562
11/1/24 11:28:01 AM,C,33.06
11/1/24 1:28:01 PM,C,23.064
11/1/24 3:28:01 PM,C,24.064
11/1/24 5:28:01 PM,C,23.564
11/1/24 7:28:01 PM,C,21.063
11/1/24 9:28:01 PM,C,20.062
11/1/24 11:28:01 PM,C,19.061
12/1/24 1:28:01 AM,C,18.56
12/1/24 3:28:01 AM,C,18.06
12/1/24 5:28:01 AM,C,17.559
12/1/24 7:28:01 AM,C,17.059
12/1/24 9:28:01 AM,C,18.06
12/1/24 11:28:01 AM,C,21.063
12/1/24 1:28:01 PM,C,22.564
12/1/24 3:28:01 PM,C,24.564
12/1/24 5:28:01 PM,C,23.064
12/1/24 7:28:01 PM,C,20.562
12/1/24 9:28:01 PM,C,19.562
12/1/24 11:28:01 PM,C,18.56
13/1/24 1:28:01 AM,C,17.559
13/1/24 3:28:01 AM,C,17.059
13/1/24 5:28:01 AM,C,17.059
13/1/24 7:28:01 AM,C,17.059
13/1/24 9:28:01 AM,C,18.56
13/1/24 11:28:01 AM,C,21.063
13/1/24 1:28:01 PM,C,23.064
13/1/24 3:28:01 PM,C,24.064
13/1/24 5:28:01 PM,C,23.064
13/1/24 7:28:01 PM,C,20.562
13/1/24 9:28:01 PM,C,20.062
13/1/24 11:28:01 PM,C,19.061
14/1/24 1:28:01 AM,C,19.061
14/1/24 3:28:01 AM,C,18.56
14/1/24 5:28:01 AM,C,18.06
14/1/24 7:28:01 AM,C,18.06
14/1/24 9:28:01 AM,C,19.061
14/1/24 11:28:01 AM,C,21.563
14/1/24 1:28:01 PM,C,24.064
14/1/24 3:28:01 PM,C,24.564
14/1/24 5:28:01 PM,C,23.564
14/1/24 7:28:01 PM,C,20.562
14/1/24 9:28:01 PM,C,19.562
14/1/24 11:28:01 PM,C,21.063
15/1/24 1:28:01 AM,C,20.562
15/1/24 3:28:01 AM,C,18.56
15/1/24 5:28:01 AM,C,18.06
15/1/24 7:28:01 AM,C,17.059
15/1/24 9:28:01 AM,C,18.56
15/1/24 11:28:01 AM,C,21.063
15/1/24 1:28:01 PM,C,23.064
15/1/24 3:28:01 PM,C,24.064
15/1/24 5:28:01 PM,C,22.564
15/1/24 7:28:01 PM,C,20.562
15/1/24 9:28:01 PM,C,20.062
15/1/24 11:28:01 PM,C,18.06
16/1/24 1:28:01 AM,C,19.061
16/1/24 3:28:01 AM,C,18.06
16/1/24 5:28:01 AM,C,18.06
16/1/24 7:28:01 AM,C,16.558
16/1/24 9:28:01 AM,C,17.559
16/1/24 11:28:01 AM,C,21.063
16/1/24 1:28:01 PM,C,22.564
16/1/24 3:28:01 PM,C,23.064
16/1/24 5:28:01 PM,C,22.063
16/1/24 7:28:01 PM,C,20.562
16/1/24 9:28:01 PM,C,19.562
16/1/24 11:28:01 PM,C,19.061
17/1/24 1:28:01 AM,C,19.562
17/1/24 3:28:01 AM,C,19.562
17/1/24 5:28:01 AM,C,19.061
17/1/24 7:28:01 AM,C,18.56
17/1/24 9:28:01 AM,C,19.562
17/1/24 11:28:01 AM,C,21.063
17/1/24 1:28:01 PM,C,22.564
17/1/24 3:28:01 PM,C,23.064
17/1/24 5:28:01 PM,C,22.063
17/1/24 7:28:01 PM,C,20.562
17/1/24 9:28:01 PM,C,20.562
17/1/24 11:28:01 PM,C,20.062
18/1/24 1:28:01 AM,C,19.562
18/1/24 3:28:01 AM,C,19.061
18/1/24 5:28:01 AM,C,18.56
18/1/24 7:28:01 AM,C,18.06
18/1/24 9:28:01 AM,C,19.562
18/1/24 11:28:01 AM,C,21.063
18/1/24 1:28:01 PM,C,22.564
18/1/24 3:28:01 PM,C,23.564
18/1/24 5:28:01 PM,C,22.564
18/1/24 7:28:01 PM,C,21.063
18/1/24 9:28:01 PM,C,20.062
18/1/24 11:28:01 PM,C,19.562
19/1/24 1:28:01 AM,C,19.061
19/1/24 3:28:01 AM,C,19.562
19/1/24 5:28:01 AM,C,18.56
19/1/24 7:28:01 AM,C,18.06
19/1/24 9:28:01 AM,C,19.061
19/1/24 11:28:01 AM,C,21.563
19/1/24 1:28:01 PM,C,23.564
19/1/24 3:28:01 PM,C,23.564
19/1/24 5:28:01 PM,C,22.564
19/1/24 7:28:01 PM,C,21.063
19/1/24 9:28:01 PM,C,20.562
19/1/24 11:28:01 PM,C,19.061
20/1/24 1:28:01 AM,C,19.061
20/1/24 3:28:01 AM,C,19.061
20/1/24 5:28:01 AM,C,18.06
20/1/24 7:28:01 AM,C,17.559
20/1/24 9:28:01 AM,C,19.061
20/1/24 11:28:01 AM,C,21.563
20/1/24 1:28:01 PM,C,23.064
20/1/24 3:28:01 PM,C,23.564
20/1/24 5:28:01 PM,C,23.064
20/1/24 7:28:01 PM,C,21.563
20/1/24 9:28:01 PM,C,20.062
20/1/24 11:28:01 PM,C,19.061
21/1/24 1:28:01 AM,C,20.062
21/1/24 3:28:01 AM,C,18.56
21/1/24 5:28:01 AM,C,19.061
21/1/24 7:28:01 AM,C,18.56
21/1/24 9:28:01 AM,C,19.061
21/1/24 11:28:01 AM,C,21.563
21/1/24 1:28:01 PM,C,23.564
21/1/24 3:28:01 PM,C,24.564
21/1/24 5:28:01 PM,C,24.064
21/1/24 7:28:01 PM,C,22.063
21/1/24 9:28:01 PM,C,21.563
21/1/24 11:28:01 PM,C,20.062
22/1/24 1:28:01 AM,C,19.562
22/1/24 3:28:01 AM,C,19.061
22/1/24 5:28:01 AM,C,18.56
22/1/24 7:28:01 AM,C,18.06
22/1/24 9:28:01 AM,C,19.562
22/1/24 11:28:01 AM,C,22.063
22/1/24 1:28:01 PM,C,23.064
22/1/24 3:28:01 PM,C,24.064
22/1/24 5:28:01 PM,C,23.564
22/1/24 7:28:01 PM,C,22.063
22/1/24 9:28:01 PM,C,21.563
22/1/24 11:28:01 PM,C,20.062
23/1/24 1:28:01 AM,C,19.061
23/1/24 3:28:01 AM,C,19.562
23/1/24 5:28:01 AM,C,18.06
23/1/24 7:28:01 AM,C,18.56
23/1/24 9:28:01 AM,C,19.562
23/1/24 11:28:01 AM,C,22.063
23/1/24 1:28:01 PM,C,23.564
23/1/24 3:28:01 PM,C,23.564
23/1/24 5:28:01 PM,C,23.064
23/1/24 7:28:01 PM,C,21.063
23/1/24 9:28:01 PM,C,20.062
23/1/24 11:28:01 PM,C,18.56
24/1/24 1:28:01 AM,C,17.559
24/1/24 3:28:01 AM,C,16.558
24/1/24 5:28:01 AM,C,16.057
24/1/24 7:28:01 AM,C,16.057
24/1/24 9:28:01 AM,C,18.06
24/1/24 11:28:01 AM,C,21.063
24/1/24 1:28:01 PM,C,22.564
24/1/24 3:28:01 PM,C,22.564
24/1/24 5:28:01 PM,C,22.063
24/1/24 7:28:01 PM,C,20.562
24/1/24 9:28:01 PM,C,19.061
24/1/24 11:28:01 PM,C,18.56
25/1/24 1:28:01 AM,C,17.559
25/1/24 3:28:01 AM,C,17.559
25/1/24 5:28:01 AM,C,18.06
25/1/24 7:28:01 AM,C,15.556
25/1/24 9:28:01 AM,C,18.56
25/1/24 11:28:01 AM,C,21.563
25/1/24 1:28:01 PM,C,22.564
25/1/24 3:28:01 PM,C,23.064
25/1/24 5:28:01 PM,C,22.063
25/1/24 7:28:01 PM,C,20.062
25/1/24 9:28:01 PM,C,19.061
25/1/24 11:28:01 PM,C,19.061
26/1/24 1:28:01 AM,C,17.559
26/1/24 3:28:01 AM,C,18.56
26/1/24 5:28:01 AM,C,18.06
26/1/24 7:28:01 AM,C,17.059
26/1/24 9:28:01 AM,C,19.061
26/1/24 11:28:01 AM,C,21.063
26/1/24 1:28:01 PM,C,23.064
26/1/24 3:28:01 PM,C,23.564
26/1/24 5:28:01 PM,C,23.564
26/1/24 7:28:01 PM,C,20.562
26/1/24 9:28:01 PM,C,19.061
26/1/24 11:28:01 PM,C,17.559
27/1/24 1:28:01 AM,C,18.56
27/1/24 3:28:01 AM,C,17.559
27/1/24 5:28:01 AM,C,17.059
27/1/24 7:28:01 AM,C,16.057
27/1/24 9:28:01 AM,C,18.06
27/1/24 11:28:01 AM,C,20.562
27/1/24 1:28:01 PM,C,22.564
27/1/24 3:28:01 PM,C,24.064
27/1/24 5:28:01 PM,C,23.564
27/1/24 7:28:01 PM,C,21.063
27/1/24 9:28:01 PM,C,19.061
27/1/24 11:28:01 PM,C,19.061
28/1/24 1:28:01 AM,C,18.06
28/1/24 3:28:01 AM,C,17.059
28/1/24 5:28:01 AM,C,16.558
28/1/24 7:28:01 AM,C,16.057
28/1/24 9:28:01 AM,C,18.06
28/1/24 11:28:01 AM,C,20.562
28/1/24 1:28:01 PM,C,22.564
28/1/24 3:28:01 PM,C,23.564
28/1/24 5:28:01 PM,C,23.064
28/1/24 7:28:01 PM,C,20.562
28/1/24 9:28:01 PM,C,18.56
28/1/24 11:28:01 PM,C,17.559
29/1/24 1:28:01 AM,C,17.059
29/1/24 3:28:01 AM,C,17.559
29/1/24 5:28:01 AM,C,17.559
29/1/24 7:28:01 AM,C,17.059
29/1/24 9:28:01 AM,C,18.06
29/1/24 11:28:01 AM,C,20.062
29/1/24 1:28:01 PM,C,22.564
29/1/24 3:28:01 PM,C,24.064
29/1/24 5:28:01 PM,C,23.064
29/1/24 7:28:01 PM,C,20.562
29/1/24 9:28:01 PM,C,18.56
29/1/24 11:28:01 PM,C,17.559
30/1/24 1:28:01 AM,C,18.06
30/1/24 3:28:01 AM,C,18.06
30/1/24 5:28:01 AM,C,17.059
30/1/24 7:28:01 AM,C,16.558
30/1/24 9:28:01 AM,C,18.06
30/1/24 11:28:01 AM,C,21.063
30/1/24 1:28:01 PM,C,23.064
30/1/24 3:28:01 PM,C,23.564
30/1/24 5:28:01 PM,C,23.064
