1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DF0000007D8F3341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:28:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:28:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  13617
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:28:01 PM,%RH,85.869
9/1/24 11:28:01 PM,%RH,85.869
10/1/24 1:28:01 AM,%RH,85.869
10/1/24 3:28:01 AM,%RH,85.33
10/1/24 5:28:01 AM,%RH,85.33
10/1/24 7:28:01 AM,%RH,84.789
10/1/24 9:28:01 AM,%RH,85.33
10/1/24 11:28:01 AM,%RH,81.518
10/1/24 1:28:01 PM,%RH,80.968
10/1/24 3:28:01 PM,%RH,80.416
10/1/24 5:28:01 PM,%RH,81.518
10/1/24 7:28:01 PM,%RH,81.518
10/1/24 9:28:01 PM,%RH,79.863
10/1/24 11:28:01 PM,%RH,76.514
11/1/24 1:28:01 AM,%RH,77.076
11/1/24 3:28:01 AM,%RH,77.076
11/1/24 5:28:01 AM,%RH,77.636
11/1/24 7:28:01 AM,%RH,77.636
11/1/24 9:28:01 AM,%RH,82.067
11/1/24 11:28:01 AM,%RH,39.553
11/1/24 1:28:01 PM,%RH,67.333
11/1/24 3:28:01 PM,%RH,64.981
11/1/24 5:28:01 PM,%RH,66.16
11/1/24 7:28:01 PM,%RH,77.076
11/1/24 9:28:01 PM,%RH,79.308
11/1/24 11:28:01 PM,%RH,83.16
12/1/24 1:28:01 AM,%RH,84.789
12/1/24 3:28:01 AM,%RH,90.654
12/1/24 5:28:01 AM,%RH,92.223
12/1/24 7:28:01 AM,%RH,93.78
12/1/24 9:28:01 AM,%RH,88.541
12/1/24 11:28:01 AM,%RH,77.636
12/1/24 1:28:01 PM,%RH,66.748
12/1/24 3:28:01 PM,%RH,63.796
12/1/24 5:28:01 PM,%RH,71.97
12/1/24 7:28:01 PM,%RH,77.076
12/1/24 9:28:01 PM,%RH,80.416
12/1/24 11:28:01 PM,%RH,85.869
13/1/24 1:28:01 AM,%RH,89.072
13/1/24 3:28:01 AM,%RH,94.296
13/1/24 5:28:01 AM,%RH,96.854
13/1/24 7:28:01 AM,%RH,96.854
13/1/24 9:28:01 AM,%RH,94.296
13/1/24 11:28:01 AM,%RH,80.416
13/1/24 1:28:01 PM,%RH,66.748
13/1/24 3:28:01 PM,%RH,67.333
13/1/24 5:28:01 PM,%RH,83.16
13/1/24 7:28:01 PM,%RH,89.6
13/1/24 9:28:01 PM,%RH,94.81
13/1/24 11:28:01 PM,%RH,94.81
14/1/24 1:28:01 AM,%RH,93.262
14/1/24 3:28:01 AM,%RH,90.128
14/1/24 5:28:01 AM,%RH,93.78
14/1/24 7:28:01 AM,%RH,93.262
14/1/24 9:28:01 AM,%RH,94.81
14/1/24 11:28:01 AM,%RH,79.863
14/1/24 1:28:01 PM,%RH,62.606
14/1/24 3:28:01 PM,%RH,63.796
14/1/24 5:28:01 PM,%RH,84.248
14/1/24 7:28:01 PM,%RH,86.406
14/1/24 9:28:01 PM,%RH,82.067
14/1/24 11:28:01 PM,%RH,75.951
15/1/24 1:28:01 AM,%RH,77.076
15/1/24 3:28:01 AM,%RH,83.705
15/1/24 5:28:01 AM,%RH,87.476
15/1/24 7:28:01 AM,%RH,94.81
15/1/24 9:28:01 AM,%RH,94.296
15/1/24 11:28:01 AM,%RH,82.067
