1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F40000007D8FC041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:08:01 IST 2024
Mission Sample Count:  3250
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:08:01 IST 2024
Total Mission Samples:  3250
Total Device Samples:  11956
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:08:01 PM,%RH,80.594
13/1/24 10:08:01 PM,%RH,80.043
14/1/24 12:08:01 AM,%RH,80.043
14/1/24 2:08:01 AM,%RH,78.937
14/1/24 4:08:01 AM,%RH,81.143
14/1/24 6:08:01 AM,%RH,80.594
14/1/24 8:08:01 AM,%RH,88.142
14/1/24 10:08:01 AM,%RH,68.124
14/1/24 12:08:01 PM,%RH,78.382
14/1/24 2:08:01 PM,%RH,57.369
14/1/24 4:08:01 PM,%RH,59.196
14/1/24 6:08:01 PM,%RH,86.55
14/1/24 8:08:01 PM,%RH,90.244
14/1/24 10:08:01 PM,%RH,91.803
15/1/24 12:08:01 AM,%RH,88.67
15/1/24 2:08:01 AM,%RH,87.613
15/1/24 4:08:01 AM,%RH,93.349
15/1/24 6:08:01 AM,%RH,95.389
15/1/24 8:08:01 AM,%RH,90.765
15/1/24 10:08:01 AM,%RH,80.043
15/1/24 12:08:01 PM,%RH,62.211
15/1/24 2:08:01 PM,%RH,62.211
15/1/24 4:08:01 PM,%RH,81.691
15/1/24 6:08:01 PM,%RH,87.613
15/1/24 8:08:01 PM,%RH,93.349
15/1/24 10:08:01 PM,%RH,96.4
16/1/24 12:08:01 AM,%RH,96.903
16/1/24 2:08:01 AM,%RH,97.905
16/1/24 4:08:01 AM,%RH,98.403
16/1/24 6:08:01 AM,%RH,94.372
16/1/24 8:08:01 AM,%RH,89.196
16/1/24 10:08:01 AM,%RH,85.481
16/1/24 12:08:01 PM,%RH,75.018
16/1/24 2:08:01 PM,%RH,73.885
16/1/24 4:08:01 PM,%RH,87.082
16/1/24 6:08:01 PM,%RH,91.803
16/1/24 8:08:01 PM,%RH,95.389
16/1/24 10:08:01 PM,%RH,97.905
17/1/24 12:08:01 AM,%RH,98.403
17/1/24 2:08:01 AM,%RH,98.9
17/1/24 4:08:01 AM,%RH,99.889
17/1/24 6:08:01 AM,%RH,99.395
17/1/24 8:08:01 AM,%RH,98.9
17/1/24 10:08:01 AM,%RH,82.237
17/1/24 12:08:01 PM,%RH,80.043
17/1/24 2:08:01 PM,%RH,84.406
17/1/24 4:08:01 PM,%RH,82.781
17/1/24 6:08:01 PM,%RH,87.613
17/1/24 8:08:01 PM,%RH,94.372
17/1/24 10:08:01 PM,%RH,97.905
18/1/24 12:08:01 AM,%RH,99.395
18/1/24 2:08:01 AM,%RH,98.9
18/1/24 4:08:01 AM,%RH,99.395
18/1/24 6:08:01 AM,%RH,99.395
18/1/24 8:08:01 AM,%RH,100.872
18/1/24 10:08:01 AM,%RH,88.67
18/1/24 12:08:01 PM,%RH,80.043
18/1/24 2:08:01 PM,%RH,84.406
18/1/24 4:08:01 PM,%RH,88.142
18/1/24 6:08:01 PM,%RH,92.32
18/1/24 8:08:01 PM,%RH,96.903
18/1/24 10:08:01 PM,%RH,98.403
19/1/24 12:08:01 AM,%RH,98.9
19/1/24 2:08:01 AM,%RH,99.395
19/1/24 4:08:01 AM,%RH,100.381
19/1/24 6:08:01 AM,%RH,99.395
19/1/24 8:08:01 AM,%RH,99.889
19/1/24 10:08:01 AM,%RH,91.285
19/1/24 12:08:01 PM,%RH,84.944
19/1/24 2:08:01 PM,%RH,83.866
19/1/24 4:08:01 PM,%RH,90.244
19/1/24 6:08:01 PM,%RH,94.372
19/1/24 8:08:01 PM,%RH,97.905
19/1/24 10:08:01 PM,%RH,99.395
20/1/24 12:08:01 AM,%RH,98.9
20/1/24 2:08:01 AM,%RH,101.849
20/1/24 4:08:01 AM,%RH,98.403
20/1/24 6:08:01 AM,%RH,99.889
20/1/24 8:08:01 AM,%RH,96.4
20/1/24 10:08:01 AM,%RH,89.721
20/1/24 12:08:01 PM,%RH,77.267
