"Device Name","D2 - 2815676"
"Device Model","Kestrel DROP 2"
"Serial Number","2815676"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2000-01-01 12:10:00 am","75.3","18.5","70.9","29.6","point"
"2023-02-06 03:40:00 pm","73.6","50.8","72.7","54.2","point"
"2023-02-06 03:50:00 pm","73.3","50.9","72.3","54.1","point"
"2023-02-06 04:00:00 pm","73.0","51.2","72.0","53.9","point"
"2023-02-06 04:10:00 pm","73.1","51.3","72.1","54.1","point"
"2023-02-06 04:20:00 pm","73.1","51.4","72.1","54.1","point"
"2023-02-06 04:30:00 pm","72.9","51.3","72.0","53.9","point"
"2023-02-06 04:40:00 pm","73.0","51.4","72.0","54.1","point"
"2023-02-06 04:50:00 pm","73.1","51.3","72.1","54.1","point"
"2023-02-06 05:00:00 pm","73.1","51.2","72.1","54.0","point"
"2023-02-06 05:10:00 pm","73.1","51.4","72.1","54.1","point"
"2023-02-06 05:20:00 pm","73.2","51.2","72.3","54.1","point"
"2023-02-06 05:30:00 pm","73.2","51.0","72.3","54.0","point"
"2023-02-06 05:40:00 pm","73.2","50.6","72.3","53.8","point"
"2023-02-06 05:50:00 pm","73.3","50.6","72.3","53.9","point"
"2023-02-06 06:00:00 pm","73.3","50.7","72.3","53.9","point"
"2023-02-06 06:10:00 pm","73.2","51.2","72.3","54.1","point"
"2023-02-06 06:20:00 pm","73.3","51.4","72.3","54.3","point"
"2023-02-06 06:30:00 pm","73.1","51.2","72.1","54.0","point"
"2023-02-06 06:40:00 pm","72.8","51.5","71.8","53.9","point"
"2023-02-06 06:50:00 pm","72.7","51.7","72.0","53.9","point"
"2023-02-06 07:00:00 pm","72.6","51.9","71.8","53.9","point"
"2023-02-06 07:10:00 pm","72.5","52.1","71.6","53.9","point"
"2023-02-06 07:20:00 pm","72.3","52.3","71.6","53.9","point"
"2023-02-06 07:30:00 pm","72.3","52.4","71.4","53.9","point"
"2023-02-06 07:40:00 pm","72.3","52.5","71.4","53.9","point"
"2023-02-06 07:50:00 pm","72.2","52.5","71.4","53.9","point"
"2023-02-06 08:00:00 pm","72.2","52.5","71.4","53.9","point"
"2023-02-06 08:10:00 pm","72.1","52.5","71.6","53.8","point"
"2023-02-06 08:20:00 pm","72.1","52.6","71.6","53.9","point"
"2023-02-06 08:30:00 pm","72.0","52.7","71.4","53.8","point"
"2023-02-06 08:40:00 pm","72.1","52.7","71.4","53.9","point"
"2023-02-06 08:50:00 pm","72.0","52.8","71.4","53.8","point"
"2023-02-06 09:00:00 pm","72.0","52.8","71.4","53.9","point"
"2023-02-06 09:10:00 pm","72.0","52.8","71.4","53.9","point"
"2023-02-06 09:20:00 pm","72.0","52.9","71.4","53.9","point"
"2023-02-06 09:30:00 pm","72.0","52.9","71.4","53.9","point"
"2023-02-06 09:40:00 pm","71.9","53.0","71.2","53.8","point"
"2023-02-06 09:50:00 pm","71.9","53.1","71.2","53.9","point"
"2023-02-06 10:00:00 pm","71.9","53.2","71.2","53.9","point"
"2023-02-06 10:10:00 pm","71.9","53.3","71.2","54.0","point"
"2023-02-06 10:20:00 pm","71.8","53.4","71.2","54.0","point"
"2023-02-06 10:30:00 pm","71.9","53.5","71.2","54.1","point"
"2023-02-06 10:40:00 pm","71.9","53.5","71.2","54.1","point"
"2023-02-06 10:50:00 pm","71.8","53.6","71.2","54.1","point"
"2023-02-06 11:00:00 pm","71.8","53.6","71.2","54.1","point"
"2023-02-06 11:10:00 pm","71.8","53.6","71.2","54.1","point"
"2023-02-06 11:20:00 pm","71.8","53.7","71.2","54.1","point"
"2023-02-06 11:30:00 pm","71.8","53.7","71.2","54.1","point"
"2023-02-06 11:40:00 pm","71.8","53.8","71.2","54.2","point"
"2023-02-06 11:50:00 pm","71.7","53.9","71.1","54.1","point"
"2023-02-07 12:00:00 am","71.7","53.8","71.1","54.1","point"
"2023-02-07 12:10:00 am","71.7","53.9","71.1","54.1","point"
"2023-02-07 12:20:00 am","71.7","53.9","71.1","54.2","point"
"2023-02-07 12:30:00 am","71.7","54.1","71.1","54.2","point"
"2023-02-07 12:40:00 am","71.8","54.0","71.2","54.3","point"
