"Device Name","D2 - 2815030"
"Device Model","Kestrel DROP 2"
"Serial Number","2815030"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2000-01-01 12:10:00 am","72.5","16.4","68.4","24.4","point"
"2000-01-01 12:20:00 am","72.3","16.5","68.0","24.3","point"
"2000-01-01 12:30:00 am","72.1","16.5","68.0","24.3","point"
"2000-01-01 12:40:00 am","72.0","16.6","67.8","24.3","point"
"2023-02-07 12:30:00 pm","73.4","53.2","72.5","55.3","point"
"2024-01-11 09:00:00 pm","71.5","75.4","72.5","63.3","point"
"2024-01-11 11:00:00 pm","70.5","75.5","71.2","62.3","point"
"2024-01-12 01:00:00 am","70.1","75.8","70.7","62.1","point"
"2024-01-12 03:00:00 am","69.8","75.8","70.5","61.8","point"
"2024-01-12 05:00:00 am","69.4","76.0","69.8","61.5","point"
"2024-01-12 07:00:00 am","68.9","76.1","69.1","61.0","point"
"2024-01-12 09:00:00 am","70.2","72.3","70.7","60.9","point"
"2024-01-12 11:00:00 am","70.9","63.3","71.2","57.8","point"
"2024-01-12 01:00:00 pm","74.8","55.9","74.1","58.0","point"
"2024-01-12 03:00:00 pm","77.0","55.3","76.6","59.8","point"
"2024-01-12 05:00:00 pm","76.5","54.5","75.7","58.9","point"
"2024-01-12 07:00:00 pm","68.8","78.0","69.1","61.6","point"
"2024-01-12 09:00:00 pm","66.2","79.5","66.0","59.7","point"
"2024-01-12 11:00:00 pm","65.8","83.2","65.8","60.5","point"
"2024-01-13 01:00:00 am","64.8","80.6","64.4","58.7","point"
"2024-01-13 03:00:00 am","64.3","85.6","64.2","59.9","point"
"2024-01-13 05:00:00 am","62.8","91.1","63.3","60.2","point"
"2024-01-13 07:00:00 am","62.5","94.6","63.3","60.9","point"
"2024-01-13 09:00:00 am","64.8","91.9","65.5","62.4","point"
"2024-01-13 11:00:00 am","71.2","70.8","71.8","61.2","point"
"2024-01-13 01:00:00 pm","75.0","61.5","75.0","60.9","point"
"2024-01-13 03:00:00 pm","76.7","54.8","75.9","59.2","point"
"2024-01-13 05:00:00 pm","75.7","69.4","76.5","65.0","point"
"2024-01-13 07:00:00 pm","68.9","87.4","70.0","65.0","point"
"2024-01-13 09:00:00 pm","67.3","93.2","68.5","65.3","point"
"2024-01-13 11:00:00 pm","65.4","94.9","66.4","63.9","point"
"2024-01-14 01:00:00 am","64.6","94.2","65.3","62.9","point"
"2024-01-14 03:00:00 am","66.0","85.5","66.2","61.5","point"
"2024-01-14 05:00:00 am","65.3","88.5","65.8","61.8","point"
"2024-01-14 07:00:00 am","65.0","89.0","65.5","61.7","point"
"2024-01-14 09:00:00 am","67.0","88.5","67.8","63.5","point"
"2024-01-14 11:00:00 am","72.8","72.3","73.8","63.4","point"
"2024-01-14 01:00:00 pm","76.6","58.1","76.3","60.8","point"
"2024-01-14 03:00:00 pm","78.7","51.7","78.4","59.5","point"
"2024-01-14 05:00:00 pm","76.6","76.0","78.3","68.4","point"
"2024-01-14 07:00:00 pm","70.1","88.3","71.4","66.5","point"
"2024-01-14 09:00:00 pm","64.7","85.1","64.6","60.1","point"
"2024-01-14 11:00:00 pm","69.5","70.1","69.6","59.3","point"
"2024-01-15 01:00:00 am","68.3","70.5","68.0","58.3","point"
"2024-01-15 03:00:00 am","65.6","77.3","64.9","58.3","point"
"2024-01-15 05:00:00 am","63.1","87.6","63.1","59.3","point"
"2024-01-15 07:00:00 am","63.0","89.6","63.3","59.9","point"
