"Device Name","D2 - 2815162"
"Device Model","Kestrel DROP 2"
"Serial Number","2815162"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2000-01-01 12:10:00 am","75.0","17.8","70.5","28.3","point"
"2000-01-01 12:20:00 am","74.5","18.2","70.2","28.5","point"
"2024-01-11 09:00:00 pm","71.2","76.1","72.1","63.2","point"
"2024-01-11 11:00:00 pm","70.6","75.9","71.4","62.6","point"
"2024-01-12 01:00:00 am","70.2","75.9","71.1","62.3","point"
"2024-01-12 03:00:00 am","69.9","75.9","70.5","61.9","point"
"2024-01-12 05:00:00 am","69.5","76.0","70.0","61.6","point"
"2024-01-12 07:00:00 am","69.1","76.0","69.6","61.3","point"
"2024-01-12 09:00:00 am","70.5","71.4","71.1","60.8","point"
"2024-01-12 11:00:00 am","71.1","67.3","71.6","59.7","point"
"2024-01-12 01:00:00 pm","75.9","56.8","75.6","59.5","point"
"2024-01-12 03:00:00 pm","75.8","61.4","75.7","61.6","point"
"2024-01-12 05:00:00 pm","72.6","77.0","73.8","64.9","point"
"2024-01-12 07:00:00 pm","66.9","84.0","67.1","61.9","point"
"2024-01-12 09:00:00 pm","63.2","91.2","63.7","60.6","point"
"2024-01-12 11:00:00 pm","61.4","94.0","62.2","59.6","point"
"2024-01-13 01:00:00 am","62.1","93.8","62.8","60.2","point"
"2024-01-13 03:00:00 am","63.6","90.6","64.0","60.8","point"
"2024-01-13 05:00:00 am","61.1","94.7","61.9","59.6","point"
"2024-01-13 07:00:00 am","62.4","95.3","63.1","61.0","point"
"2024-01-13 09:00:00 am","65.0","93.0","65.8","62.9","point"
"2024-01-13 11:00:00 am","70.2","79.5","71.2","63.6","point"
"2024-01-13 01:00:00 pm","75.4","70.4","76.3","65.1","point"
"2024-01-13 03:00:00 pm","74.2","74.5","75.4","65.5","point"
"2024-01-13 05:00:00 pm","72.1","84.4","73.9","67.2","point"
"2024-01-13 07:00:00 pm","67.9","91.3","69.1","65.2","point"
"2024-01-13 09:00:00 pm","65.0","94.9","66.0","63.5","point"
"2024-01-13 11:00:00 pm","63.1","96.1","64.0","62.0","point"
"2024-01-14 01:00:00 am","62.4","97.5","63.5","61.7","point"
"2024-01-14 03:00:00 am","63.8","95.3","64.6","62.4","point"
"2024-01-14 05:00:00 am","63.9","94.1","64.8","62.1","point"
"2024-01-14 07:00:00 am","64.1","93.1","64.8","62.1","point"
"2024-01-14 09:00:00 am","66.1","94.1","67.1","64.4","point"
"2024-01-14 11:00:00 am","72.3","81.4","73.8","66.3","point"
"2024-01-14 01:00:00 pm","73.6","76.1","75.0","65.6","point"
"2024-01-14 03:00:00 pm","73.9","77.6","75.2","66.5","point"
"2024-01-14 05:00:00 pm","72.6","81.6","74.1","66.7","point"
"2024-01-14 07:00:00 pm","68.2","91.1","69.4","65.5","point"
"2024-01-14 09:00:00 pm","63.1","94.1","63.9","61.3","point"
"2024-01-14 11:00:00 pm","65.0","87.2","65.3","61.1","point"
"2024-01-15 01:00:00 am","64.8","85.0","64.8","60.2","point"
"2024-01-15 03:00:00 am","63.0","88.8","63.3","59.6","point"
"2024-01-15 05:00:00 am","62.5","91.1","63.0","59.8","point"
