1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000007D8F8741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  955
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  955
Total Device Samples:  7657
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,67.499
26/1/23 10:00:01 PM,%RH,69.396
27/1/23 12:00:01 AM,%RH,70.121
27/1/23 2:00:01 AM,%RH,74.283
27/1/23 4:00:01 AM,%RH,67.792
27/1/23 6:00:01 AM,%RH,64.699
27/1/23 8:00:01 AM,%RH,71.565
27/1/23 10:00:01 AM,%RH,67.353
27/1/23 12:00:01 PM,%RH,53.165
27/1/23 2:00:01 PM,%RH,45.447
27/1/23 4:00:01 PM,%RH,49.097
27/1/23 6:00:01 PM,%RH,58.999
27/1/23 8:00:01 PM,%RH,67.938
27/1/23 10:00:01 PM,%RH,68.814
28/1/23 12:00:01 AM,%RH,68.814
28/1/23 2:00:01 AM,%RH,68.668
28/1/23 4:00:01 AM,%RH,69.686
28/1/23 6:00:01 AM,%RH,67.059
28/1/23 8:00:01 AM,%RH,68.376
28/1/23 10:00:01 AM,%RH,58.086
28/1/23 12:00:01 PM,%RH,35.199
28/1/23 2:00:01 PM,%RH,32.872
28/1/23 4:00:01 PM,%RH,32.538
28/1/23 6:00:01 PM,%RH,48.782
28/1/23 8:00:01 PM,%RH,57.018
28/1/23 10:00:01 PM,%RH,61.114
29/1/23 12:00:01 AM,%RH,66.618
29/1/23 2:00:01 AM,%RH,62.614
29/1/23 4:00:01 AM,%RH,61.565
29/1/23 6:00:01 AM,%RH,60.361
29/1/23 8:00:01 AM,%RH,60.21
29/1/23 10:00:01 AM,%RH,63.659
29/1/23 12:00:01 PM,%RH,67.353
29/1/23 2:00:01 PM,%RH,58.086
29/1/23 4:00:01 PM,%RH,64.402
29/1/23 6:00:01 PM,%RH,74.283
29/1/23 8:00:01 PM,%RH,87.774
29/1/23 10:00:01 PM,%RH,96.615
30/1/23 12:00:01 AM,%RH,95.98
30/1/23 2:00:01 AM,%RH,96.107
30/1/23 4:00:01 AM,%RH,95.342
30/1/23 6:00:01 AM,%RH,96.107
30/1/23 8:00:01 AM,%RH,99.009
30/1/23 10:00:01 AM,%RH,95.98
30/1/23 12:00:01 PM,%RH,74.993
30/1/23 2:00:01 PM,%RH,75.418
30/1/23 4:00:01 PM,%RH,81.277
30/1/23 6:00:01 PM,%RH,89.497
30/1/23 8:00:01 PM,%RH,94.445
30/1/23 10:00:01 PM,%RH,98.257
31/1/23 12:00:01 AM,%RH,99.509
31/1/23 2:00:01 AM,%RH,99.009
31/1/23 4:00:01 AM,%RH,99.883
31/1/23 6:00:01 AM,%RH,100.256
31/1/23 8:00:01 AM,%RH,100.38
31/1/23 10:00:01 AM,%RH,97.879
31/1/23 12:00:01 PM,%RH,88.04
31/1/23 2:00:01 PM,%RH,80.45
31/1/23 4:00:01 PM,%RH,83.057
31/1/23 6:00:01 PM,%RH,86.304
31/1/23 8:00:01 PM,%RH,91.597
31/1/23 10:00:01 PM,%RH,94.316
1/2/23 12:00:01 AM,%RH,93.026
1/2/23 2:00:01 AM,%RH,92.508
1/2/23 4:00:01 AM,%RH,89.893
1/2/23 6:00:01 AM,%RH,89.761
1/2/23 8:00:01 AM,%RH,91.205
1/2/23 10:00:01 AM,%RH,84.281
1/2/23 12:00:01 PM,%RH,67.646
1/2/23 2:00:01 PM,%RH,62.913
1/2/23 4:00:01 PM,%RH,63.808
1/2/23 6:00:01 PM,%RH,64.995
1/2/23 8:00:01 PM,%RH,81.689
1/2/23 10:00:01 PM,%RH,85.362
2/2/23 12:00:01 AM,%RH,86.17
2/2/23 2:00:01 AM,%RH,86.973
2/2/23 4:00:01 AM,%RH,85.766
2/2/23 6:00:01 AM,%RH,87.907
2/2/23 8:00:01 AM,%RH,87.907
2/2/23 10:00:01 AM,%RH,79.896
2/2/23 12:00:01 PM,%RH,58.543
2/2/23 2:00:01 PM,%RH,57.324
2/2/23 4:00:01 PM,%RH,59.15
2/2/23 6:00:01 PM,%RH,67.353
2/2/23 8:00:01 PM,%RH,80.588
2/2/23 10:00:01 PM,%RH,85.228
3/2/23 12:00:01 AM,%RH,87.774
3/2/23 2:00:01 AM,%RH,84.145
3/2/23 4:00:01 AM,%RH,83.194
3/2/23 6:00:01 AM,%RH,82.784
3/2/23 8:00:01 AM,%RH,82.511
3/2/23 10:00:01 AM,%RH,73.714
3/2/23 12:00:01 PM,%RH,61.415
3/2/23 2:00:01 PM,%RH,65.882
3/2/23 4:00:01 PM,%RH,73.143
3/2/23 6:00:01 PM,%RH,77.809
3/2/23 8:00:01 PM,%RH,88.04
3/2/23 10:00:01 PM,%RH,93.026
4/2/23 12:00:01 AM,%RH,96.107
4/2/23 2:00:01 AM,%RH,94.445
4/2/23 4:00:01 AM,%RH,90.419
4/2/23 6:00:01 AM,%RH,83.602
4/2/23 8:00:01 AM,%RH,85.766
4/2/23 10:00:01 AM,%RH,80.173
4/2/23 12:00:01 PM,%RH,68.96
4/2/23 2:00:01 PM,%RH,64.402
4/2/23 4:00:01 PM,%RH,66.177
4/2/23 6:00:01 PM,%RH,79.064
4/2/23 8:00:01 PM,%RH,88.571
4/2/23 10:00:01 PM,%RH,95.214
5/2/23 12:00:01 AM,%RH,99.009
5/2/23 2:00:01 AM,%RH,99.009
5/2/23 4:00:01 AM,%RH,98.257
5/2/23 6:00:01 AM,%RH,99.134
5/2/23 8:00:01 AM,%RH,100.132
5/2/23 10:00:01 AM,%RH,93.026
5/2/23 12:00:01 PM,%RH,78.088
5/2/23 2:00:01 PM,%RH,68.23
5/2/23 4:00:01 PM,%RH,76.546
5/2/23 6:00:01 PM,%RH,84.281
5/2/23 8:00:01 PM,%RH,90.681
5/2/23 10:00:01 PM,%RH,96.742
6/2/23 12:00:01 AM,%RH,98.633
6/2/23 2:00:01 AM,%RH,99.758
6/2/23 4:00:01 AM,%RH,91.727
6/2/23 6:00:01 AM,%RH,89.497
6/2/23 8:00:01 AM,%RH,94.316
6/2/23 10:00:01 AM,%RH,85.901
6/2/23 12:00:01 PM,%RH,75.983
6/2/23 2:00:01 PM,%RH,71.565
6/2/23 4:00:01 PM,%RH,65.587
6/2/23 6:00:01 PM,%RH,77.248
6/2/23 8:00:01 PM,%RH,90.287
6/2/23 10:00:01 PM,%RH,95.469
7/2/23 12:00:01 AM,%RH,97.627
7/2/23 2:00:01 AM,%RH,98.508
7/2/23 4:00:01 AM,%RH,99.634
7/2/23 6:00:01 AM,%RH,100.132
7/2/23 8:00:01 AM,%RH,100.132
7/2/23 10:00:01 AM,%RH,94.573
7/2/23 12:00:01 PM,%RH,79.758
7/2/23 2:00:01 PM,%RH,77.949
7/2/23 4:00:01 PM,%RH,79.758
7/2/23 6:00:01 PM,%RH,86.17
7/2/23 8:00:01 PM,%RH,94.445
7/2/23 10:00:01 PM,%RH,98.257
8/2/23 12:00:01 AM,%RH,100.007
8/2/23 2:00:01 AM,%RH,99.384
8/2/23 4:00:01 AM,%RH,100.38
8/2/23 6:00:01 AM,%RH,99.509
8/2/23 8:00:01 AM,%RH,100.256
8/2/23 10:00:01 AM,%RH,93.026
8/2/23 12:00:01 PM,%RH,72.427
8/2/23 2:00:01 PM,%RH,66.765
8/2/23 4:00:01 PM,%RH,76.827
8/2/23 6:00:01 PM,%RH,80.864
8/2/23 8:00:01 PM,%RH,90.812
8/2/23 10:00:01 PM,%RH,96.869
9/2/23 12:00:01 AM,%RH,98.884
9/2/23 2:00:01 AM,%RH,99.009
9/2/23 4:00:01 AM,%RH,98.759
9/2/23 6:00:01 AM,%RH,95.469
9/2/23 8:00:01 AM,%RH,97.879
9/2/23 10:00:01 AM,%RH,88.704
9/2/23 12:00:01 PM,%RH,76.405
9/2/23 2:00:01 PM,%RH,69.976
9/2/23 4:00:01 PM,%RH,77.248
9/2/23 6:00:01 PM,%RH,84.958
9/2/23 8:00:01 PM,%RH,93.285
9/2/23 10:00:01 PM,%RH,97.501
10/2/23 12:00:01 AM,%RH,97.753
10/2/23 2:00:01 AM,%RH,100.132
10/2/23 4:00:01 AM,%RH,101.123
10/2/23 6:00:01 AM,%RH,100.132
10/2/23 8:00:01 AM,%RH,101.617
10/2/23 10:00:01 AM,%RH,93.543
10/2/23 12:00:01 PM,%RH,76.405
10/2/23 2:00:01 PM,%RH,62.614
10/2/23 4:00:01 PM,%RH,63.361
10/2/23 6:00:01 PM,%RH,61.415
10/2/23 8:00:01 PM,%RH,77.809
10/2/23 10:00:01 PM,%RH,85.093
11/2/23 12:00:01 AM,%RH,80.45
11/2/23 2:00:01 AM,%RH,76.546
11/2/23 4:00:01 AM,%RH,78.925
11/2/23 6:00:01 AM,%RH,85.362
11/2/23 8:00:01 AM,%RH,92.767
11/2/23 10:00:01 AM,%RH,80.726
11/2/23 12:00:01 PM,%RH,63.808
11/2/23 2:00:01 PM,%RH,57.476
11/2/23 4:00:01 PM,%RH,50.042
11/2/23 6:00:01 PM,%RH,56.252
11/2/23 8:00:01 PM,%RH,77.809
11/2/23 10:00:01 PM,%RH,93.801
12/2/23 12:00:01 AM,%RH,84.281
12/2/23 2:00:01 AM,%RH,81.826
12/2/23 4:00:01 AM,%RH,77.108
12/2/23 6:00:01 AM,%RH,81.689
12/2/23 8:00:01 AM,%RH,86.438
12/2/23 10:00:01 AM,%RH,79.064
12/2/23 12:00:01 PM,%RH,55.022
12/2/23 2:00:01 PM,%RH,47.833
12/2/23 4:00:01 PM,%RH,43.684
12/2/23 6:00:01 PM,%RH,69.251
12/2/23 8:00:01 PM,%RH,89.893
12/2/23 10:00:01 PM,%RH,96.361
13/2/23 12:00:01 AM,%RH,94.573
13/2/23 2:00:01 AM,%RH,83.057
13/2/23 4:00:01 AM,%RH,82.648
13/2/23 6:00:01 AM,%RH,74.567
13/2/23 8:00:01 AM,%RH,73.428
13/2/23 10:00:01 AM,%RH,67.792
13/2/23 12:00:01 PM,%RH,54.095
13/2/23 2:00:01 PM,%RH,45.607
13/2/23 4:00:01 PM,%RH,45.607
13/2/23 6:00:01 PM,%RH,50.513
13/2/23 8:00:01 PM,%RH,80.173
13/2/23 10:00:01 PM,%RH,92.118
14/2/23 12:00:01 AM,%RH,94.83
14/2/23 2:00:01 AM,%RH,85.901
14/2/23 4:00:01 AM,%RH,80.173
14/2/23 6:00:01 AM,%RH,84.145
14/2/23 8:00:01 AM,%RH,88.969
14/2/23 10:00:01 AM,%RH,75.135
14/2/23 12:00:01 PM,%RH,58.695
14/2/23 2:00:01 PM,%RH,45.766
14/2/23 4:00:01 PM,%RH,63.062
14/2/23 6:00:01 PM,%RH,71.996
14/2/23 8:00:01 PM,%RH,90.943
14/2/23 10:00:01 PM,%RH,95.852
15/2/23 12:00:01 AM,%RH,98.759
15/2/23 2:00:01 AM,%RH,98.633
15/2/23 4:00:01 AM,%RH,96.995
15/2/23 6:00:01 AM,%RH,92.248
15/2/23 8:00:01 AM,%RH,90.812
15/2/23 10:00:01 AM,%RH,80.312
15/2/23 12:00:01 PM,%RH,56.099
15/2/23 2:00:01 PM,%RH,49.885
15/2/23 4:00:01 PM,%RH,47.992
15/2/23 6:00:01 PM,%RH,43.845
15/2/23 8:00:01 PM,%RH,68.814
15/2/23 10:00:01 PM,%RH,88.04
16/2/23 12:00:01 AM,%RH,94.188
16/2/23 2:00:01 AM,%RH,81.826
16/2/23 4:00:01 AM,%RH,72.857
16/2/23 6:00:01 AM,%RH,81.001
16/2/23 8:00:01 AM,%RH,87.774
16/2/23 10:00:01 AM,%RH,76.968
